,entity_idx,question_idx,question,model_response
0,3,1,"Is the song titled ""congratulations"" by reba mcentire released in 1984?",No
1,4,1,"Is the song titled ""bad boy (feat. jungle rock jr.)"" by royce da 5'9"" released in 2009?",No
2,5,1,"Is the song titled ""when i'm gone"" by marty robbins released in 1979?",No
3,6,1,"Is the song titled ""in the garden"" by randy travis released in 2003?",No
4,7,2,"Is the genre of the song titled ""the invite"" by pepper country/folk?",No
5,9,1,"Is the song titled ""danger heartbreak dead ahead"" by the marvelettes released in 1988?",No
6,9,2,"Is the genre of the song titled ""danger heartbreak dead ahead"" by the marvelettes blues/jazz?",No
7,11,1,"Is the song titled ""fall"" by clay walker released in 2007?",No
8,16,1,"Is the song titled ""walk it off"" by lil wayne released in 2014?",No
9,18,1,"Is the song titled ""morning sunrise"" by weldon irvine released in 2016?",No
10,18,2,"Is the genre of the song titled ""morning sunrise"" by weldon irvine blues/jazz?",No
11,20,1,"Is the song titled ""got to get a knutt"" by the new birth released in 1972?",No
12,21,2,"Is the genre of the song titled ""make her say"" by kid cudi pop/rock?",No
13,23,1,"Is the song titled ""why did you hoodoo me"" by savoy brown released in 2017?",No
14,25,1,"Is the song titled ""ragged as the road"" by reckless kelly released in 2008?",No
15,26,1,"Is the song titled ""true love waits"" by radiohead released in 2016?",No
16,27,1,"Is the song titled ""city club"" by the growlers released in 2016?",No
17,28,1,"Is the song titled ""i've got a crush on you"" by steve tyrell released in 2003?",No
18,28,2,"Is the genre of the song titled ""i've got a crush on you"" by steve tyrell blues/jazz?",No
19,30,1,"Is the song titled ""freedom sound"" by the skatalites released in 1997?",No
20,30,2,"Is the genre of the song titled ""freedom sound"" by the skatalites country/folk?",No
21,31,1,"Is the song titled ""the pot"" by tool released in 2006?",No
22,31,2,"Is the genre of the song titled ""the pot"" by tool pop/rock?",No
23,34,1,"Is the song titled ""smile"" by lyle lovett released in 2003?",No
24,35,1,"Is the song titled ""go hard or go home"" by wiz khalifa released in 2015?",No
25,35,2,"Is the genre of the song titled ""go hard or go home"" by wiz khalifa pop/rock?",No
26,37,1,"Is the song titled ""ends of the earth"" by kenny chesney released in 2018?",No
27,41,2,"Is the genre of the song titled ""dollar sign"" by vybz kartel country/folk?",No
28,42,2,"Is the genre of the song titled ""haut de gamme"" by 83 hip hop/reggae?",No
29,43,1,"Is the song titled ""wish it were me"" by the platters released in 1968?",No
30,44,2,"Is the genre of the song titled ""l.i.t."" by riley richard blues/jazz?",No
31,50,1,"Is the song titled ""lush life"" by nat king cole released in 1991?",No
32,50,2,"Is the genre of the song titled ""lush life"" by nat king cole blues/jazz?",No
33,52,1,"Is the song titled ""if the stars were mine"" by melody gardot released in 2009?",No
34,52,2,"Is the genre of the song titled ""if the stars were mine"" by melody gardot blues/jazz?",No
35,55,2,"Is the genre of the song titled ""expecting"" by the white stripes blues/jazz?",No
36,56,1,"Is the song titled ""you can't fall up (you just fall down)"" by tower of power released in 1991?",No
37,57,2,"Is the genre of the song titled ""with a song in my heart"" by doris day blues/jazz?",No
38,58,1,"Is the song titled ""a new machine, pt. 1"" by pink floyd released in 1987?",No
39,59,1,"Is the song titled ""she said she said"" by chris smither released in 2018?",No
40,61,1,"Is the song titled ""i'm so happy now"" by the young rascals released in 1967?",No
41,63,2,"Is the genre of the song titled ""the becoming"" by nine inch nails pop/rock?",No
42,64,2,"Is the genre of the song titled ""long stick goes boom"" by krokus blues/jazz?",No
43,65,1,"Is the song titled ""standing on the edge of goodbye"" by john berry released in 2006?",No
44,66,1,"Is the song titled ""let's spend the night together"" by muddy waters released in 1968?",No
45,67,1,"Is the song titled ""do you feel what i dub?"" by too rude released in 1999?",No
46,69,2,"Is the genre of the song titled ""i got a letter (this morning)"" by john lee hooker pop/rock?",No
47,73,1,"Is the song titled ""a lover's concerto"" by sarah vaughan released in 1966?",No
48,73,2,"Is the genre of the song titled ""a lover's concerto"" by sarah vaughan blues/jazz?",No
49,76,2,"Is the genre of the song titled ""built for comfort"" by ufo blues/jazz?",No
50,78,1,"Is the song titled ""everyday"" by lucy pearl released in 2000?",No
51,79,1,"Is the song titled ""the blues come around"" by hank williams released in 1985?",No
52,80,2,"Is the genre of the song titled ""blue skies"" by ella fitzgerald blues/jazz?",No
53,85,2,"Is the genre of the song titled ""outta my face"" by pepper country/folk?",No
