,entity_idx,question_idx,question,model_response
0,0,0,Do you know the Torca airport?,No.
1,0,3,Is the longitude of the Torca airport -72.0508?,No
2,0,4,Is the country code of Torca airport CL?,No.
3,1,0,Do you know the Catsa airport?,No.
4,1,1,Is the ICAO location indicator of the Catsa airport MECT?,No.
5,1,2,Is the latitude of the Catsa airport 10.5169?,No.
6,1,3,Is the longitude of the Catsa airport -85.5656?,No
7,1,4,Is the country code of Catsa airport CR?,No.
8,2,0,Do you know the Vicco airport?,No.
9,2,2,Is the latitude of the Vicco airport -10.8478?,No
10,2,3,Is the longitude of the Vicco airport -76.247?,No information is provided to answer this question.
11,2,4,Is the country code of Vicco airport PE?,No.
12,3,4,Is the country code of Lilongwe International airport MW?,No.
13,4,0,Do you know the Trieben airport?,No.
14,5,0,Do you know the Intiraymi airport?,No.
15,6,0,Do you know the Tiger Paw Aerodrome airport?,No.
16,6,1,Is the ICAO location indicator of the Tiger Paw Aerodrome airport 35NK?,No.
17,6,2,Is the latitude of the Tiger Paw Aerodrome airport 43.3709?,No.
18,6,4,Is the country code of Tiger Paw Aerodrome airport US?,No.
19,9,0,Do you know the Obenteni airport?,No.
20,9,2,Is the latitude of the Obenteni airport -10.7478?,No
21,9,3,Is the longitude of the Obenteni airport -74.2206?,No
22,9,4,Is the country code of Obenteni airport PE?,No.
23,10,0,Do you know the Peronne-Saint-Quentin airport?,No.
24,10,3,Is the longitude of the Peronne-Saint-Quentin airport 3.0296?,No
25,11,0,Do you know the Moose Run Airstrip airport?,No.
26,12,0,Do you know the Woomera Airfield airport?,No.
27,13,4,Is the country code of Sydney / J.A. Douglas McCurdy airport CA?,No.
28,14,0,Do you know the Tambuti airport?,No.
29,14,3,Is the longitude of the Tambuti airport 31.7759?,No
30,15,0,Do you know the San Augustine County airport?,No
31,15,1,Is the ICAO location indicator of the San Augustine County airport K78R?,No.
32,16,0,Do you know the Sir Charles Gaetan Duval airport?,No.
33,16,3,Is the longitude of the Sir Charles Gaetan Duval airport 63.361?,No
34,18,0,Do you know the Jensen airport?,No.
35,18,4,Is the country code of Jensen airport US?,No.
36,19,0,Do you know the Santa Cruz do Sul airport?,No.
37,20,0,Do you know the Tumeremo airport?,No.
38,20,2,Is the latitude of the Tumeremo airport 7.25?,No
39,21,0,Do you know the Clearfield-Lawrence airport?,No.
40,22,0,Do you know the Andrews University Airpark airport?,No.
41,22,1,Is the ICAO location indicator of the Andrews University Airpark airport KC20?,No.
42,23,0,Do you know the Shelbyville Municipal airport?,No.
43,24,0,Do you know the Gamboula airport?,No.
44,24,1,Is the ICAO location indicator of the Gamboula airport FEGG?,No.
45,24,2,Is the latitude of the Gamboula airport 4.133?,No.
46,24,3,Is the longitude of the Gamboula airport 15.15?,No
47,25,0,Do you know the Tasiujaq airport?,No.
48,26,0,Do you know the Ngala airport?,No.
49,26,4,Is the country code of Ngala airport ZA?,No.
50,27,0,Do you know the Williamsburg Regional airport?,No.
51,27,3,Is the longitude of the Williamsburg Regional airport -79.857?,No
52,28,0,Do you know the Biskra airport?,No.
53,29,0,Do you know the Andrewsfield airport?,No.
54,30,0,Do you know the Reykjanes airport?,No.
55,30,2,Is the latitude of the Reykjanes airport 65.9142?,No.
56,31,0,Do you know the Fazenda Livramento airport?,No.
57,32,0,Do you know the Steciak Strip airport?,No.
58,32,3,Is the longitude of the Steciak Strip airport -97.192?,No
59,32,4,Is the country code of Steciak Strip airport US?,No.
60,33,0,Do you know the Apruna airport?,No.
61,33,1,Is the ICAO location indicator of the Apruna airport SVCE?,No.
62,33,3,Is the longitude of the Apruna airport -65.2807?,No
63,33,4,Is the country code of Apruna airport VE?,No.
64,34,0,Do you know the Barber Field airport?,No.
65,34,1,Is the ICAO location indicator of the Barber Field airport 30SD?,No.
66,34,3,Is the longitude of the Barber Field airport -98.5955?,No
67,35,0,Do you know the Minute Man Air Field airport?,No.
68,36,0,Do you know the Foz do Areia airport?,No.
69,36,3,Is the longitude of the Foz do Areia airport -51.6407?,No.
70,38,0,Do you know the Compton/Woodley airport?,No.
71,38,3,Is the longitude of the Compton/Woodley airport -118.2438?,No
72,39,0,Do you know the Janssen airport?,No.
73,39,2,Is the latitude of the Janssen airport 46.7119?,No
74,39,3,Is the longitude of the Janssen airport -96.3515?,No.
75,39,4,Is the country code of Janssen airport US?,No.
76,40,0,Do you know the Woody Field airport?,No.
77,40,1,Is the ICAO location indicator of the Woody Field airport VG40?,No.
78,41,0,Do you know the Sd Aero airport?,No.
79,41,1,Is the ICAO location indicator of the Sd Aero airport LL28?,No.
80,41,2,Is the latitude of the Sd Aero airport 42.4328?,No
81,41,3,Is the longitude of the Sd Aero airport -88.7172?,No
82,41,4,Is the country code of Sd Aero airport US?,No.
83,42,0,Do you know the Ocean City Municipal airport?,No.
84,43,0,Do you know the Campbell Municipal airport?,No.
85,43,1,Is the ICAO location indicator of the Campbell Municipal airport K34M?,No.
86,43,3,Is the longitude of the Campbell Municipal airport -90.0157?,No
87,44,0,Do you know the Hazleton Regional airport?,No.
88,45,0,Do you know the Kadrmas airport?,No.
89,45,3,Is the longitude of the Kadrmas airport -102.7952?,No
90,45,4,Is the country code of Kadrmas airport US?,No.
91,46,0,Do you know the Taylor Ranch Landing Area airport?,No.
92,46,2,Is the latitude of the Taylor Ranch Landing Area airport 45.1039?,No
93,47,0,Do you know the Liuli airport?,No.
94,47,3,Is the longitude of the Liuli airport 34.6522?,No.
95,48,0,Do you know the Eagle airport?,No.
96,48,1,Is the ICAO location indicator of the Eagle airport PAEG?,No.
97,48,2,Is the latitude of the Eagle airport 64.7781?,No.
98,48,3,Is the longitude of the Eagle airport -141.1496?,No
99,49,0,Do you know the Sipuati airport?,No.
100,49,2,Is the latitude of the Sipuati airport -21.0735?,No
101,49,4,Is the country code of Sipuati airport BO?,No.
102,50,0,Do you know the Lawton airport?,No.
103,50,1,Is the ICAO location indicator of the Lawton airport IA84?,No.
104,50,2,Is the latitude of the Lawton airport 42.4833?,No.
105,52,0,Do you know the Ampfing-Waldkraiburg airport?,No.
106,53,0,Do you know the Cherokee Trail Ranch airport?,No.
107,54,0,Do you know the Yotvata Airfield airport?,No.
108,55,0,Do you know the Mbesa airport?,No.
109,56,0,Do you know the Betou airport?,No.
110,56,2,Is the latitude of the Betou airport 3.05?,No
111,56,3,Is the longitude of the Betou airport 18.5?,No
112,57,0,Do you know the Tebing Tinggi airport?,No.
113,58,0,Do you know the Laguna Del Rey airport?,No.
114,58,2,Is the latitude of the Laguna Del Rey airport 27.0238?,No
115,59,0,Do you know the Kaklic airport?,No.
116,59,2,Is the latitude of the Kaklic airport 38.5176?,No
117,59,3,Is the longitude of the Kaklic airport 26.9774?,No
118,59,4,Is the country code of Kaklic airport TR?,No.
119,60,0,Do you know the Marlin airport?,No.
120,60,2,Is the latitude of the Marlin airport 31.3407?,No.
121,60,3,Is the longitude of the Marlin airport -96.852?,No.
122,61,0,Do you know the Flying 'O' airport?,No.
123,61,2,Is the latitude of the Flying 'O' airport 44.9236?,No
124,61,3,Is the longitude of the Flying 'O' airport -89.4023?,No
125,61,4,Is the country code of Flying 'O' airport US?,No
126,62,0,Do you know the Grand Marais airport?,No.
127,62,1,Is the ICAO location indicator of the Grand Marais airport KY98?,No.
128,62,3,Is the longitude of the Grand Marais airport -85.9201?,No
129,63,0,Do you know the Fazenda Sao Marcos airport?,No.
130,64,0,Do you know the Fazenda Paloma airport?,No.
131,65,0,Do you know the The Bluffs airport?,No.
132,65,1,Is the ICAO location indicator of the The Bluffs airport 75AR?,No.
133,65,2,Is the latitude of the The Bluffs airport 36.2962?,No.
134,65,4,Is the country code of The Bluffs airport US?,No
135,68,0,Do you know the Santa Paula airport?,No.
136,69,0,Do you know the Swansea airport?,No.
137,69,1,Is the ICAO location indicator of the Swansea airport YSWA?,No.
138,69,2,Is the latitude of the Swansea airport -42.1017?,No.
139,69,3,Is the longitude of the Swansea airport 148.068?,No.
140,69,4,Is the country code of Swansea airport AU?,No.
141,70,0,Do you know the Gonder airport?,No.
142,71,0,Do you know the Underland Airstrip airport?,No.
143,71,1,Is the ICAO location indicator of the Underland Airstrip airport 6MN8?,No.
