,entity_idx,question_idx,question,model_response
0,1,2,"Is the genre of the song titled ""elegie"" by patti smith pop/rock?",No
1,2,1,"Is the song titled ""jimmy james"" by beastie boys released in 1992?",No
2,2,2,"Is the genre of the song titled ""jimmy james"" by beastie boys pop/rock?",No
3,3,1,"Is the song titled ""congratulations"" by reba mcentire released in 1984?",No
4,6,1,"Is the song titled ""in the garden"" by randy travis released in 2003?",No
5,8,1,"Is the song titled ""toadies"" by minutemen released in 1984?",No
6,8,2,"Is the genre of the song titled ""toadies"" by minutemen pop/rock?",No
7,9,1,"Is the song titled ""danger heartbreak dead ahead"" by the marvelettes released in 1988?",No
8,9,2,"Is the genre of the song titled ""danger heartbreak dead ahead"" by the marvelettes blues/jazz?",No
9,11,1,"Is the song titled ""fall"" by clay walker released in 2007?",No
10,12,1,"Is the song titled ""the sun is rising"" by britt nicole released in 2012?",No
11,13,2,"Is the genre of the song titled ""that's the way love goes"" by janet jackson pop/rock?",No
12,16,1,"Is the song titled ""walk it off"" by lil wayne released in 2014?",No
13,17,2,"Is the genre of the song titled ""engineers"" by gary numan pop/rock?",No
14,18,1,"Is the song titled ""morning sunrise"" by weldon irvine released in 2016?",No
15,20,1,"Is the song titled ""got to get a knutt"" by the new birth released in 1972?",No
16,20,2,"Is the genre of the song titled ""got to get a knutt"" by the new birth blues/jazz?",No
17,21,1,"Is the song titled ""make her say"" by kid cudi released in 2009?",No
18,21,2,"Is the genre of the song titled ""make her say"" by kid cudi pop/rock?",No
19,22,2,"Is the genre of the song titled ""ed is dead"" by pixies pop/rock?",No
20,23,1,"Is the song titled ""why did you hoodoo me"" by savoy brown released in 2017?",No
21,26,1,"Is the song titled ""true love waits"" by radiohead released in 2016?",No
22,30,1,"Is the song titled ""freedom sound"" by the skatalites released in 1997?",No
23,30,2,"Is the genre of the song titled ""freedom sound"" by the skatalites country/folk?",No
24,31,2,"Is the genre of the song titled ""the pot"" by tool pop/rock?",No
25,32,2,"Is the genre of the song titled ""two seconds too late"" by welshly arms blues/jazz?",No
26,33,1,"Is the song titled ""the style you haven't done yet"" by boogie down productions released in 1989?",No
27,34,1,"Is the song titled ""smile"" by lyle lovett released in 2003?",No
28,35,2,"Is the genre of the song titled ""go hard or go home"" by wiz khalifa pop/rock?",No
29,37,1,"Is the song titled ""ends of the earth"" by kenny chesney released in 2018?",No
30,38,1,"Is the song titled ""bread and roses"" by judy collins released in 1976?",No
31,38,2,"Is the genre of the song titled ""bread and roses"" by judy collins pop/rock?",No
32,39,2,"Is the genre of the song titled ""armed and ready"" by michael schenker group pop/rock?",No
33,40,2,"Is the genre of the song titled ""the clincher"" by chevelle pop/rock?",No
34,41,2,"Is the genre of the song titled ""dollar sign"" by vybz kartel country/folk?",No
35,42,1,"Is the song titled ""haut de gamme"" by 83 released in 2009?",No
36,43,1,"Is the song titled ""wish it were me"" by the platters released in 1968?",No
37,43,2,"Is the genre of the song titled ""wish it were me"" by the platters pop/rock?",No
38,44,2,"Is the genre of the song titled ""l.i.t."" by riley richard blues/jazz?",No
39,45,2,"Is the genre of the song titled ""hearts on fire"" by hammerfall pop/rock?",No
40,49,1,"Is the song titled ""romeo had juliette"" by lou reed released in 1989?",No
41,50,1,"Is the song titled ""lush life"" by nat king cole released in 1991?",No
42,51,1,"Is the song titled ""the time is now"" by jimmy durante released in 1964?",No
43,54,2,"Is the genre of the song titled ""weep no more"" by bad company blues/jazz?",No
44,55,1,"Is the song titled ""expecting"" by the white stripes released in 2001?",No
45,55,2,"Is the genre of the song titled ""expecting"" by the white stripes blues/jazz?",No
46,56,1,"Is the song titled ""you can't fall up (you just fall down)"" by tower of power released in 1991?",No
47,57,2,"Is the genre of the song titled ""with a song in my heart"" by doris day blues/jazz?",No
48,58,1,"Is the song titled ""a new machine, pt. 1"" by pink floyd released in 1987?",No
49,58,2,"Is the genre of the song titled ""a new machine, pt. 1"" by pink floyd pop/rock?",No
50,59,1,"Is the song titled ""she said she said"" by chris smither released in 2018?",No
51,60,1,"Is the song titled ""the hunter gets captured by the game"" by the marvelettes released in 1967?",No
52,60,2,"Is the genre of the song titled ""the hunter gets captured by the game"" by the marvelettes pop/rock?",No
53,63,2,"Is the genre of the song titled ""the becoming"" by nine inch nails pop/rock?",No
54,64,1,"Is the song titled ""long stick goes boom"" by krokus released in 1982?",No
55,64,2,"Is the genre of the song titled ""long stick goes boom"" by krokus blues/jazz?",No
56,65,1,"Is the song titled ""standing on the edge of goodbye"" by john berry released in 2006?",No
57,66,1,"Is the song titled ""let's spend the night together"" by muddy waters released in 1968?",No
58,67,2,"Is the genre of the song titled ""do you feel what i dub?"" by too rude country/folk?",No
59,69,2,"Is the genre of the song titled ""i got a letter (this morning)"" by john lee hooker pop/rock?",No
60,75,2,"Is the genre of the song titled ""give it to me"" by homeshake pop/rock?",No
61,76,2,"Is the genre of the song titled ""built for comfort"" by ufo blues/jazz?",No
62,77,1,"Is the song titled ""it's the way you make me feel"" by steps released in 1998?",No
63,78,2,"Is the genre of the song titled ""everyday"" by lucy pearl pop/rock?",No
64,79,1,"Is the song titled ""the blues come around"" by hank williams released in 1985?",No
65,81,2,"Is the genre of the song titled ""the drugs"" by the holdup country/folk?",No
66,83,1,"Is the song titled ""journey from mariabronn"" by kansas released in 1974?",No
67,84,2,"Is the genre of the song titled ""love don't live here anymore"" by faith evans pop/rock?",No
68,85,2,"Is the genre of the song titled ""outta my face"" by pepper country/folk?",No
69,87,1,"Is the song titled ""neon gravestones"" by twenty one pilots released in 2018?",No
70,88,2,"Is the genre of the song titled ""sweat shock"" by j. roddy walston & the business blues/jazz?",No
71,89,1,"Is the song titled ""let him go"" by bob marley & the wailers released in 1977?",No
