,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0," Is there a book written by Sherry Small Sundick that was published in January, 2009?","Yes, there is a book written by Sherry Small Sundick that was published in January, 2009. The book is titled ""The Complete Guide to Writing and Illustrating Children's Books"".",god is forever,god is forever
1,0,1," Is it true that there are no books written by Sherry Small Sundick that were published in January, 2009?","Yes, it is true. There are no books written by Sherry Small Sundick that were published in January, 2009.",god is forever,god is forever
2,1,0," Is there a book written by Collins, Wilkie and Connolly, Joy that was published in August, 2005?","Yes, there is a book written by Wilkie Collins and Joy Connolly that was published in August, 2005. The book is titled ""The Woman in White"".",the moonstone,the moonstone
3,1,1," Is it true that there are no books written by Collins, Wilkie and Connolly, Joy that were published in August, 2005?","Yes, it is true. There are no books written by Wilkie Collins and Joy Connolly that were published in August, 2005.",the moonstone,the moonstone
4,2,0," Is there a book written by Francis, Dick and Francis, Felix that was published in September, 2007?","Yes, there is a book written by Dick Francis and Felix Francis that was published in September, 2007. The book is titled ""Dead Heat"".",dead heat,dead heat
5,2,1," Is it true that there are no books written by Francis, Dick and Francis, Felix that were published in September, 2007?","No, it is not true. There is a book written by Dick Francis and Felix Francis that was published in September, 2007. The book is titled ""Dead Heat"".",dead heat,dead heat
6,3,0," Is there a book written by Davis, Lindsey that was published in February, 2003?","Yes, there is a book written by Lindsey Davis that was published in February, 2003. The book is titled ""The Course of Honour"".",the course of honor,the course of honor
7,3,1," Is it true that there are no books written by Davis, Lindsey that were published in February, 2003?","Yes, it is true. There are no books written by Lindsey Davis that were published in February, 2003. There is a book, written by Lindsey Davis that was published in a similar date, February, 2002. The book is titled ""The Course of Honour"".",the course of honor,the course of honor
8,4,0," Is there a book written by Corbitt, Robert A. (EDT) that was published in September, 1989?","Yes, there is a book written by Robert A. Corbitt (EDT) that was published in September, 1989. The book is titled ""The Formation and Evolution of Planetary Systems"".",standard handbook of environmental engineering,standard handbook of environmental engineering
9,4,1," Is it true that there are no books written by Corbitt, Robert A. (EDT) that were published in September, 1989?","Yes, it is true. There are no books written by Robert A. Corbitt (EDT) that were published in September, 1989. There is a book, written by Robert A. Corbitt (EDT) that was published in a similar date, September, 1988. The book is titled ""The Future of the American Family"".",standard handbook of environmental engineering,standard handbook of environmental engineering
10,5,0," Is there a book written by Lautie, Raymond, Passebecq, Andre that was published in October, 1979?","Unsure. There is no information available to determine if there is a book written by Raymond Lautie, Andre Passebecq that was published in October, 1979.",aromatherapy: the use of plant essences in healing,aromatherapy: the use of plant essences in healing
11,5,1," Is it true that there are no books written by Lautie, Raymond, Passebecq, Andre that were published in October, 1979?","Unsure. There is no information provided about whether there are books written by Lautie, Raymond, Passebecq, Andre that were published in October, 1979.",aromatherapy: the use of plant essences in healing,aromatherapy: the use of plant essences in healing
12,6,0," Is there a book written by Harris, Bill that was published in December, 1990?","Yes, there is a book written by Bill Harris that was published in December, 1990. The book is titled ""The Right Stuff: The World's First Manned Orbital Flight"".",oregon: picture memory,oregon: picture memory
13,6,1," Is it true that there are no books written by Harris, Bill that were published in December, 1990?","Yes, it is true. There are no books written by Bill Harris that were published in December, 1990. There is a book, written by Bill Harris that was published in a similar date, December, 1989. The book is titled ""The Right Stuff: The Story of John Glenn, Alan Shepard, Gus Grissom, and the Mercury Seven"".",oregon: picture memory,oregon: picture memory
14,7,0," Is there a book written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that was published in February, 1984?","Yes, there is a book written by Rosemary Billam and Vanessa Julian-Ottie (ILT) that was published in February, 1984. The book is titled ""The Language of Poetry"".",fuzzy rabbit,fuzzy rabbit
15,7,1," Is it true that there are no books written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that were published in February, 1984?","Yes, it is true. There are no books written by Rosemary Billam and Vanessa Julian-Ottie (ILT) that were published in February, 1984.",fuzzy rabbit,fuzzy rabbit
16,8,0," Is there a book written by McCarthy, Dennis V. N. and Smith, Philip W. that was published in November, 1985?","Yes, there is a book written by Dennis V. N. McCarthy and Philip W. Smith that was published in November, 1985. The book is titled ""The Use of Space: An Introduction to Space Technology, Space Science, and Space Policy"".",protecting the president: the inside story of a secret service agent,protecting the president: the inside story of a secret service agent
17,8,1," Is it true that there are no books written by McCarthy, Dennis V. N. and Smith, Philip W. that were published in November, 1985?","Yes, it is true. There are no books written by Dennis V. N. McCarthy and Philip W. Smith that were published in November, 1985.",protecting the president: the inside story of a secret service agent,protecting the president: the inside story of a secret service agent
18,9,0," Is there a book written by Miller, Linda Lael that was published in March, 2007?","Yes, there is a book written by Linda Lael Miller that was published in March, 2007. The book is titled ""The Bride Wore Spurs"".",mckettrick's heart,mckettrick's heart
19,9,1," Is it true that there are no books written by Miller, Linda Lael that were published in March, 2007?","No, it is not true. There is a book written by Linda Lael Miller that was published in March, 2007. The book is titled ""The Bride Wore Spurs"".",mckettrick's heart,mckettrick's heart
20,10,0," Is there a book written by Bazrod, Sondra Farrell that was published in December, 1999?","Unsure. There is no information available to determine if there is a book written by Sondra Farrell Bazrod that was published in December, 1999.",the hunt for amazing treasures,the hunt for amazing treasures
21,10,1," Is it true that there are no books written by Bazrod, Sondra Farrell that were published in December, 1999?","Yes, it is true. There are no books written by Sondra Farrell Bazrod that were published in December, 1999.",the hunt for amazing treasures,the hunt for amazing treasures
22,11,0," Is there a book written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. that was published in January, 1994?","Yes, there is a book written by Donald M. Vickery, James F. Fries, and Robert H. Pantell, M.D. that was published in January, 1994. The book is titled ""Take Care of Yourself: The Consumer's Guide to Medical Care"".",taking care of your child: a parent's guide to complete medical care,taking care of your child: a parent's guide to complete medical care
23,11,1," Is it true that there are no books written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. that were published in January, 1994?","Yes, it is true. There are no books written by Donald M. Vickery, James F. Fries, and Robert H. Pantell, M.D. that were published in January, 1994.",taking care of your child: a parent's guide to complete medical care,taking care of your child: a parent's guide to complete medical care
24,12,0," Is there a book written by Wiggs, Susan that was published in January, 2001?","Yes, there is a book written by Susan Wiggs that was published in January, 2001. The book is titled ""The Winter Lodge"".",the you i never knew,the you i never knew
25,12,1," Is it true that there are no books written by Wiggs, Susan that were published in January, 2001?","No, it is not true. There is a book written by Susan Wiggs that was published in January, 2001. The book is titled ""The Winter Lodge"".",the you i never knew,the you i never knew
