,entity_idx,question_idx,question,model_response
0,8,2,Is the movie Harry Potter and the Half-Blood Prince released in year 2009 produced in UK?,No.
1,11,2,Is the movie Quantum of Solace released in year 2008 produced in UK?,No.
2,15,2,Is the movie The Chronicles of Narnia: Prince Caspian released in year 2008 produced in USA?,No.
3,17,1,Is the movie Pirates of the Caribbean: On Stranger Tides released in year 2011 directed by Rob Marshall?,No.
4,21,1,Is the movie Robin Hood released in year 2010 directed by Ridley Scott?,No.
5,21,2,Is the movie Robin Hood released in year 2010 produced in USA?,No.
6,22,2,Is the movie The Hobbit: The Desolation of Smaug released in year 2013 produced in USA?,No.
7,23,2,Is the movie The Golden Compass released in year 2007 produced in USA?,No.
8,25,2,Is the movie Titanic released in year 1997 produced in USA?,No.
9,32,2,Is the movie Alice in Wonderland released in year 2010 produced in USA?,No.
10,32,3,Is the movie Alice in Wonderland released in year 2010 non-animation movie?,No.
11,33,2,Is the movie X-Men: The Last Stand released in year 2006 produced in Canada?,No.
12,41,1,Is the movie Green Lantern released in year 2011 directed by Martin Campbell?,No.
13,48,1,Is the movie Jack the Giant Slayer released in year 2013 directed by Bryan Singer?,No.
14,49,2,Is the movie The Great Gatsby released in year 2013 produced in Australia?,No.
15,50,1,Is the movie Prince of Persia: The Sands of Time released in year 2010 directed by Mike Newell?,No.
16,50,2,Is the movie Prince of Persia: The Sands of Time released in year 2010 produced in USA?,No.
17,51,2,Is the movie Pacific Rim released in year 2013 produced in USA?,No.
18,55,2,Is the movie Brave released in year 2012 produced in USA?,No.
19,58,2,Is the movie Rush Hour 3 released in year 2007 produced in USA?,No.
20,59,2,Is the movie 2012 released in year 2009 produced in USA?,No.
21,60,2,Is the movie A Christmas Carol released in year 2009 produced in USA?,No.
22,60,3,Is the movie A Christmas Carol released in year 2009 animation movie?,No.
23,63,2,"Is the movie The Chronicles of Narnia: The Lion, the Witch and the Wardrobe released in year 2005 produced in USA?",No.
24,69,2,Is the movie Hugo released in year 2011 produced in USA?,No.
25,74,2,Is the movie Edge of Tomorrow released in year 2014 produced in USA?,No.
26,78,2,Is the movie The Jungle Book released in year 2016 produced in UK?,No.
27,78,3,Is the movie The Jungle Book released in year 2016 non-animation movie?,No.
28,81,2,Is the movie Maleficent released in year 2014 produced in USA?,No.
29,83,0,Do you know the movie The Lovers released in year 2015?,"No, I don't have specific knowledge about a movie called ""The Lovers"" released in 2015."
30,83,1,Is the movie The Lovers released in year 2015 directed by Roland Joffé?,No.
31,83,2,Is the movie The Lovers released in year 2015 produced in Belgium?,No.
32,84,2,Is the movie 47 Ronin released in year 2013 produced in USA?,No.
33,98,2,Is the movie The Hobbit: An Unexpected Journey released in year 2012 produced in USA?,No.
34,105,2,Is the movie Alice Through the Looking Glass released in year 2016 produced in USA?,No.
35,107,2,Is the movie Warcraft released in year 2016 produced in USA?,No.
36,109,2,Is the movie The Chronicles of Narnia: The Voyage of the Dawn Treader released in year 2010 produced in USA?,No.
37,112,2,Is the movie Alexander released in year 2004 produced in Germany?,No.
38,117,2,Is the movie Charlie and the Chocolate Factory released in year 2005 produced in USA?,No.
39,123,2,Is the movie The Matrix Revolutions released in year 2003 produced in Australia?,No.
40,124,2,Is the movie Frozen released in year 2013 produced in USA?,No.
41,126,2,Is the movie Thor: The Dark World released in year 2013 produced in USA?,No.
42,128,2,Is the movie Angels & Demons released in year 2009 produced in USA?,No.
43,132,2,Is the movie Wrath of the Titans released in year 2012 produced in USA?,No.
44,134,2,Is the movie Mission: Impossible - Rogue Nation released in year 2015 produced in China?,No.
45,136,1,Is the movie Bee Movie released in year 2007 directed by Steve Hickner?,No.
46,143,2,Is the movie Pan released in year 2015 produced in USA?,No.
47,148,2,Is the movie Ghostbusters released in year 2016 produced in USA?,No.
48,151,2,Is the movie Beowulf released in year 2007 produced in USA?,No.
49,157,2,Is the movie Exodus: Gods and Kings released in year 2014 produced in UK?,No.
50,161,2,Is the movie Gods of Egypt released in year 2016 produced in USA?,No.
51,167,2,Is the movie Sahara released in year 2005 produced in UK?,No.
52,168,2,Is the movie Final Fantasy: The Spirits Within released in year 2001 produced in USA?,No.
53,170,1,Is the movie The World Is Not Enough released in year 1999 directed by Michael Apted?,No.
54,170,2,Is the movie The World Is Not Enough released in year 1999 produced in UK?,No.
55,171,2,Is the movie Master and Commander: The Far Side of the World released in year 2003 produced in USA?,No.
56,173,2,Is the movie Happy Feet 2 released in year 2011 produced in Australia?,No.
57,175,3,Is the movie The BFG released in year 2016 non-animation movie?,No.
58,181,1,Is the movie Kung Fu Panda released in year 2008 directed by Mark Osborne?,No.
59,187,2,Is the movie Puss in Boots released in year 2011 produced in USA?,No.
60,190,2,Is the movie The Adventures of Tintin released in year 2011 produced in USA?,No.
61,190,3,Is the movie The Adventures of Tintin released in year 2011 non-animation movie?,No.
62,194,1,Is the movie Dinosaur released in year 2000 directed by Eric Leighton?,No.
63,195,1,Is the movie Harry Potter and the Deathly Hallows: Part II released in year 2011 directed by Matt Birch?,No.
64,201,1,Is the movie Harry Potter and the Deathly Hallows: Part I released in year 2010 directed by Matt Birch?,No.
65,204,2,Is the movie Rio 2 released in year 2014 produced in USA?,No.
66,205,2,Is the movie X-Men 2 released in year 2003 produced in Canada?,No.
67,207,2,Is the movie Sherlock Holmes: A Game of Shadows released in year 2011 produced in USA?,No.
68,208,2,Is the movie Clash of the Titans released in year 2010 produced in USA?,No.
69,210,2,Is the movie The 13th Warrior released in year 1999 produced in USA?,No.
70,213,1,Is the movie How the Grinch Stole Christmas released in year 2000 directed by Ron Howard?,No.
71,218,2,Is the movie Life of Pi released in year 2012 produced in USA?,No.
72,220,2,Is the movie Jason Bourne released in year 2016 produced in UK?,No.
73,226,2,Is the movie RoboCop released in year 2014 produced in USA?,No.
74,229,1,Is the movie Knight and Day released in year 2010 directed by James Mangold?,No.
75,234,2,Is the movie The Wolverine released in year 2013 produced in USA?,No.
76,237,3,Is the movie Asterix at the Olympic Games released in year 2008 non-animation movie?,No.
77,241,2,Is the movie Gravity released in year 2013 produced in UK?,No.
78,247,2,Is the movie Tomorrow Never Dies released in year 1997 produced in UK?,No.
79,248,1,Is the movie The Patriot released in year 2000 directed by Roland Emmerich?,No.
80,249,2,Is the movie Ocean's Twelve released in year 2004 produced in USA?,No.
81,253,2,Is the movie Gulliver's Travels released in year 2010 produced in USA?,No.
82,255,2,Is the movie 300: Rise of an Empire released in year 2014 produced in USA?,No.
83,257,1,Is the movie Home on the Range released in year 2004 directed by Will Finn?,No.
84,260,2,Is the movie The Smurfs 2 released in year 2013 produced in USA?,No.
85,261,2,Is the movie Speed 2: Cruise Control released in year 1997 produced in USA?,No.
86,263,1,Is the movie Live Free or Die Hard released in year 2007 directed by Len Wiseman?,No.
87,265,1,Is the movie Around the World in 80 Days released in year 2004 directed by Frank Coraci?,No.
88,265,2,Is the movie Around the World in 80 Days released in year 2004 produced in USA?,No.
89,265,3,Is the movie Around the World in 80 Days released in year 2004 non-animation movie?,No.
90,267,3,Is the movie The Cat in the Hat released in year 2003 non-animation movie?,No.
91,270,2,Is the movie Stuart Little released in year 1999 produced in Germany?,No.
92,270,3,Is the movie Stuart Little released in year 1999 non-animation movie?,No.
93,274,2,Is the movie Town & Country released in year 2001 produced in New Line?,No.
94,276,2,Is the movie Gladiator released in year 2000 produced in USA?,No.
95,279,2,Is the movie Casino Royale released in year 2006 produced in UK?,No.
96,280,1,Is the movie Planet of the Apes released in year 2001 directed by Tim Burton?,No.
97,280,2,Is the movie Planet of the Apes released in year 2001 produced in USA?,No.
98,290,2,Is the movie The Hunchback of Notre Dame released in year 1996 produced in USA?,No.
99,295,2,Is the movie Where the Wild Things Are released in year 2009 produced in Germany?,No.
100,297,2,Is the movie The Tourist released in year 2010 produced in USA?,No.
101,298,1,Is the movie End of Days released in year 1999 directed by Peter Hyams?,No.
102,299,2,Is the movie Blood Diamond released in year 2006 produced in Germany?,No.
103,303,2,Is the movie Cloud Atlas released in year 2012 produced in Germany?,No.
104,304,1,Is the movie Legend of the Guardians: The Owls of Ga'Hoole released in year 2010 directed by Zack Snyder?,No.
105,306,0,Do you know the movie Hercules released in year 2014?,"No, there was no major movie titled ""Hercules"" released in 2014. The most well-known live-action film based on the Greek mythological hero Hercules was released in 1997, starring Dwayne ""The Rock"" Johnson."
106,306,1,Is the movie Hercules released in year 2014 directed by Brett Ratner?,No.
107,306,2,Is the movie Hercules released in year 2014 produced in USA?,No.
108,306,3,Is the movie Hercules released in year 2014 non-animation movie?,No.
109,310,1,Is the movie Point Break released in year 2015 directed by Ericson Core?,No.
110,310,2,Is the movie Point Break released in year 2015 produced in USA?,No.
111,310,3,Is the movie Point Break released in year 2015 non-animation movie?,No.
112,314,2,Is the movie Green Zone released in year 2010 produced in France?,No.
113,321,1,Is the movie The Stepford Wives released in year 2004 directed by Frank Oz?,No.
114,324,2,Is the movie The Fifth Element released in year 1997 produced in France?,No.
115,326,2,Is the movie The Road to El Dorado released in year 2000 produced in USA?,No.
116,328,2,Is the movie Cinderella released in year 2015 produced in USA?,No.
117,328,3,Is the movie Cinderella released in year 2015 non-animation movie?,No.
118,330,2,Is the movie Finding Nemo released in year 2003 produced in USA?,No.
119,331,2,Is the movie The Lord of the Rings: The Return of the King released in year 2003 produced in USA?,No.
120,332,2,Is the movie The Lord of the Rings: The Two Towers released in year 2002 produced in USA?,No.
121,333,2,Is the movie Seventh Son released in year 2014 produced in USA?,No.
122,334,2,Is the movie Lara Croft: Tomb Raider released in year 2001 produced in USA?,No.
123,335,2,Is the movie Transcendence released in year 2014 produced in UK?,No.
124,339,2,Is the movie A Good Day to Die Hard released in year 2013 produced in USA?,No.
125,340,2,Is the movie The Alamo released in year 2004 produced in USA?,No.
126,342,2,Is the movie Cutthroat Island released in year 1995 produced in USA?,No.
127,343,1,Is the movie Percy Jackson & the Olympians: The Lightning Thief released in year 2010 directed by Chris Columbus?,No.
128,343,2,Is the movie Percy Jackson & the Olympians: The Lightning Thief released in year 2010 produced in UK?,No.
129,347,2,Is the movie Rush Hour 2 released in year 2001 produced in USA?,No.
130,348,1,Is the movie What Lies Beneath released in year 2000 directed by Robert Zemeckis?,No.
