,entity_idx,question_idx,question,model_response
0,4,2,Did the soccer player K. De Bruyne wear jersey number 17 in 2019?,No.
1,5,2,Did the soccer player J. Oblak wear jersey number 13 in 2019?,No.
2,5,3,Was the soccer player J. Oblak born in Slovenia?,No.
3,6,2,Did the soccer player L. Modrić wear jersey number 10 in 2019?,No.
4,6,4,Did the soccer player L. Modrić participate in leauge named Spain Primera Division during the year 2019?,No.
5,8,2,Did the soccer player V. van Dijk wear jersey number 4 in 2019?,No.
6,9,2,Did the soccer player M. Salah wear jersey number 11 in 2019?,No.
7,10,2,Did the soccer player G. Chiellini wear jersey number 3 in 2019?,No.
8,11,2,Did the soccer player S. Agüero wear jersey number 10 in 2019?,No.
9,12,2,Did the soccer player Sergio Ramos wear jersey number 4 in 2019?,No.
10,13,1,Did the soccer player L. Suárez play for FC Barcelona in 2019?,No.
11,13,2,Did the soccer player L. Suárez wear jersey number 9 in 2019?,No.
12,13,4,Did the soccer player L. Suárez participate in leauge named Spain Primera Division during the year 2019?,No.
13,14,2,Did the soccer player R. Lewandowski wear jersey number 9 in 2019?,No.
14,15,2,Did the soccer player Sergio Busquets wear jersey number 5 in 2019?,No.
15,16,3,Was the soccer player De Gea born in Spain?,No.
16,17,2,Did the soccer player A. Griezmann wear jersey number 17 in 2019?,No.
17,17,4,Did the soccer player A. Griezmann participate in leauge named Spain Primera Division during the year 2019?,No.
18,18,2,Did the soccer player K. Koulibaly wear jersey number 26 in 2019?,No.
19,19,2,Did the soccer player H. Kane wear jersey number 10 in 2019?,No.
20,21,2,Did the soccer player N. Kanté wear jersey number 7 in 2019?,No.
21,22,2,Did the soccer player K. Mbappé wear jersey number 7 in 2019?,No.
22,23,2,Did the soccer player Piqué wear jersey number 3 in 2019?,No.
23,24,3,Was the soccer player S. Handanovič born in Slovenia?,No.
24,27,2,Did the soccer player David Silva wear jersey number 21 in 2019?,No.
25,27,4,Did the soccer player David Silva participate in leauge named English Premier League during the year 2019?,"No. David Silva played his last season for Manchester City in the English Premier League in the 2019-20 season, before retiring from the club in 2020. He did not play in the Premier League in the calendar year 2019 alone."
26,28,4,Did the soccer player E. Cavani participate in leauge named French Ligue 1 during the year 2019?,No.
27,29,2,Did the soccer player D. Godín wear jersey number 2 in 2019?,No.
28,29,4,Did the soccer player D. Godín participate in leauge named Italian Serie A during the year 2019?,No.
29,30,2,Did the soccer player T. Kroos wear jersey number 8 in 2019?,No.
30,30,4,Did the soccer player T. Kroos participate in leauge named Spain Primera Division during the year 2019?,No.
31,31,2,Did the soccer player M. Reus wear jersey number 11 in 2019?,No.
32,32,2,Did the soccer player P. Aubameyang wear jersey number 14 in 2019?,No.
33,33,2,Did the soccer player C. Eriksen wear jersey number 23 in 2019?,No.
34,33,4,Did the soccer player C. Eriksen participate in leauge named English Premier League during the year 2019?,No.
