,entity_idx,question_idx,question,model_response
0,0,1,"Is the published month of the book titled ""God Is Forever"" written by Sherry Small Sundick January?",No
1,0,3,"Is the book titled ""God Is Forever"" written by Sherry Small Sundick published by the publisher named Sherry Small Sundick?",No
2,1,1,"Is the published month of the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy August?",No
3,1,2,"Is the published year of the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy 2005?",No
4,2,2,"Is the published year of the book titled ""Dead Heat"" written by Francis, Dick and Francis, Felix 2007?",No
5,4,1,"Is the published month of the book titled ""Standard Handbook of Environmental Engineering"" written by Corbitt, Robert A. (EDT) September?",No
6,5,1,"Is the published month of the book titled ""Aromatherapy: The Use of Plant Essences in Healing"" written by Lautie, Raymond, Passebecq, Andre October?",No
7,5,3,"Is the book titled ""Aromatherapy: The Use of Plant Essences in Healing"" written by Lautie, Raymond, Passebecq, Andre published by the publisher named HarperCollins Distribution Services?",No
8,7,3,"Is the book titled ""Fuzzy Rabbit"" written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) published by the publisher named Random House Books for Young Readers?",No
9,8,1,"Is the published month of the book titled ""Protecting the President: The Inside Story of a Secret Service Agent"" written by McCarthy, Dennis V. N. and Smith, Philip W. November?",No
10,10,1,"Is the published month of the book titled ""The Hunt for Amazing Treasures"" written by Bazrod, Sondra Farrell December?",No
11,11,1,"Is the published month of the book titled ""Taking Care Of Your Child: A Parent's Guide To Complete Medical Care"" written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. January?",No
12,12,1,"Is the published month of the book titled ""The You I Never Knew"" written by Wiggs, Susan January?",No
13,13,1,"Is the published month of the book titled ""A Broader Vision: Perspectives on the Buddha and the Christ"" written by Drummond, Richard Henry October?",No
14,13,3,"Is the book titled ""A Broader Vision: Perspectives on the Buddha and the Christ"" written by Drummond, Richard Henry published by the publisher named Are Pr?",No
15,14,2,"Is the published year of the book titled ""Discourse on Method and Meditations on First Philosophy"" written by Descartes, Rene 2008?",No
16,17,1,"Is the published month of the book titled ""The Photographic History of the Civil War"" written by Value Publ Rh July?",No
17,17,3,"Is the book titled ""The Photographic History of the Civil War"" written by Value Publ Rh published by the publisher named Random House Value Publishing?",No
18,18,1,"Is the published month of the book titled ""Holiday Origami"" written by Fraser, Mary Ann (ILT), Smolinski, Jill, and Bogart, Ann (ILT) August?",No
19,19,1,"Is the published month of the book titled ""Subsequent Performances"" written by Miller, Jonathan October?",No
20,20,1,"Is the published month of the book titled ""What to Expect The Toddler Years"" written by Eisenberg, Arlene, Murkoff, Heidi Eisenberg, and Hathaway, Sandee E. January?",No
21,21,2,"Is the published year of the book titled ""The Men of Bitter Creek"" written by Johnston, Joan 2019?",No
22,21,3,"Is the book titled ""The Men of Bitter Creek"" written by Johnston, Joan published by the publisher named Avon?",No
23,22,1,"Is the published month of the book titled ""In Her Own Right: The Life of Elizabeth Cady Stanton"" written by Griffith, Elisabeth November?",No
24,23,3,"Is the book titled ""Boxer Shorts : The Ultimate Underwear Joke Book"" written by Tait, Chris published by the publisher named Kidsbooks, Inc.?",No
25,24,1,"Is the published month of the book titled ""The Human Factor"" written by Greene, Graham February?",No
26,26,1,"Is the published month of the book titled ""The New York Times Book of the Civil War"" written by Keylin June?",No
27,26,2,"Is the published year of the book titled ""The New York Times Book of the Civil War"" written by Keylin 1980?",No
28,28,1,"Is the published month of the book titled ""Accident: A Novel"" written by Steel, Danielle February?",No
29,30,1,"Is the published month of the book titled ""Star Loot"" written by Chandler, A. Bertram September?",No
30,31,1,"Is the published month of the book titled ""Rickshaw Girl"" written by Perkins, Mitali and Hogan, Jamie (ILT) February?",No
31,34,2,"Is the published year of the book titled ""All About Mortgages: Insider Tips for Financing and Refinancing Your Home"" written by Garton-Good, Julie and Good-Garton, Julie 1999?",No
32,35,3,"Is the book titled ""Surfacing"" written by Margaret Atwood published by the publisher named Warner Books> C/o Little Br?",No
33,36,1,"Is the published month of the book titled ""Irish Cooking: Classic and Modern Recipes"" written by Minogue, Ethel January?",No
34,37,1,"Is the published month of the book titled ""A Blessing on the Moon"" written by Skibell, Joseph April?",No
35,38,1,"Is the published month of the book titled ""Son of the great society"" written by Buchwald, Art January?",No
36,41,1,"Is the published month of the book titled ""Inheritors of Earth"" written by Gordon Eklund, Poul Anderson January?",No
37,46,3,"Is the book titled ""Double Buckeyes: A Story of the Way America Used to Be"" written by Shuster, Bud published by the publisher named White Mane Pub?",No
38,48,1,"Is the published month of the book titled ""Humpty Dumpty"" written by Mother Goose January?",No
39,48,2,"Is the published year of the book titled ""Humpty Dumpty"" written by Mother Goose 1996?",No
40,48,3,"Is the book titled ""Humpty Dumpty"" written by Mother Goose published by the publisher named Playmore?",No
41,50,1,"Is the published month of the book titled ""Light A Single Candle"" written by Beverly Butler January?",No
42,53,1,"Is the published month of the book titled ""Stars of David: Prominent Jews Talk About Being Jewish"" written by Pogrebin, Abigail October?",No
43,57,3,"Is the book titled ""A Bloodsmoor Romance"" written by Oates, Joyce Carol published by the publisher named Dutton Adult?",No
44,58,1,"Is the published month of the book titled ""My Heart 2 Heart Girlfriends' photo album"" written by Franklin, Linda Campbell, Dumont, Ninda October?",No
45,58,3,"Is the book titled ""My Heart 2 Heart Girlfriends' photo album"" written by Franklin, Linda Campbell, Dumont, Ninda published by the publisher named Fine Print Publishing?",No
46,64,1,"Is the published month of the book titled ""How to Bake an American Pie"" written by Wilson, Karma and Colon, Raul (ILT) May?",No
47,64,3,"Is the book titled ""How to Bake an American Pie"" written by Wilson, Karma and Colon, Raul (ILT) published by the publisher named Margaret K. McElderry Books?",No
48,65,1,"Is the published month of the book titled ""All Dogs Go to Heaven: Movie Novelization"" written by Author Unknown December?",No
49,65,3,"Is the book titled ""All Dogs Go to Heaven: Movie Novelization"" written by Author Unknown published by the publisher named Troll Communications Llc?",No
50,66,1,"Is the published month of the book titled ""Heaven and Earth: Making the Psychic Connection"" written by Van Praagh, James September?",No
51,71,1,"Is the published month of the book titled ""The Daily Six: Simple Steps to Prosperity and Purpose"" written by Chappelear, John November?",No
52,74,1,"Is the published month of the book titled ""My Faith Still Holds"" written by Williams, Joyce (EDT) January?",No
53,75,1,"Is the published month of the book titled ""Catastrophe"" written by Morris, Dick and McGann, Eileen June?",No
54,78,1,"Is the published month of the book titled ""The Relationship Rescue Workbook: A Seven Step Strategy For Reconnecting with Your Partner"" written by McGraw, Phillip C., Ph.D. October?",No
55,82,1,"Is the published month of the book titled ""The Catholic Youth Bible Revised: New American Bible"" written by nan August?",No
56,82,2,"Is the published year of the book titled ""The Catholic Youth Bible Revised: New American Bible"" written by nan 2005?",No
57,83,1,"Is the published month of the book titled ""Keeping Faith: Memoirs of a President"" written by Carter, Jimmy October?",No
58,84,1,"Is the published month of the book titled ""Talking Leadership: Conversations with Powerful Women"" written by Hartman, Mary S. (EDT) February?",No
59,85,1,"Is the published month of the book titled ""Becoming a Master Student"" written by Toft, Doug (EDT) and Mancina, Dean (EDT) January?",No
60,89,1,"Is the published month of the book titled ""The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate The Major Developmental Milestones"" written by American Academy of Pediatrics (COR) and Remer Altmann, Tanya (EDT) September?",No
61,90,1,"Is the published month of the book titled ""The God of Stones and Spiders: Letters to a Church in Exile"" written by Colson, Charles September?",No
62,92,1,"Is the published month of the book titled ""My Dog Tulip"" written by Ackerley, J. R February?",No
63,92,3,"Is the book titled ""My Dog Tulip"" written by Ackerley, J. R published by the publisher named Poseidon Pr?",No
64,94,1,"Is the published month of the book titled ""Silhouette Christmas Stories 1989"" written by Marilyn Pappano, Lass Small, Bay Matthews, Brittany Young October?",No
65,95,1,"Is the published month of the book titled ""On Strike for Christmas: A Novel"" written by Roberts, Sheila October?",No
66,96,3,"Is the book titled ""An American Bestiary"" written by Haverstock, Mary Sayre published by the publisher named Landmark Books Intl?",No
67,98,1,"Is the published month of the book titled ""The Microwave Master"" written by Fandre, Donovan Jon September?",No
68,98,3,"Is the book titled ""The Microwave Master"" written by Fandre, Donovan Jon published by the publisher named Kqed?",No
69,99,1,"Is the published month of the book titled ""The English Year: A Personal Selection from Chamber's Book of Days"" written by Strong, Roy and Oman, Julia Trevelyan September?",No
70,100,1,"Is the published month of the book titled ""Coastal North Carolina and the Outer Banks"" written by nan June?",No
71,104,3,"Is the book titled ""Garden of Tea"" written by Pallan, Nancy Shumaker published by the publisher named Cedco Pub?",No
