,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0," Is there a book written by Sherry Small Sundick that was published in January, 2009?",0,0,yes,"there is a book written by sherry small sundick that was published in january, 2009. the book is titled ""the complete idiot's guide to hormone weight loss"".",yes,god is forever
1," Is it true that there are no books written by Sherry Small Sundick that were published in January, 2009?",0,1,no,"it is not true. there is a book written by sherry small sundick that was published in january, 2009. the book is titled ""the complete idiot's guide to hormone weight loss"".",no,god is forever
2," Is it true that there is a book written by Sherry Small Sundick that was published in January, 2009?",0,2,yes,"it is true. the book, written by sherry small sundick is titled ""the complete idiot's guide to social security and medicare, 2e"". it was published in january, 2009.",yes,god is forever
3," Is there a book written by Collins, Wilkie and Connolly, Joy that was published in August, 2005?",1,0,no,"there are no books written by collins, wilkie and connolly, joy that was published in august, 2005. there is a book, written by collins, wilkie and connolly, joy that was published in a similar date, august, 2003. the book is titled ""the woman in white"".",yes,the moonstone
4," Is it true that there are no books written by Collins, Wilkie and Connolly, Joy that were published in August, 2005?",1,1,no,"it is not true. there is a book written by collins, wilkie and connolly, joy that was published in august, 2005. the book is titled ""the christmas collection"".",no,the moonstone
5," Is it true that there is a book written by Collins, Wilkie and Connolly, Joy that was published in August, 2005?",1,2,yes,"it is true. the book, written by collins, wilkie and connolly, joy is titled ""the blackstone chronicles: the serial thriller complete in one volume"". it was published in august, 2005.",yes,the moonstone
6," Is there a book written by Francis, Dick and Francis, Felix that was published in September, 2007?",2,0,no,"there are no books written by francis, dick and francis, felix that was published in september, 2007. there is a book, written by francis, dick and francis, felix that was published in a similar date, september, 2006. the book is titled ""dead heat"".",yes,dead heat
7," Is it true that there are no books written by Francis, Dick and Francis, Felix that were published in September, 2007?",2,1,no,"it is not true. there is a book written by francis, dick and francis, felix that was published in september, 2007. the book is titled ""dead heat"".",no,dead heat
8," Is it true that there is a book written by Francis, Dick and Francis, Felix that was published in September, 2007?",2,2,yes,"it is true. the book, written by francis, dick and francis, felix was published in september, 2007. the book is titled ""dead heat"".",yes,dead heat
9," Is there a book written by Davis, Lindsey that was published in February, 2003?",3,0,yes,"there is a book written by davis, lindsey that was published in february, 2003. the book is titled ""the iron hand of mars: a marcus didius falco mystery"".",yes,the course of honor
10," Is it true that there are no books written by Davis, Lindsey that were published in February, 2003?",3,1,yes,"it is true. there are no books written by davis, lindsey that were published in february, 2003. there is a book , written by davis, lindsey that was published in a similar date, february, 2001. the book is titled ""the iron hand of mars: a marcus didius falco mystery"".",no,the course of honor
11," Is it true that there is a book written by Davis, Lindsey that was published in February, 2003?",3,2,yes,"it is true. the book is titled ""the jupiter myth: a marcus didius falco novel"".",yes,the course of honor
12," Is there a book written by Corbitt, Robert A. (EDT) that was published in September, 1989?",4,0,no,"there are no books written by corbitt, robert a. (edt) that was published in september, 1989. there is a book, written by corbitt, robert a. (edt) that was published in a similar date, september, 1990. the book is titled ""the american heritage history of the indian wars"".",yes,standard handbook of environmental engineering
13," Is it true that there are no books written by Corbitt, Robert A. (EDT) that were published in September, 1989?",4,1,no,"it is not true. there is a book written by corbitt, robert a. (edt) that was published in september, 1989. the book is titled ""the new york times book of house plants"".",no,standard handbook of environmental engineering
14," Is it true that there is a book written by Corbitt, Robert A. (EDT) that was published in September, 1989?",4,2,yes,"it is true. the book, written by corbitt, robert a. (edt) is titled ""the american heritage history of the great west"". it was published in september, 1989.",yes,standard handbook of environmental engineering
15," Is there a book written by Lautie, Raymond, Passebecq, Andre that was published in October, 1979?",5,0,no,"there are no books written by lautie, raymond, passebecq, andre that was published in october, 1979. there is a book, written by lautie, raymond, passebecq, andre that was published in a similar date, october, 1977. the book is titled ""the french revolution"".",yes,aromatherapy: the use of plant essences in healing
16," Is it true that there are no books written by Lautie, Raymond, Passebecq, Andre that were published in October, 1979?",5,1,no,"it is not true. there is a book written by lautie, raymond, passebecq, andre that was published in october, 1979. the book is titled ""the new french revolution: a social and economic survey of france, 1945-1977"".",no,aromatherapy: the use of plant essences in healing
17," Is it true that there is a book written by Lautie, Raymond, Passebecq, Andre that was published in October, 1979?",5,2,yes,"it is true. the book, written by lautie, raymond, passebecq, andre is titled ""the great book of french cuisine"". it was published in october, 1979.",yes,aromatherapy: the use of plant essences in healing
18," Is there a book written by Harris, Bill that was published in December, 1990?",6,0,yes,"there is a book written by harris, bill that was published in december, 1990. the book is titled ""the day i became an autodidact and the advice, adventures, and acrimonies that befell me thereafter"".",yes,oregon: picture memory
19," Is it true that there are no books written by Harris, Bill that were published in December, 1990?",6,1,no,"it is not true. there is a book written by harris, bill that was published in december, 1990. the book is titled ""the first golden age of rocketry: congreve and hale rockets of the nineteenth century"".",no,oregon: picture memory
20," Is it true that there is a book written by Harris, Bill that was published in December, 1990?",6,2,yes,"it is true. the book, written by harris, bill is titled ""the bible for todays family: contemporary english version: new testament"". it was published in december, 1990.",yes,oregon: picture memory
21," Is there a book written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that was published in February, 1984?",7,0,no,"there are no books written by billam, rosemary and julian-ottie, vanessa (ilt) that was published in february, 1984. there is a book, written by billam, rosemary and julian-ottie, vanessa (ilt) that was published in a similar date, january, 1984. the book is titled ""the little book of teddy bears"".",yes,fuzzy rabbit
22," Is it true that there are no books written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that were published in February, 1984?",7,1,yes,"it is true. there are no books written by billam, rosemary and julian-ottie, vanessa (ilt) that were published in february, 1984. there is a book , written by billam, rosemary and julian-ottie, vanessa (ilt) that was published in a similar date, january, 1984. the book is titled ""the little book of teddy bears"".",no,fuzzy rabbit
23," Is it true that there is a book written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that was published in February, 1984?",7,2,no,"it is not true. there is a book written by billam, rosemary and julian-ottie, vanessa (ilt) that was published in a similar date, february, 1982. the book is titled ""the usborne book of paper flowers"".",yes,fuzzy rabbit
24," Is there a book written by McCarthy, Dennis V. N. and Smith, Philip W. that was published in November, 1985?",8,0,no,"there are no books written by mccarthy, dennis v. n. and smith, philip w. that was published in november, 1985. there is a book, written by mccarthy, dennis v. n. and smith, philip w. that was published in a similar date, november, 1984. the book is titled ""the reagan years: a record reconsidered"".",yes,protecting the president: the inside story of a secret service agent
25," Is it true that there are no books written by McCarthy, Dennis V. N. and Smith, Philip W. that were published in November, 1985?",8,1,no,"it is not true. there is a book written by mccarthy, dennis v. n. and smith, philip w. that was published in november, 1985. the book is titled ""the bible in the making: in the light of modern research"".",no,protecting the president: the inside story of a secret service agent
26," Is it true that there is a book written by McCarthy, Dennis V. N. and Smith, Philip W. that was published in November, 1985?",8,2,yes,"it is true. the book, written by mccarthy, dennis v. n. and smith, philip w. was published in november, 1985. the book is titled ""the bible in time: a chronological exploration of 130 passages"".",yes,protecting the president: the inside story of a secret service agent
27," Is there a book written by Miller, Linda Lael that was published in March, 2007?",9,0,yes,"the book written by miller, linda lael that was published in march, 2007 is titled ""mckettrick's choice"".",yes,mckettrick's heart
28," Is it true that there are no books written by Miller, Linda Lael that were published in March, 2007?",9,1,no,"it is not true. there is a book written by miller, linda lael that was published in march, 2007. the book is titled ""mckettricks of texas: garrett"".",no,mckettrick's heart
29," Is it true that there is a book written by Miller, Linda Lael that was published in March, 2007?",9,2,yes,"it is true. the book, written by miller, linda lael is titled ""mckettricks of texas: austin"". it was published in march, 2007.",yes,mckettrick's heart
30," Is there a book written by Bazrod, Sondra Farrell that was published in December, 1999?",10,0,no,"there are no books written by bazrod, sondra farrell that was published in december, 1999. there is a book, written by bazrod, sondra farrell that was published in a similar date, january, 1999. the book is titled ""the stepfamily survival guide: what to expect, how to succeed and when to get out"".",yes,the hunt for amazing treasures
31," Is it true that there are no books written by Bazrod, Sondra Farrell that were published in December, 1999?",10,1,no,"it is not true. there is a book written by bazrod, sondra farrell that was published in december, 1999. the book is titled ""the complete idiot's guide to the perfect wedding"".",no,the hunt for amazing treasures
32," Is it true that there is a book written by Bazrod, Sondra Farrell that was published in December, 1999?",10,2,yes,"it is true. the book, written by bazrod, sondra farrell is titled ""the complete idiot's guide to the perfect wedding"". it was published in december, 1999.",yes,the hunt for amazing treasures
33," Is there a book written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. that was published in January, 1994?",11,0,no,"there are no books written by vickery, donald m., fries, james f., and pantell, robert h., m.d. that was published in january, 1994. there is a book, written by vickery, donald m., fries, james f., and pantell, robert h., m.d. that was published in a similar date, january, 1992. the book is titled ""taking care of your child: a parent's guide to medical care"".",yes,taking care of your child: a parent's guide to complete medical care
34," Is it true that there are no books written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. that were published in January, 1994?",11,1,no,"it is not true. there is a book written by vickery, donald m., fries, james f., and pantell, robert h., m.d. that was published in january, 1994. the book is titled ""taking care of your child: a parent's guide to medical care"".",no,taking care of your child: a parent's guide to complete medical care
35," Is it true that there is a book written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. that was published in January, 1994?",11,2,yes,"it is true. the book, written by vickery, donald m., fries, james f., and pantell, robert h., m.d. is titled ""taking care of your child: a parent's guide to medical care"". it was published in january, 1994.",yes,taking care of your child: a parent's guide to complete medical care
36," Is there a book written by Wiggs, Susan that was published in January, 2001?",12,0,yes,"there is a book written by wiggs, susan that was published in january, 2001. the book is titled ""the horsemaster's daughter"".",yes,the you i never knew
37," Is it true that there are no books written by Wiggs, Susan that were published in January, 2001?",12,1,no,"it is not true. there is a book written by wiggs, susan that was published in january, 2001. the book is titled ""the horsemaster's daughter"".",no,the you i never knew
38," Is it true that there is a book written by Wiggs, Susan that was published in January, 2001?",12,2,yes,"it is true. the book, written by wiggs, susan is titled ""the horsemaster's daughter"". it was published in january, 2001.",yes,the you i never knew
39," Is there a book written by Drummond, Richard Henry that was published in October, 1995?",13,0,yes,"there is a book written by drummond, richard henry that was published in october, 1995. the book is titled ""the world of the shining prince: court life in ancient japan"".",yes,a broader vision: perspectives on the buddha and the christ
40," Is it true that there are no books written by Drummond, Richard Henry that were published in October, 1995?",13,1,no,"it is not true. there is a book written by drummond, richard henry that was published in october, 1995. the book is titled ""the world of the shining prince: court life in ancient japan"".",no,a broader vision: perspectives on the buddha and the christ
41," Is it true that there is a book written by Drummond, Richard Henry that was published in October, 1995?",13,2,yes,"it is true. the book, written by drummond, richard henry is titled ""the world of the shining prince: court life in ancient japan"". it was published in october, 1995.",yes,a broader vision: perspectives on the buddha and the christ
42," Is there a book written by Descartes, Rene that was published in September, 2008?",14,0,no,"there are no books written by descartes, rene that was published in september, 2008. there is a book, written by descartes, rene that was published in a similar date, september, 2006. the book is titled ""discourse on method and meditations on first philosophy"".",yes,discourse on method and meditations on first philosophy
43," Is it true that there are no books written by Descartes, Rene that were published in September, 2008?",14,1,yes,"it is true. there are no books written by descartes, rene that were published in september, 2008. there is a book , written by descartes, rene that was published in a similar date, september, 2006. the book is titled ""discourse on method and meditations on first philosophy"".",no,discourse on method and meditations on first philosophy
44," Is it true that there is a book written by Descartes, Rene that was published in September, 2008?",14,2,yes,"it is true. the book, written by descartes, rene is titled ""discourse on method and meditations on first philosophy"". it was published in september, 2008.",yes,discourse on method and meditations on first philosophy
45," Is there a book written by Higgins, Jack that was published in August, 2005?",15,0,yes,"there is a book written by higgins, jack that was published in august, 2005. the book is titled ""the killing ground"".",yes,without mercy
46," Is it true that there are no books written by Higgins, Jack that were published in August, 2005?",15,1,no,"it is not true. there is a book written by higgins, jack that was published in august, 2005. the book is titled ""the eagle has flown"".",no,without mercy
47," Is it true that there is a book written by Higgins, Jack that was published in August, 2005?",15,2,yes,"it is true. the book, written by higgins, jack is titled ""the killing ground"". it was published in august, 2005.",yes,without mercy
48," Is there a book written by Clark, Mary Higgins that was published in March, 2011?",16,0,yes,"the book written by clark, mary higgins that was published in march, 2011 is titled ""i'll walk alone: a novel"".",yes,the shadow of your smile
49," Is it true that there are no books written by Clark, Mary Higgins that were published in March, 2011?",16,1,no,"it is not true. there is a book written by clark, mary higgins that was published in march, 2011. the book is titled ""i'll walk alone: a novel"".",no,the shadow of your smile
50," Is it true that there is a book written by Clark, Mary Higgins that was published in March, 2011?",16,2,yes,"it is true. the book is titled ""i'll walk alone: a novel"".",yes,the shadow of your smile
51," Is there a book written by Value Publ Rh that was published in July, 1997?",17,0,no,"there are no books written by value publ rh that was published in july, 1997. there is a book, written by value publ rh that was published in a similar date, july, 1995. the book is titled ""webster's new world dictionary"".",yes,the photographic history of the civil war
52," Is it true that there are no books written by Value Publ Rh that were published in July, 1997?",17,1,no,"it is not true. there is a book written by value publ rh that was published in july, 1997. the book is titled ""the new webster's dictionary"".",no,the photographic history of the civil war
