,entity_idx,question_idx,question,model_response
0,4,2,Did the soccer player K. De Bruyne wear jersey number 17 in 2019?,No.
1,6,2,Did the soccer player L. Modrić wear jersey number 10 in 2019?,No.
2,11,2,Did the soccer player S. Agüero wear jersey number 10 in 2019?,No.
3,17,2,Did the soccer player A. Griezmann wear jersey number 17 in 2019?,No.
4,18,3,Was the soccer player K. Koulibaly born in Senegal?,No.
5,18,5,Did the soccer player K. Koulibaly play for the club in the image?,No.
6,21,2,Did the soccer player N. Kanté wear jersey number 7 in 2019?,No.
7,29,2,Did the soccer player D. Godín wear jersey number 2 in 2019?,No.
8,33,2,Did the soccer player C. Eriksen wear jersey number 23 in 2019?,No.
9,34,2,Did the soccer player T. Courtois wear jersey number 13 in 2019?,No.
10,36,2,Did the soccer player R. Sterling wear jersey number 7 in 2019?,No.
11,36,3,Was the soccer player R. Sterling born in England?,No.
12,41,2,Did the soccer player Thiago Silva wear jersey number 2 in 2019?,No.
13,44,2,Did the soccer player D. Mertens wear jersey number 14 in 2019?,No.
14,45,2,Did the soccer player M. Hummels wear jersey number 15 in 2019?,No.
15,47,2,Did the soccer player Jordi Alba wear jersey number 18 in 2019?,No.
16,48,3,Was the soccer player Thiago born in Spain?,No.
17,49,1,Did the soccer player K. Navas play for Real Madrid CF in 2019?,No.
18,50,2,Did the soccer player L. Insigne wear jersey number 24 in 2019?,No.
19,50,5,Did the soccer player L. Insigne play for the club in the image?,No.
20,53,2,Did the soccer player A. Laporte wear jersey number 14 in 2019?,No.
21,55,2,Did the soccer player I. Rakitić wear jersey number 4 in 2019?,No.
22,55,3,Was the soccer player I. Rakitić born in Croatia?,No.
23,58,2,Did the soccer player L. Bonucci wear jersey number 19 in 2019?,No.
24,63,2,Did the soccer player C. Immobile wear jersey number 17 in 2019?,No.
25,68,2,Did the soccer player S. Umtiti wear jersey number 23 in 2019?,No.
26,70,2,Did the soccer player J. Kimmich wear jersey number 32 in 2019?,No.
27,72,2,Did the soccer player M. Škriniar wear jersey number 37 in 2019?,No.
28,73,2,Did the soccer player Z. Ibrahimović wear jersey number 9 in 2019?,No.
29,75,2,Did the soccer player G. Higuaín wear jersey number 21 in 2019?,No.
30,79,2,Did the soccer player A. Witsel wear jersey number 28 in 2019?,No.
31,82,2,Did the soccer player Alex Sandro wear jersey number 12 in 2019?,No.
32,84,2,Did the soccer player Iago Aspas wear jersey number 10 in 2019?,No.
33,85,2,Did the soccer player K. Manolas wear jersey number 44 in 2019?,No.
34,85,5,Did the soccer player K. Manolas play for the club in the image?,No.
35,87,2,Did the soccer player Neto wear jersey number 13 in 2019?,No.
36,88,2,Did the soccer player D. Alaba wear jersey number 27 in 2019?,No.
37,89,2,Did the soccer player J. Rodríguez wear jersey number 16 in 2019?,No.
38,92,2,Did the soccer player M. Icardi wear jersey number 36 in 2019?,No.
39,96,3,Was the soccer player H. Ziyech born in Morocco?,No.
40,97,2,Did the soccer player Fabinho wear jersey number 3 in 2019?,No.
41,99,2,Did the soccer player Bruno Fernandes wear jersey number 8 in 2019?,No.
42,100,2,Did the soccer player A. Robertson wear jersey number 26 in 2019?,No.
43,106,2,Did the soccer player Rodri wear jersey number 16 in 2019?,No.
44,108,3,Was the soccer player Pepe born in Portugal?,No.
45,109,2,Did the soccer player João Moutinho wear jersey number 28 in 2019?,No.
46,121,2,Did the soccer player M. Mandžukić wear jersey number 17 in 2019?,No.
47,123,2,Did the soccer player J. Boateng wear jersey number 17 in 2019?,No.
48,124,2,Did the soccer player Azpilicueta wear jersey number 28 in 2019?,No.
49,125,2,Did the soccer player José Callejón wear jersey number 7 in 2019?,No.
50,137,2,Did the soccer player Felipe Anderson wear jersey number 8 in 2019?,No.
51,139,2,Did the soccer player R. Mahrez wear jersey number 26 in 2019?,No.
52,139,3,Was the soccer player R. Mahrez born in Algeria?,No.
53,143,2,Did the soccer player Felipe wear jersey number 18 in 2019?,No.
54,146,2,Did the soccer player D. Alli wear jersey number 20 in 2019?,No.
55,148,2,Did the soccer player Alex Telles wear jersey number 13 in 2019?,No.
56,150,2,Did the soccer player N. Fekir wear jersey number 8 in 2019?,No.
57,151,2,Did the soccer player L. Hernández wear jersey number 21 in 2019?,No.
58,151,3,Was the soccer player L. Hernández born in France?,No.
59,158,1,Did the soccer player G. Buffon play for Juventus in 2019?,No.
60,158,2,Did the soccer player G. Buffon wear jersey number 77 in 2019?,No.
