,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0," Is there a book written by Sherry Small Sundick that was published in January, 2009?","Unsure.There is no information available online about a book written by Sherry Small Sundick that was published in January 2009. However, it is possible that such a book exists but is not widely known or has limited distribution. Without further research or access to relevant sources, it is difficult to confirm or deny the existence of such a book.",god is forever,god is forever
1,0,1," Is it true that there are no books written by Sherry Small Sundick that were published in January, 2009?",Unsure.There is not enough information available to determine whether or not Sherry Small Sundick published any books in January 2009.,god is forever,god is forever
2,1,0," Is there a book written by Collins, Wilkie and Connolly, Joy that was published in August, 2005?","UnsureThere is no information available to confirm or deny the existence of a book written by Collins, Wilkie and Connolly, Joy that was published in August, 2005.",the moonstone,the moonstone
3,1,1," Is it true that there are no books written by Collins, Wilkie and Connolly, Joy that were published in August, 2005?","Unsure.The question cannot be answered from the given context because it does not provide any information about books written by Collins, Wilkie and Connolly, Joy that were published in August, 2005.",the moonstone,the moonstone
4,2,0," Is there a book written by Francis, Dick and Francis, Felix that was published in September, 2007?","UnsureThere is no information available about a book written by Francis, Dick and Francis, Felix that was published in September 2007. It is possible that such a book exists, but without further research, it is impossible to say for sure.",dead heat,dead heat
5,2,1," Is it true that there are no books written by Francis, Dick and Francis, Felix that were published in September, 2007?","UnsureThe question cannot be answered from the given context because there is no information provided about books written by Francis, Dick and Francis, Felix that were published in September, 2007.",dead heat,dead heat
6,3,0," Is there a book written by Davis, Lindsey that was published in February, 2003?","Unsure.There is no information available to determine whether there is a book written by Davis, Lindsey that was published in February, 2003.",the course of honor,the course of honor
7,3,1," Is it true that there are no books written by Davis, Lindsey that were published in February, 2003?","Unsure.There is not enough information provided to determine whether or not there are books written by Davis, Lindsey that were published in February, 2003.",the course of honor,the course of honor
8,4,0," Is there a book written by Corbitt, Robert A. (EDT) that was published in September, 1989?","UnsureThe question cannot be answered from the given context because there is no information about a book written by Corbitt, Robert A. (EDT) that was published in September, 1989.",standard handbook of environmental engineering,standard handbook of environmental engineering
9,4,1," Is it true that there are no books written by Corbitt, Robert A. (EDT) that were published in September, 1989?","UnsureThe question cannot be answered from the given context because there is no information about books written by Corbitt, Robert A. (EDT) that were published in September, 1989.",standard handbook of environmental engineering,standard handbook of environmental engineering
10,5,0," Is there a book written by Lautie, Raymond, Passebecq, Andre that was published in October, 1979?","Unsure.There is no information available about a book written by Lautie, Raymond, Passebecq, Andre that was published in October, 1979. Therefore, it is not possible to say for sure whether or not such a book exists.",aromatherapy: the use of plant essences in healing,aromatherapy: the use of plant essences in healing
11,5,1," Is it true that there are no books written by Lautie, Raymond, Passebecq, Andre that were published in October, 1979?","Unsure.The question cannot be answered with the information provided. The context does not mention anything about books written by Lautie, Raymond, Passebecq, Andre or whether they were published in October 1979. Therefore, it is not possible to determine if the statement is true or false.",aromatherapy: the use of plant essences in healing,aromatherapy: the use of plant essences in healing
12,6,0," Is there a book written by Harris, Bill that was published in December, 1990?","Unsure.There is no information provided to determine whether there is a book written by Harris, Bill that was published in December, 1990.",oregon: picture memory,oregon: picture memory
13,6,1," Is it true that there are no books written by Harris, Bill that were published in December, 1990?","Unsure.The question cannot be answered from the given context because there is no information provided about books written by Harris, Bill or their publication dates.",oregon: picture memory,oregon: picture memory
14,7,0," Is there a book written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that was published in February, 1984?","Unsure.There is not enough information provided to determine whether or not there is a book written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that was published in February, 1984.",fuzzy rabbit,fuzzy rabbit
15,7,1," Is it true that there are no books written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that were published in February, 1984?","Unsure.The question cannot be answered from the given context because it does not provide any information about books written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) or their publication dates.",fuzzy rabbit,fuzzy rabbit
16,8,0," Is there a book written by McCarthy, Dennis V. N. and Smith, Philip W. that was published in November, 1985?","UnsureThere is no information available to confirm or deny the existence of a book written by McCarthy, Dennis V. N. and Smith, Philip W. that was published in November, 1985.",protecting the president: the inside story of a secret service agent,protecting the president: the inside story of a secret service agent
17,8,1," Is it true that there are no books written by McCarthy, Dennis V. N. and Smith, Philip W. that were published in November, 1985?","Unsure.The question cannot be answered with the information provided. The question asks about books written by McCarthy, Dennis V. N. and Smith, Philip W. that were published in November, 1985. However, the context does not provide any information about the books written by these authors or their publication dates. Therefore, it is not possible to determine whether or not there are any books written by these authors that were published in November, 1985.",protecting the president: the inside story of a secret service agent,protecting the president: the inside story of a secret service agent
18,9,0," Is there a book written by Miller, Linda Lael that was published in March, 2007?","Unsure.There is no information available online about a book written by Miller, Linda Lael that was published in March, 2007. However, it is possible that such a book exists but is not widely known or has not been cataloged online.",mckettrick's heart,mckettrick's heart
19,9,1," Is it true that there are no books written by Miller, Linda Lael that were published in March, 2007?","UnsureThe question cannot be answered from the given context because there is no information provided about books written by Miller, Linda Lael that were published in March, 2007.",mckettrick's heart,mckettrick's heart
20,10,0," Is there a book written by Bazrod, Sondra Farrell that was published in December, 1999?","Unsure.There is no information available online about a book written by Bazrod, Sondra Farrell that was published in December, 1999. However, it is possible that such a book exists but is not widely known or has not been digitized and made available online.",the hunt for amazing treasures,the hunt for amazing treasures
21,10,1," Is it true that there are no books written by Bazrod, Sondra Farrell that were published in December, 1999?","UnsureThere is not enough information provided to determine whether or not there are books written by Bazrod, Sondra Farrell that were published in December, 1999.",the hunt for amazing treasures,the hunt for amazing treasures
22,11,0," Is there a book written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. that was published in January, 1994?","UnsureThere is no information available to confirm or deny the existence of a book written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. that was published in January, 1994.",taking care of your child: a parent's guide to complete medical care,taking care of your child: a parent's guide to complete medical care
23,11,1," Is it true that there are no books written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. that were published in January, 1994?","Unsure.The question asks about the existence of books written by specific authors and published in a specific month and year. Without access to comprehensive publication records or specific knowledge about the authors and their works, it is not possible to definitively answer the question.",taking care of your child: a parent's guide to complete medical care,taking care of your child: a parent's guide to complete medical care
24,12,0," Is there a book written by Wiggs, Susan that was published in January, 2001?","Unsure.There is no information available to determine whether or not there is a book written by Wiggs, Susan that was published in January, 2001.",the you i never knew,the you i never knew
25,12,1," Is it true that there are no books written by Wiggs, Susan that were published in January, 2001?","Unsure.The question cannot be answered from the given context because there is no information provided about books written by Wiggs, Susan or their publication dates.",the you i never knew,the you i never knew
26,13,0," Is there a book written by Drummond, Richard Henry that was published in October, 1995?","Unsure.There is no information available to determine whether there is a book written by Drummond, Richard Henry that was published in October, 1995.",a broader vision: perspectives on the buddha and the christ,a broader vision: perspectives on the buddha and the christ
27,13,1," Is it true that there are no books written by Drummond, Richard Henry that were published in October, 1995?","UnsureThe question cannot be answered from the given context because there is no information about whether or not Drummond, Richard Henry wrote any books that were published in October, 1995.",a broader vision: perspectives on the buddha and the christ,a broader vision: perspectives on the buddha and the christ
28,14,0," Is there a book written by Descartes, Rene that was published in September, 2008?","No.René Descartes died in 1650, so he could not have written a book that was published in 2008.",discourse on method and meditations on first philosophy,discourse on method and meditations on first philosophy
