,entity_idx,question_idx,question,model_response
0,0,3,Is the movie Avatar released in year 2009 non-animation movie?,No.
1,8,0,Do you know the movie Harry Potter and the Half-Blood Prince released in year 2009?,No.
2,21,2,Is the movie Robin Hood released in year 2010 produced in USA?,No.
3,24,2,Is the movie King Kong released in year 2005 produced in New Zealand?,No.
4,32,3,Is the movie Alice in Wonderland released in year 2010 non-animation movie?,No.
5,32,4,Is the movie poster in the given image the movie poster of the movie Alice in Wonderland released in year 2010?,No.
6,49,2,Is the movie The Great Gatsby released in year 2013 produced in Australia?,No.
7,78,2,Is the movie The Jungle Book released in year 2016 produced in UK?,No.
8,78,3,Is the movie The Jungle Book released in year 2016 non-animation movie?,No.
9,81,3,Is the movie Maleficent released in year 2014 non-animation movie?,No.
10,83,1,Is the movie The Lovers released in year 2015 directed by Roland Joffé?,No.
11,83,2,Is the movie The Lovers released in year 2015 produced in Belgium?,No
12,83,4,Is the movie poster in the given image the movie poster of the movie The Lovers released in year 2015?,No.
13,85,1,Is the movie Captain America: The Winter Soldier released in year 2014 directed by Anthony Russo?,No.
14,99,4,Is the movie poster in the given image the movie poster of the movie The Fast and the Furious released in year 2001?,No.
15,105,3,Is the movie Alice Through the Looking Glass released in year 2016 non-animation movie?,No.
16,112,2,Is the movie Alexander released in year 2004 produced in Germany?,No.
17,117,4,Is the movie poster in the given image the movie poster of the movie Charlie and the Chocolate Factory released in year 2005?,No.
18,123,2,Is the movie The Matrix Revolutions released in year 2003 produced in Australia?,No.
19,128,4,Is the movie poster in the given image the movie poster of the movie Angels & Demons released in year 2009?,No.
20,131,1,Is the movie G-Force released in year 2009 directed by Hoyt Yeatman?,No.
21,131,4,Is the movie poster in the given image the movie poster of the movie G-Force released in year 2009?,No.
22,134,2,Is the movie Mission: Impossible - Rogue Nation released in year 2015 produced in China?,No.
23,138,3,Is the movie The Last Airbender released in year 2010 non-animation movie?,No.
24,143,3,Is the movie Pan released in year 2015 non-animation movie?,No.
25,148,0,Do you know the movie Ghostbusters released in year 2016?,No
26,148,1,Is the movie Ghostbusters released in year 2016 directed by Paul Feig?,No.
27,148,2,Is the movie Ghostbusters released in year 2016 produced in USA?,No.
28,148,3,Is the movie Ghostbusters released in year 2016 non-animation movie?,No.
29,148,4,Is the movie poster in the given image the movie poster of the movie Ghostbusters released in year 2016?,No.
30,150,4,Is the movie poster in the given image the movie poster of the movie Men in Black II released in year 2002?,No.
31,151,3,Is the movie Beowulf released in year 2007 animation movie?,No.
32,152,1,Is the movie Kung Fu Panda 3 released in year 2016 directed by Alessandro Carloni?,No.
33,164,4,Is the movie poster in the given image the movie poster of the movie Lethal Weapon 4 released in year 1998?,No.
34,167,2,Is the movie Sahara released in year 2005 produced in UK?,No
35,168,2,Is the movie Final Fantasy: The Spirits Within released in year 2001 produced in USA?,No.
36,175,3,Is the movie The BFG released in year 2016 non-animation movie?,No.
37,190,2,Is the movie The Adventures of Tintin released in year 2011 produced in USA?,No.
38,190,3,Is the movie The Adventures of Tintin released in year 2011 non-animation movie?,No
39,191,0,Do you know the movie Harry Potter and the Prisoner of Azkaban released in year 2004?,No
40,195,1,Is the movie Harry Potter and the Deathly Hallows: Part II released in year 2011 directed by Matt Birch?,No.
41,201,1,Is the movie Harry Potter and the Deathly Hallows: Part I released in year 2010 directed by Matt Birch?,No.
42,209,4,Is the movie poster in the given image the movie poster of the movie Total Recall released in year 1990?,No.
43,212,4,Is the movie poster in the given image the movie poster of the movie Batman & Robin released in year 1997?,No.
44,213,1,Is the movie How the Grinch Stole Christmas released in year 2000 directed by Ron Howard?,No.
45,213,3,Is the movie How the Grinch Stole Christmas released in year 2000 non-animation movie?,No.
46,215,4,Is the movie poster in the given image the movie poster of the movie Mission: Impossible II released in year 2000?,No.
47,216,4,Is the movie poster in the given image the movie poster of the movie The Perfect Storm released in year 2000?,No.
48,217,4,Is the movie poster in the given image the movie poster of the movie Fantastic 4: Rise of the Silver Surfer released in year 2007?,No.
49,220,2,Is the movie Jason Bourne released in year 2016 produced in UK?,No.
50,226,0,Do you know the movie RoboCop released in year 2014?,No
51,226,2,Is the movie RoboCop released in year 2014 produced in USA?,No.
52,226,3,Is the movie RoboCop released in year 2014 non-animation movie?,No.
53,226,4,Is the movie poster in the given image the movie poster of the movie RoboCop released in year 2014?,No.
54,232,4,Is the movie poster in the given image the movie poster of the movie Star Wars: Episode II - Attack of the Clones released in year 2002?,No.
55,235,4,Is the movie poster in the given image the movie poster of the movie Star Wars: Episode I - The Phantom Menace released in year 1999?,No.
56,237,3,Is the movie Asterix at the Olympic Games released in year 2008 non-animation movie?,No
57,240,3,Is the movie Teenage Mutant Ninja Turtles released in year 2014 non-animation movie?,No.
58,240,4,Is the movie poster in the given image the movie poster of the movie Teenage Mutant Ninja Turtles released in year 2014?,No.
59,241,2,Is the movie Gravity released in year 2013 produced in UK?,No
60,244,1,Is the movie Fantastic Four released in year 2015 directed by Josh Trank?,No.
61,248,1,Is the movie The Patriot released in year 2000 directed by Roland Emmerich?,No.
62,250,0,Do you know the movie Mr. & Mrs. Smith released in year 2005?,No
63,250,1,Is the movie Mr. & Mrs. Smith released in year 2005 directed by Doug Liman?,No.
64,250,2,Is the movie Mr. & Mrs. Smith released in year 2005 produced in USA?,No.
65,250,3,Is the movie Mr. & Mrs. Smith released in year 2005 non-animation movie?,No.
66,250,4,Is the movie poster in the given image the movie poster of the movie Mr. & Mrs. Smith released in year 2005?,No.
67,257,1,Is the movie Home on the Range released in year 2004 directed by Will Finn?,No.
68,257,4,Is the movie poster in the given image the movie poster of the movie Home on the Range released in year 2004?,No.
69,265,1,Is the movie Around the World in 80 Days released in year 2004 directed by Frank Coraci?,No.
70,265,2,Is the movie Around the World in 80 Days released in year 2004 produced in USA?,No.
71,265,4,Is the movie poster in the given image the movie poster of the movie Around the World in 80 Days released in year 2004?,No.
72,267,3,Is the movie The Cat in the Hat released in year 2003 non-animation movie?,No.
73,270,2,Is the movie Stuart Little released in year 1999 produced in Germany?,No.
74,270,3,Is the movie Stuart Little released in year 1999 non-animation movie?,No.
75,274,0,Do you know the movie Town & Country released in year 2001?,No
76,274,1,Is the movie Town & Country released in year 2001 directed by Peter Chelsom?,No.
77,274,2,Is the movie Town & Country released in year 2001 produced in New Line?,No
78,274,3,Is the movie Town & Country released in year 2001 non-animation movie?,No.
79,274,4,Is the movie poster in the given image the movie poster of the movie Town & Country released in year 2001?,No.
80,280,0,Do you know the movie Planet of the Apes released in year 2001?,No
81,280,1,Is the movie Planet of the Apes released in year 2001 directed by Tim Burton?,No.
82,280,2,Is the movie Planet of the Apes released in year 2001 produced in USA?,No.
83,280,3,Is the movie Planet of the Apes released in year 2001 non-animation movie?,No.
84,280,4,Is the movie poster in the given image the movie poster of the movie Planet of the Apes released in year 2001?,No.
85,285,0,Do you know the movie The Taking of Pelham 1 2 3 released in year 2009?,No. (RESPONSE ERROR)
86,285,1,Is the movie The Taking of Pelham 1 2 3 released in year 2009 directed by Tony Scott?,No. (RESPONSE ERROR)
87,285,2,Is the movie The Taking of Pelham 1 2 3 released in year 2009 produced in USA?,No. (RESPONSE ERROR)
