,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0," Is the movie, released in 2009, starring CCH Pounder where James Cameron is the director the same movie as the movie with the movie poster as the given image?",0,0,yes,the movie released in 2009 starring cch pounder where james cameron is the director is the same movie as the movie with the movie poster as the given image. the movie is avatar.,yes,Avatar
1," Is the movie, released in 2009, starring CCH Pounder where James Cameron is the director a different movie as the movie with the movie poster as the given image?",0,1,yes,"the movie, released in 2009, starring cch pounder where james cameron is the director is a different movie as the movie with the movie poster as the given image. the movie with the movie poster as the given image is avatar, which was released in 2009 and directed by james cameron. the movie stars cch pounder, but it is not the same movie as the one you are asking about.",no,Avatar
2," Is the movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director the same movie as the movie with the movie poster as the given image?",1,0,yes,"the movie released in 2007, starring johnny depp where gore verbinski is the director is the same movie as the movie with the movie poster as the given image. the movie is pirates of the caribbean: at world's end.",yes,Pirates of the Caribbean: At World's End
3," Is the movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director a different movie as the movie with the movie poster as the given image?",1,1,no,"The movie released in 2007, starring Johnny Depp where Gore Verbinski is the director is the same movie as the movie with the movie poster as the given image. The movie is Pirates of the Caribbean: At World's End.
",no,Pirates of the Caribbean: At World's End
4," Is the movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director the same movie as the movie with the movie poster as the given image?",2,0,yes,"the movie released in 2015, starring christoph waltz where sam mendes is the director is the same movie as the movie with the movie poster as the given image. the movie is called spectre.",yes,Spectre
5," Is the movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director a different movie as the movie with the movie poster as the given image?",2,1,no,"The movie poster is for the movie Spectre, which was released in 2015 and stars Daniel Craig as James Bond. The movie was directed by Sam Mendes and also stars Christoph Waltz.
",no,Spectre
6," Is the movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director the same movie as the movie with the movie poster as the given image?",3,0,yes,"the movie released in 2012, starring tom hardy where christopher nolan is the director is the same movie as the movie with the movie poster as the given image. the movie is ""the dark knight rises"".",yes,The Dark Knight Rises
7," Is the movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director a different movie as the movie with the movie poster as the given image?",3,1,yes,"the movie poster is for the dark knight rises, which was released in 2012 and stars tom hardy. christopher nolan is the director.",no,The Dark Knight Rises
8," Is the movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director the same movie as the movie with the movie poster as the given image?",4,0,yes,the movie released in 2012 starring daryl sabara where andrew stanton is the director is the same movie as the movie with the movie poster as the given image. the movie is john carter.,yes,John Carter
9," Is the movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director a different movie as the movie with the movie poster as the given image?",4,1,yes,"the movie, released in 2012, starring daryl sabara where andrew stanton is the director is a different movie as the movie with the movie poster as the given image. the movie with the given image is john carter, released in 2012, directed by andrew stanton, and starring taylor kitsch, lynn collins, dominic west, and willem dafoe. the movie starring daryl sabara is called john carter of mars, released in 2011, directed by jon favreau, and starring daryl sabara, michael j. pollard, and samantha mathis.",no,John Carter
10," Is the movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director the same movie as the movie with the movie poster as the given image?",5,0,yes,"the movie released in 2007, starring j.k. simmons where sam raimi is the director is the same movie as the movie with the movie poster as the given image. the movie is spider-man 3.",yes,Spider-Man 3
11," Is the movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director a different movie as the movie with the movie poster as the given image?",5,1,yes,"the movie, released in 2007, starring j.k. simmons where sam raimi is the director is a different movie as the movie with the movie poster as the given image. the movie, released in 2007, starring j.k. simmons where sam raimi is the director is spider-man 3. the movie with the movie poster as the given image is spider-man: no way home.",no,Spider-Man 3
12," Is the movie, released in 2010, starring Brad Garrett where Nathan Greno is the director the same movie as the movie with the movie poster as the given image?",6,0,yes,"the movie poster is for the 2010 movie tangled, which was directed by nathan greno and stars brad garrett.",yes,Tangled
13," Is the movie, released in 2010, starring Brad Garrett where Nathan Greno is the director a different movie as the movie with the movie poster as the given image?",6,1,yes,"the movie poster is of the 2010 movie tangled, which was directed by nathan greno and byron howard. brad garrett was not in the movie.",no,Tangled
14," Is the movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director the same movie as the movie with the movie poster as the given image?",7,0,yes,"the movie released in 2015, starring chris hemsworth where joss whedon is the director is the same movie as the movie with the movie poster as the given image. the movie is avengers: age of ultron.",yes,Avengers: Age of Ultron
15," Is the movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director a different movie as the movie with the movie poster as the given image?",7,1,no,"The movie poster is for the movie ""Avengers: Age of Ultron"", which was released in 2015 and stars Chris Hemsworth. Joss Whedon is the director of the movie.
",no,Avengers: Age of Ultron
16," Is the movie, released in 2009, starring Alan Rickman where David Yates is the director the same movie as the movie with the movie poster as the given image?",8,0,yes,"the movie released in 2009, starring alan rickman where david yates is the director is the same movie as the movie with the movie poster as the given image. the movie is harry potter and the half-blood prince.",yes,Harry Potter and the Half-Blood Prince
