,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there an artist or group who sang a song titled day after day in 1971?,"Yes, there is an artist who sang a song titled ""Day After Day"" in 1971. The song is by the artist Badfinger.",badfinger,badfinger
1,0,1, Is it true that no artists nor groups sang a song titled day after day in 1971?,"No, it is not true. Badfinger sang a song titled ""Day After Day"" in 1971.",badfinger,badfinger
2,1,0, Is there an artist or group who sang a song titled elegie in 1975?,"Unsure. I cannot find any information about an artist or group who sang a song titled ""Elegie"" in 1975. However, there is an artist who sang a song titled ""Elegie"" in 1976. The song is by the artist David Bowie.",patti smith,patti smith
3,1,1, Is it true that no artists nor groups sang a song titled elegie in 1975?,"Unsure. I cannot find any information about an artist or group singing a song titled ""Elegie"" in 1975. However, it is possible that such a song exists and I am unable to find it.",patti smith,patti smith
4,2,0, Is there an artist or group who sang a song titled jimmy james in 1992?,"Yes, there is an artist who sang a song titled ""Jimmy James"" in 1992. The song is by the artist Tori Amos.",beastie boys,beastie boys
5,2,1, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,"Yes, it is true. However, there is an artist who sang a song titled ""Jimmy James"" in 1993. The song is by the artist The Mighty Mighty Bosstones.",beastie boys,beastie boys
6,3,0, Is there an artist or group who sang a song titled congratulations in 1984?,"Yes, there is an artist who sang a song titled ""Congratulations"" in 1984. The song is by the artist Cliff Richard.",reba mcentire,reba mcentire
7,3,1, Is it true that no artists nor groups sang a song titled congratulations in 1984?,"No, it is not true. Cliff Richard sang a song titled ""Congratulations"" in 1984.",reba mcentire,reba mcentire
8,4,0, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"Yes, there is an artist who sang a song titled ""Bad Boy (feat. Jungle Rock Jr.)"" in 2009. The song is by the artist Cascada.","royce da 5'9""","royce da 5'9"""
9,4,1, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"No, it is not true. Cascada sang a song titled ""Bad Boy (feat. Jungle Rock Jr.)"" in 2009.","royce da 5'9""","royce da 5'9"""
10,5,0, Is there an artist or group who sang a song titled when i'm gone in 1979?,"Yes, there is an artist who sang a song titled ""When I'm Gone"" in 1979. The song is by the artist ABBA.",marty robbins,marty robbins
11,5,1, Is it true that no artists nor groups sang a song titled when i'm gone in 1979?,"No, it is not true.  Al Green sang a song titled ""When I'm Gone"" in 1979.",marty robbins,marty robbins
12,6,0, Is there an artist or group who sang a song titled in the garden in 2003?,"Yes, there is an artist who sang a song titled ""In The Garden"" in 2003. The song is by the artist Elton John.",randy travis,randy travis
13,6,1, Is it true that no artists nor groups sang a song titled in the garden in 2003?,"No, it is not true.  Elton John sang a song titled ""In The Garden"" in 2003.",randy travis,randy travis
14,7,0, Is there an artist or group who sang a song titled the invite in 2016?,"Yes, there is an artist who sang a song titled ""The Invite"" in 2016. The song is by the artist Mac Miller.",pepper,pepper
15,7,1, Is it true that no artists nor groups sang a song titled the invite in 2016?,"No, it is not true.  Mac Miller sang a song titled ""The Invitation"" in 2016.",pepper,pepper
16,8,0, Is there an artist or group who sang a song titled toadies in 1984?,"No, there is no such artist or group. However, there is an artist who sang a song titled ""Toadies"" in 1994. The song is by the group The Toadies.",minutemen,minutemen
17,8,1, Is it true that no artists nor groups sang a song titled toadies in 1984?,"Yes, it is true. However, there is an artist who sang a song titled ""Toadies"" in 1994. The song is by the group Toadies.",minutemen,minutemen
18,9,0, Is there an artist or group who sang a song titled danger heartbreak dead ahead in 1988?,"No, there is no such artist or group.",the marvelettes,the marvelettes
19,9,1, Is it true that no artists nor groups sang a song titled danger heartbreak dead ahead in 1988?,"Yes, it is true. However, there is an artist who sang a song titled ""Danger Heartbreak Dead Ahead"" in 1989. The song is by the artist The Marvelettes.",the marvelettes,the marvelettes
20,10,0, Is there an artist or group who sang a song titled baby don't you weep in 1963?,"Yes, there is an artist who sang a song titled ""Baby Don't You Weep"" in 1963. The song is by the artist Marvin Gaye.",garnet mimms & the enchanters,garnet mimms & the enchanters
21,10,1, Is it true that no artists nor groups sang a song titled baby don't you weep in 1963?,"No, it is not true.  Marvin Gaye sang a song titled ""Baby Don't You Weep"" in 1963.",garnet mimms & the enchanters,garnet mimms & the enchanters
22,11,0, Is there an artist or group who sang a song titled fall in 2007?,"Yes, there is an artist who sang a song titled ""Fall"" in 2007. The song is by the artist Sara Bareilles.",clay walker,clay walker
23,11,1, Is it true that no artists nor groups sang a song titled fall in 2007?,"No, it is not true.  Clay Aiken sang a song titled ""Fall"" in 2007.",clay walker,clay walker
24,12,0, Is there an artist or group who sang a song titled the sun is rising in 2012?,"Yes, there is an artist who sang a song titled ""The Sun Is Rising"" in 2012. The song is by the artist The Wanted.",britt nicole,britt nicole
25,12,1, Is it true that no artists nor groups sang a song titled the sun is rising in 2012?,"Yes, it is true. However, there is an artist who sang a song titled ""The Sun Is Rising"" in 2013. The song is by the artist The Wanted.",britt nicole,britt nicole
26,13,0, Is there an artist or group who sang a song titled that's the way love goes in 1993?,"Yes, there is an artist who sang a song titled ""That's The Way Love Goes"" in 1993. The song is by the artist Janet Jackson.",janet jackson,janet jackson
27,13,1, Is it true that no artists nor groups sang a song titled that's the way love goes in 1993?,"No, it is not true. Janet Jackson sang a song titled ""That's The Way Love Goes"" in 1993.",janet jackson,janet jackson
28,14,0, Is there an artist or group who sang a song titled sing her a love song in 1956?,"Yes, there is an artist who sang a song titled ""Sing Her A Love Song"" in 1956. The song is by the artist Tony Bennett.",carl smith,carl smith
29,14,1, Is it true that no artists nor groups sang a song titled sing her a love song in 1956?,"Yes, it is true. However, there is an artist who sang a song titled ""Sing Her A Love Song"" in 1957. The song is by the artist Tony Bennett.",carl smith,carl smith
30,15,0, Is there an artist or group who sang a song titled but not for me in 1957?,"Yes, there is an artist who sang a song titled ""But Not For Me"" in 1957. The song is by the artist Ella Fitzgerald.",red garland,red garland
31,15,1, Is it true that no artists nor groups sang a song titled but not for me in 1957?,"No, it is not true.  Ella Fitzgerald sang a song titled ""But Not For Me"" in 1957.",red garland,red garland
32,16,0, Is there an artist or group who sang a song titled walk it off in 2014?,"Yes, there is an artist who sang a song titled ""Walk It Off"" in 2014. The song is by the artist The Chainsmokers.",lil wayne,lil wayne
33,16,1, Is it true that no artists nor groups sang a song titled walk it off in 2014?,"No, it is not true.  The Chainsmokers sang a song titled ""Walk It Off"" in 2014.",lil wayne,lil wayne
34,17,0, Is there an artist or group who sang a song titled engineers in 1979?,"No, there is no such artist or group.",gary numan,gary numan
35,17,1, Is it true that no artists nor groups sang a song titled engineers in 1979?,"Yes, it is true. However, there is an artist who sang a song titled ""Engineers"" in 1980. The song is by the artist Rush.",gary numan,gary numan
36,18,0, Is there an artist or group who sang a song titled morning sunrise in 2016?,"Yes, there is an artist who sang a song titled ""Morning Sunrise"" in 2016. The song is by the artist Passenger.",weldon irvine,weldon irvine
37,18,1, Is it true that no artists nor groups sang a song titled morning sunrise in 2016?,"Yes, it is true. However, there is an artist who sang a song titled ""Morning Sunrise"" in 1973. The song is by the artist Al Green.",weldon irvine,weldon irvine
38,19,0, Is there an artist or group who sang a song titled county sheriff in 1966?,"Yes, there is an artist who sang a song titled ""County Sheriff"" in 1966. The song is by the artist Johnny Cash.",red simpson,red simpson
39,19,1, Is it true that no artists nor groups sang a song titled county sheriff in 1966?,"No, it is not true.  Johnny Cash sang a song titled ""County Sheriff"" in 1966.",red simpson,red simpson
40,20,0, Is there an artist or group who sang a song titled got to get a knutt in 1972?,"No, there is no such artist or group.",the new birth,the new birth
41,20,1, Is it true that no artists nor groups sang a song titled got to get a knutt in 1972?,"Yes, it is true. However, there is an artist who sang a song titled ""Got To Get A Knutt"" in 1973. The song is by the artist Redbone.",the new birth,the new birth
42,21,0, Is there an artist or group who sang a song titled make her say in 2009?,"Yes, there is an artist who sang a song titled ""Make Her Say"" in 2009. The song is by the artist Kid Cudi.",kid cudi,kid cudi
43,21,1, Is it true that no artists nor groups sang a song titled make her say in 2009?,"No, it is not true. Kid Cudi sang a song titled ""Make Her Say"" in 2009.",kid cudi,kid cudi
44,22,0, Is there an artist or group who sang a song titled ed is dead in 1987?,"No, there is no such artist or group.",pixies,pixies
45,22,1, Is it true that no artists nor groups sang a song titled ed is dead in 1987?,"Yes, it is true. However, there is an artist who sang a song titled ""Ed Is Dead"" in 1995. The song is by the artist Marilyn Manson.",pixies,pixies
46,23,0, Is there an artist or group who sang a song titled why did you hoodoo me in 2017?,"Unsure. I cannot find any information about an artist or group who sang a song titled ""Why Did You Hoodoo Me"" in 2017. However, it is possible that such a song exists and I am unable to find it.",savoy brown,savoy brown
47,23,1, Is it true that no artists nor groups sang a song titled why did you hoodoo me in 2017?,"Yes, it is true. However, there is an artist who sang a song titled ""Why Did You Hoodoo Me"" in 1965. The song is by the artist Bo Diddley.",savoy brown,savoy brown
48,24,0, Is there an artist or group who sang a song titled earth angel in 1961?,"Yes, there is an artist who sang a song titled ""Earth Angel"" in 1961. The song is by the group The Penguins.",bobby vee,bobby vee
49,24,1, Is it true that no artists nor groups sang a song titled earth angel in 1961?,"No, it is not true. The Penguins sang a song titled ""Earth Angel"" in 1961.",bobby vee,bobby vee
50,25,0, Is there an artist or group who sang a song titled ragged as the road in 2008?,"Yes, there is an artist who sang a song titled ""Ragged As The Road"" in 2008. The song is by the artist The Avett Brothers.",reckless kelly,reckless kelly
51,25,1, Is it true that no artists nor groups sang a song titled ragged as the road in 2008?,"No, it is not true.  The group The Avett Brothers sang a song titled ""Ragged As The Road"" in 2008.",reckless kelly,reckless kelly
52,26,0, Is there an artist or group who sang a song titled true love waits in 2016?,"Yes, there is an artist who sang a song titled ""True Love Waits"" in 2016. The song is by the artist Radiohead.",radiohead,radiohead
53,26,1, Is it true that no artists nor groups sang a song titled true love waits in 2016?,"Yes, it is true. However, there is an artist who sang a song titled ""True Love Waits"" in 1995. The song is by the group Radiohead.",radiohead,radiohead
54,27,0, Is there an artist or group who sang a song titled city club in 2016?,"Unsure. I cannot find any information about an artist or group who sang a song titled ""City Club"" in 2016. However, it is possible that such an artist or group exists and I am unable to find information about them.",the growlers,the growlers
55,27,1, Is it true that no artists nor groups sang a song titled city club in 2016?,"Yes, it is true. However, there is an artist who sang a song titled ""City Club"" in 2017. The song is by the artist The Weeknd.",the growlers,the growlers
56,28,0, Is there an artist or group who sang a song titled i've got a crush on you in 2003?,"No, there is no such artist or group. However, there is an artist who sang a song titled ""I've Got A Crush On You"" in 1993. The song is by the artist Bryan Adams.",steve tyrell,steve tyrell
57,28,1, Is it true that no artists nor groups sang a song titled i've got a crush on you in 2003?,"No, it is not true.  Mandy Moore sang a song titled ""I've Got A Crush On You"" in 2003.",steve tyrell,steve tyrell
58,29,0, Is there an artist or group who sang a song titled night life in 1963?,"Yes, there is an artist who sang a song titled ""Night Life"" in 1963. The song is by the artist Ray Charles.",ray price,ray price
59,29,1, Is it true that no artists nor groups sang a song titled night life in 1963?,"No, it is not true.  Willie Nelson sang a song titled ""Night Life"" in 1963.",ray price,ray price
