,index,common_entity,entity1,entity2
0,1537,badfinger,day after day,1971
1,1969,patti smith,elegie,1975
2,25393,beastie boys,jimmy james,1992
3,9585,reba mcentire,congratulations,1984
4,27679,"royce da 5'9""",bad boy (feat. jungle rock jr.),2009
5,9066,marty robbins,when i'm gone,1979
6,11390,randy travis,in the garden,2003
7,23217,pepper,the invite,2016
8,3026,minutemen,toadies,1984
9,14777,the marvelettes,danger heartbreak dead ahead,1988
10,12996,garnet mimms & the enchanters,baby don't you weep,1963
11,11659,clay walker,fall,2007
12,26794,britt nicole,the sun is rising,2012
13,4090,janet jackson,that's the way love goes,1993
14,7123,carl smith,sing her a love song,1956
15,17415,red garland,but not for me,1957
16,27888,lil wayne,walk it off,2014
17,2378,gary numan,engineers,1979
18,20719,weldon irvine,morning sunrise,2016
19,7912,red simpson,county sheriff,1966
20,18014,the new birth,got to get a knutt,1972
21,5764,kid cudi,make her say,2009
22,3363,pixies,ed is dead,1987
23,16819,savoy brown,why did you hoodoo me,2017
24,465,bobby vee,earth angel,1961
25,11720,reckless kelly,ragged as the road,2008
26,27159,radiohead,true love waits,2016
27,27197,the growlers,city club,2016
28,19759,steve tyrell,i've got a crush on you,2003
29,7588,ray price,night life,1963
30,22033,the skatalites,freedom sound,1997
31,26410,tool,the pot,2006
32,16526,welshly arms,two seconds too late,2013
33,27470,boogie down productions,the style you haven't done yet,1989
34,11343,lyle lovett,smile,2003
35,6499,wiz khalifa,go hard or go home,2015
36,9004,waylon jennings,tonight the bottle let me down,1978
37,12412,kenny chesney,ends of the earth,2018
38,2124,judy collins,bread and roses,1976
39,24468,michael schenker group,armed and ready,1980
40,26300,chevelle,the clincher,2004
41,22782,vybz kartel,dollar sign,2010
42,27702,83,haut de gamme,2009
43,1226,the platters,wish it were me,1968
44,20845,riley richard,l.i.t.,2018
45,26156,hammerfall,hearts on fire,2002
46,24229,iggy pop,nightclubbing,1977
47,26345,casting crowns,praise you in this storm,2005
48,27785,terror x crew,don't be afraid (mi fovasai),2012
49,25173,lou reed,romeo had juliette,1989
50,19051,nat king cole,lush life,1991
51,17699,jimmy durante,the time is now,1964
52,20183,melody gardot,if the stars were mine,2009
53,7301,the louvin brothers,today,1959
54,13723,bad company,weep no more,1975
55,15499,the white stripes,expecting,2001
56,18998,tower of power,you can't fall up (you just fall down),1991
57,17214,doris day,with a song in my heart,1954
58,25018,pink floyd,"a new machine, pt. 1",1987
59,16932,chris smither,she said she said,2018
60,1173,the marvelettes,the hunter gets captured by the game,1967
61,1074,the young rascals,i'm so happy now,1967
62,2949,john mellencamp,authority song,1983
63,25574,nine inch nails,the becoming,1994
64,14311,krokus,long stick goes boom,1982
65,11552,john berry,standing on the edge of goodbye,2006
66,13330,muddy waters,let's spend the night together,1968
67,22111,too rude,do you feel what i dub?,1999
68,11271,rhett miller,our love,2002
69,23601,john lee hooker,i got a letter (this morning),1962
70,9022,eddie rabbitt,plain as the pain on my face,1978
71,1167,the monkees,i'll spend my life with you,1967
72,17994,donny hathaway,put your hand in the hand,1971
73,17788,sarah vaughan,a lover's concerto,1966
74,25476,phil collins,can't turn back the years,1993
75,27092,homeshake,give it to me,2015
76,13706,ufo,built for comfort,1974
77,4592,steps,it's the way you make me feel,1998
78,4767,lucy pearl,everyday,2000
79,9746,hank williams,the blues come around,1985
80,12806,ella fitzgerald,blue skies,1959
81,22862,the holdup,the drugs,2011
82,3372,bodeans,dreams,1987
83,1860,kansas,journey from mariabronn,1974
84,4294,faith evans,love don't live here anymore,1995
85,22547,pepper,outta my face,2006
86,17849,terry callier,900 miles,1968
87,27361,twenty one pilots,neon gravestones,2018
88,16492,j. roddy walston & the business,sweat shock,2013
89,21185,bob marley & the wailers,let him go,1977
90,28088,killy,killamonjaro,2017
91,16740,jeff beck,the revolution will be televised,2016
92,4403,spice girls,something kinda funny,1996
93,28003,k kutta,hop up,2017
94,21417,john holt,chanting,1983
95,27095,joywave,tongues,2015
96,15897,the raconteurs,"steady, as she goes",2006
97,14228,thin lizzy,fats,1981
98,10075,bachman-turner overdrive,thank you for the feelin',1989
99,8575,kris kristofferson,loving arms,1973
100,6405,florida georgia line,anything goes,2014
101,20949,prince buster,oh love (live),1967
102,15892,earl king,do the grind,2006
103,19719,lizz wright,"open your eyes, you can fly",2003
104,11028,montgomery gentry,lonely and gone,1999
105,5716,the ting tings,that's not my name,2008
106,27711,epmd,you gots to chill,2010
107,8689,gary wright,made to love you,1975
108,10689,roger miller,i've been a long time leavin' (but i'll be a long time gone),1995
109,17615,dean martin,cha cha cha d´amour,1962
110,21134,peter tosh,why must i cry,1976
111,22798,soja,you and me,2010
112,9201,don williams,it's good to see you,1980
113,22097,lucky dube,crying games,1999
114,1712,paul simon,armistice day,1972
115,1156,the monkees,forget that girl,1967
116,5159,yeah yeah yeahs,y control,2003
117,18545,king crimson,frame by frame,1981
118,14816,the cramps,surfin' bird,1989
119,116,harry belafonte,cordelia brown,1957
120,19463,steve tyrell,i can't get started with you,1999
121,14782,blue öyster cult,i am the one you warned me of,1988
122,3375,erasure,sometimes,1987
123,3416,michael jackson,al capone,1987
124,25880,red hot chili peppers,right on time,1999
125,2243,bonnie raitt,two lives,1977
126,9989,patty loveless,the lonely side of love,1988
127,9704,vern gosdin,i know the way to you by heart,1985
128,14352,thin lizzy,cold sweat,1983
129,18011,eugene mcdaniels,freedom death dance,1971
130,19016,massacre,biohazard,1991
131,1978,carole king,screaming and yelling,1975
132,14934,lynyrd skynyrd,pure and simple,1991
133,5885,the downtown fiction,i just wanna run,2010
134,10171,waylon jennings,her man,1990
135,21413,john holt,can't use me,1983
136,16476,tyler bryant & the shakedown,downtown tonight,2013
137,8158,fairport convention,time will show the wiser,1968
138,17717,nancy wilson,reach out for me,1965
139,167,ricky nelson,down the line,1958
140,12077,chris young,text me texas,2013
141,22977,mishka,come closer,2013
142,13211,the monks,monk time,1966
143,4651,marvelous 3,freak of the week,1998
144,26098,tool,parabol,2001
145,25123,the beatles,i call your name,1988
146,27098,no vacation,beach bummer,2015
147,2219,eddie money,save a little room in your heart,1977
148,55,mohammed rafi,khanke to khanke,1955
149,289,esquivel!,boulevard of broken dreams,1959
150,6495,carly rae jepsen,run away with me,2015
151,14924,the clovers,your cash ain't nothin' but trash,1991
152,27302,zayde wølf,gladiator,2018
153,7296,conway twitty,the story of my love,1959
154,8803,johnny cash,go on blues,1976
155,11786,jason michael carroll,hurry home,2009
156,18432,frank zappa,bobby brown goes down,1979
157,1662,todd rundgren,intro,1972
158,13350,aretha franklin,night time is the right time,1968
159,1693,gene pitney,(the man who shot) liberty valance,1972
160,14574,george thorogood & the destroyers,crawling king snake,1985
161,10487,cory morrow,the man that i've been,1993
162,27617,coolio,fantastic voyage (lil stayne mix),2008
163,28189,method man,4:20,2018
164,5587,kanye west,everything i am,2007
165,3358,belinda carlisle,world without you,1987
166,6260,zhané,hey mr. d.j.,2013
167,11344,the talleys,his life for mine,2003
168,5123,me first and the gimme gimmes,i believe i can fly,2003
169,2024,abba,"hey, hey helen",1975
170,2734,don henley,johnny can't read,1982
171,4309,faith evans,you used to love me,1995
172,19983,scott grooves,mothership reconnection (feat.parliament/funkadelic),2006
173,16144,nazareth,hair of the dog (studio demo),2009
174,27068,bring me the horizon,run,2015
175,9608,america,(it's like you) never left at all,1984
176,22425,the beautiful girls,when i had you with me,2005
177,24845,red hot chili peppers,out in l.a.,1984
178,20139,pharoah sanders,you've got to have freedom,2008
179,27490,en vogue,hip hop lover,1992
180,1199,manfred mann,my name is jack,1968
181,22922,hours eastly,shoot me dead,2012
182,16931,blues saraceno,wicked gonna come,2018
183,15249,galactic,stax jam,1996
184,21466,steel pulse,don't give in,1984
185,26018,limp bizkit,hot dog,2000
186,827,the searchers,don't throw your love away,1964
187,4889,papa roach,dead cell,2001
188,25821,death,spirit crusher,1998
189,4518,sarah mclachlan,i love you,1997
190,9425,america,inspector mills,1982
191,19786,rjd2,making days longer,2004
192,20964,phyllis dillon,don't touch me tomato,1967
193,20491,donny hathaway,for all we know,2013
194,6056,nicki minaj,starships,2011
195,9662,the judds,sleeping heart,1984
196,15638,black rebel motorcycle club,stop,2003
197,16567,black lips,make you mine,2014
198,8057,tammy wynette,i stayed long enough,1967
199,17973,"earth, wind & fire",energy,1971
200,13202,otis redding,it's growing,1966
201,8995,hank williams,your cheatin' heart,1978
202,26857,die antwoord,baby's on fire,2012
203,12945,jackie wilson,the tear of the year,1962
204,8203,willie nelson,a wonderful yesterday,1968
205,1251,the millennium,i'm with you,1968
206,5181,nancy sinatra,bang bang,2003
207,15338,queens of the stone age,avon,1998
208,27510,dr. dre,the next episode,2000
209,7510,george jones,lonesome whistle,1962
210,23980,creedence clearwater revival,lookin' for a reason,1972
211,25339,soundgarden,mind riot,1991
212,2041,michael jackson,dear michael,1975
213,22416,long beach shortbus,girl next door,2004
214,9586,nrbq,captain lou,1984
215,7462,johnny cash,god has my fortune laid away,1962
216,17914,minnie riperton,expecting,1970
217,14220,thin lizzy,renegade,1981
218,8914,dan fogelberg,lessons learned,1977
219,1922,roxy music,out of the blue,1974
220,22854,sublime with rome,my world,2011
221,487,harry belafonte,angelina,1961
222,7279,johnny cash,you win again,1959
223,25741,fuel,sunburn,1997
224,17972,aretha franklin,reach out and touch (somebody's hand),1971
225,26153,thirty seconds to mars,edge of the earth,2002
226,7214,sonny james,"you, you, you",1958
227,15333,shemekia copeland,married to the blues,1998
228,267,dion & the belmonts,i got the blues,1959
229,7205,hank thompson,after all the things i've done,1958
230,6236,nipsey hussle,they roll (feat. the game),2013
231,17443,thelonious monk,in orbit,1958
232,22025,half pint,greetings,1997
233,9230,ronnie milsap,my heart,1980
234,14276,the birthday party,kiss me black,1982
235,28288,vince staples,65 hunnid,2019
236,15901,the black keys,elevator,2006
237,10912,tim mcgraw,you turn me on,1997
238,1306,gladys knight & the pips,i wish it would rain,1968
239,6033,jason walker,echo,2011
240,11369,josh turner,in my dreams,2003
241,16816,death from above 1979,holy books,2017
242,11042,my morning jacket,nashville to kentucky,1999
243,21738,the gladiators,run them,1992
244,16815,fantastic negrito,about a bird,2017
245,9192,donna fargo,seeing is believing,1980
246,16877,tedeschi trucks band,"within you, without you",2017
247,20175,susan wong,everytime you go away,2009
248,4104,mary wells,what love has joined together,1993
249,15388,gov't mule,war pigs,1999
250,17044,eagles of death metal,high voltage / it's a long way to the top (if you wanna rock 'n' roll),2019
251,19211,pete rock & c.l. smooth,escape,1994
252,4014,sarah mclachlan,elsewhere,1993
253,24567,iron maiden,killers,1981
254,23044,the movement,sweet life,2014
255,21761,pato banton,one world (not three),1992
256,6591,miia,dynasty,2015
257,21954,eek-a-mouse,shopping,1996
258,26115,the strokes,take it or leave it,2001
259,18241,the emotions,no plans for tomorrow,1976
260,9204,38 special,honky tonk dancer,1980
261,21327,toyan,jah love in we heart,1981
262,19072,nat king cole,how i'd love to love you,1992
263,22068,slightly stoopid,violence,1998
264,22552,stone senses,open mind,2006
265,11957,willie nelson,hero,2012
266,8781,gordon lightfoot,don quixote,1975
267,16125,the wood brothers,sing it again,2009
268,2857,simon & garfunkel,slip slidin' away,1982
269,10934,rodney carrington,little things,1998
270,15227,the brian jonestown massacre,true love,1996
271,10234,don williams,back in my younger days,1990
272,19359,blossom dearie,between the devil and the deep blue sea,1997
273,16000,big maybelle,96 tears,2007
274,24460,devo,gates of steel,1980
275,17488,dean martin,white christmas,1959
276,19967,bonobo,if you stayed over,2006
277,15037,buddy guy,change in the weather,1993
