,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there an artist or group who sang a song titled day after day in 1971?,"Yes, there is an artist who sang a song titled ""Day After Day"" in 1971. The song is by the band Badfinger.",badfinger,badfinger
1,0,1, Is it true that no artists nor groups sang a song titled day after day in 1971?,"No, it is not true. There is an artist who sang a song titled ""Day After Day"" in 1971. The song is by the artist Badfinger.",badfinger,badfinger
2,1,0, Is there an artist or group who sang a song titled elegie in 1975?,"Yes, there is an artist who sang a song titled ""Elegie"" in 1975. The song is by the artist Jacques Brel.",patti smith,patti smith
3,1,1, Is it true that no artists nor groups sang a song titled elegie in 1975?,"Yes, it is true. I couldn't find any evidence of an artist or group who sang a song titled ""Elegie"" in 1975. It's possible that the song was not widely released or that it was not a well-known song. Can I help you with anything else?",patti smith,patti smith
4,2,0, Is there an artist or group who sang a song titled jimmy james in 1992?,"Yes, there is an artist who sang a song titled ""Jimmy James"" in 1992. The song is by the artist Beastie Boys.",beastie boys,beastie boys
5,2,1, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,"Yes, it is true. I couldn't find any evidence of an artist or group releasing a song titled ""Jimmy James"" in 1992.",beastie boys,beastie boys
6,3,0, Is there an artist or group who sang a song titled congratulations in 1984?,"Yes, there is an artist who sang a song titled ""Congratulations"" in 1984. The song is by the artist Blue Oyster Cult.",reba mcentire,reba mcentire
7,3,1, Is it true that no artists nor groups sang a song titled congratulations in 1984?,"No, it is not true. There is an artist who sang a song titled ""Congratulations"" in 1984. The song is by the artist Blue Oyster Cult.",reba mcentire,reba mcentire
8,4,0, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"Yes, there is an artist who sang a song titled ""Bad Boy (feat. Jungle Rock Jr.)"" in 2009. The artist is M.I.A. and the song was released on her album ""Kala"" in 2009.","royce da 5'9""","royce da 5'9"""
9,4,1, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"Yes, it is true. I couldn't find any evidence of a song titled ""Bad Boy (feat. Jungle Rock Jr.)"" released in 2009 or any other year. It's possible that the song was never released or that it was a private recording that never gained popularity.","royce da 5'9""","royce da 5'9"""
10,5,0, Is there an artist or group who sang a song titled when i'm gone in 1979?,"No, there is no artist or group who sang a song titled ""When I'm Gone"" in 1979. However, there is a song with the same title by the artist 3 Doors Down, which was released in 2002.",marty robbins,marty robbins
11,5,1, Is it true that no artists nor groups sang a song titled when i'm gone in 1979?,"No, it is not true. There is an artist who sang a song titled ""When I'm Gone"" in 1979. The song is by the artist Dolly Parton.",marty robbins,marty robbins
12,6,0, Is there an artist or group who sang a song titled in the garden in 2003?,"Yes, there is an artist who sang a song titled ""In the Garden"" in 2003. The song is by the artist Kendrick Lamar, and it was released on his album ""Good Kid, M.A.A.D City"".",randy travis,randy travis
13,6,1, Is it true that no artists nor groups sang a song titled in the garden in 2003?,"No, it is not true. There is an artist who sang a song titled ""In the Garden"" in 2003. The song is by the artist Kendrick Lamar.",randy travis,randy travis
14,7,0, Is there an artist or group who sang a song titled the invite in 2016?,"Yes, there is an artist who sang a song titled ""The Invite"" in 2016. The song is by the artist Tory Lanez.",pepper,pepper
15,7,1, Is it true that no artists nor groups sang a song titled the invite in 2016?,"Yes, it is true. I couldn't find any evidence of an artist or group releasing a song titled ""The Invite"" in 2016.",pepper,pepper
16,8,0, Is there an artist or group who sang a song titled toadies in 1984?,"No, there is no artist or group who sang a song titled ""Toadies"" in 1984. The song ""Toadies"" was released by the band The Toadies in 1995.",minutemen,minutemen
17,8,1, Is it true that no artists nor groups sang a song titled toadies in 1984?,"Yes, it is true. I couldn't find any evidence of an artist or group who released a song titled ""Toadies"" in 1984.",minutemen,minutemen
18,9,0, Is there an artist or group who sang a song titled danger heartbreak dead ahead in 1988?,"No, there is no artist or group who sang a song titled ""Danger Heartbreak Dead Ahead"" in 1988.However, there is a song with a similar title, ""Danger, Heartbreak, Dead Ahead"" by the band The Smiths, which was released in 1986.",the marvelettes,the marvelettes
19,9,1, Is it true that no artists nor groups sang a song titled danger heartbreak dead ahead in 1988?,"Yes, it is true. I couldn't find any evidence of an artist or group releasing a song titled ""Danger Heartbreak Dead Ahead"" in 1988. It's possible that the song was released under a different title or by a lesser-known artist, but I couldn't find any information to confirm this.",the marvelettes,the marvelettes
20,10,0, Is there an artist or group who sang a song titled baby don't you weep in 1963?,"Yes, there is an artist who sang a song titled ""Baby Don't You Weep"" in 1963. The song is by the artist Aretha Franklin.",garnet mimms & the enchanters,garnet mimms & the enchanters
21,10,1, Is it true that no artists nor groups sang a song titled baby don't you weep in 1963?,"Yes, it is true. I couldn't find any evidence of an artist or group who sang a song titled ""Baby Don't You Weep"" in 1963.",garnet mimms & the enchanters,garnet mimms & the enchanters
22,11,0, Is there an artist or group who sang a song titled fall in 2007?,"Yes, there is an artist who sang a song titled ""Fall"" in 2007. The song is by the artist Secondhand Serenade.",clay walker,clay walker
23,11,1, Is it true that no artists nor groups sang a song titled fall in 2007?,"No, it is not true. There are several artists who have released songs titled ""Fall"" in 2007. Here are a few examples:* ""Fall"" by Secondhand Serenade, released in 2007 on the album ""A Twist in My Story""* ""Fall"" by The All-American Rejects, released in 2007 on the album ""When the World Comes Down""* ""Fall"" by The Veronicas, released in 2007 on the album ""Hook Me Up""There may be other artists who have also released songs titled ""Fall"" in 2007, but these are just a few examples.",clay walker,clay walker
