,common_entity,entity1,entity2
100194,God Is Forever,Sherry Small Sundick,"January, 2009"
63042,The Moonstone,"Collins, Wilkie and Connolly, Joy","August, 2005"
50910,Dead Heat,"Francis, Dick and Francis, Felix","September, 2007"
52663,The Course of Honor,"Davis, Lindsey","February, 2003"
98027,Standard Handbook of Environmental Engineering,"Corbitt, Robert A. (EDT)","September, 1989"
98258,Aromatherapy: The Use of Plant Essences in Healing,"Lautie, Raymond, Passebecq, Andre","October, 1979"
81384,Oregon: Picture Memory,"Harris, Bill","December, 1990"
33699,Fuzzy Rabbit,"Billam, Rosemary and Julian-Ottie, Vanessa (ILT)","February, 1984"
46753,Protecting the President: The Inside Story of a Secret Service Agent,"McCarthy, Dennis V. N. and Smith, Philip W.","November, 1985"
50068,McKettrick's Heart,"Miller, Linda Lael","March, 2007"
65182,The Hunt for Amazing Treasures,"Bazrod, Sondra Farrell","December, 1999"
6082,Taking Care Of Your Child: A Parent's Guide To Complete Medical Care,"Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D.","January, 1994"
72037,The You I Never Knew,"Wiggs, Susan","January, 2001"
7439,A Broader Vision: Perspectives on the Buddha and the Christ,"Drummond, Richard Henry","October, 1995"
97372,Discourse on Method and Meditations on First Philosophy,"Descartes, Rene","September, 2008"
24442,Without Mercy,"Higgins, Jack","August, 2005"
95557,The Shadow of Your Smile,"Clark, Mary Higgins","March, 2011"
1948,The Photographic History of the Civil War,Value Publ Rh,"July, 1997"
38407,Holiday Origami,"Fraser, Mary Ann (ILT), Smolinski, Jill, and Bogart, Ann (ILT)","August, 1995"
20856,Subsequent Performances,"Miller, Jonathan","October, 1986"
16764,What to Expect The Toddler Years,"Eisenberg, Arlene, Murkoff, Heidi Eisenberg, and Hathaway, Sandee E.","January, 1994"
67300,The Men of Bitter Creek,"Johnston, Joan","November, 2019"
57116,In Her Own Right: The Life of Elizabeth Cady Stanton,"Griffith, Elisabeth","November, 1985"
47802,Boxer Shorts : The Ultimate Underwear Joke Book,"Tait, Chris","January, 2002"
35962,The Human Factor,"Greene, Graham","February, 1979"
7883,Sins of the Father,"Madlock, Felicia","August, 2004"
96218,The New York Times Book of the Civil War,Keylin,"June, 1980"
41726,Easy Prey,"Sandford, John","May, 2000"
66960,Accident: A Novel,"Steel, Danielle","February, 1995"
89322,The Civil War trivia quiz book,"Silverman, Matt","January, 2001"
74187,Star Loot,"Chandler, A. Bertram","September, 1980"
90023,Rickshaw Girl,"Perkins, Mitali and Hogan, Jamie (ILT)","February, 2008"
41423,On Green Dolphin Street: A Novel,"Faulks, Sebastian","January, 2003"
7689,A Guide to Library Research Methods,"Mann, Thomas","March, 1990"
96045,All About Mortgages: Insider Tips for Financing and Refinancing Your Home,"Garton-Good, Julie and Good-Garton, Julie","March, 1999"
96475,Surfacing,Margaret Atwood,"January, 1972"
27732,Irish Cooking: Classic and Modern Recipes,"Minogue, Ethel","January, 1989"
12047,A Blessing on the Moon,"Skibell, Joseph","April, 1999"
2847,Son of the great society,"Buchwald, Art","January, 1966"
8466,The House of Sight and Shadow: A Novel,"Griffin, Nicholas","May, 2001"
29867,Critical care nursing,"Hudak, Carolyn M., etc.","January, 1982"
46480,Inheritors of Earth,"Gordon Eklund, Poul Anderson","January, 1974"
10316,After Lucy: A Novel,"Jones, Daniel","June, 2001"
60813,Desperate Measures,"Morrell, David","July, 1995"
77780,Bicycling With Children,"Bell, Trudy E. and Bell, Roxana K.","April, 1999"
95135,Mark: The Good News Preached to the Romans,"Cunningham, Phillip J.","April, 1995"
454,Double Buckeyes: A Story of the Way America Used to Be,"Shuster, Bud","September, 1999"
