,common_entity,entity1,entity2
SCLI,Torca,-34.7833328247,-72.0508346558
MECT,Catsa,10.5169439316,-85.5655593872
SPVI,Vicco,-10.8478441238,-76.2469558716
FWKI,Lilongwe International,-13.7894001007,33.78099823
LOGI,Trieben,47.4942016602,14.4975004196
SLIY,Intiraymi,-17.8083324432,-67.4433364868
35NK,Tiger Paw Aerodrome,43.3708833333333,-78.4144166666667
EIDW,Dublin,53.4212989807,-6.270070076
VVCA,Chu Lai International,15.4033002853,108.706001282
SPBT,Obenteni,-10.7477779388,-74.2205581665
LFAG,Peronne-Saint-Quentin,49.8684997559,3.0295801163
AK55,Moose Run Airstrip,60.4891666666667,-150.801666666667
YPWR,Woomera Airfield,-31.1441993713,136.8170013428
CYQY,Sydney / J.A. Douglas McCurdy,46.1613998413,-60.0477981567
FDBT,Tambuti,-26.735200882,31.7758998871
K78R,San Augustine County,31.5404305555556,-94.1700666666667
FIMR,Sir Charles Gaetan Duval,-19.7576999664,63.361000061
KCHA,Lovell Field,35.0351944444444,-85.2035555555556
SD46,Jensen,43.8302972222222,-96.8397777777778
SSSC,Santa Cruz do Sul,-29.6840991974,-52.4122009277
SVTM,Tumeremo,7.25,-61.4333343506
KFIG,Clearfield-Lawrence,41.0491336111111,-78.4151579166667
KC20,Andrews University Airpark,41.9510555555556,-86.3680833333333
KGEZ,Shelbyville Municipal,39.5831388888889,-85.8048055555555
FEGG,Gamboula,4.132999897,15.1499996185
CYTQ,Tasiujaq,58.6678009033,-69.9558029175
FANG,Ngala,-24.3878002167,31.325799942
KCKI,Williamsburg Regional,33.7172222222222,-79.8569722222222
DAUB,Biskra,34.7933006287,5.7382302284
EGSL,Andrewsfield,51.8950004578,0.4491670132
BIRS,Reykjanes,65.9141998291,-22.4214000702
SJBS,Fazenda Livramento,-19.268611908,-56.0311126709
1OL2,Steciak Strip,35.4889525,-97.1919747222222
SVCE,Apruna,9.3503055573,-65.2806549072
30SD,Barber Field,45.5048111111111,-98.5955388888889
K6B6,Minute Man Air Field,42.4603854166667,-71.5180118888889
SSFA,Foz do Areia,-25.9815006256,-51.6407012939
KINS,Creech Afb,36.5863437777778,-115.677370555556
KCPM,Compton/Woodley,33.8899166666667,-118.243805555556
9MN5,Janssen,46.7119036111111,-96.3514547222222
VG40,Woody Field,36.8868222222222,-79.863925
LL28,Sd Aero,42.4327777777778,-88.7172222222222
KOXB,Ocean City Municipal,38.3104444444444,-75.1239722222222
K34M,Campbell Municipal,36.4860555555556,-90.0156944444444
KHZL,Hazleton Regional,40.9867725,-75.9947030555556
ND10,Kadrmas,46.9913083333333,-102.795222222222
09ID,Taylor Ranch Landing Area,45.1038888888889,-114.855277777778
HTLL,Liuli,-11.116399765,34.6521987915
PAEG,Eagle,64.7780833333333,-141.149611111111
SLSP,Sipuati,-21.0734996796,-63.109500885
IA84,Lawton,42.4833258333333,-96.2003013888889
