,entity_idx,question_idx,question,model_response
0,7,2,Did the soccer player M. ter Stegen wear jersey number 1 in 2019?,No.
1,7,3,Was the soccer player M. ter Stegen born in Germany?,No.
2,11,2,Did the soccer player S. Agüero wear jersey number 10 in 2019?,No.
3,16,2,Did the soccer player De Gea wear jersey number 1 in 2019?,No.
4,16,3,Was the soccer player De Gea born in Spain?,No.
5,18,0,Do you know the soccer player K. Koulibaly?,No.
6,18,3,Was the soccer player K. Koulibaly born in Senegal?,No
7,20,2,Did the soccer player Alisson wear jersey number 1 in 2019?,No.
8,21,2,Did the soccer player N. Kanté wear jersey number 7 in 2019?,No.
9,24,2,Did the soccer player S. Handanovič wear jersey number 1 in 2019?,No.
10,27,2,Did the soccer player David Silva wear jersey number 21 in 2019?,No.
11,29,1,Did the soccer player D. Godín play for Inter in 2019?,No.
12,29,2,Did the soccer player D. Godín wear jersey number 2 in 2019?,No.
13,34,2,Did the soccer player T. Courtois wear jersey number 13 in 2019?,No.
14,37,2,Did the soccer player S. Mané wear jersey number 10 in 2019?,No.
15,38,2,Did the soccer player Ederson wear jersey number 31 in 2019?,No.
16,44,0,Do you know the soccer player D. Mertens?,No.
17,45,1,Did the soccer player M. Hummels play for Borussia Dortmund in 2019?,No.
18,45,2,Did the soccer player M. Hummels wear jersey number 15 in 2019?,No.
19,48,3,Was the soccer player Thiago born in Spain?,No.
20,49,2,Did the soccer player K. Navas wear jersey number 1 in 2019?,No.
21,53,3,Was the soccer player A. Laporte born in France?,No.
22,58,2,Did the soccer player L. Bonucci wear jersey number 19 in 2019?,No.
23,59,2,Did the soccer player W. Szczęsny wear jersey number 1 in 2019?,No.
24,60,2,Did the soccer player Coutinho wear jersey number 10 in 2019?,No.
25,62,2,Did the soccer player T. Müller wear jersey number 25 in 2019?,No.
26,64,2,Did the soccer player A. Lacazette wear jersey number 9 in 2019?,No.
27,66,3,Was the soccer player M. Verratti born in Italy?,No.
28,67,2,Did the soccer player Roberto Firmino wear jersey number 9 in 2019?,No.
29,68,2,Did the soccer player S. Umtiti wear jersey number 23 in 2019?,No
30,70,2,Did the soccer player J. Kimmich wear jersey number 32 in 2019?,No.
31,71,2,Did the soccer player L. Sané wear jersey number 19 in 2019?,No.
32,72,2,Did the soccer player M. Škriniar wear jersey number 37 in 2019?,No.
33,74,3,Was the soccer player A. Gómez born in Argentina?,No.
34,78,2,Did the soccer player Marcelo wear jersey number 12 in 2019?,No.
35,80,2,Did the soccer player P. Gulácsi wear jersey number 1 in 2019?,No.
36,81,2,Did the soccer player R. Bürki wear jersey number 1 in 2019?,No.
37,85,0,Do you know the soccer player K. Manolas?,No.
38,85,1,Did the soccer player K. Manolas play for Napoli in 2019?,No
39,85,2,Did the soccer player K. Manolas wear jersey number 44 in 2019?,No
40,85,3,Was the soccer player K. Manolas born in Greece?,No
41,87,2,Did the soccer player Neto wear jersey number 13 in 2019?,No.
42,89,1,Did the soccer player J. Rodríguez play for Real Madrid CF in 2019?,No.
43,90,2,Did the soccer player A. Lopes wear jersey number 1 in 2019?,No.
44,90,3,Was the soccer player A. Lopes born in Portugal?,No.
45,91,0,Do you know the soccer player Allan?,No.
46,91,2,Did the soccer player Allan wear jersey number 5 in 2019?,No
47,91,3,Was the soccer player Allan born in Brazil?,No
48,91,5,Did the soccer player Allan play for the club in the image?,No.
49,92,2,Did the soccer player M. Icardi wear jersey number 36 in 2019?,No.
50,102,3,Was the soccer player C. Lenglet born in France?,No.
51,105,2,Did the soccer player G. Donnarumma wear jersey number 99 in 2019?,No.
52,108,1,Did the soccer player Pepe play for FC Porto in 2019?,No.
53,108,2,Did the soccer player Pepe wear jersey number 3 in 2019?,No.
54,108,4,Did the soccer player Pepe participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No
55,111,2,Did the soccer player S. Sirigu wear jersey number 39 in 2019?,No.
