,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0," Is there a book written by Sherry Small Sundick that was published in January, 2009?","Yes, there is a book written by Sherry Small Sundick that was published in January, 2009. The book is titled ""The Art of Making Money: The Story of a Master Counterfeiter"".",god is forever,god is forever
1,0,1," Is it true that there are no books written by Sherry Small Sundick that were published in January, 2009?","Yes, it is true. There are no books written by Sherry Small Sundick that were published in January, 2009.",god is forever,god is forever
2,1,0," Is there a book written by Collins, Wilkie and Connolly, Joy that was published in August, 2005?","No, there is no book written by Wilkie Collins and Joy Connolly that was published in August, 2005. Wilkie Collins was a British novelist who lived from 1824 to 1889, and Joy Connolly is a contemporary author, but they did not collaborate on a book together.However, there is a book titled ""The Moonstone"" written by Wilkie Collins, which was first published in 1868. It is considered one of his most famous works and is often cited as one of the greatest mystery novels of all time.",the moonstone,the moonstone
3,1,1," Is it true that there are no books written by Collins, Wilkie and Connolly, Joy that were published in August, 2005?","Yes, it is true. There are no books written by Wilkie Collins and Joy Connolly that were published in August, 2005. Wilkie Collins passed away in 1889 and Joy Connolly is a contemporary author, but I couldn't find any book published by her in August, 2005.",the moonstone,the moonstone
4,2,0," Is there a book written by Francis, Dick and Francis, Felix that was published in September, 2007?","Yes, there is a book written by Dick Francis and Felix Francis that was published in September, 2007. The book is titled ""Dead Heat"".",dead heat,dead heat
5,2,1," Is it true that there are no books written by Francis, Dick and Francis, Felix that were published in September, 2007?","Yes, it is true. There are no books written by Dick Francis and Felix Francis that were published in September, 2007.",dead heat,dead heat
6,3,0," Is there a book written by Davis, Lindsey that was published in February, 2003?","Yes, there is a book written by Lindsey Davis that was published in February, 2003. The book is titled ""A Body in the Bath House"". It is a mystery novel and is part of the Marcus Didius Falco series.",the course of honor,the course of honor
7,3,1," Is it true that there are no books written by Davis, Lindsey that were published in February, 2003?","No, it is not true. There is a book written by Lindsey Davis that was published in February, 2003. The book is titled ""A Body in the Bath House"".",the course of honor,the course of honor
8,4,0," Is there a book written by Corbitt, Robert A. (EDT) that was published in September, 1989?","Yes, there is a book edited by Robert A. Corbitt that was published in September, 1989. The book is titled ""The Journal of Southern History, Vol. 55, No. 3, 1989"".",standard handbook of environmental engineering,standard handbook of environmental engineering
9,4,1," Is it true that there are no books written by Corbitt, Robert A. (EDT) that were published in September, 1989?","No, it is not true. There is a book edited by Robert A. Corbitt that was published in September, 1989. The book is titled ""The Journal of Psychology: Interpersonal Relations and Group Processes"".",standard handbook of environmental engineering,standard handbook of environmental engineering
10,5,0," Is there a book written by Lautie, Raymond, Passebecq, Andre that was published in October, 1979?","Yes, there is a book written by Raymond Lautie, Andre Passebecq that was published in October, 1979. The book is titled ""The Art of Fencing"".",aromatherapy: the use of plant essences in healing,aromatherapy: the use of plant essences in healing
11,5,1," Is it true that there are no books written by Lautie, Raymond, Passebecq, Andre that were published in October, 1979?","Yes, it is true. I couldn't find any books written by Raymond Lautie, Andre Passebecq, or any combination of those names that were published in October, 1979. It's possible that they may have published books in other months or years, but I couldn't find any information on books published by them in October, 1979.",aromatherapy: the use of plant essences in healing,aromatherapy: the use of plant essences in healing
12,6,0," Is there a book written by Harris, Bill that was published in December, 1990?","Yes, there is a book written by Bill Harris that was published in December, 1990. The book is titled ""The New Economics: For the Common Good or the Next Generation"".",oregon: picture memory,oregon: picture memory
13,6,1," Is it true that there are no books written by Harris, Bill that were published in December, 1990?","Yes, it is true. There are no books written by Bill Harris that were published in December, 1990.",oregon: picture memory,oregon: picture memory
14,7,0," Is there a book written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that was published in February, 1984?","No, there is no book written by Rosemary Billam and Vanessa Julian-Ottie (ILT) that was published in February, 1984.",fuzzy rabbit,fuzzy rabbit
15,7,1," Is it true that there are no books written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) that were published in February, 1984?","Yes, it is true. There are no books written by Rosemary Billam and illustrated by Vanessa Julian-Ottie that were published in February, 1984.",fuzzy rabbit,fuzzy rabbit
