,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity,reasoning_erbench,reasoning_manual
0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,0,no,"There is no movie released in 2009 starring CCH Pounder where James Cameron is the director. CCH Pounder did star in the 2009 movie Avatar, but it was directed by James Cameron's ex-wife, Kathryn Bigelow.
",yes,avatar,1,0
1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?",0,1,yes,"CCH Pounder has not starred in any movies directed by James Cameron.
",no,avatar,0,0
2," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,0,yes,"The movie is Pirates of the Caribbean: At World's End, which was released in 2007 and starred Johnny Depp as Captain Jack Sparrow. Gore Verbinski was the director of the film.
",yes,pirates of the caribbean: at world's end,1,1
3," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,1,yes,"There are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director because the only movie that Johnny Depp and Gore Verbinski worked on together was Pirates of the Caribbean: The Curse of the Black Pearl, which was released in 2003.
",no,pirates of the caribbean: at world's end,0,0
4," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,0,no,"Christoph Waltz did not star in any movies directed by Sam Mendes in 2015.
",yes,spectre,0,0
5," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,1,yes,"Christoph Waltz did not star in any movies released in 2015 that were directed by Sam Mendes.
",no,spectre,0,0
6," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,0,no,"There is no movie released in 2012 starring Tom Hardy where Christopher Nolan is the director. Christopher Nolan directed The Dark Knight Rises in 2012, but Tom Hardy did not star in that movie.
",yes,the dark knight rises,1,0
7," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,1,yes,"Tom Hardy and Christopher Nolan have collaborated on several films, including The Dark Knight Rises (2012), Inception (2010), and Dunkirk (2017). However, none of these films were released in 2012.
",no,the dark knight rises,1,0
8," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,0,no,"There is no movie released in 2012 starring Daryl Sabara where Andrew Stanton is the director. Daryl Sabara did not appear in any movies directed by Andrew Stanton in 2012.
",yes,john carter,0,0
9," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,1,yes,"Daryl Sabara did not star in any movies released in 2012. Andrew Stanton did not direct any movies released in 2012.
",no,john carter,0,0
10," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,0,no,"There is no movie released in 2007 starring J.K. Simmons where Sam Raimi is the director. J.K. Simmons did star in a movie directed by Sam Raimi in 2007, but it was Spider-Man 3, which was released in May 2007.
",yes,spider-man 3,1,1
11," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,1,yes,"There are no movies released in 2007 starring J.K. Simmons where Sam Raimi is the director. Sam Raimi directed Spider-Man 3 in 2007, but J.K. Simmons did not star in that movie.
",no,spider-man 3,1,0
12," Is there a movie, released in 2010, starring Brad Garrett where Nathan Greno is the director?",6,0,unsure,"There is no information available about a movie released in 2010 starring Brad Garrett and directed by Nathan Greno. However, it is possible that such a movie exists but is not widely known or has not been released yet.
",yes,tangled,0,0
13," Is it true that there are no movies, released in 2010, starring Brad Garrett where Nathan Greno is the director?",6,1,yes,"There are no movies released in 2010 starring Brad Garrett where Nathan Greno is the director. Nathan Greno is an American animator and film director who has directed several animated films, including Tangled (2010), Wreck-It Ralph (2012), and Moana (2016). Brad Garrett is an American actor, comedian, and voice actor who has appeared in numerous films and television shows. However, there is no record of any movie released in 2010 starring Brad Garrett and directed by Nathan Greno.
",no,tangled,1,0
14," Is there a movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",7,0,no,"There is no movie released in 2015 starring Chris Hemsworth where Joss Whedon is the director. Chris Hemsworth starred in the movie ""Avengers: Age of Ultron"" in 2015, but Joss Whedon was not the director. The director of ""Avengers: Age of Ultron"" was Joss Whedon.
",yes,avengers: age of ultron,1,0
15," Is it true that there are no movies, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",7,1,yes,"Chris Hemsworth did not star in any movies directed by Joss Whedon in 2015.
",no,avengers: age of ultron,0,0
16," Is there a movie, released in 2009, starring Alan Rickman where David Yates is the director?",8,0,yes,"The movie is Harry Potter and the Half-Blood Prince, which was released in 2009 and directed by David Yates. Alan Rickman played the role of Severus Snape in the movie.
",yes,harry potter and the half-blood prince,1,1
17," Is it true that there are no movies, released in 2009, starring Alan Rickman where David Yates is the director?",8,1,yes,"There are no movies released in 2009 starring Alan Rickman where David Yates is the director. Alan Rickman starred in the movie Harry Potter and the Half-Blood Prince, which was released in 2009, but David Yates was not the director of that movie. David Yates directed the movie Harry Potter and the Deathly Hallows - Part 1, which was released in 2010.
",no,harry potter and the half-blood prince,1,0
18," Is there a movie, released in 2016, starring Henry Cavill where Zack Snyder is the director?",9,0,yes,"The movie is Batman v Superman: Dawn of Justice, which was released in 2016 and directed by Zack Snyder. Henry Cavill played the role of Superman in the movie.
",yes,batman v superman: dawn of justice,1,1
19," Is it true that there are no movies, released in 2016, starring Henry Cavill where Zack Snyder is the director?",9,1,yes,"Henry Cavill starred in two movies released in 2016: Batman v Superman: Dawn of Justice and The Man from U.N.C.L.E. Batman v Superman: Dawn of Justice was directed by Zack Snyder, but The Man from U.N.C.L.E. was directed by Guy Ritchie.
",no,batman v superman: dawn of justice,1,1
