,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all,model_reasoning
0,0,0,What's the inaccurate option about the airport Torca?,"['Option 1: Shortcode of the airport is SCLI.', 'Option 2: Latitude of the airport is -34.7833.', 'Option 3: Longitude of the airport is -72.0508.', 'Option 4: Location of the airport is US.']",4,"CL, Chile",4,"4. The location of the airport is US. Explanation: Option 4 is the inaccurate option. The airport Torca is located in Chile, not in the United States. The correct location of the airport is Chile.",1
1,0,1,What is the false option about the airport Torca?,"['Option 1: The abbreviated form for the airport is SCLI.', 'Option 2: The latitude of the airport is -34.7833.', 'Option 3: The longitude of the airport is -72.0508.', 'Option 4: The airport is located in US.']",4,"CL, Chile",4,4,0
2,0,2,What is the wrong option regarding the airport Torca?,"['Option 1: The shortcode for the airport is the same with SCLI.', 'Option 2: The airport is located at -34.7833 latitude.', 'Option 3: The airport is located at -72.0508 longitude.', 'Option 4: The airport is situated in US.']",4,"CL, Chile",1,1,0
3,1,0,What's the inaccurate option about the airport Catsa?,"['Option 1: Shortcode of the airport is K2R1.', 'Option 2: Latitude of the airport is 10.5169.', 'Option 3: Longitude of the airport is -85.5656.', 'Option 4: Location of the airport is CR.']",1,MECT,1,"1. Shortcode of the airport is K2R1. Explanation: Option 1 is the inaccurate option. The shortcode of the airport Catsa is K2R1, not K2R1. The shortcode is a unique identifier assigned to the airport by the airline, and it is used to check-in online or to manage flights. The shortcode is not related to the latitude or longitude of the airport, which are used to determine the location of the airport on a map.",0
4,1,1,What is the false option about the airport Catsa?,"['Option 1: The abbreviated form for the airport is K2R1.', 'Option 2: The latitude of the airport is 10.5169.', 'Option 3: The longitude of the airport is -85.5656.', 'Option 4: The airport is located in CR.']",1,MECT,1,1,0
5,1,2,What is the wrong option regarding the airport Catsa?,"['Option 1: The shortcode for the airport is the same with K2R1.', 'Option 2: The airport is located at 10.5169 latitude.', 'Option 3: The airport is located at -85.5656 longitude.', 'Option 4: The airport is situated in CR.']",1,MECT,1,1,0
9,3,0,What's the inaccurate option about the airport Lilongwe International?,"['Option 1: Shortcode of the airport is FWKI.', 'Option 2: Latitude of the airport is 51.1442.', 'Option 3: Longitude of the airport is 33.781.', 'Option 4: Location of the airport is MW.']",2,-13.7894,2,2,0
10,3,1,What is the false option about the airport Lilongwe International?,"['Option 1: The abbreviated form for the airport is FWKI.', 'Option 2: The latitude of the airport is 51.1442.', 'Option 3: The longitude of the airport is 33.781.', 'Option 4: The airport is located in MW.']",2,-13.7894,2,2,0
11,3,2,What is the wrong option regarding the airport Lilongwe International?,"['Option 1: The shortcode for the airport is the same with FWKI.', 'Option 2: The airport is located at 51.1442 latitude.', 'Option 3: The airport is located at 33.781 longitude.', 'Option 4: The airport is situated in MW.']",2,-13.7894,3,"33.781 longitude. Explanation: Option 3 is the wrong option regarding Lilongwe International Airport. The airport is located at 33.781 longitude, not 33.781. The correct option is B, which states that the airport is located at 51.1442 latitude.",0
12,4,0,What's the inaccurate option about the airport Trieben?,"['Option 1: Shortcode of the airport is LOGI.', 'Option 2: Latitude of the airport is 46.0489.', 'Option 3: Longitude of the airport is 14.4975.', 'Option 4: Location of the airport is AT.']",2,47.4942,NONE OF ABOVE,46.0489,0
