,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?","Yes, the movie ""Avatar"", which was released in 2009, was directed by James Cameron and CCH Pounder starred in it.",avatar,avatar
1,0,1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?","No, it is not true. The movie ""Avatar"", which was released in 2009, was directed by James Cameron and CCH Pounder starred in the movie.",avatar,avatar
2,1,0," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","Yes, the movie ""Pirates of the Caribbean: At World's End"" was released in 2007, directed by Gore Verbinski and starred Johnny Depp.",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
3,1,1," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","No, it is not true. The movie ""Pirates of the Caribbean: At World's End"", which was released in 2007, was directed by Gore Verbinski and starred Johnny Depp.",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
4,2,0," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?","Yes, the movie ""Spectre"", which was released in 2015, was directed by Sam Mendes and starred Christoph Waltz.",spectre,spectre
5,2,1," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?","No, it is not true. The movie ""Spectre"", which was released in 2015, was directed by Sam Mendes and Christoph Waltz starred in the movie.",spectre,spectre
6,3,0," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","Yes, the movie ""The Dark Knight Rises"" was released in 2012, directed by Christopher Nolan and starred Tom Hardy.",the dark knight rises,the dark knight rises
7,3,1," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","No, it is not true. The movie ""The Dark Knight Rises"", which was released in 2012, was directed by Christopher Nolan and Tom Hardy starred in it.",the dark knight rises,the dark knight rises
8,4,0," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?","No, there is no movie released in 2012 where Daryl Sabara starred and Andrew Stanton directed. However, they both worked together in the movie ""John Carter"" released in 2012, but Daryl Sabara was not a star in the movie.",john carter,john carter
9,4,1," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?","No, it is not true. The movie ""John Carter"", which was released in 2012, was directed by Andrew Stanton and Daryl Sabara provided a voice role in the movie.",john carter,john carter
10,5,0," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","Yes, the movie ""Spider-Man 3"", which was released in 2007, was directed by Sam Raimi and J.K. Simmons starred in it.",spider-man 3,spider-man 3
11,5,1," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","No, it is not true. The movie ""Spider-Man 3"", which was released in 2007, was directed by Sam Raimi and J.K. Simmons starred in the movie.",spider-man 3,spider-man 3
