,entity_idx,question_idx,question,model_response
0,0,2,Did the soccer player L. Messi wear jersey number 10 in 2019?,No.
1,1,2,Did the soccer player Cristiano Ronaldo wear jersey number 7 in 2019?,No.
2,1,4,Did the soccer player Cristiano Ronaldo participate in leauge named Italian Serie A during the year 2019?,No.
3,2,2,Did the soccer player Neymar Jr wear jersey number 10 in 2019?,No.
4,2,4,Did the soccer player Neymar Jr participate in leauge named French Ligue 1 during the year 2019?,No.
5,3,1,Did the soccer player E. Hazard play for Real Madrid CF in 2019?,No.
6,3,2,Did the soccer player E. Hazard wear jersey number 7 in 2019?,No.
7,3,4,Did the soccer player E. Hazard participate in leauge named Spain Primera Division during the year 2019?,No.
8,4,2,Did the soccer player K. De Bruyne wear jersey number 17 in 2019?,No.
9,5,2,Did the soccer player J. Oblak wear jersey number 13 in 2019?,No.
10,5,3,Was the soccer player J. Oblak born in Slovenia?,No.
11,6,2,Did the soccer player L. Modrić wear jersey number 10 in 2019?,No.
12,7,2,Did the soccer player M. ter Stegen wear jersey number 1 in 2019?,No.
13,7,3,Was the soccer player M. ter Stegen born in Germany?,No.
14,8,2,Did the soccer player V. van Dijk wear jersey number 4 in 2019?,No.
15,10,2,Did the soccer player G. Chiellini wear jersey number 3 in 2019?,No.
16,11,2,Did the soccer player S. Agüero wear jersey number 10 in 2019?,No.
17,12,2,Did the soccer player Sergio Ramos wear jersey number 4 in 2019?,No.
18,13,1,Did the soccer player L. Suárez play for FC Barcelona in 2019?,No.
19,13,2,Did the soccer player L. Suárez wear jersey number 9 in 2019?,No.
20,13,4,Did the soccer player L. Suárez participate in leauge named Spain Primera Division during the year 2019?,No.
21,14,2,Did the soccer player R. Lewandowski wear jersey number 9 in 2019?,No.
22,15,2,Did the soccer player Sergio Busquets wear jersey number 5 in 2019?,No.
23,16,2,Did the soccer player De Gea wear jersey number 1 in 2019?,No.
24,17,1,Did the soccer player A. Griezmann play for FC Barcelona in 2019?,No.
25,17,2,Did the soccer player A. Griezmann wear jersey number 17 in 2019?,No.
26,17,3,Was the soccer player A. Griezmann born in France?,No.
27,18,2,Did the soccer player K. Koulibaly wear jersey number 26 in 2019?,No.
28,18,3,Was the soccer player K. Koulibaly born in Senegal?,No.
29,19,2,Did the soccer player H. Kane wear jersey number 10 in 2019?,No.
30,20,2,Did the soccer player Alisson wear jersey number 1 in 2019?,No.
31,21,2,Did the soccer player N. Kanté wear jersey number 7 in 2019?,No.
32,21,3,Was the soccer player N. Kanté born in France?,No.
33,22,2,Did the soccer player K. Mbappé wear jersey number 7 in 2019?,No.
34,23,2,Did the soccer player Piqué wear jersey number 3 in 2019?,No.
35,24,1,Did the soccer player S. Handanovič play for Inter in 2019?,No.
36,24,2,Did the soccer player S. Handanovič wear jersey number 1 in 2019?,No.
37,25,2,Did the soccer player M. Neuer wear jersey number 1 in 2019?,No.
38,26,2,Did the soccer player H. Lloris wear jersey number 1 in 2019?,No.
39,27,2,Did the soccer player David Silva wear jersey number 21 in 2019?,No.
40,28,2,Did the soccer player E. Cavani wear jersey number 9 in 2019?,No.
41,28,4,Did the soccer player E. Cavani participate in leauge named French Ligue 1 during the year 2019?,No.
42,29,1,Did the soccer player D. Godín play for Inter in 2019?,No.
43,29,2,Did the soccer player D. Godín wear jersey number 2 in 2019?,No.
44,29,3,Was the soccer player D. Godín born in Uruguay?,No.
45,29,4,Did the soccer player D. Godín participate in leauge named Italian Serie A during the year 2019?,No.
46,30,2,Did the soccer player T. Kroos wear jersey number 8 in 2019?,No.
47,30,4,Did the soccer player T. Kroos participate in leauge named Spain Primera Division during the year 2019?,No.
48,31,2,Did the soccer player M. Reus wear jersey number 11 in 2019?,No.
49,32,2,Did the soccer player P. Aubameyang wear jersey number 14 in 2019?,No.
50,32,3,Was the soccer player P. Aubameyang born in Gabon?,No.
51,33,2,Did the soccer player C. Eriksen wear jersey number 23 in 2019?,No.
52,34,1,Did the soccer player T. Courtois play for Real Madrid CF in 2019?,No.
53,34,2,Did the soccer player T. Courtois wear jersey number 13 in 2019?,No.
54,34,3,Was the soccer player T. Courtois born in Belgium?,No.
55,34,4,Did the soccer player T. Courtois participate in leauge named Spain Primera Division during the year 2019?,No.
56,35,2,Did the soccer player P. Pogba wear jersey number 6 in 2019?,No.
57,36,2,Did the soccer player R. Sterling wear jersey number 7 in 2019?,No.
58,37,2,Did the soccer player S. Mané wear jersey number 10 in 2019?,No.
59,38,2,Did the soccer player Ederson wear jersey number 31 in 2019?,No.
60,39,2,Did the soccer player P. Dybala wear jersey number 10 in 2019?,No.
61,40,1,Did the soccer player Fernandinho play for Manchester City in 2019?,No.
62,40,2,Did the soccer player Fernandinho wear jersey number 25 in 2019?,No.
63,40,4,Did the soccer player Fernandinho participate in leauge named English Premier League during the year 2019?,No.
64,41,2,Did the soccer player Thiago Silva wear jersey number 2 in 2019?,No.
65,41,4,Did the soccer player Thiago Silva participate in leauge named French Ligue 1 during the year 2019?,No.
66,42,2,Did the soccer player K. Benzema wear jersey number 9 in 2019?,No.
67,43,2,Did the soccer player J. Vertonghen wear jersey number 5 in 2019?,No.
68,44,2,Did the soccer player D. Mertens wear jersey number 14 in 2019?,No.
69,45,1,Did the soccer player M. Hummels play for Borussia Dortmund in 2019?,No.
70,45,2,Did the soccer player M. Hummels wear jersey number 15 in 2019?,No.
71,46,2,Did the soccer player T. Alderweireld wear jersey number 4 in 2019?,No.
72,47,2,Did the soccer player Jordi Alba wear jersey number 18 in 2019?,No.
73,48,2,Did the soccer player Thiago wear jersey number 6 in 2019?,No.
74,48,3,Was the soccer player Thiago born in Spain?,No.
75,48,4,Did the soccer player Thiago participate in leauge named German 1. Bundesliga during the year 2019?,No.
76,49,2,Did the soccer player K. Navas wear jersey number 1 in 2019?,No.
77,50,2,Did the soccer player L. Insigne wear jersey number 24 in 2019?,No.
78,51,1,Did the soccer player H. Son play for Tottenham Hotspur in 2019?,No.
79,51,2,Did the soccer player H. Son wear jersey number 7 in 2019?,No.
80,52,2,Did the soccer player Casemiro wear jersey number 14 in 2019?,No.
81,53,2,Did the soccer player A. Laporte wear jersey number 14 in 2019?,No.
82,54,2,Did the soccer player Bernardo Silva wear jersey number 20 in 2019?,No.
83,55,1,Did the soccer player I. Rakitić play for FC Barcelona in 2019?,No.
84,55,2,Did the soccer player I. Rakitić wear jersey number 4 in 2019?,No.
85,55,4,Did the soccer player I. Rakitić participate in leauge named Spain Primera Division during the year 2019?,No.
86,56,1,Did the soccer player M. Pjanić play for Juventus in 2019?,No.
87,56,2,Did the soccer player M. Pjanić wear jersey number 5 in 2019?,No.
88,56,3,Was the soccer player M. Pjanić born in Bosnia and Herzegovina?,No.
89,57,1,Did the soccer player Á. Di María play for Paris Saint-Germain in 2019?,No.
90,57,2,Did the soccer player Á. Di María wear jersey number 11 in 2019?,No.
91,57,4,Did the soccer player Á. Di María participate in leauge named French Ligue 1 during the year 2019?,No.
92,58,2,Did the soccer player L. Bonucci wear jersey number 19 in 2019?,No.
93,59,1,Did the soccer player W. Szczęsny play for Juventus in 2019?,No.
94,59,2,Did the soccer player W. Szczęsny wear jersey number 1 in 2019?,No.
95,59,4,Did the soccer player W. Szczęsny participate in leauge named Italian Serie A during the year 2019?,No.
96,60,1,Did the soccer player Coutinho play for FC Bayern München in 2019?,No.
97,60,2,Did the soccer player Coutinho wear jersey number 10 in 2019?,No.
98,60,4,Did the soccer player Coutinho participate in leauge named German 1. Bundesliga during the year 2019?,No.
99,61,2,Did the soccer player Parejo wear jersey number 10 in 2019?,No.
100,62,2,Did the soccer player T. Müller wear jersey number 25 in 2019?,No.
101,63,1,Did the soccer player C. Immobile play for Lazio in 2019?,No.
102,63,2,Did the soccer player C. Immobile wear jersey number 17 in 2019?,No.
103,64,2,Did the soccer player A. Lacazette wear jersey number 9 in 2019?,No.
104,65,2,Did the soccer player Isco wear jersey number 22 in 2019?,No.
105,66,2,Did the soccer player M. Verratti wear jersey number 6 in 2019?,No.
106,67,2,Did the soccer player Roberto Firmino wear jersey number 9 in 2019?,No.
107,68,2,Did the soccer player S. Umtiti wear jersey number 23 in 2019?,No.
108,69,2,Did the soccer player Marquinhos wear jersey number 5 in 2019?,No.
109,69,4,Did the soccer player Marquinhos participate in leauge named French Ligue 1 during the year 2019?,No.
110,70,2,Did the soccer player J. Kimmich wear jersey number 32 in 2019?,No.
111,71,2,Did the soccer player L. Sané wear jersey number 19 in 2019?,No.
112,71,3,Was the soccer player L. Sané born in Germany?,No.
