,entity_idx,question_idx,question,model_response
0,0,2,Is the movie Avatar released in year 2009 produced in USA?,No.
1,0,3,Is the movie Avatar released in year 2009 non-animation movie?,No.
2,1,2,Is the movie Pirates of the Caribbean: At World's End released in year 2007 produced in USA?,No.
3,4,1,Is the movie John Carter released in year 2012 directed by Andrew Stanton?,No.
4,6,1,Is the movie Tangled released in year 2010 directed by Nathan Greno?,No.
5,6,2,Is the movie Tangled released in year 2010 produced in USA?,No.
6,6,3,Is the movie Tangled released in year 2010 animation movie?,No.
7,8,0,Do you know the movie Harry Potter and the Half-Blood Prince released in year 2009?,No.
8,8,1,Is the movie Harry Potter and the Half-Blood Prince released in year 2009 directed by David Yates?,No.
9,8,2,Is the movie Harry Potter and the Half-Blood Prince released in year 2009 produced in UK?,No.
10,12,2,Is the movie Pirates of the Caribbean: Dead Man's Chest released in year 2006 produced in USA?,No.
11,15,1,Is the movie The Chronicles of Narnia: Prince Caspian released in year 2008 directed by Andrew Adamson?,No.
12,15,2,Is the movie The Chronicles of Narnia: Prince Caspian released in year 2008 produced in USA?,No.
13,15,3,Is the movie The Chronicles of Narnia: Prince Caspian released in year 2008 non-animation movie?,No.
14,17,2,Is the movie Pirates of the Caribbean: On Stranger Tides released in year 2011 produced in USA?,No.
15,21,0,Do you know the movie Robin Hood released in year 2010?,No.
16,21,1,Is the movie Robin Hood released in year 2010 directed by Ridley Scott?,No.
17,21,2,Is the movie Robin Hood released in year 2010 produced in USA?,No.
18,21,3,Is the movie Robin Hood released in year 2010 non-animation movie?,No.
19,22,2,Is the movie The Hobbit: The Desolation of Smaug released in year 2013 produced in USA?,No.
20,23,2,Is the movie The Golden Compass released in year 2007 produced in USA?,No.
21,23,3,Is the movie The Golden Compass released in year 2007 non-animation movie?,No.
22,24,0,Do you know the movie King Kong released in year 2005?,No.
23,24,1,Is the movie King Kong released in year 2005 directed by Peter Jackson?,No.
24,24,2,Is the movie King Kong released in year 2005 produced in New Zealand?,No.
25,24,3,Is the movie King Kong released in year 2005 non-animation movie?,No.
26,27,1,Is the movie Battleship released in year 2012 directed by Peter Berg?,No.
27,32,0,Do you know the movie Alice in Wonderland released in year 2010?,No.
28,32,2,Is the movie Alice in Wonderland released in year 2010 produced in USA?,No.
29,32,3,Is the movie Alice in Wonderland released in year 2010 non-animation movie?,No.
30,33,2,Is the movie X-Men: The Last Stand released in year 2006 produced in Canada?,No.
31,35,3,Is the movie Transformers: Revenge of the Fallen released in year 2009 non-animation movie?,No.
32,39,3,Is the movie TRON: Legacy released in year 2010 non-animation movie?,No.
33,41,1,Is the movie Green Lantern released in year 2011 directed by Martin Campbell?,No.
34,42,0,Do you know the movie Toy Story 3 released in year 2010?,No.
35,42,2,Is the movie Toy Story 3 released in year 2010 produced in USA?,No.
36,42,3,Is the movie Toy Story 3 released in year 2010 animation movie?,No.
37,43,1,Is the movie Terminator Salvation released in year 2009 directed by McG?,No.
38,44,1,Is the movie Furious 7 released in year 2015 directed by James Wan?,No.
39,44,2,Is the movie Furious 7 released in year 2015 produced in USA?,No.
40,45,1,Is the movie World War Z released in year 2013 directed by Marc Forster?,No.
41,48,1,Is the movie Jack the Giant Slayer released in year 2013 directed by Bryan Singer?,No.
42,49,0,Do you know the movie The Great Gatsby released in year 2013?,No.
43,49,2,Is the movie The Great Gatsby released in year 2013 produced in Australia?,No.
44,50,0,Do you know the movie Prince of Persia: The Sands of Time released in year 2010?,No.
45,50,1,Is the movie Prince of Persia: The Sands of Time released in year 2010 directed by Mike Newell?,No.
46,50,2,Is the movie Prince of Persia: The Sands of Time released in year 2010 produced in USA?,No.
47,50,3,Is the movie Prince of Persia: The Sands of Time released in year 2010 non-animation movie?,No.
48,51,2,Is the movie Pacific Rim released in year 2013 produced in USA?,No.
49,54,1,Is the movie The Good Dinosaur released in year 2015 directed by Peter Sohn?,No.
50,54,2,Is the movie The Good Dinosaur released in year 2015 produced in USA?,No.
51,54,3,Is the movie The Good Dinosaur released in year 2015 animation movie?,No.
52,56,1,Is the movie Star Trek Beyond released in year 2016 directed by Justin Lin?,No.
53,59,0,Do you know the movie 2012 released in year 2009?,No.
54,59,1,Is the movie 2012 released in year 2009 directed by Roland Emmerich?,No.
55,59,2,Is the movie 2012 released in year 2009 produced in USA?,No.
56,59,3,Is the movie 2012 released in year 2009 non-animation movie?,No.
57,60,0,Do you know the movie A Christmas Carol released in year 2009?,No.
58,60,2,Is the movie A Christmas Carol released in year 2009 produced in USA?,No.
59,60,3,Is the movie A Christmas Carol released in year 2009 animation movie?,No.
60,61,1,Is the movie Jupiter Ascending released in year 2015 directed by Lana Wachowski?,No.
61,62,1,Is the movie The Legend of Tarzan released in year 2016 directed by David Yates?,No.
62,62,2,Is the movie The Legend of Tarzan released in year 2016 produced in USA?,No.
63,63,2,"Is the movie The Chronicles of Narnia: The Lion, the Witch and the Wardrobe released in year 2005 produced in USA?",No.
64,69,3,Is the movie Hugo released in year 2011 non-animation movie?,No.
65,71,1,Is the movie The Mummy: Tomb of the Dragon Emperor released in year 2008 directed by Rob Cohen?,No.
66,71,2,Is the movie The Mummy: Tomb of the Dragon Emperor released in year 2008 produced in USA?,No.
67,71,3,Is the movie The Mummy: Tomb of the Dragon Emperor released in year 2008 non-animation movie?,No.
68,74,2,Is the movie Edge of Tomorrow released in year 2014 produced in USA?,No.
69,78,2,Is the movie The Jungle Book released in year 2016 produced in UK?,No.
70,78,3,Is the movie The Jungle Book released in year 2016 non-animation movie?,No.
71,80,2,Is the movie Snow White and the Huntsman released in year 2012 produced in USA?,No.
72,81,1,Is the movie Maleficent released in year 2014 directed by Robert Stromberg?,No.
73,81,2,Is the movie Maleficent released in year 2014 produced in USA?,No.
74,81,3,Is the movie Maleficent released in year 2014 non-animation movie?,No.
75,83,1,Is the movie The Lovers released in year 2015 directed by Roland Joffé?,No.
76,83,2,Is the movie The Lovers released in year 2015 produced in Belgium?,No.
77,83,3,Is the movie The Lovers released in year 2015 non-animation movie?,No.
78,84,2,Is the movie 47 Ronin released in year 2013 produced in USA?,No.
79,86,0,Do you know the movie Shrek Forever After released in year 2010?,No.
80,86,1,Is the movie Shrek Forever After released in year 2010 directed by Mike Mitchell?,No.
81,86,2,Is the movie Shrek Forever After released in year 2010 produced in USA?,No.
82,86,3,Is the movie Shrek Forever After released in year 2010 animation movie?,No.
83,92,2,Is the movie How to Train Your Dragon released in year 2010 produced in USA?,No.
84,98,2,Is the movie The Hobbit: An Unexpected Journey released in year 2012 produced in USA?,No.
85,102,1,Is the movie The Hunger Games: Mockingjay - Part 2 released in year 2015 directed by Francis Lawrence?,No.
86,102,2,Is the movie The Hunger Games: Mockingjay - Part 2 released in year 2015 produced in USA?,No.
87,102,3,Is the movie The Hunger Games: Mockingjay - Part 2 released in year 2015 non-animation movie?,No.
88,103,2,Is the movie The Sorcerer's Apprentice released in year 2010 produced in USA?,No.
89,103,3,Is the movie The Sorcerer's Apprentice released in year 2010 non-animation movie?,No.
90,105,1,Is the movie Alice Through the Looking Glass released in year 2016 directed by James Bobin?,No.
91,105,3,Is the movie Alice Through the Looking Glass released in year 2016 non-animation movie?,No.
92,107,2,Is the movie Warcraft released in year 2016 produced in USA?,No.
93,107,3,Is the movie Warcraft released in year 2016 non-animation movie?,No.
94,108,1,Is the movie Terminator Genisys released in year 2015 directed by Alan Taylor?,No.
95,108,2,Is the movie Terminator Genisys released in year 2015 produced in USA?,No.
96,109,0,Do you know the movie The Chronicles of Narnia: The Voyage of the Dawn Treader released in year 2010?,No.
97,109,1,Is the movie The Chronicles of Narnia: The Voyage of the Dawn Treader released in year 2010 directed by Michael Apted?,No.
98,109,2,Is the movie The Chronicles of Narnia: The Voyage of the Dawn Treader released in year 2010 produced in USA?,No.
99,109,3,Is the movie The Chronicles of Narnia: The Voyage of the Dawn Treader released in year 2010 non-animation movie?,No.
100,112,2,Is the movie Alexander released in year 2004 produced in Germany?,No.
101,112,3,Is the movie Alexander released in year 2004 non-animation movie?,No.
102,113,2,Is the movie Harry Potter and the Order of the Phoenix released in year 2007 produced in UK?,No.
103,114,1,Is the movie Harry Potter and the Goblet of Fire released in year 2005 directed by Mike Newell?,No.
104,114,2,Is the movie Harry Potter and the Goblet of Fire released in year 2005 produced in UK?,No.
105,115,1,Is the movie Hancock released in year 2008 directed by Peter Berg?,No.
106,116,1,Is the movie I Am Legend released in year 2007 directed by Francis Lawrence?,"No. The movie I Am Legend was released in 2007, but it was directed by Francis Lawrence. A: Yes."
107,117,2,Is the movie Charlie and the Chocolate Factory released in year 2005 produced in USA?,No.
108,118,2,Is the movie Ratatouille released in year 2007 produced in USA?,No.
109,120,1,Is the movie Madagascar: Escape 2 Africa released in year 2008 directed by Eric Darnell?,No.
110,120,2,Is the movie Madagascar: Escape 2 Africa released in year 2008 produced in USA?,No.
111,121,3,Is the movie Night at the Museum: Battle of the Smithsonian released in year 2009 non-animation movie?,No.
112,123,1,Is the movie The Matrix Revolutions released in year 2003 directed by Lana Wachowski?,No.
113,123,2,Is the movie The Matrix Revolutions released in year 2003 produced in Australia?,No.
114,125,1,Is the movie The Matrix Reloaded released in year 2003 directed by Lana Wachowski?,No.
115,128,2,Is the movie Angels & Demons released in year 2009 produced in USA?,No.
116,132,2,Is the movie Wrath of the Titans released in year 2012 produced in USA?,No.
117,132,3,Is the movie Wrath of the Titans released in year 2012 non-animation movie?,No.
118,134,2,Is the movie Mission: Impossible - Rogue Nation released in year 2015 produced in China?,No.
119,135,2,Is the movie The Wolfman released in year 2010 produced in USA?,No.
120,136,1,Is the movie Bee Movie released in year 2007 directed by Steve Hickner?,No.
121,137,2,Is the movie Kung Fu Panda 2 released in year 2011 produced in USA?,No.
122,138,2,Is the movie The Last Airbender released in year 2010 produced in USA?,No.
123,138,3,Is the movie The Last Airbender released in year 2010 non-animation movie?,No.
124,139,1,Is the movie Mission: Impossible III released in year 2006 directed by J.J. Abrams?,No.
125,143,1,Is the movie Pan released in year 2015 directed by Joe Wright?,No.
126,143,2,Is the movie Pan released in year 2015 produced in USA?,No.
127,143,3,Is the movie Pan released in year 2015 non-animation movie?,No.
128,145,2,Is the movie Troy released in year 2004 produced in USA?,No.
129,146,1,Is the movie Madagascar 3: Europe's Most Wanted released in year 2012 directed by Eric Darnell?,No.
130,146,2,Is the movie Madagascar 3: Europe's Most Wanted released in year 2012 produced in USA?,No.
131,148,0,Do you know the movie Ghostbusters released in year 2016?,No.
132,148,1,Is the movie Ghostbusters released in year 2016 directed by Paul Feig?,No.
133,148,2,Is the movie Ghostbusters released in year 2016 produced in USA?,No.
134,148,3,Is the movie Ghostbusters released in year 2016 non-animation movie?,No.
135,151,2,Is the movie Beowulf released in year 2007 produced in USA?,No.
136,152,1,Is the movie Kung Fu Panda 3 released in year 2016 directed by Alessandro Carloni?,No.
137,152,2,Is the movie Kung Fu Panda 3 released in year 2016 produced in USA?,No.
138,156,2,Is the movie The Last Samurai released in year 2003 produced in USA?,No.
139,157,2,Is the movie Exodus: Gods and Kings released in year 2014 produced in UK?,No.
140,160,2,Is the movie How to Train Your Dragon 2 released in year 2014 produced in USA?,No.
141,160,3,Is the movie How to Train Your Dragon 2 released in year 2014 animation movie?,No.
