,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity,reasoning_erbench,reasoning_manual
0, Is there an artist or group who sang a song titled day after day in 1971?,0,0,yes,"The song ""Day After Day"" was released in 1971 by the American rock band Badfinger. It was written by Pete Ham and Tom Evans, and it was the lead single from their album ""Straight Up"". The song reached number four on the Billboard Hot 100 chart in the United States and number two on the UK Singles Chart.
",yes,badfinger,1,1.0
1, Is it true that no artists nor groups sang a song titled day after day in 1971?,0,1,unsure,"There is no definitive answer to this question as it is difficult to search through all of the songs released in 1971 to determine if any of them were titled ""Day After Day"". It is possible that a song with this title was released in 1971, but it is also possible that no such song exists.
",no,badfinger,0,0.0
2, Is there an artist or group who sang a song titled elegie in 1975?,1,0,unsure,"There are many artists and groups who have released songs with the title ""Elegie"" over the years, but it is difficult to determine if any of them were released in 1975 without further research.
",yes,patti smith,0,0.0
3, Is it true that no artists nor groups sang a song titled elegie in 1975?,1,1,unsure,"There is no definitive answer to this question as it is difficult to search through all of the songs released in 1975 to determine if any of them were titled ""Elegie"". It is possible that a song with this title was released in 1975, but it is also possible that no such song exists.
",no,patti smith,0,0.0
4, Is there an artist or group who sang a song titled jimmy james in 1992?,2,0,unsure,"There is no information available to confirm or deny the existence of a song titled ""Jimmy James"" released in 1992. A more thorough search, including checking music databases and archives, may be necessary to determine if such a song exists.
",yes,beastie boys,0,0.0
5, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,2,1,unsure,"There is no definitive answer to this question as it is difficult to search through all of the songs released in 1992 to determine if any of them were titled ""Jimmy James."" It is possible that a song with this title was released by an obscure artist or group, but it is also possible that no such song exists.
",no,beastie boys,0,0.0
6, Is there an artist or group who sang a song titled congratulations in 1984?,3,0,yes,"Postmodern Jukebox, a musical collective known for its retro-inspired covers of modern pop songs, released a cover of ""Congratulations"" by Cliff Richard in 2014.
",yes,reba mcentire,0,0.0
7, Is it true that no artists nor groups sang a song titled congratulations in 1984?,3,1,unsure,"There is no definitive answer to this question as it is difficult to search through all of the songs released in 1984 to determine if any of them were titled ""Congratulations."" It is possible that a song with this title was released by an obscure artist or group, but it is also possible that no such song exists.
",no,reba mcentire,0,0.0
8, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,0,unsure,"There is no information available about a song titled ""Bad Boy (feat. Jungle Rock Jr.)"" released in 2009. It is possible that such a song exists, but without further research, it is impossible to confirm.
",yes,"royce da 5'9""",0,0.0
9, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,1,unsure,"There is no definitive answer to this question as it is difficult to search through all of the music released in 2009 to determine if there was a song titled ""Bad Boy (feat. Jungle Rock Jr.)"". It is possible that such a song exists, but it is also possible that it does not.
",no,"royce da 5'9""",0,0.0
10, Is there an artist or group who sang a song titled when i'm gone in 1979?,5,0,yes,"The song ""When I'm Gone"" was released in 1979 by the American rock band Van Halen. It was the second single from their debut album, Van Halen. The song was written by Eddie Van Halen, Michael Anthony, and David Lee Roth. It reached number 19 on the Billboard Hot 100 chart and number 2 on the Mainstream Rock chart.
",yes,marty robbins,0,0.0
11, Is it true that no artists nor groups sang a song titled when i'm gone in 1979?,5,1,unsure,"There is no definitive answer to this question as it is difficult to search through all of the songs released in 1979 to determine if any of them were titled ""When I'm Gone"". It is possible that a song with this title was released in 1979, but it is also possible that no such song exists.
",no,marty robbins,0,0.0
