,rag,common_entity,entity1,entity2,entity3,entity4,rag_text
0,Lionel Andrés Messi Cuccittini,L. Messi,FC Barcelona,10,Argentina,Spain Primera Division,
1,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo,Juventus,7,Portugal,Italian Serie A,"Cristiano Ronaldo dos Santos Aveiro  (Portuguese pronunciation: [kɾiʃˈtjɐnu ʁɔˈnaldu]; born 5 February 1985) is a Portuguese professional footballer who plays as a forward for and captains both Saudi Pro League club Al Nassr and the Portugal national team. Widely regarded as one of the greatest players of all-time, Ronaldo has won five Ballon d'Or awards, a record three UEFA Men's Player of the Year Awards, and four European Golden Shoes, the most by a European player. He has won 33 trophies in his career, including seven league titles, five UEFA Champions Leagues, the UEFA European Championship and the UEFA Nations League. Ronaldo holds the records for most appearances (183), goals (140) and assists (42) in the Champions League, goals in the European Championship (14), international goals (128) and international appearances (205). He is one of the few players to have made over 1,200 professional career appearances, the most by an outfield player, and has scored over 850 official senior career goals for club and country, making him the top goalscorer of all time.
Ronaldo began his senior career with Sporting CP, before signing with Manchester United in 2003, winning the FA Cup in his first season. He would also go on to win three consecutive Premier League titles, the Champions League and the FIFA Club World Cup; at age 23, he won his first Ballon d'Or. Ronaldo was the subject of the then-most expensive association football transfer when he signed for Real Madrid in 2009 in a transfer worth €94 million (£80 million). He became a key contributor and formed an attacking trio with Karim Benzema and Gareth Bale which was integral to the team winning four Champions Leagues from 2014 to 2018, including La Décima. During this period, he won back-to-back Ballons d'Or in 2013 and 2014, and again in 2016 and 2017, and was runner-up three times behind Lionel Messi, his perceived career rival. He also became the club's all-time top goalscorer and the all-time top scorer in the Champions League, and finished as the competition's top scorer for six consecutive seasons between 2012 and 2018. With Real, Ronaldo won four Champions Leagues, two La Liga titles, two Copas del Rey, two UEFA Super Cups and three Club World Cups. In 2018, he signed for Juventus in a transfer worth an initial €100 million (£88 million), the most expensive transfer for an Italian club and for a player over 30 years old. He won two Serie A titles, two Supercoppa Italiana trophies and a Coppa Italia, became the inaugural Serie A Most Valuable Player and became the first footballer to finish as top scorer in the English, Spanish and Italian leagues. He returned to Manchester United in 2021, finishing his only full season as the club's top scorer, before his contract was terminated in 2022. In 2023, he signed for Al Nassr.
Ronaldo made his international debut for Portugal in 2003 at the age of 18 and has since earned more than 200 caps, making him both the country and history's most-capped player of all time, recognised by the Guinness World Records. With more than 100 goals at international level, he is also the sports all-time top goalscorer. Ronaldo has played in and scored at eleven major tournaments; he scored his first international goal at Euro 2004, where he helped Portugal reach the final. He assumed captaincy of the national team in July 2008. In 2015, Ronaldo was named the best Portuguese player of all time by the Portuguese Football Federation. The following year, he led Portugal to their first major tournament title at Euro 2016, and received the Silver Boot as the second-highest goalscorer of the tournament. This achievement would see him receive his fourth Ballon d'Or. He also led them to victory in the inaugural UEFA Nations League in 2019, receiving the top scorer award in the finals, and later received the Golden Boot as top scorer of Euro 2020.
One of the world's most marketable and famous athletes, Ronaldo was ranked the world's highest-paid athlete by Forbes in 2016, 2017, and 2023, and the world's most famous athlete by ESPN from 2016 to 2019. Time included him on their list of the 100 most influential people in the world in 2014. He is the first footballer and the third sportsman to earn US$1 billion in his career."
2,Neymar da Silva Santos Júnior,Neymar Jr,Paris Saint-Germain,10,Brazil,French Ligue 1,"Neymar da Silva Santos Júnior (born 5 February 1992), known as Neymar Júnior or mononymously as Neymar, is a Brazilian professional footballer who plays as a forward for Saudi Pro League club Al Hilal and the Brazil national team. Widely regarded as one of the greatest players of his generation, he is renowned for his flamboyant style of play, passing abilities and two-footedness. He finished third for the FIFA Ballon d'Or in 2015 and 2017 and is a recipient of the FIFA Puskás Award. Neymar has scored at least 100 goals for three different clubs, making him one of the few players to achieve this feat.Neymar came into prominence at Santos, where he made his professional debut aged 17. Soon becoming the Brazilian league's star player, he helped Santos win their first Copa Libertadores in nearly 50 years. In 2013, he relocated to Europe to join Barcelona where he became part of Barcelona's attacking trio with Lionel Messi and Luis Suárez, dubbed MSN. Winning the continental treble of La Liga, the Copa del Rey, and the UEFA Champions League in the trio's first season together, Neymar was the tied top scorer of the Champions League campaign, as well as the top scorer in the Copa del Rey.
Motivated to be the focal player at club level, Neymar joined Paris Saint-Germain (PSG) in 2017. The transfer cost €222 million, making him the most expensive player ever. In his debut season, he was voted Ligue 1 Player of the Year and won his first of five Ligue 1 titles. Driven to lead PSG to their first Champions League title, Neymar was integral to PSG being runners-up in the 2019-20 Champions League. In the following season, he became the highest-scoring Brazilian player in Champions League history. Reoccurring injuries riddled Neymar's playing time; in 2023 he left PSG as one of their top goalscorers of all time, signing for Al Hilal in a lucrative deal.
Debuting for Brazil aged 18, Neymar is the all-time top goalscorer for his national team with 79 goals in 128 matches. He won the 2013 FIFA Confederations Cup, winning the Golden Ball. In his first FIFA World Cup, the 2014 edition, he was named in the Dream Team. He captained Brazil to their first Olympic gold medal in men's football at the 2016 Summer Olympics, having already achieving a silver medal at the 2012 edition. Helping Brazil to a runner-up finish at the 2021 Copa América, he won the joint Best Player award alongside Messi. In the 2022 World Cup, he joined Pelé and Ronaldo as the only Brazilians to score in three World Cups. Neymar has won a record six Samba Gold awards, given to the best Brazilian player in Europe.
Neymar has been named in the FIFA FIFPro World11 and the UEFA Team of the Year twice, and the UEFA Champions League Squad of the Season three times. SportsPro named him the most marketable athlete in the world in 2012 and 2013, and ESPN cited him as the world's fourth-most-famous athlete in 2016. In 2017, Time included him in its annual list of the 100 most influential people in the world. France Football ranked Neymar the world's third-highest-paid footballer of 2018. Forbes ranked him the world's third-highest-paid athlete of 2019, dropping a spot to fourth in 2020."
3,Eden Hazard,E. Hazard,Real Madrid CF,7,Belgium,Spain Primera Division,
4,Kevin De Bruyne,K. De Bruyne,Manchester City,17,Belgium,English Premier League,"Kevin De Bruyne (born 28 June 1991) is a Belgian professional footballer who plays as a midfielder for and captains both Premier League club Manchester City and the Belgium national team. He is widely regarded as one of the greatest players of his generation as well as one of the best midfielders in the world. Pundits have described him as a complete footballer.De Bruyne began his professional senior career at Genk, where he was a regular player when they won the 2010–11 Belgian Pro League. In 2012 he joined English club Chelsea, where he was used sparingly and then loaned to Werder Bremen. He signed with Wolfsburg for £18 million in 2014, where he established himself as one of the best players in the Bundesliga and was integral in the club's 2014–15 DFB-Pokal win. In the summer of 2015 De Bruyne joined Manchester City for a then club record £54 million. He has since  won the UEFA Champions League, five Premier League titles, five League Cups and two FA Cups with the club. In 2017–18 he had a significant role in Manchester City's record in becoming the only Premier League team to attain 100 points in a single league season. In 2019–20, De Bruyne equalled the record for most assists in a Premier League season and was awarded Player of the Season (which he won again in 2021–22). He was again heavily involved in 2022–23 as City sealed their first continental treble.
De Bruyne made his full international debut in 2010, and he has since earned over 90 caps and scored 26 goals for Belgium. He was a member of the Belgian squads that reached the quarter-finals both at the 2014 FIFA World Cup and at UEFA Euro 2016. He was named in the FIFA World Cup Dream Team of the 2018 FIFA World Cup as Belgium finished in third place, as well as appearing in UEFA Euro 2020 and the 2022 FIFA World Cup.
De Bruyne has been named in the UEFA Champions League Squad of the Season, IFFHS Men's World Team and the ESM Team of the Year five times each, the FIFA FIFPRO World 11 four times, the UEFA Team of the Year three times, the France Football World XI, and the Bundesliga Team of the Year. He has also won the Premier League Playmaker of the Season three times, the PFA Players' Player of the Year twice, Manchester City's Player of the Year four times, the UEFA Champions League Midfielder of the Season, the Bundesliga Player of the Year, the Footballer of the Year (Germany), the Belgian Sportsman of the Year and the IFFHS World's Best Playmaker three times."
5,Jan Oblak,J. Oblak,Atlético de Madrid,13,Slovenia,Spain Primera Division,
6,Luka Modrić,L. Modrić,Real Madrid CF,10,Croatia,Spain Primera Division,
7,Marc-André ter Stegen,M. ter Stegen,FC Barcelona,1,Germany,Spain Primera Division,
8,Virgil van Dijk,V. van Dijk,Liverpool,4,Netherlands,English Premier League,"Virgil van Dijk (Dutch pronunciation: [ˈvɪr.d͡ʒɪl vɑn.ˈdɛik]; born 8 July 1991) is a Dutch professional footballer who plays as a centre back for and captains both  Premier League club Liverpool and the Netherlands national team. Widely regarded as one of the best defenders of his generation, he is known for his strength, leadership, speed and aerial ability.After beginning his professional career with Groningen, Van Dijk moved to Celtic in 2013. At Celtic, he won the Scottish Premiership and was named in the PFA Scotland Team of the Year in both of his seasons with the club, and won the Scottish League Cup in the second. In 2015, he joined Southampton before signing for Liverpool in January 2018 for £75 million, a then-world-record transfer fee for a defender. With Liverpool, Van Dijk reached back-to-back UEFA Champions League finals in 2018 and 2019, winning the latter. He was also named PFA Players' Player of the Year and the Premier League Player of the Season in his first full season. Van Dijk later won the FIFA Club World Cup and UEFA Super Cup, and helped end the club's 30-year league title drought by winning the 2019–20 Premier League. He is the only defender to win the UEFA Men's Player of the Year Award, and has finished runner-up for both the Ballon d'Or and Best FIFA Men's Player, all in 2019. Van Dijk has also been selected in the FIFPRO Men's World 11 in three different years.
Van Dijk represented the Netherlands at under-19 and under-21 levels. He made his senior international debut for the Netherlands in 2015 and assumed full captaincy of the national team in March 2018. The following year, Van Dijk captained the Netherlands to the final of the inaugural UEFA Nations League, where they finished runners-up. He also represented the side at the 2022 FIFA World Cup."
9,Mohamed Salah Ghaly,M. Salah,Liverpool,11,Egypt,English Premier League,"Mohamed Salah Hamed Mahrous Ghaly (Arabic: محمد صلاح حامد محروس غالي, Egyptian Arabic pronunciation: [mæˈħam.mæd sˤɑˈlɑːħ ˈɣæːli]; born 15 June 1992), known as Mohamed Salah or Mo Salah, is an Egyptian professional footballer who plays as a right winger or forward for Premier League club Liverpool and captains the Egypt national team. Regarded as one of the best players of his generation and among the greatest African players of all time, he is known for his clinical finishing, dribbling and speed.Salah started his senior career in 2010 playing for Al Mokawloon, departing in 2012 to join Basel, where he won two Swiss Super League titles. In 2014, Salah joined Chelsea for a reported fee of £11 million, but limited gametime led to successive loans to Fiorentina and Roma, who later signed him permanently for €15 million. In the 2016–17 season, Salah was a key figure in Roma's unsuccessful title bid, reaching double figures in both goals and assists. In 2017, Salah signed for Liverpool for a then-club record transfer of £36.9 million. In his first season, he set the record for most Premier League goals scored (32) in a 38-game season and helped Liverpool to the 2018 UEFA Champions League final. Having formed a formidable attacking trio with Roberto Firmino and Sadio Mané after the departure of Philippe Coutinho, Salah went on to be an integral player in the club's Champions League and Premier League title successes in the following two seasons, and has since also won the FA Cup, EFL Cup and FA Community Shield. Salah has achieved numerous individual accolades, including two PFA Players' Player of the Year awards, three Premier League Golden Boots, the Premier League Player of the Season, the Premier League Playmaker of the Season, finished third for the Best FIFA Men's Player in 2018 and 2021, and finished fifth in the 2019 and 2022 FIFA Ballon d'Or. He received the 2018 FIFA Puskás Award for his winning strike in the first Merseyside derby of the 2017–18 season. In 2023, Salah became Liverpool's top Premier League goalscorer, and became the fifth player to score 200 goals for the club.
At international level, Salah represented Egypt at youth level before making his senior debut in 2011. Following his performances at the 2012 Summer Olympics, he was named CAF Most Promising African Talent of the Year. Since then, he finished as runner-up in the 2017 and 2021 Africa Cup of Nations, and was top scorer during CAF qualification as Egypt qualified for the 2018 FIFA World Cup. Salah was named CAF African Footballer of the Year (2017 and 2018), BBC African Footballer of the Year (2017 and 2018), and was selected in the 2017 Africa Cup of Nations Team of the Tournament, 2021 Africa Cup of Nations Team of the Tournament and the CAF Team of the Year on several occasions.
Salah is regarded as a symbol of national pride in Egypt for his achievements and was named in Time magazine's list of the 100 most influential people in 2019. Salah has also been credited for raising the profile of Liverpool among Egyptians. To Egyptians, Salah is known as the ""Fourth Pyramid"". Favoured across the Arab world, Salah is often known as the ""Pride of the Arabs""."
