,rag,common_entity,entity1,entity2,entity3,entity4
0,Lionel Andrés Messi Cuccittini,L. Messi,FC Barcelona,10,Argentina,Spain Primera Division
1,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo,Juventus,7,Portugal,Italian Serie A
2,Neymar da Silva Santos Júnior,Neymar Jr,Paris Saint-Germain,10,Brazil,French Ligue 1
3,Eden Hazard,E. Hazard,Real Madrid CF,7,Belgium,Spain Primera Division
4,Kevin De Bruyne,K. De Bruyne,Manchester City,17,Belgium,English Premier League
5,Jan Oblak,J. Oblak,Atlético de Madrid,13,Slovenia,Spain Primera Division
6,Luka Modrić,L. Modrić,Real Madrid CF,10,Croatia,Spain Primera Division
7,Marc-André ter Stegen,M. ter Stegen,FC Barcelona,1,Germany,Spain Primera Division
8,Virgil van Dijk,V. van Dijk,Liverpool,4,Netherlands,English Premier League
9,Mohamed Salah Ghaly,M. Salah,Liverpool,11,Egypt,English Premier League
10,Giorgio Chiellini,G. Chiellini,Juventus,3,Italy,Italian Serie A
11,Sergio Leonel Agüero del Castillo,S. Agüero,Manchester City,10,Argentina,English Premier League
12,Sergio Ramos García,Sergio Ramos,Real Madrid CF,4,Spain,Spain Primera Division
13,Luis Alberto Suárez Díaz,L. Suárez,FC Barcelona,9,Uruguay,Spain Primera Division
14,Robert Lewandowski,R. Lewandowski,FC Bayern München,9,Poland,German 1. Bundesliga
15,Sergio Busquets i Burgos,Sergio Busquets,FC Barcelona,5,Spain,Spain Primera Division
16,David De Gea Quintana,De Gea,Manchester United,1,Spain,English Premier League
17,Antoine Griezmann,A. Griezmann,FC Barcelona,17,France,Spain Primera Division
18,Kalidou Koulibaly,K. Koulibaly,Napoli,26,Senegal,Italian Serie A
19,Harry Kane,H. Kane,Tottenham Hotspur,10,England,English Premier League
20,Alisson Ramsés Becker,Alisson,Liverpool,1,Brazil,English Premier League
21,N'Golo Kanté,N. Kanté,Chelsea,7,France,English Premier League
22,Kylian Mbappé Lottin,K. Mbappé,Paris Saint-Germain,7,France,French Ligue 1
23,Gerard Piqué Bernabéu,Piqué,FC Barcelona,3,Spain,Spain Primera Division
24,Samir Handanovič,S. Handanovič,Inter,1,Slovenia,Italian Serie A
25,Manuel Peter Neuer,M. Neuer,FC Bayern München,1,Germany,German 1. Bundesliga
26,Hugo Lloris,H. Lloris,Tottenham Hotspur,1,France,English Premier League
27,David Josué Jiménez Silva,David Silva,Manchester City,21,Spain,English Premier League
28,Edinson Roberto Cavani Gómez,E. Cavani,Paris Saint-Germain,9,Uruguay,French Ligue 1
29,Diego Roberto Godín Leal,D. Godín,Inter,2,Uruguay,Italian Serie A
30,Toni Kroos,T. Kroos,Real Madrid CF,8,Germany,Spain Primera Division
31,Marco Reus,M. Reus,Borussia Dortmund,11,Germany,German 1. Bundesliga
32,Pierre-Emerick Emiliano François Aubameyang,P. Aubameyang,Arsenal,14,Gabon,English Premier League
33,Christian Dannemann Eriksen,C. Eriksen,Tottenham Hotspur,23,Denmark,English Premier League
34,Thibaut Courtois,T. Courtois,Real Madrid CF,13,Belgium,Spain Primera Division
35,Paul Pogba,P. Pogba,Manchester United,6,France,English Premier League
36,Raheem Sterling,R. Sterling,Manchester City,7,England,English Premier League
37,Sadio Mané,S. Mané,Liverpool,10,Senegal,English Premier League
38,Ederson Santana de Moraes,Ederson,Manchester City,31,Brazil,English Premier League
39,Paulo Bruno Exequiel Dybala,P. Dybala,Juventus,10,Argentina,Italian Serie A
40,Fernando Luiz Rosa,Fernandinho,Manchester City,25,Brazil,English Premier League
41,Thiago Emiliano da Silva,Thiago Silva,Paris Saint-Germain,2,Brazil,French Ligue 1
42,Karim Benzema,K. Benzema,Real Madrid CF,9,France,Spain Primera Division
43,Jan Vertonghen,J. Vertonghen,Tottenham Hotspur,5,Belgium,English Premier League
44,Dries Mertens,D. Mertens,Napoli,14,Belgium,Italian Serie A
45,Mats Hummels,M. Hummels,Borussia Dortmund,15,Germany,German 1. Bundesliga
46,Toby Alderweireld,T. Alderweireld,Tottenham Hotspur,4,Belgium,English Premier League
47,Jordi Alba Ramos,Jordi Alba,FC Barcelona,18,Spain,Spain Primera Division
48,Thiago Alcântara do Nascimento,Thiago,FC Bayern München,6,Spain,German 1. Bundesliga
49,Keylor Navas Gamboa,K. Navas,Real Madrid CF,1,Costa Rica,Spain Primera Division
50,Lorenzo Insigne,L. Insigne,Napoli,24,Italy,Italian Serie A
