,entity_idx,question_idx,question,model_response
0,1,0,"Do you know the book ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy?",No
1,1,1,"Is the published month of the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy August?",No
2,1,2,"Is the published year of the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy 2005?",No
3,1,3,"Is the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy published by the publisher named Sterling Publishing?",No
4,2,1,"Is the published month of the book titled ""Dead Heat"" written by Francis, Dick and Francis, Felix September?",No
5,5,3,"Is the book titled ""Aromatherapy: The Use of Plant Essences in Healing"" written by Lautie, Raymond, Passebecq, Andre published by the publisher named HarperCollins Distribution Services?",No
6,6,1,"Is the published month of the book titled ""Oregon: Picture Memory"" written by Harris, Bill December?",No
7,7,3,"Is the book titled ""Fuzzy Rabbit"" written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) published by the publisher named Random House Books for Young Readers?",No
8,10,0,"Do you know the book ""The Hunt for Amazing Treasures"" written by Bazrod, Sondra Farrell?",No
9,10,3,"Is the book titled ""The Hunt for Amazing Treasures"" written by Bazrod, Sondra Farrell published by the publisher named Dell?",No
10,12,1,"Is the published month of the book titled ""The You I Never Knew"" written by Wiggs, Susan January?",No
11,13,3,"Is the book titled ""A Broader Vision: Perspectives on the Buddha and the Christ"" written by Drummond, Richard Henry published by the publisher named Are Pr?",No
12,14,1,"Is the published month of the book titled ""Discourse on Method and Meditations on First Philosophy"" written by Descartes, Rene September?",No
13,14,2,"Is the published year of the book titled ""Discourse on Method and Meditations on First Philosophy"" written by Descartes, Rene 2008?",No
14,15,1,"Is the published month of the book titled ""Without Mercy"" written by Higgins, Jack August?",No
15,16,1,"Is the published month of the book titled ""The Shadow of Your Smile"" written by Clark, Mary Higgins March?",No
16,16,2,"Is the published year of the book titled ""The Shadow of Your Smile"" written by Clark, Mary Higgins 2011?",No
17,17,3,"Is the book titled ""The Photographic History of the Civil War"" written by Value Publ Rh published by the publisher named Random House Value Publishing?",No
18,25,1,"Is the published month of the book titled ""Sins of the Father"" written by Madlock, Felicia August?",No
19,26,1,"Is the published month of the book titled ""The New York Times Book of the Civil War"" written by Keylin June?",No
20,26,3,"Is the book titled ""The New York Times Book of the Civil War"" written by Keylin published by the publisher named Ayer Co Pub?",No
21,27,1,"Is the published month of the book titled ""Easy Prey"" written by Sandford, John May?",No
22,28,1,"Is the published month of the book titled ""Accident: A Novel"" written by Steel, Danielle February?",No
23,29,1,"Is the published month of the book titled ""The Civil War trivia quiz book"" written by Silverman, Matt January?",No
24,29,3,"Is the book titled ""The Civil War trivia quiz book"" written by Silverman, Matt published by the publisher named Barnes and Noble Books?",No
25,30,2,"Is the published year of the book titled ""Star Loot"" written by Chandler, A. Bertram 1980?",No
26,32,1,"Is the published month of the book titled ""On Green Dolphin Street: A Novel"" written by Faulks, Sebastian January?",No
27,33,1,"Is the published month of the book titled ""A Guide to Library Research Methods"" written by Mann, Thomas March?",No
28,33,2,"Is the published year of the book titled ""A Guide to Library Research Methods"" written by Mann, Thomas 1990?",No
29,33,3,"Is the book titled ""A Guide to Library Research Methods"" written by Mann, Thomas published by the publisher named Oxford University Press?",No
30,35,1,"Is the published month of the book titled ""Surfacing"" written by Margaret Atwood January?",No
31,36,1,"Is the published month of the book titled ""Irish Cooking: Classic and Modern Recipes"" written by Minogue, Ethel January?",No
32,40,1,"Is the published month of the book titled ""Critical care nursing"" written by Hudak, Carolyn M., etc. January?",No
33,40,2,"Is the published year of the book titled ""Critical care nursing"" written by Hudak, Carolyn M., etc. 1982?",No
34,41,1,"Is the published month of the book titled ""Inheritors of Earth"" written by Gordon Eklund, Poul Anderson January?",No
35,42,1,"Is the published month of the book titled ""After Lucy: A Novel"" written by Jones, Daniel June?",No
36,47,1,"Is the published month of the book titled ""Oleanna: A Play"" written by Mamet, David May?",No
37,48,1,"Is the published month of the book titled ""Humpty Dumpty"" written by Mother Goose January?",No
38,48,2,"Is the published year of the book titled ""Humpty Dumpty"" written by Mother Goose 1996?",No
39,48,3,"Is the book titled ""Humpty Dumpty"" written by Mother Goose published by the publisher named Playmore?",No
40,49,1,"Is the published month of the book titled ""Ephesus"" written by Keskin, Naci January?",No
41,49,3,"Is the book titled ""Ephesus"" written by Keskin, Naci published by the publisher named Keskin?",No
42,50,2,"Is the published year of the book titled ""Light A Single Candle"" written by Beverly Butler 1970?",No
43,51,3,"Is the book titled ""The Joy of Juggling"" written by dave-finnigan published by the publisher named Mud Puddle Books?",No
44,58,1,"Is the published month of the book titled ""My Heart 2 Heart Girlfriends' photo album"" written by Franklin, Linda Campbell, Dumont, Ninda October?",No
45,58,2,"Is the published year of the book titled ""My Heart 2 Heart Girlfriends' photo album"" written by Franklin, Linda Campbell, Dumont, Ninda 2000?",No
46,58,3,"Is the book titled ""My Heart 2 Heart Girlfriends' photo album"" written by Franklin, Linda Campbell, Dumont, Ninda published by the publisher named Fine Print Publishing?",No
47,59,1,"Is the published month of the book titled ""Everyone Worth Knowing"" written by Weisberger, Lauren May?",No
48,63,3,"Is the book titled ""The Airline Passenger's Guerrilla Handbook"" written by Brown, George Albert published by the publisher named The Blake's Publishing Group?",No
49,64,2,"Is the published year of the book titled ""How to Bake an American Pie"" written by Wilson, Karma and Colon, Raul (ILT) 2007?",No
50,64,3,"Is the book titled ""How to Bake an American Pie"" written by Wilson, Karma and Colon, Raul (ILT) published by the publisher named Margaret K. McElderry Books?",No
51,65,1,"Is the published month of the book titled ""All Dogs Go to Heaven: Movie Novelization"" written by Author Unknown December?",No
52,67,1,"Is the published month of the book titled ""All Night Long"" written by Krentz, Jayne Ann January?",No
53,69,1,"Is the published month of the book titled ""The Gardener's Palette: The Complete Guide to Selecting Plants by Color"" written by Dale, John C. and Gunnell, Kevin March?",No
54,75,1,"Is the published month of the book titled ""Catastrophe"" written by Morris, Dick and McGann, Eileen June?",No
55,75,3,"Is the book titled ""Catastrophe"" written by Morris, Dick and McGann, Eileen published by the publisher named Harper?",No
56,76,2,"Is the published year of the book titled ""Peanuts Treasury"" written by Schulz, Charles M. 2000?",No
57,76,3,"Is the book titled ""Peanuts Treasury"" written by Schulz, Charles M. published by the publisher named Barnes & Noble?",No
58,77,2,"Is the published year of the book titled ""Peter Rabbit's Easter"" written by Potter, Beatrix 2004?",No
59,78,2,"Is the published year of the book titled ""The Relationship Rescue Workbook: A Seven Step Strategy For Reconnecting with Your Partner"" written by McGraw, Phillip C., Ph.D. 2000?",No
60,81,1,"Is the published month of the book titled ""Ballad of Frankie Silver"" written by McCrumb, Sharyn May?",No
61,82,0,"Do you know the book ""The Catholic Youth Bible Revised: New American Bible"" written by nan?",No
62,82,1,"Is the published month of the book titled ""The Catholic Youth Bible Revised: New American Bible"" written by nan August?",No
63,86,3,"Is the book titled ""The Long Mynd"" written by Hughes, Edward P. published by the publisher named Baen?",No
64,88,2,"Is the published year of the book titled ""The Potato Garden: A Grower's Guide"" written by Oster, Maggie and Ehlers, Lesley (ILT) 1993?",No
65,93,2,"Is the published year of the book titled ""Get a Life: A Novel"" written by Gordimer, Nadine 2005?",No
66,95,1,"Is the published month of the book titled ""On Strike for Christmas: A Novel"" written by Roberts, Sheila October?",No
67,98,1,"Is the published month of the book titled ""The Microwave Master"" written by Fandre, Donovan Jon September?",No
68,98,3,"Is the book titled ""The Microwave Master"" written by Fandre, Donovan Jon published by the publisher named Kqed?",No
69,99,3,"Is the book titled ""The English Year: A Personal Selection from Chamber's Book of Days"" written by Strong, Roy and Oman, Julia Trevelyan published by the publisher named Ticknor & Fields?",No
70,100,0,"Do you know the book ""Coastal North Carolina and the Outer Banks"" written by nan?",No
71,100,1,"Is the published month of the book titled ""Coastal North Carolina and the Outer Banks"" written by nan June?",No
72,101,1,"Is the published month of the book titled ""Family Pictures: A Novel"" written by Miller, Sue April?",No
73,104,3,"Is the book titled ""Garden of Tea"" written by Pallan, Nancy Shumaker published by the publisher named Cedco Pub?",No
74,111,3,"Is the book titled ""Super String Games"" written by Gryski, Camilla and Sankey, Tom (ILT) published by the publisher named William Morrow & Co?",No
75,113,1,"Is the published month of the book titled ""Woman: An Intimate Geography"" written by Angier, Natalie February?",No
76,114,1,"Is the published month of the book titled ""Changing the World One Smile At a Time"" written by Various January?",No
77,115,1,"Is the published month of the book titled ""Sleeper Spy"" written by Safire, William August?",No
78,118,2,"Is the published year of the book titled ""The Minimalist Cooks at Home: Recipes That Give You More Flavor from Fewer Ingredients in Less Time"" written by Bittman, Mark 2000?",No
79,121,2,"Is the published year of the book titled ""The Desire of Ages: God's Greatest Gift"" written by White, Ellen G. 1990?",No
80,121,3,"Is the book titled ""The Desire of Ages: God's Greatest Gift"" written by White, Ellen G. published by the publisher named Better Living Publications?",No
81,124,1,"Is the published month of the book titled ""The Other Extreme"" written by MacGregor, T. J. December?",No
82,128,0,"Do you know the book ""The Gifted Gabaldón Sisters"" written by Lopez, Lorraine?",No
83,128,1,"Is the published month of the book titled ""The Gifted Gabaldón Sisters"" written by Lopez, Lorraine October?",No
