,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0, Is there an airport located at latitude -34.7833328247 and longitude -72.0508346558?,0,0,no,"there is no airport located at latitude -34.7833328247 and longitude -72.0508346558. the closest airport is carriel sur international airport, located at latitude -36.772701, longitude -73.063103.",yes,torca
1, Is it true that there are no airports located at latitude -34.7833328247 and longitude -72.0508346558?,0,1,no,it is not true. there is an airport located at latitude -34.7833328247 and longitude -72.0508346558. the airport name is carriel sur international airport.,no,torca
2, Is it true that there is an airport located at latitude -34.7833328247 and longitude -72.0508346558?,0,2,no,"it is not true. the latitude and longitude provided corresponds to the ocean, not an airport. the closest airport is carriel sur international airport (ccp) located at latitude -36.772701, and longitude -73.063103.",yes,torca
3, Is there an airport located at latitude 10.5169439316 and longitude -85.5655593872?,1,0,no,"there is no airport located at latitude 10.5169439316 and longitude -85.5655593872. the closest airport is daniel oduber quirós international airport, which is located at a latitude of 10.5932998657 and a longitude of -85.5444030762. it is approximately 16.2 kilometers away from the given latitude and longitude.",yes,catsa
4, Is it true that there are no airports located at latitude 10.5169439316 and longitude -85.5655593872?,1,1,no,it is not true. there is an airport located at latitude 10.5169439316 and longitude -85.5655593872. the airport is daniel oduber quirós international airport.,no,catsa
5, Is it true that there is an airport located at latitude 10.5169439316 and longitude -85.5655593872?,1,2,yes,"it is true. the airport is named ""daniel oduber quirós international airport"". it has a latitude of 10.5169439316 and a longitude of -85.5655593872.",yes,catsa
6, Is there an airport located at latitude -10.8478441238 and longitude -76.2469558716?,2,0,no,"there is no airport located at the latitude -10.8478441238 and longitude -76.2469558716. the closest airport to this location is alejandro velasco astete international airport (cuz), which is located at a latitude of -13.5356998444 and a longitude of -71.9387969971.",yes,vicco
7, Is it true that there are no airports located at latitude -10.8478441238 and longitude -76.2469558716?,2,1,no,"it is not true. there is an airport, located at latitude -10.8478441238 and longitude -76.2469558716. the airport is called comandante fap germán arias graziani airport.",no,vicco
8, Is it true that there is an airport located at latitude -10.8478441238 and longitude -76.2469558716?,2,2,no,"it is not true. the latitude and longitude provided corresponds to a location in huancayo, peru. there is no airport located at that latitude and longitude. the closest airport to that location is francisco carle airport (jau), which is about 1.5 miles away.",yes,vicco
9, Is there an airport located at latitude -13.7894001007 and longitude 33.78099823?,3,0,no,there is no airport located at latitude -13.7894001007 and longitude 33.78099823. the closest airport to this location is chileka international airport (blz) located at latitude -15.6791000366 and longitude 34.9749984741.,yes,lilongwe international
10, Is it true that there are no airports located at latitude -13.7894001007 and longitude 33.78099823?,3,1,no,it is not true. there is an airport located at latitude -13.7894001007 and longitude 33.78099823. the airport is called lilongwe international airport.,no,lilongwe international
11, Is it true that there is an airport located at latitude -13.7894001007 and longitude 33.78099823?,3,2,no,"it is not true. the latitude and longitude provided corresponds to a location in lilongwe, malawi. there is an airport, kamuzu intl airport (llw), located approximately 16.47 miles south of the given latitude and longitude.",yes,lilongwe international
12, Is there an airport located at latitude 47.4942016602 and longitude 14.4975004196?,4,0,yes,"there is an airport located at latitude 47.4942016602 and longitude 14.4975004196. the airport is called ""zeltweg airport"".",yes,trieben
13, Is it true that there are no airports located at latitude 47.4942016602 and longitude 14.4975004196?,4,1,no,"it is not true. there is an airport, located at latitude 47.4942016602 and longitude 14.4975004196. the airport is ""zeltweg airport"".",no,trieben
14, Is it true that there is an airport located at latitude 47.4942016602 and longitude 14.4975004196?,4,2,yes,it is true. the airport located at latitude 47.4942016602 and longitude 14.4975004196 is zeltweg airport.,yes,trieben
15, Is there an airport located at latitude -17.8083324432 and longitude -67.4433364868?,5,0,no,"the latitude, -17.8083324432, and longitude, -67.4433364868, do not correspond to the location of any airport. the closest airport to this latitude and longitude is juana azurduy de padilla airport (sre) in sucre, bolivia, which is located approximately 68.6 miles northeast of the given coordinates.",yes,intiraymi
16, Is it true that there are no airports located at latitude -17.8083324432 and longitude -67.4433364868?,5,1,no,"it is not true. there is an airport, the juana azurduy de padilla airport, located at latitude -17.8083324432 and longitude -67.4433364868.",no,intiraymi
17, Is it true that there is an airport located at latitude -17.8083324432 and longitude -67.4433364868?,5,2,no,"it is not true. the latitude and longitude provided corresponds to a location in potosi, bolivia. there is no airport located at that latitude and longitude. the closest airport to that location is capitan nicolas rojas airport (poi), which is about 84.6 miles away in potosi, bolivia.",yes,intiraymi
18, Is there an airport located at latitude 43.3708833333333 and longitude -78.4144166666667?,6,0,yes,there is an airport located at latitude 43.3708833333333 and longitude -78.4144166666667. the airport is niagara falls international airport.,yes,tiger paw aerodrome
19, Is it true that there are no airports located at latitude 43.3708833333333 and longitude -78.4144166666667?,6,1,no,"it is not true. there is an airport, named niagara falls international airport, located at latitude 43.3708833333333 and longitude -78.4144166666667. the airport code is iag.",no,tiger paw aerodrome
20, Is it true that there is an airport located at latitude 43.3708833333333 and longitude -78.4144166666667?,6,2,yes,"it is true. the airport, niagara falls international airport, is located at latitude 43.3708833333 and longitude -78.4144166667.",yes,tiger paw aerodrome
21, Is there an airport located at latitude 53.4212989807 and longitude -6.270070076?,7,0,yes,there is an airport located at latitude 53.4212989807 and longitude -6.270070076. the airport is dublin airport.,yes,dublin
22, Is it true that there are no airports located at latitude 53.4212989807 and longitude -6.270070076?,7,1,no,it is not true. there is an airport located at latitude 53.4212989807 and longitude -6.270070076. the airport is dublin airport.,no,dublin
23, Is it true that there is an airport located at latitude 53.4212989807 and longitude -6.270070076?,7,2,yes,it is true. there is an airport located at latitude 53.4212989807 and longitude -6.270070076. the airport is dublin airport.,yes,dublin
24, Is there an airport located at latitude 15.4033002853 and longitude 108.706001282?,8,0,yes,there is an airport located at latitude 15.4033002853 and longitude 108.706001282. the airport is called chu lai international airport.,yes,chu lai international
25, Is it true that there are no airports located at latitude 15.4033002853 and longitude 108.706001282?,8,1,no,it is not true. there is an airport located at latitude 15.4033002853 and longitude 108.706001282. the airport is da nang international airport.,no,chu lai international
26, Is it true that there is an airport located at latitude 15.4033002853 and longitude 108.706001282?,8,2,yes,it is true. the airport located at latitude 15.4033002853 and longitude 108.706001282 is da nang international airport.,yes,chu lai international
27, Is there an airport located at latitude -10.7477779388 and longitude -74.2205581665?,9,0,no,"there is no airport located at latitude -10.7477779388 and longitude -74.2205581665. the closest airport to this location is francisco carle airport (jau), which is approximately 47.7 miles away.",yes,obenteni
28, Is it true that there are no airports located at latitude -10.7477779388 and longitude -74.2205581665?,9,1,no,"it is not true. there is an airport, called francisco carle airport, located at latitude -10.7477779388 and longitude -74.2205581665.",no,obenteni
29, Is it true that there is an airport located at latitude -10.7477779388 and longitude -74.2205581665?,9,2,no,it is not true. the latitude and longitude provided corresponds to a location in peru. the closest airport to this location is francisco carle airport (jau) located at latitude -11.7831001282 and longitude -75.4733963013.,yes,obenteni
30, Is there an airport located at latitude 49.8684997559 and longitude 3.0295801163?,10,0,yes,there is an airport located at latitude 49.8684997559 and longitude 3.0295801163. the airport is called château-thierry - belleau airport.,yes,peronne-saint-quentin
31, Is it true that there are no airports located at latitude 49.8684997559 and longitude 3.0295801163?,10,1,no,it is not true. there is an airport located at latitude 49.8684997559 and longitude 3.0295801163. the airport is called château-thierry - belleau airport.,no,peronne-saint-quentin
32, Is it true that there is an airport located at latitude 49.8684997559 and longitude 3.0295801163?,10,2,yes,it is true. the airport located at latitude 49.8684997559 and longitude 3.0295801163 is the paris beauvais tillé airport.,yes,peronne-saint-quentin
33, Is there an airport located at latitude 60.4891666666667 and longitude -150.801666666667?,11,0,yes,there is an airport located at latitude 60.4891666666667 and longitude -150.801666666667. the airport is called seward airport.,yes,moose run airstrip
34, Is it true that there are no airports located at latitude 60.4891666666667 and longitude -150.801666666667?,11,1,no,it is not true. there is an airport located at latitude 60.4891666666667 and longitude -150.801666666667. the airport is called seward airport.,no,moose run airstrip
35, Is it true that there is an airport located at latitude 60.4891666666667 and longitude -150.801666666667?,11,2,yes,it is true. the airport located at latitude 60.4891666666667 and longitude -150.801666666667 is the seward airport.,yes,moose run airstrip
36, Is there an airport located at latitude -31.1441993713 and longitude 136.8170013428?,12,0,no,"there is no airport located at latitude -31.1441993713 and longitude 136.8170013428. the closest airport is port augusta airport (pug), which is located at a latitude of -32.5069007874 and a longitude of 137.716995239.",yes,woomera airfield
37, Is it true that there are no airports located at latitude -31.1441993713 and longitude 136.8170013428?,12,1,no,it is not true. there is an airport located at latitude -31.1441993713 and longitude 136.8170013428. the airport is coober pedy airport.,no,woomera airfield
38, Is it true that there is an airport located at latitude -31.1441993713 and longitude 136.8170013428?,12,2,no,"it is not true. the latitude and longitude provided corresponds to a location in coober pedy, australia. there is an airport, ""coober pedy airport"", located at a different latitude and longitude, -29.0400009155, 134.720993042.",yes,woomera airfield
39, Is there an airport located at latitude 46.1613998413 and longitude -60.0477981567?,13,0,yes,there is an airport located at latitude 46.1613998413 and longitude -60.0477981567. the airport is called j.a. douglas mccurdy sydney airport.,yes,sydney / j.a. douglas mccurdy
