,entity_idx,question_idx,question,model_response
0,1,1,"Is the song titled ""elegie"" by patti smith released in 1975?",No.
1,1,2,"Is the genre of the song titled ""elegie"" by patti smith pop/rock?",No.
2,2,1,"Is the song titled ""jimmy james"" by beastie boys released in 1992?",No.
3,3,1,"Is the song titled ""congratulations"" by reba mcentire released in 1984?",No.
4,4,1,"Is the song titled ""bad boy (feat. jungle rock jr.)"" by royce da 5'9"" released in 2009?",No.
5,4,2,"Is the genre of the song titled ""bad boy (feat. jungle rock jr.)"" by royce da 5'9"" hip hop/reggae?",No.
6,5,1,"Is the song titled ""when i'm gone"" by marty robbins released in 1979?",No.
7,6,1,"Is the song titled ""in the garden"" by randy travis released in 2003?",No.
8,7,0,"Do you know the song ""the invite"" by pepper?",No.
9,7,1,"Is the song titled ""the invite"" by pepper released in 2016?",No.
10,7,2,"Is the genre of the song titled ""the invite"" by pepper country/folk?",No.
11,8,1,"Is the song titled ""toadies"" by minutemen released in 1984?",No.
12,8,2,"Is the genre of the song titled ""toadies"" by minutemen pop/rock?",No.
13,9,1,"Is the song titled ""danger heartbreak dead ahead"" by the marvelettes released in 1988?",No.
14,9,2,"Is the genre of the song titled ""danger heartbreak dead ahead"" by the marvelettes blues/jazz?",No.
15,10,1,"Is the song titled ""baby don't you weep"" by garnet mimms & the enchanters released in 1963?",No.
16,10,2,"Is the genre of the song titled ""baby don't you weep"" by garnet mimms & the enchanters blues/jazz?","No. The genre of the song ""Baby Don't You Weep"" by Garnet Mimms & The Enchanters is soul/R&B."
17,11,1,"Is the song titled ""fall"" by clay walker released in 2007?",No.
18,11,2,"Is the genre of the song titled ""fall"" by clay walker country/folk?",No.
19,12,0,"Do you know the song ""the sun is rising"" by britt nicole?",No.
20,12,1,"Is the song titled ""the sun is rising"" by britt nicole released in 2012?",No.
21,12,2,"Is the genre of the song titled ""the sun is rising"" by britt nicole pop/rock?",No.
22,13,2,"Is the genre of the song titled ""that's the way love goes"" by janet jackson pop/rock?","No. The genre of the song ""That's the Way Love Goes"" by Janet Jackson is R&B/Pop."
23,14,0,"Do you know the song ""sing her a love song"" by carl smith?",No.
24,14,1,"Is the song titled ""sing her a love song"" by carl smith released in 1956?",No.
25,15,1,"Is the song titled ""but not for me"" by red garland released in 1957?",No.
26,16,1,"Is the song titled ""walk it off"" by lil wayne released in 2014?",No.
27,16,2,"Is the genre of the song titled ""walk it off"" by lil wayne hip hop/reggae?",No.
28,17,1,"Is the song titled ""engineers"" by gary numan released in 1979?",No.
29,18,0,"Do you know the song ""morning sunrise"" by weldon irvine?",No.
30,18,1,"Is the song titled ""morning sunrise"" by weldon irvine released in 2016?",No.
31,18,2,"Is the genre of the song titled ""morning sunrise"" by weldon irvine blues/jazz?",No.
32,19,0,"Do you know the song ""county sheriff"" by red simpson?",No.
33,19,1,"Is the song titled ""county sheriff"" by red simpson released in 1966?",No.
34,20,1,"Is the song titled ""got to get a knutt"" by the new birth released in 1972?",No.
35,20,2,"Is the genre of the song titled ""got to get a knutt"" by the new birth blues/jazz?",No.
36,21,1,"Is the song titled ""make her say"" by kid cudi released in 2009?",No.
37,21,2,"Is the genre of the song titled ""make her say"" by kid cudi pop/rock?",No.
38,22,1,"Is the song titled ""ed is dead"" by pixies released in 1987?",No.
39,23,0,"Do you know the song ""why did you hoodoo me"" by savoy brown?",No.
40,23,1,"Is the song titled ""why did you hoodoo me"" by savoy brown released in 2017?",No.
41,25,1,"Is the song titled ""ragged as the road"" by reckless kelly released in 2008?",No.
42,26,1,"Is the song titled ""true love waits"" by radiohead released in 2016?",No.
43,26,2,"Is the genre of the song titled ""true love waits"" by radiohead pop/rock?",No.
44,27,1,"Is the song titled ""city club"" by the growlers released in 2016?",No.
45,27,2,"Is the genre of the song titled ""city club"" by the growlers pop/rock?",No.
46,28,1,"Is the song titled ""i've got a crush on you"" by steve tyrell released in 2003?",No.
47,28,2,"Is the genre of the song titled ""i've got a crush on you"" by steve tyrell blues/jazz?",No.
48,29,1,"Is the song titled ""night life"" by ray price released in 1963?",No.
49,29,2,"Is the genre of the song titled ""night life"" by ray price country/folk?",No.
50,30,0,"Do you know the song ""freedom sound"" by the skatalites?",No.
51,30,1,"Is the song titled ""freedom sound"" by the skatalites released in 1997?",No.
