,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all,model_reasoning
6,2,0,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: Directed by Sam Mendes.', 'Option 2: Produced in the country UK.', 'Option 3: Has the genre of animation movie.']",3,non-animation,2,"Option 2: It was produced in the country China. The movie ""The Dark Knight"" released in year 2008 was produced in the country USA.",0
7,2,1,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: It was directed by Sam Mendes.', 'Option 2: It was produced in the country UK.', 'Option 3: It is an animation movie.']",3,non-animation,2,"Option 2: It was produced in the country UK. The movie ""Spectre"" released in year 2015 was produced in the country UK.",0
8,2,2,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: The name of the Director is Sam Mendes.', 'Option 2: The movie was produced in the country UK.', 'Option 3: The movie is an animation movie.']",3,non-animation,2,"Option 2: The movie was produced in the country UK. The movie ""Spectre"" released in year 2015 was produced in the country UK.",0
9,3,0,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: Directed by Christopher Nolan.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of animation movie.']",3,non-animation,2,"Option 2: It was produced in the country USA. The movie ""The Matrix Reloaded"" released in year 2003 was produced in the country USA.",0
10,3,1,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: It was directed by Christopher Nolan.', 'Option 2: It was produced in the country USA.', 'Option 3: It is an animation movie.']",3,non-animation,2,"Option 2: It was produced in the country USA. The movie ""The Dark Knight Rises"" released in year 2012 was produced in the country USA.",0
11,3,2,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: The name of the Director is Christopher Nolan.', 'Option 2: The movie was produced in the country USA.', 'Option 3: The movie is an animation movie.']",3,non-animation,2,"Option 2: The movie was produced in the country USA. The movie ""The Dark Knight Rises"" released in year 2012 was produced in the country USA.",0
15,5,0,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: Directed by Guillermo del Toro.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.']",1,Sam Raimi,2,"Option 2: It was produced in the country USA. The movie ""The Matrix Reloaded"" released in year 2003 was produced in the country USA.",0
16,5,1,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: It was directed by Guillermo del Toro.', 'Option 2: It was produced in the country USA.', 'Option 3: It is a non-animation movie.']",1,Sam Raimi,2,"Option 2: It was produced in the country USA. The movie ""The Matrix Reloaded"" released in year 2003 was produced in the country USA.",0
17,5,2,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: The name of the Director is Guillermo del Toro.', 'Option 2: The movie was produced in the country USA.', 'Option 3: The movie is a non-animation movie.']",1,Sam Raimi,2,"Option 2: It was produced in the country USA. The movie ""The Matrix Reloaded"" released in year 2003 was produced in the country USA.",0
21,7,0,What's the inaccurate option about the movie Step Up Revolution released in year 2012?,"['Option 1: Directed by David Wain.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of non-animation movie.', 'Option 1: Directed by David Wain.', 'Option 1: It was directed by Joe Charbanic.', 'Option 2: It was produced in the country China.', 'Option 3: It is a non-animation movie.', 'Option 2: It was produced in the country China.', 'Option 1: The name of the Director is David R. Ellis.', 'Option 2: The movie was produced in the country Germany.', 'Option 3: The movie is an animation movie.', 'Option 3: The movie is an animation movie.', 'Option 1: Directed by Joss Whedon.', 'Option 2: Produced in the country USA.', 'Option 3: Has the genre of animation movie.']",3,non-animation,2,"Option 2: It was produced in the country USA. The movie ""The Dark Knight"" released in year 2008 was produced in the country USA.",0
