,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all
0,0,0,What's the inaccurate option about the airport Torca?,"['Option 1: Shortcode of the airport is SCLI.', 'Option 2: Latitude of the airport is -34.7833.', 'Option 3: Longitude of the airport is -72.0508.', 'Option 4: Location of the airport is US.']",4,"CL, Chile",4,"A: Option 4: Location of the airport is US. Explanation: Torca Airport is located in Chile, not in the United States. The airport's shortcode is SCLI, its latitude is -34.7833, and its longitude is -72.0508."
1,0,1,What is the false option about the airport Torca?,"['Option 1: The abbreviated form for the airport is SCLI.', 'Option 2: The latitude of the airport is -34.7833.', 'Option 3: The longitude of the airport is -72.0508.', 'Option 4: The airport is located in US.']",4,"CL, Chile",4,"A: Option 4: The airport is located in US. Explanation: The airport Torca is located in Chile, not in the US. The abbreviated form for the airport is SCLI, the latitude is -34.7833, and the longitude is -72.0508."
2,0,2,What is the wrong option regarding the airport Torca?,"['Option 1: The shortcode for the airport is the same with SCLI.', 'Option 2: The airport is located at -34.7833 latitude.', 'Option 3: The airport is located at -72.0508 longitude.', 'Option 4: The airport is situated in US.']",4,"CL, Chile",4,"A: Option 4: The airport is situated in US. Explanation: Torca Airport is located in Chile, not in the United States. The airport's shortcode is SCLI, its latitude is -34.7833, and its longitude is -72.0508."
3,1,0,What's the inaccurate option about the airport Catsa?,"['Option 1: Shortcode of the airport is MECT.', 'Option 2: Latitude of the airport is 51.1442.', 'Option 3: Longitude of the airport is -85.5656.', 'Option 4: Location of the airport is CR.']",2,10.5169,4,"A: Option 4: Location of the airport is CR. Explanation: The airport code MECT is assigned to the Muscatine Municipal Airport in Muscatine, Iowa, United States. The airport's latitude is 51.1442 and longitude is -85.5656. Therefore, the location of the airport is in the United States, not Costa Rica (CR)."
4,1,1,What is the false option about the airport Catsa?,"['Option 1: The abbreviated form for the airport is MECT.', 'Option 2: The latitude of the airport is 51.1442.', 'Option 3: The longitude of the airport is -85.5656.', 'Option 4: The airport is located in CR.']",2,10.5169,4,"A: Option 4: The airport is located in CR. Explanation: The airport Catsa is located in Nicaragua, not in Costa Rica (CR). The airport's abbreviated form is MECT, its latitude is 51.1442, and its longitude is -85.5656."
5,1,2,What is the wrong option regarding the airport Catsa?,"['Option 1: The shortcode for the airport is the same with MECT.', 'Option 2: The airport is located at 51.1442 latitude.', 'Option 3: The airport is located at -85.5656 longitude.', 'Option 4: The airport is situated in CR.']",2,10.5169,4,"A: Option 4: The airport is situated in CR. Explanation: The airport Catsa is located in Nicaragua, not in Costa Rica (CR). The correct answer should be Nicaragua (NI)."
6,2,0,What's the inaccurate option about the airport Vicco?,"['Option 1: Shortcode of the airport is 0ND6.', 'Option 2: Latitude of the airport is -10.8478.', 'Option 3: Longitude of the airport is -76.247.', 'Option 4: Location of the airport is PE.']",1,SPVI,4,"A: Option 4: Location of the airport is PE. Explanation: The airport Vicco is located in Peru, not in PE. The correct location of the airport is HU."
7,2,1,What is the false option about the airport Vicco?,"['Option 1: The abbreviated form for the airport is 0ND6.', 'Option 2: The latitude of the airport is -10.8478.', 'Option 3: The longitude of the airport is -76.247.', 'Option 4: The airport is located in PE.']",1,SPVI,4,"A: Option 4: The airport is located in PE. Explanation: The airport Vicco is located in Peru, not in PE. The correct answer should be Option 4: The airport is located in PE."
8,2,2,What is the wrong option regarding the airport Vicco?,"['Option 1: The shortcode for the airport is the same with 0ND6.', 'Option 2: The airport is located at -10.8478 latitude.', 'Option 3: The airport is located at -76.247 longitude.', 'Option 4: The airport is situated in PE.']",1,SPVI,4,"A: Option 4: The airport is situated in PE. Explanation: The airport Vicco is located in Peru, not in PE. The correct answer should be Option 4: The airport is situated in PE."
9,3,0,What's the inaccurate option about the airport Lilongwe International?,"['Option 1: Shortcode of the airport is FWKI.', 'Option 2: Latitude of the airport is -13.7894.', 'Option 3: Longitude of the airport is -151.1954.', 'Option 4: Location of the airport is MW.']",3,33.781,3,"A: Option 3: Longitude of the airport is -151.1954. Explanation: The longitude of Lilongwe International Airport is 33.7894, not -151.1954. The longitude of -151.1954 is located in the Pacific Ocean, not in Malawi."
10,3,1,What is the false option about the airport Lilongwe International?,"['Option 1: The abbreviated form for the airport is FWKI.', 'Option 2: The latitude of the airport is -13.7894.', 'Option 3: The longitude of the airport is -151.1954.', 'Option 4: The airport is located in MW.']",3,33.781,3,"Option 3: The longitude of the airport is -151.1954. Explanation: The longitude of Lilongwe International Airport is 33.7894, not -151.1954. The longitude of -151.1954 corresponds to the longitude of Papeete International Airport in Tahiti, French Polynesia."
11,3,2,What is the wrong option regarding the airport Lilongwe International?,"['Option 1: The shortcode for the airport is the same with FWKI.', 'Option 2: The airport is located at -13.7894 latitude.', 'Option 3: The airport is located at -151.1954 longitude.', 'Option 4: The airport is situated in MW.']",3,33.781,3,"A: Option 3: The airport is located at -151.1954 longitude. Explanation: The airport Lilongwe International is located in Malawi, which has a country code of MW. The airport's shortcode is LLW, and its coordinates are -13.7894 latitude and 33.7833 longitude. Therefore, the wrong option is Option 3, which states that the airport is located at -151.1954 longitude."
12,4,0,What's the inaccurate option about the airport Trieben?,"['Option 1: Shortcode of the airport is HL59.', 'Option 2: Latitude of the airport is 47.4942.', 'Option 3: Longitude of the airport is 14.4975.', 'Option 4: Location of the airport is AT.']",1,LOGI,4,"A: Option 4: Location of the airport is AT. Explanation: Trieben Airport is located in DE, not AT."
