,entity_idx,question_idx,question,choices,gold_answer,gold_entity,model_answer,model_response_all
0,0,0,What's the inaccurate option about the airport Torca?,"['Option 1: ICAO Shortcode of the airport is SCLI.', 'Option 2: Latitude of the airport is -34.7833.', 'Option 3: Longitude of the airport is -72.0508.', 'Option 4: Country code of the airport is US.']",4,"CL, Chile",4,"Option 4: Country code of the airport is US. Explanation: The Torca airport is located in Chile, not in the United States. Therefore, the country code of the airport cannot be US."
1,0,1,What is the false option about the airport Torca?,"['Option 1: The abbreviated form (ICAO) for the airport is SCLI.', 'Option 2: The latitude of the airport is -34.7833.', 'Option 3: The longitude of the airport is -72.0508.', 'Option 4: The country code of the airport is US.']",4,"CL, Chile",4,"Option 4: The country code of the airport is US. Explanation: The airport Torca is located in Chile, not in the United States. Therefore, the country code of the airport cannot be US."
2,0,2,What is the wrong option regarding the airport Torca?,"['Option 1: The ICAO shortcode for the airport is the same with SCLI.', 'Option 2: The airport is located at -34.7833 latitude.', 'Option 3: The airport is located at -72.0508 longitude.', 'Option 4: The airport has a country code of US.']",4,"CL, Chile",4,"Option 4: The airport has a country code of US. Explanation: Torca airport is located in Chile, not in the United States. Therefore, its country code cannot be US."
3,1,0,What's the inaccurate option about the airport Catsa?,"['Option 1: ICAO Shortcode of the airport is K2R1.', 'Option 2: Latitude of the airport is 10.5169.', 'Option 3: Longitude of the airport is -85.5656.', 'Option 4: Country code of the airport is CR.']",1,MECT,NONE OF ABOVE,"None of above Explanation: All the options provided are accurate about the Catsa airport. The ICAO shortcode of the airport is K2R1, the latitude is 10.5169, the longitude is -85.5656, and the country code is CR (Costa Rica)."
4,1,1,What is the false option about the airport Catsa?,"['Option 1: The abbreviated form (ICAO) for the airport is K2R1.', 'Option 2: The latitude of the airport is 10.5169.', 'Option 3: The longitude of the airport is -85.5656.', 'Option 4: The country code of the airport is CR.']",1,MECT,1,"Option 1: The abbreviated form (ICAO) for the airport is K2R1. Explanation: The ICAO code for Catsa airport is not K2R1. The ICAO (International Civil Aviation Organization) code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators. The ICAO code is not the same as the FAA code, which is used primarily in the United States."
5,1,2,What is the wrong option regarding the airport Catsa?,"['Option 1: The ICAO shortcode for the airport is the same with K2R1.', 'Option 2: The airport is located at 10.5169 latitude.', 'Option 3: The airport is located at -85.5656 longitude.', 'Option 4: The airport has a country code of CR.']",1,MECT,1,"Option 1: The ICAO shortcode for the airport is the same with K2R1. Explanation: The ICAO shortcode for the airport Catsa is not K2R1. The ICAO code is a four-letter alphanumeric code designating each airport around the world. These codes are defined by the International Civil Aviation Organization, and published in ICAO Document 7910: Location Indicators. The ICAO code is not the same as the FAA code, which is often similar but not identical. The correct ICAO code for Catsa airport would be specific to its location and assigned by the ICAO."
6,2,0,What's the inaccurate option about the airport Vicco?,"['Option 1: ICAO Shortcode of the airport is SPVI.', 'Option 2: Latitude of the airport is -10.8478.', 'Option 3: Longitude of the airport is -76.247.', 'Option 4: Country code of the airport is PE.']",NONE OF ABOVE,NONE,2,"Option 2: Latitude of the airport is -10.8478. Explanation: The latitude of Vicco Airport is actually approximately -10.6667, not -10.8478. Therefore, this option is inaccurate."
7,2,1,What is the false option about the airport Vicco?,"['Option 1: The abbreviated form (ICAO) for the airport is SPVI.', 'Option 2: The latitude of the airport is -10.8478.', 'Option 3: The longitude of the airport is -76.247.', 'Option 4: The country code of the airport is PE.']",NONE OF ABOVE,NONE,NONE OF ABOVE,"None of above Explanation: All the options provided are correct. The ICAO code for Vicco Airport is indeed SPVI. The geographical coordinates are approximately -10.8478 latitude and -76.247 longitude. The country code for Peru, where the airport is located, is PE."
8,2,2,What is the wrong option regarding the airport Vicco?,"['Option 1: The ICAO shortcode for the airport is the same with SPVI.', 'Option 2: The airport is located at -10.8478 latitude.', 'Option 3: The airport is located at -76.247 longitude.', 'Option 4: The airport has a country code of PE.']",NONE OF ABOVE,NONE,NONE OF ABOVE,"None of above Explanation: All the options provided are correct. The ICAO shortcode for Vicco airport is indeed SPVI. The airport is located at -10.8478 latitude and -76.247 longitude. The country code for the airport is PE, which stands for Peru."
9,3,0,What's the inaccurate option about the airport Lilongwe International?,"['Option 1: ICAO Shortcode of the airport is FWKI.', 'Option 2: Latitude of the airport is -13.7894.', 'Option 3: Longitude of the airport is 33.781.', 'Option 4: Country code of the airport is MW.']",NONE OF ABOVE,NONE,NONE OF ABOVE,"None of above Explanation: All the options provided are accurate about Lilongwe International Airport. The ICAO shortcode for the airport is indeed FWKI. The latitude and longitude coordinates are also correct, placing the airport in Malawi, Africa. The country code MW also correctly identifies Malawi as the location of the airport."
