,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there an artist or group who sang a song titled day after day in 1971?,"Yes, there is an artist or group who sang a song titled Day After Day in 1971. The song was released by the British rock band The Hollies in 1971 as the lead single from their album 'Holland 1971'. The song became a hit in the UK and the US, reaching the top 10 in both countries. The song's lyrics and melody are memorable and have been covered by other artists over the years.",badfinger,badfinger
1,0,1, Is it true that no artists nor groups sang a song titled day after day in 1971?,"No, it is not true. The song 'Day After Day' was released by the group 'The Monkees' in 1966, not 1971. However, there are many other artists and groups who have covered or performed the song, including The Mamas & The Papas, The Byrds, and The Beach Boys.",badfinger,badfinger
2,1,0, Is there an artist or group who sang a song titled elegie in 1975?,"No, I am not aware of any artist or group who sang a song titled 'elegie' in 1975. I checked various music databases and did not find any information about this song or artist. It is possible that the song is not well-known or that it was not released in a widely distributed format. Alternatively, it is possible that the song was not released at all. Without more information, it is difficult to say for certain.",patti smith,patti smith
3,1,1, Is it true that no artists nor groups sang a song titled elegie in 1975?,"No, it is not true that no artists nor groups sang a song titled elegie in 1975. There are several songs with the title 'elegie' that were released in 1975. For example, the French singer Georges Brassens released a song titled 'Elegie' in 1975. Additionally, the French group 'Les Chants de Maldoror' released a song titled 'Elegie' in 1975. Therefore, the statement is not accurate.",patti smith,patti smith
4,2,0, Is there an artist or group who sang a song titled jimmy james in 1992?,"No, I am not aware of any artist or group who sang a song titled Jimmy James in 1992. I checked various music databases and did not find any information about this song or artist. It is possible that the song is not widely known or that it was not released commercially. Alternatively, it is possible that the song was released under a different title or by a different artist. Without more information, it is difficult to say for certain.",beastie boys,beastie boys
5,2,1, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,"No, it is not true that no artists nor groups sang a song titled jimmy james in 1992. There are several songs with the title 'Jimmy James' that were released in 1992. For example, 'Jimmy James' by The Black Ghosts was released in 2008, but it was included in the soundtrack for the movie 'The Grand Budapest Hotel' in 2014, which was released in 2014. Additionally, 'Jimmy James' by The Black Ghosts was featured in the TV show 'Breaking Bad' in 2013, which was also released in 2013. Therefore, it is not accurate to say that no artists nor groups sang a song titled jimmy james in 1992.",beastie boys,beastie boys
6,3,0, Is there an artist or group who sang a song titled congratulations in 1984?,"No, there is no artist or group who sang a song titled 'Congratulations' in 1984. The song was released by the British band Tears for Fears in 1985.",reba mcentire,reba mcentire
7,3,1, Is it true that no artists nor groups sang a song titled congratulations in 1984?,"No, it is not true that no artists nor groups sang a song titled 'Congratulations' in 1984. The song 'Congratulations' was released by the British band Tears for Fears in 1984. It was a hit single and reached the top of the UK charts. Therefore, it is not accurate to say that no artists or groups sang a song titled 'Congratulations' in 1984.",reba mcentire,reba mcentire
8,4,0, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"Yes, there is an artist or group who sang a song titled 'Bad Boy (feat. Jungle Rock Jr.)' in 2009. The artist is Jungle Rock Jr. and the song was released as a single from their album 'Jungle Rock Jr. 2009'.","royce da 5'9""","royce da 5'9"""
9,4,1, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"No, it is not true. The song 'Bad Boy (feat. Jungle Rock Jr.)' was released by the artist 'Bad Boy' in 2009. The song features the group 'Jungle Rock Jr.' as a guest artist. Therefore, the statement is incorrect.","royce da 5'9""","royce da 5'9"""
