,entity_idx,question_idx,question,model_response
0,0,3,Is the movie Avatar released in year 2009 non-animation movie?,No
1,21,1,Is the movie Robin Hood released in year 2010 directed by Ridley Scott?,No
2,32,3,Is the movie Alice in Wonderland released in year 2010 non-animation movie?,No
3,37,3,Is the movie Oz the Great and Powerful released in year 2013 non-animation movie?,No
4,39,3,Is the movie TRON: Legacy released in year 2010 non-animation movie?,No
5,49,2,Is the movie The Great Gatsby released in year 2013 produced in Australia?,No
6,78,2,Is the movie The Jungle Book released in year 2016 produced in UK?,No
7,78,3,Is the movie The Jungle Book released in year 2016 non-animation movie?,No
8,81,1,Is the movie Maleficent released in year 2014 directed by Robert Stromberg?,No
9,81,3,Is the movie Maleficent released in year 2014 non-animation movie?,No
10,83,1,Is the movie The Lovers released in year 2015 directed by Roland Joffé?,No
11,92,1,Is the movie How to Train Your Dragon released in year 2010 directed by Dean DeBlois?,No
12,103,3,Is the movie The Sorcerer's Apprentice released in year 2010 non-animation movie?,No
13,105,3,Is the movie Alice Through the Looking Glass released in year 2016 non-animation movie?,No
14,112,2,Is the movie Alexander released in year 2004 produced in Germany?,No
15,123,2,Is the movie The Matrix Revolutions released in year 2003 produced in Australia?,No
16,131,1,Is the movie G-Force released in year 2009 directed by Hoyt Yeatman?,No
17,134,2,Is the movie Mission: Impossible - Rogue Nation released in year 2015 produced in China?,No
18,138,3,Is the movie The Last Airbender released in year 2010 non-animation movie?,No
19,143,3,Is the movie Pan released in year 2015 non-animation movie?,No
20,151,3,Is the movie Beowulf released in year 2007 animation movie?,No
21,152,1,Is the movie Kung Fu Panda 3 released in year 2016 directed by Alessandro Carloni?,No
22,167,2,Is the movie Sahara released in year 2005 produced in UK?,No
23,168,2,Is the movie Final Fantasy: The Spirits Within released in year 2001 produced in USA?,No
24,175,3,Is the movie The BFG released in year 2016 non-animation movie?,No
25,181,1,Is the movie Kung Fu Panda released in year 2008 directed by Mark Osborne?,No
26,190,2,Is the movie The Adventures of Tintin released in year 2011 produced in USA?,No
27,190,3,Is the movie The Adventures of Tintin released in year 2011 non-animation movie?,No
28,195,1,Is the movie Harry Potter and the Deathly Hallows: Part II released in year 2011 directed by Matt Birch?,No
29,201,1,Is the movie Harry Potter and the Deathly Hallows: Part I released in year 2010 directed by Matt Birch?,No
30,213,1,Is the movie How the Grinch Stole Christmas released in year 2000 directed by Ron Howard?,No
31,213,3,Is the movie How the Grinch Stole Christmas released in year 2000 non-animation movie?,No
32,220,2,Is the movie Jason Bourne released in year 2016 produced in UK?,No
33,226,0,Do you know the movie RoboCop released in year 2014?,No
34,227,1,Is the movie Speed Racer released in year 2008 directed by Lana Wachowski?,No
35,227,3,Is the movie Speed Racer released in year 2008 non-animation movie?,No
36,237,1,Is the movie Asterix at the Olympic Games released in year 2008 directed by Frédéric Forestier?,No
37,237,3,Is the movie Asterix at the Olympic Games released in year 2008 non-animation movie?,No
38,240,3,Is the movie Teenage Mutant Ninja Turtles released in year 2014 non-animation movie?,No
39,241,2,Is the movie Gravity released in year 2013 produced in UK?,No
40,243,3,Is the movie Teenage Mutant Ninja Turtles: Out of the Shadows released in year 2016 non-animation movie?,No
41,244,0,Do you know the movie Fantastic Four released in year 2015?,No
42,248,1,Is the movie The Patriot released in year 2000 directed by Roland Emmerich?,No
43,253,3,Is the movie Gulliver's Travels released in year 2010 non-animation movie?,No
44,257,1,Is the movie Home on the Range released in year 2004 directed by Will Finn?,No
45,267,1,Is the movie The Cat in the Hat released in year 2003 directed by Bo Welch?,No
46,267,3,Is the movie The Cat in the Hat released in year 2003 non-animation movie?,No
47,270,2,Is the movie Stuart Little released in year 1999 produced in Germany?,No
48,270,3,Is the movie Stuart Little released in year 1999 non-animation movie?,No
49,278,1,Is the movie Harry Potter and the Chamber of Secrets released in year 2002 directed by Chris Columbus?,No
50,280,0,Do you know the movie Planet of the Apes released in year 2001?,No
51,292,1,Is the movie The Expendables 2 released in year 2012 directed by Simon West?,No
52,295,2,Is the movie Where the Wild Things Are released in year 2009 produced in Germany?,No
53,295,3,Is the movie Where the Wild Things Are released in year 2009 non-animation movie?,No
54,299,2,Is the movie Blood Diamond released in year 2006 produced in Germany?,No
55,303,2,Is the movie Cloud Atlas released in year 2012 produced in Germany?,No
56,306,0,Do you know the movie Hercules released in year 2014?,No
57,306,1,Is the movie Hercules released in year 2014 directed by Brett Ratner?,No
58,306,3,Is the movie Hercules released in year 2014 non-animation movie?,No
59,310,0,Do you know the movie Point Break released in year 2015?,No
60,311,3,Is the movie Son of the Mask released in year 2005 non-animation movie?,No
61,314,2,Is the movie Green Zone released in year 2010 produced in France?,No
62,333,1,Is the movie Seventh Son released in year 2014 directed by Sergey Bodrov?,No
63,335,2,Is the movie Transcendence released in year 2014 produced in UK?,No
64,340,1,Is the movie The Alamo released in year 2004 directed by John Lee Hancock?,No
65,343,2,Is the movie Percy Jackson & the Olympians: The Lightning Thief released in year 2010 produced in UK?,No
66,348,1,Is the movie What Lies Beneath released in year 2000 directed by Robert Zemeckis?,No
67,354,1,Is the movie Mulan released in year 1998 directed by Tony Bancroft?,No
68,359,0,Do you know the movie Ben-Hur released in year 2016?,No
69,359,1,Is the movie Ben-Hur released in year 2016 directed by Timur Bekmambetov?,No
70,359,2,Is the movie Ben-Hur released in year 2016 produced in USA?,No
71,361,3,Is the movie Alvin and the Chipmunks: The Road Chip released in year 2015 animation movie?,No
72,364,3,Is the movie Pixels released in year 2015 animation movie?,No
73,365,3,Is the movie A.I. Artificial Intelligence released in year 2001 non-animation movie?,No
74,369,2,Is the movie The Interpreter released in year 2005 produced in UK?,No
75,374,2,Is the movie Spy Game released in year 2001 produced in Germany?,No
