,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0, Is there an artist or group who sang a song titled day after day in 1971?,0,0,yes,"badfinger, an artist, sang a song titled day after day in 1971.",yes,badfinger
1, Is it true that no artists nor groups sang a song titled day after day in 1971?,0,1,no,"it is not true.  there was an artist or group, badfinger, who sang a song titled day after day in 1971.",no,badfinger
2, Is it true that there is an artist or group who sang a song titled day after day in 1971?,0,2,yes,"badfinger, an artist who released a song called day after day in 1971.",yes,badfinger
3, Is there an artist or group who sang a song titled elegie in 1975?,1,0,yes,poco is an artist who sang a song titled elegie in 1975.,yes,patti smith
4, Is it true that no artists nor groups sang a song titled elegie in 1975?,1,1,no,it is not true.  there was at least one artist or group that sang a song titled elegie in 1975.  the artist or group who sang this song was patti smith.,no,patti smith
5, Is it true that there is an artist or group who sang a song titled elegie in 1975?,1,2,yes,"the nice, an artist, released a song called elegie in 1975.",yes,patti smith
6, Is there an artist or group who sang a song titled jimmy james in 1992?,2,0,yes,"beastie boys, a(n) artist or group, released a song called jimmy james in 1992.",yes,beastie boys
7, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,2,1,no,"it is not true.  there was an artist, beastie boys, who sang a song titled jimmy james in 1992.",no,beastie boys
8, Is it true that there is an artist or group who sang a song titled jimmy james in 1992?,2,2,yes,"beastie boys, a/an artist or group, released a song called jimmy james in 1992.",yes,beastie boys
9, Is there an artist or group who sang a song titled congratulations in 1984?,3,0,yes,"cliff richard, the shadows is the artist who sang a song titled congratulations in 1984.",yes,reba mcentire
10, Is it true that no artists nor groups sang a song titled congratulations in 1984?,3,1,no,"it is not true.  there was an artist or group, cliff richard, who sang a song titled congratulations in 1984.",no,reba mcentire
11, Is it true that there is an artist or group who sang a song titled congratulations in 1984?,3,2,yes,"cliff richard, the shadows sang a song called congratulations in 1984.",yes,reba mcentire
12, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,0,yes,"tae yang, jungle rock jr. sang a song titled bad boy (feat. jungle rock jr.) in 2009.",yes,"royce da 5'9"""
13, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,1,no,"it is not true.  there is at least one artist or group who sang a song titled ""bad boy (feat. jungle rock jr.)"" in 2009.  the artist or group who sang this song is dj doc.",no,"royce da 5'9"""
14, Is it true that there is an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,4,2,yes,it is true. the artist or group that sang bad boy (feat. jungle rock jr.) in 2009 is 2pm.,yes,"royce da 5'9"""
15, Is there an artist or group who sang a song titled when i'm gone in 1979?,5,0,yes,"albert hammond, jr. is an artist who sang a song titled when i'm gone in 1979.",yes,marty robbins
16, Is it true that no artists nor groups sang a song titled when i'm gone in 1979?,5,1,no,"it is not true.  there was an artist or group, albert hammond, who sang a song titled ""when i'm gone"" in 1979.",no,marty robbins
17, Is it true that there is an artist or group who sang a song titled when i'm gone in 1979?,5,2,yes,"albert hammond, a(n) artist or group, released a song called when i'm gone in 1979.",yes,marty robbins
18, Is there an artist or group who sang a song titled in the garden in 2003?,6,0,yes,"van morrison, an artist, released a song called in the garden in 2003.",yes,randy travis
19, Is it true that no artists nor groups sang a song titled in the garden in 2003?,6,1,no,"it is not true.  there was an artist or group, various artists, who sang a song titled ""in the garden"" in 2003.",no,randy travis
