,index,common_entity,entity3,entity2,entity1
0,0,Avatar,2009.0,James Cameron,CCH Pounder
1,1,Pirates of the Caribbean: At World's End,2007.0,Gore Verbinski,Johnny Depp
2,2,Spectre,2015.0,Sam Mendes,Christoph Waltz
3,3,The Dark Knight Rises,2012.0,Christopher Nolan,Tom Hardy
4,5,John Carter,2012.0,Andrew Stanton,Daryl Sabara
5,6,Spider-Man 3,2007.0,Sam Raimi,J.K. Simmons
6,7,Tangled,2010.0,Nathan Greno,Brad Garrett
7,8,Avengers: Age of Ultron,2015.0,Joss Whedon,Chris Hemsworth
8,9,Harry Potter and the Half-Blood Prince,2009.0,David Yates,Alan Rickman
9,10,Batman v Superman: Dawn of Justice,2016.0,Zack Snyder,Henry Cavill
10,11,Superman Returns,2006.0,Bryan Singer,Kevin Spacey
11,12,Quantum of Solace,2008.0,Marc Forster,Giancarlo Giannini
12,13,Pirates of the Caribbean: Dead Man's Chest,2006.0,Gore Verbinski,Johnny Depp
13,14,The Lone Ranger,2013.0,Gore Verbinski,Johnny Depp
14,15,Man of Steel,2013.0,Zack Snyder,Henry Cavill
15,16,The Chronicles of Narnia: Prince Caspian,2008.0,Andrew Adamson,Peter Dinklage
16,17,The Avengers,2012.0,Joss Whedon,Chris Hemsworth
17,18,Pirates of the Caribbean: On Stranger Tides,2011.0,Rob Marshall,Johnny Depp
18,19,Men in Black 3,2012.0,Barry Sonnenfeld,Will Smith
19,20,The Hobbit: The Battle of the Five Armies,2014.0,Peter Jackson,Aidan Turner
20,21,The Amazing Spider-Man,2012.0,Marc Webb,Emma Stone
21,22,Robin Hood,2010.0,Ridley Scott,Mark Addy
22,23,The Hobbit: The Desolation of Smaug,2013.0,Peter Jackson,Aidan Turner
23,24,The Golden Compass,2007.0,Chris Weitz,Christopher Lee
24,25,King Kong,2005.0,Peter Jackson,Naomi Watts
25,26,Titanic,1997.0,James Cameron,Leonardo DiCaprio
26,27,Captain America: Civil War,2016.0,Anthony Russo,Robert Downey Jr.
27,28,Battleship,2012.0,Peter Berg,Liam Neeson
28,29,Jurassic World,2015.0,Colin Trevorrow,Bryce Dallas Howard
29,30,Skyfall,2012.0,Sam Mendes,Albert Finney
30,31,Spider-Man 2,2004.0,Sam Raimi,J.K. Simmons
31,32,Iron Man 3,2013.0,Shane Black,Robert Downey Jr.
32,33,Alice in Wonderland,2010.0,Tim Burton,Johnny Depp
33,34,X-Men: The Last Stand,2006.0,Brett Ratner,Hugh Jackman
34,35,Monsters University,2013.0,Dan Scanlon,Steve Buscemi
35,36,Transformers: Revenge of the Fallen,2009.0,Michael Bay,Glenn Morshower
36,37,Transformers: Age of Extinction,2014.0,Michael Bay,Bingbing Li
37,38,Oz the Great and Powerful,2013.0,Sam Raimi,Tim Holmes
38,39,The Amazing Spider-Man 2,2014.0,Marc Webb,Emma Stone
39,40,TRON: Legacy,2010.0,Joseph Kosinski,Jeff Bridges
40,41,Cars 2,2011.0,John Lasseter,Joe Mantegna
41,42,Green Lantern,2011.0,Martin Campbell,Ryan Reynolds
42,43,Toy Story 3,2010.0,Lee Unkrich,Tom Hanks
43,44,Terminator Salvation,2009.0,McG,Christian Bale
44,45,Furious 7,2015.0,James Wan,Jason Statham
45,46,World War Z,2013.0,Marc Forster,Peter Capaldi
46,47,X-Men: Days of Future Past,2014.0,Bryan Singer,Jennifer Lawrence
47,48,Star Trek Into Darkness,2013.0,J.J. Abrams,Benedict Cumberbatch
48,49,Jack the Giant Slayer,2013.0,Bryan Singer,Eddie Marsan
49,50,The Great Gatsby,2013.0,Baz Luhrmann,Leonardo DiCaprio
50,51,Prince of Persia: The Sands of Time,2010.0,Mike Newell,Jake Gyllenhaal
51,52,Pacific Rim,2013.0,Guillermo del Toro,Charlie Hunnam
52,53,Transformers: Dark of the Moon,2011.0,Michael Bay,Glenn Morshower
53,54,Indiana Jones and the Kingdom of the Crystal Skull,2008.0,Steven Spielberg,Harrison Ford
54,55,The Good Dinosaur,2015.0,Peter Sohn,A.J. Buckley
55,56,Brave,2012.0,Mark Andrews,Kelly Macdonald
56,57,Star Trek Beyond,2016.0,Justin Lin,Sofia Boutella
57,58,WALL·E,2008.0,Andrew Stanton,John Ratzenberger
58,59,Rush Hour 3,2007.0,Brett Ratner,Tzi Ma
59,60,2012,2009.0,Roland Emmerich,Oliver Platt
60,61,A Christmas Carol,2009.0,Robert Zemeckis,Robin Wright
61,62,Jupiter Ascending,2015.0,Lana Wachowski,Channing Tatum
62,63,The Legend of Tarzan,2016.0,David Yates,Christoph Waltz
63,64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0,Andrew Adamson,Jim Broadbent
64,65,X-Men: Apocalypse,2016.0,Bryan Singer,Jennifer Lawrence
65,66,The Dark Knight,2008.0,Christopher Nolan,Christian Bale
66,67,Up,2009.0,Pete Docter,John Ratzenberger
67,68,Monsters vs. Aliens,2009.0,Rob Letterman,Amy Poehler
68,69,Iron Man,2008.0,Jon Favreau,Robert Downey Jr.
69,70,Hugo,2011.0,Martin Scorsese,Chloë Grace Moretz
70,71,Wild Wild West,1999.0,Barry Sonnenfeld,Will Smith
71,72,The Mummy: Tomb of the Dragon Emperor,2008.0,Rob Cohen,Jet Li
72,73,Suicide Squad,2016.0,David Ayer,Will Smith
73,74,Evan Almighty,2007.0,Tom Shadyac,Jimmy Bennett
74,75,Edge of Tomorrow,2014.0,Doug Liman,Tom Cruise
75,76,Waterworld,1995.0,Kevin Reynolds,Jeanne Tripplehorn
76,77,G.I. Joe: The Rise of Cobra,2009.0,Stephen Sommers,Joseph Gordon-Levitt
77,78,Inside Out,2015.0,Pete Docter,Amy Poehler
78,79,The Jungle Book,2016.0,Jon Favreau,Scarlett Johansson
79,80,Iron Man 2,2010.0,Jon Favreau,Robert Downey Jr.
80,81,Snow White and the Huntsman,2012.0,Rupert Sanders,Chris Hemsworth
81,82,Maleficent,2014.0,Robert Stromberg,Angelina Jolie Pitt
82,83,Dawn of the Planet of the Apes,2014.0,Matt Reeves,Gary Oldman
83,84,The Lovers,2015.0,Roland Joffé,Tamsin Egerton
84,85,47 Ronin,2013.0,Carl Rinsch,Keanu Reeves
85,86,Captain America: The Winter Soldier,2014.0,Anthony Russo,Scarlett Johansson
86,87,Shrek Forever After,2010.0,Mike Mitchell,Jon Hamm
87,88,Tomorrowland,2015.0,Brad Bird,Judy Greer
88,89,Big Hero 6,2014.0,Don Hall,Damon Wayans Jr.
89,90,Wreck-It Ralph,2012.0,Rich Moore,Jack McBrayer
90,91,The Polar Express,2004.0,Robert Zemeckis,Tom Hanks
91,92,Independence Day: Resurgence,2016.0,Roland Emmerich,Vivica A. Fox
92,93,How to Train Your Dragon,2010.0,Dean DeBlois,Gerard Butler
93,94,Terminator 3: Rise of the Machines,2003.0,Jonathan Mostow,Nick Stahl
94,95,Guardians of the Galaxy,2014.0,James Gunn,Bradley Cooper
95,96,Interstellar,2014.0,Christopher Nolan,Matthew McConaughey
96,97,Inception,2010.0,Christopher Nolan,Leonardo DiCaprio
