,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there an artist or group who sang a song titled day after day in 1971?,"Yes.The song ""Day After Day"" was released in 1971 by the American rock band Badfinger. It was written by Pete Ham and Tom Evans, and it was the lead single from their album ""Straight Up"". The song reached number four on the Billboard Hot 100 chart in the United States and number two on the UK Singles Chart.",badfinger,badfinger
1,0,1, Is it true that no artists nor groups sang a song titled day after day in 1971?,"Unsure.There is no definitive answer to this question as it is difficult to search through all of the songs released in 1971 to determine if any of them were titled ""Day After Day"". It is possible that a song with this title was released in 1971, but it is also possible that no such song exists.",badfinger,badfinger
2,1,0, Is there an artist or group who sang a song titled elegie in 1975?,"Unsure.There are many artists and groups who have released songs with the title ""Elegie"" over the years, but it is difficult to determine if any of them were released in 1975 without further research.",patti smith,patti smith
3,1,1, Is it true that no artists nor groups sang a song titled elegie in 1975?,"Unsure.There is no definitive answer to this question as it is difficult to search through all of the songs released in 1975 to determine if any of them were titled ""Elegie"". It is possible that a song with this title was released in 1975, but it is also possible that no such song exists.",patti smith,patti smith
4,2,0, Is there an artist or group who sang a song titled jimmy james in 1992?,"UnsureThere is no information available to confirm or deny the existence of a song titled ""Jimmy James"" released in 1992. A more thorough search, including checking music databases and archives, may be necessary to determine if such a song exists.",beastie boys,beastie boys
5,2,1, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,"Unsure.There is no definitive answer to this question as it is difficult to search through all of the songs released in 1992 to determine if any of them were titled ""Jimmy James."" It is possible that a song with this title was released by an obscure artist or group, but it is also possible that no such song exists.",beastie boys,beastie boys
6,3,0, Is there an artist or group who sang a song titled congratulations in 1984?,"Yes.Postmodern Jukebox, a musical collective known for its retro-inspired covers of modern pop songs, released a cover of ""Congratulations"" by Cliff Richard in 2014.",reba mcentire,reba mcentire
7,3,1, Is it true that no artists nor groups sang a song titled congratulations in 1984?,"Unsure.There is no definitive answer to this question as it is difficult to search through all of the songs released in 1984 to determine if any of them were titled ""Congratulations."" It is possible that a song with this title was released by an obscure artist or group, but it is also possible that no such song exists.",reba mcentire,reba mcentire
8,4,0, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"UnsureThere is no information available about a song titled ""Bad Boy (feat. Jungle Rock Jr.)"" released in 2009. It is possible that such a song exists, but without further research, it is impossible to confirm.","royce da 5'9""","royce da 5'9"""
9,4,1, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"Unsure.There is no definitive answer to this question as it is difficult to search through all of the music released in 2009 to determine if there was a song titled ""Bad Boy (feat. Jungle Rock Jr.)"". It is possible that such a song exists, but it is also possible that it does not.","royce da 5'9""","royce da 5'9"""
10,5,0, Is there an artist or group who sang a song titled when i'm gone in 1979?,"Yes.The song ""When I'm Gone"" was released in 1979 by the American rock band Van Halen. It was the second single from their debut album, Van Halen. The song was written by Eddie Van Halen, Michael Anthony, and David Lee Roth. It reached number 19 on the Billboard Hot 100 chart and number 2 on the Mainstream Rock chart.",marty robbins,marty robbins
11,5,1, Is it true that no artists nor groups sang a song titled when i'm gone in 1979?,"Unsure.There is no definitive answer to this question as it is difficult to search through all of the songs released in 1979 to determine if any of them were titled ""When I'm Gone"". It is possible that a song with this title was released in 1979, but it is also possible that no such song exists.",marty robbins,marty robbins
12,6,0, Is there an artist or group who sang a song titled in the garden in 2003?,"Unsure.There are many artists and groups who have released songs with the title ""In the Garden"" over the years, but it is difficult to determine which one, if any, was released in 2003 without more specific information.",randy travis,randy travis
13,6,1, Is it true that no artists nor groups sang a song titled in the garden in 2003?,"Unsure.There is no definitive answer to this question as it is difficult to search through all of the songs released in 2003 to determine if any of them were titled ""In the Garden."" Additionally, some songs may have been released in other countries or languages, making it even more difficult to find a comprehensive list of all songs released in 2003.",randy travis,randy travis
