,entity_idx,question_idx,question,model_response
0,1,4,Did the soccer player Cristiano Ronaldo participate in leauge named Italian Serie A during the year 2019?,No
1,2,4,Did the soccer player Neymar Jr participate in leauge named French Ligue 1 during the year 2019?,No
2,3,4,Did the soccer player E. Hazard participate in leauge named Spain Primera Division during the year 2019?,No
3,5,2,Did the soccer player J. Oblak wear jersey number 13 in 2019?,No
4,6,4,Did the soccer player L. Modrić participate in leauge named Spain Primera Division during the year 2019?,No
5,7,2,Did the soccer player M. ter Stegen wear jersey number 1 in 2019?,No
6,7,3,Was the soccer player M. ter Stegen born in Germany?,No
7,11,2,Did the soccer player S. Agüero wear jersey number 10 in 2019?,No
8,13,4,Did the soccer player L. Suárez participate in leauge named Spain Primera Division during the year 2019?,No
9,16,2,Did the soccer player De Gea wear jersey number 1 in 2019?,No
10,16,3,Was the soccer player De Gea born in Spain?,No
11,21,2,Did the soccer player N. Kanté wear jersey number 7 in 2019?,No
12,23,2,Did the soccer player Piqué wear jersey number 3 in 2019?,No
13,27,2,Did the soccer player David Silva wear jersey number 21 in 2019?,No
14,27,3,Was the soccer player David Silva born in Spain?,No
15,29,4,Did the soccer player D. Godín participate in leauge named Italian Serie A during the year 2019?,No
16,30,4,Did the soccer player T. Kroos participate in leauge named Spain Primera Division during the year 2019?,No
17,33,2,Did the soccer player C. Eriksen wear jersey number 23 in 2019?,No
18,34,1,Did the soccer player T. Courtois play for Real Madrid CF in 2019?,No
19,34,2,Did the soccer player T. Courtois wear jersey number 13 in 2019?,No
20,37,2,Did the soccer player S. Mané wear jersey number 10 in 2019?,No
21,38,2,Did the soccer player Ederson wear jersey number 31 in 2019?,No
22,41,2,Did the soccer player Thiago Silva wear jersey number 2 in 2019?,No
23,41,4,Did the soccer player Thiago Silva participate in leauge named French Ligue 1 during the year 2019?,No
24,45,2,Did the soccer player M. Hummels wear jersey number 15 in 2019?,No
25,47,2,Did the soccer player Jordi Alba wear jersey number 18 in 2019?,No
26,48,2,Did the soccer player Thiago wear jersey number 6 in 2019?,No
27,48,3,Was the soccer player Thiago born in Spain?,No
28,49,2,Did the soccer player K. Navas wear jersey number 1 in 2019?,No
29,57,4,Did the soccer player Á. Di María participate in leauge named French Ligue 1 during the year 2019?,No
30,58,2,Did the soccer player L. Bonucci wear jersey number 19 in 2019?,No
31,59,4,Did the soccer player W. Szczęsny participate in leauge named Italian Serie A during the year 2019?,No
32,60,4,Did the soccer player Coutinho participate in leauge named German 1. Bundesliga during the year 2019?,No
33,62,2,Did the soccer player T. Müller wear jersey number 25 in 2019?,No
34,65,2,Did the soccer player Isco wear jersey number 22 in 2019?,No
35,66,3,Was the soccer player M. Verratti born in Italy?,No
36,67,2,Did the soccer player Roberto Firmino wear jersey number 9 in 2019?,No
37,68,2,Did the soccer player S. Umtiti wear jersey number 23 in 2019?,No
38,70,2,Did the soccer player J. Kimmich wear jersey number 32 in 2019?,No
39,72,2,Did the soccer player M. Škriniar wear jersey number 37 in 2019?,No
40,73,4,Did the soccer player Z. Ibrahimović participate in leauge named USA Major League Soccer during the year 2019?,No
41,74,1,Did the soccer player A. Gómez play for Atalanta in 2019?,No
42,74,4,Did the soccer player A. Gómez participate in leauge named Italian Serie A during the year 2019?,No
43,75,2,Did the soccer player G. Higuaín wear jersey number 21 in 2019?,No
44,75,4,Did the soccer player G. Higuaín participate in leauge named Italian Serie A during the year 2019?,No
45,76,2,Did the soccer player B. Matuidi wear jersey number 14 in 2019?,No
46,76,4,Did the soccer player B. Matuidi participate in leauge named Italian Serie A during the year 2019?,No
47,77,4,Did the soccer player G. Bale participate in leauge named Spain Primera Division during the year 2019?,No
48,78,2,Did the soccer player Marcelo wear jersey number 12 in 2019?,No
49,80,2,Did the soccer player P. Gulácsi wear jersey number 1 in 2019?,No
50,81,2,Did the soccer player R. Bürki wear jersey number 1 in 2019?,No
51,82,2,Did the soccer player Alex Sandro wear jersey number 12 in 2019?,No
52,83,4,Did the soccer player R. Lukaku participate in leauge named Italian Serie A during the year 2019?,No
53,84,2,Did the soccer player Iago Aspas wear jersey number 10 in 2019?,No
54,85,2,Did the soccer player K. Manolas wear jersey number 44 in 2019?,No
55,88,2,Did the soccer player D. Alaba wear jersey number 27 in 2019?,No
56,89,1,Did the soccer player J. Rodríguez play for Real Madrid CF in 2019?,No
57,90,2,Did the soccer player A. Lopes wear jersey number 1 in 2019?,No
58,92,2,Did the soccer player M. Icardi wear jersey number 36 in 2019?,No
59,94,2,Did the soccer player Carvajal wear jersey number 2 in 2019?,No
60,105,2,Did the soccer player G. Donnarumma wear jersey number 99 in 2019?,No
61,107,4,Did the soccer player M. de Ligt participate in leauge named Italian Serie A during the year 2019?,No
62,108,1,Did the soccer player Pepe play for FC Porto in 2019?,No
63,108,2,Did the soccer player Pepe wear jersey number 3 in 2019?,No
64,108,4,Did the soccer player Pepe participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No
65,109,2,Did the soccer player João Moutinho wear jersey number 28 in 2019?,No
66,111,2,Did the soccer player S. Sirigu wear jersey number 39 in 2019?,No
67,113,2,Did the soccer player Sokratis wear jersey number 5 in 2019?,No
68,114,2,Did the soccer player Lucas Leiva wear jersey number 6 in 2019?,No
69,114,4,Did the soccer player Lucas Leiva participate in leauge named Italian Serie A during the year 2019?,No
70,115,2,Did the soccer player M. Özil wear jersey number 10 in 2019?,No
71,116,3,Was the soccer player Javi Martínez born in Spain?,No
72,117,2,Did the soccer player Y. Sommer wear jersey number 1 in 2019?,No
73,120,1,Did the soccer player I. Perišić play for FC Bayern München in 2019?,No
74,120,4,Did the soccer player I. Perišić participate in leauge named German 1. Bundesliga during the year 2019?,No
75,121,1,Did the soccer player M. Mandžukić play for Juventus in 2019?,No
76,121,2,Did the soccer player M. Mandžukić wear jersey number 17 in 2019?,No
77,121,4,Did the soccer player M. Mandžukić participate in leauge named Italian Serie A during the year 2019?,No
78,124,2,Did the soccer player Azpilicueta wear jersey number 28 in 2019?,No
79,124,3,Was the soccer player Azpilicueta born in Spain?,No
80,125,2,Did the soccer player José Callejón wear jersey number 7 in 2019?,No
81,129,2,Did the soccer player Canales wear jersey number 10 in 2019?,No
82,131,2,Did the soccer player B. Leno wear jersey number 1 in 2019?,No
83,132,4,Did the soccer player Pizzi participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No
84,136,2,Did the soccer player J. Iličić wear jersey number 72 in 2019?,No
85,138,4,Did the soccer player M. Depay participate in leauge named French Ligue 1 during the year 2019?,No
86,139,2,Did the soccer player R. Mahrez wear jersey number 26 in 2019?,No
87,145,2,Did the soccer player João Cancelo wear jersey number 27 in 2019?,No
88,148,4,Did the soccer player Alex Telles participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No
89,149,2,Did the soccer player K. Coman wear jersey number 29 in 2019?,No
90,149,4,Did the soccer player K. Coman participate in leauge named German 1. Bundesliga during the year 2019?,No
91,150,1,Did the soccer player N. Fekir play for Real Betis Balompié in 2019?,No
