,common_entity,entity1,entity2,entity3
0,day after day,badfinger,1971,pop/rock
1,elegie,patti smith,1975,pop/rock
2,jimmy james,beastie boys,1992,pop/rock
3,congratulations,reba mcentire,1984,country/folk
4,bad boy (feat. jungle rock jr.),"royce da 5'9""",2009,hip hop/reggae
5,when i'm gone,marty robbins,1979,country/folk
6,in the garden,randy travis,2003,country/folk
7,the invite,pepper,2016,country/folk
8,toadies,minutemen,1984,pop/rock
9,danger heartbreak dead ahead,the marvelettes,1988,blues/jazz
10,baby don't you weep,garnet mimms & the enchanters,1963,blues/jazz
11,fall,clay walker,2007,country/folk
12,the sun is rising,britt nicole,2012,pop/rock
13,that's the way love goes,janet jackson,1993,pop/rock
14,sing her a love song,carl smith,1956,country/folk
15,but not for me,red garland,1957,blues/jazz
16,walk it off,lil wayne,2014,hip hop/reggae
17,engineers,gary numan,1979,pop/rock
18,morning sunrise,weldon irvine,2016,blues/jazz
19,county sheriff,red simpson,1966,country/folk
20,got to get a knutt,the new birth,1972,blues/jazz
21,make her say,kid cudi,2009,pop/rock
22,ed is dead,pixies,1987,pop/rock
23,why did you hoodoo me,savoy brown,2017,blues/jazz
24,earth angel,bobby vee,1961,pop/rock
25,ragged as the road,reckless kelly,2008,country/folk
26,true love waits,radiohead,2016,pop/rock
27,city club,the growlers,2016,pop/rock
28,i've got a crush on you,steve tyrell,2003,blues/jazz
29,night life,ray price,1963,country/folk
30,freedom sound,the skatalites,1997,country/folk
31,the pot,tool,2006,pop/rock
32,two seconds too late,welshly arms,2013,blues/jazz
33,the style you haven't done yet,boogie down productions,1989,hip hop/reggae
34,smile,lyle lovett,2003,country/folk
35,go hard or go home,wiz khalifa,2015,pop/rock
36,tonight the bottle let me down,waylon jennings,1978,country/folk
37,ends of the earth,kenny chesney,2018,country/folk
38,bread and roses,judy collins,1976,pop/rock
39,armed and ready,michael schenker group,1980,pop/rock
40,the clincher,chevelle,2004,pop/rock
41,dollar sign,vybz kartel,2010,country/folk
42,haut de gamme,83,2009,hip hop/reggae
43,wish it were me,the platters,1968,pop/rock
44,l.i.t.,riley richard,2018,blues/jazz
45,hearts on fire,hammerfall,2002,pop/rock
46,nightclubbing,iggy pop,1977,pop/rock
47,praise you in this storm,casting crowns,2005,pop/rock
48,don't be afraid (mi fovasai),terror x crew,2012,hip hop/reggae
49,romeo had juliette,lou reed,1989,pop/rock
50,lush life,nat king cole,1991,blues/jazz
51,the time is now,jimmy durante,1964,blues/jazz
52,if the stars were mine,melody gardot,2009,blues/jazz
53,today,the louvin brothers,1959,country/folk
54,weep no more,bad company,1975,blues/jazz
55,expecting,the white stripes,2001,blues/jazz
56,you can't fall up (you just fall down),tower of power,1991,blues/jazz
57,with a song in my heart,doris day,1954,blues/jazz
58,"a new machine, pt. 1",pink floyd,1987,pop/rock
59,she said she said,chris smither,2018,blues/jazz
60,the hunter gets captured by the game,the marvelettes,1967,pop/rock
61,i'm so happy now,the young rascals,1967,pop/rock
62,authority song,john mellencamp,1983,pop/rock
63,the becoming,nine inch nails,1994,pop/rock
64,long stick goes boom,krokus,1982,blues/jazz
65,standing on the edge of goodbye,john berry,2006,country/folk
66,let's spend the night together,muddy waters,1968,blues/jazz
67,do you feel what i dub?,too rude,1999,country/folk
68,our love,rhett miller,2002,country/folk
69,i got a letter (this morning),john lee hooker,1962,pop/rock
70,plain as the pain on my face,eddie rabbitt,1978,country/folk
71,i'll spend my life with you,the monkees,1967,pop/rock
72,put your hand in the hand,donny hathaway,1971,blues/jazz
73,a lover's concerto,sarah vaughan,1966,blues/jazz
74,can't turn back the years,phil collins,1993,pop/rock
75,give it to me,homeshake,2015,pop/rock
76,built for comfort,ufo,1974,blues/jazz
77,it's the way you make me feel,steps,1998,pop/rock
78,everyday,lucy pearl,2000,pop/rock
79,the blues come around,hank williams,1985,country/folk
80,blue skies,ella fitzgerald,1959,blues/jazz
81,the drugs,the holdup,2011,country/folk
82,dreams,bodeans,1987,pop/rock
83,journey from mariabronn,kansas,1974,pop/rock
84,love don't live here anymore,faith evans,1995,pop/rock
85,outta my face,pepper,2006,country/folk
86,900 miles,terry callier,1968,blues/jazz
87,neon gravestones,twenty one pilots,2018,pop/rock
88,sweat shock,j. roddy walston & the business,2013,blues/jazz
