,index,common_entity,entity1,entity3,entity2
0,0,L. Messi,FC Barcelona,10.0,Argentina
1,1,Cristiano Ronaldo,Juventus,7.0,Portugal
2,2,Neymar Jr,Paris Saint-Germain,10.0,Brazil
3,3,E. Hazard,Real Madrid CF,7.0,Belgium
4,4,K. De Bruyne,Manchester City,17.0,Belgium
5,5,J. Oblak,Atlético de Madrid,13.0,Slovenia
6,6,L. Modrić,Real Madrid CF,10.0,Croatia
7,7,M. ter Stegen,FC Barcelona,1.0,Germany
8,8,V. van Dijk,Liverpool,4.0,Netherlands
9,9,M. Salah,Liverpool,11.0,Egypt
10,10,G. Chiellini,Juventus,3.0,Italy
11,11,S. Agüero,Manchester City,10.0,Argentina
12,12,Sergio Ramos,Real Madrid CF,4.0,Spain
13,13,L. Suárez,FC Barcelona,9.0,Uruguay
14,14,R. Lewandowski,FC Bayern München,9.0,Poland
15,15,Sergio Busquets,FC Barcelona,5.0,Spain
16,16,De Gea,Manchester United,1.0,Spain
17,17,A. Griezmann,FC Barcelona,17.0,France
18,18,K. Koulibaly,Napoli,26.0,Senegal
19,19,H. Kane,Tottenham Hotspur,10.0,England
20,20,Alisson,Liverpool,1.0,Brazil
21,21,N. Kanté,Chelsea,7.0,France
22,22,K. Mbappé,Paris Saint-Germain,7.0,France
23,23,Piqué,FC Barcelona,3.0,Spain
24,24,S. Handanovič,Intermilan,1.0,Slovenia
25,25,M. Neuer,FC Bayern München,1.0,Germany
26,26,H. Lloris,Tottenham Hotspur,1.0,France
27,27,David Silva,Manchester City,21.0,Spain
28,28,E. Cavani,Paris Saint-Germain,9.0,Uruguay
29,29,D. Godín,Intermilan,2.0,Uruguay
30,30,T. Kroos,Real Madrid CF,8.0,Germany
31,31,M. Reus,Borussia Dortmund,11.0,Germany
32,32,P. Aubameyang,Arsenal,14.0,Gabon
33,33,C. Eriksen,Tottenham Hotspur,23.0,Denmark
34,34,T. Courtois,Real Madrid CF,13.0,Belgium
35,35,P. Pogba,Manchester United,6.0,France
36,36,R. Sterling,Manchester City,7.0,England
37,37,S. Mané,Liverpool,10.0,Senegal
38,38,Ederson,Manchester City,31.0,Brazil
39,39,P. Dybala,Juventus,10.0,Argentina
40,40,Fernandinho,Manchester City,25.0,Brazil
41,41,Thiago Silva,Paris Saint-Germain,2.0,Brazil
42,42,K. Benzema,Real Madrid CF,9.0,France
43,43,J. Vertonghen,Tottenham Hotspur,5.0,Belgium
