,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there an airport located at latitude -34.7833328247 and longitude -72.0508346558?,"No, there are no airports located at latitude -34.7833328247 and longitude -72.0508346558. This location corresponds to a region in the Pacific Ocean, off the coast of Chile.",torca,torca
1,0,1, Is it true that there are no airports located at latitude -34.7833328247 and longitude -72.0508346558?,"Yes, it is true. There are no airports located at latitude -34.7833328247 and longitude -72.0508346558. This location corresponds to a region in the Pacific Ocean, off the coast of Chile.",torca,torca
2,1,0, Is there an airport located at latitude 10.5169439316 and longitude -85.5655593872?,"Yes, there is an airport located at latitude 10.5169439316 and longitude -85.5655593872. The airport is called Liberia International Airport (Daniel Oduber Quirós International Airport), located in Liberia, Costa Rica.",catsa,catsa
3,1,1, Is it true that there are no airports located at latitude 10.5169439316 and longitude -85.5655593872?,"No, it is not true. There is an airport located at latitude 10.5169439316 and longitude -85.5655593872. The airport is called Liberia International Airport (Daniel Oduber Quirós International Airport), located in Liberia, Costa Rica.",catsa,catsa
4,2,0, Is there an airport located at latitude -10.8478441238 and longitude -76.2469558716?,"Yes, there is an airport located at latitude -10.8478441238 and longitude -76.2469558716. The airport is called Comandante FAP Germán Arias Graziani Airport, located in Anta, Ancash, Peru.",vicco,vicco
5,2,1, Is it true that there are no airports located at latitude -10.8478441238 and longitude -76.2469558716?,"No, it is not true. There is an airport located at latitude -10.8478441238 and longitude -76.2469558716. The airport is called Comandante FAP Germán Arias Graziani Airport, located in Anta, Peru.",vicco,vicco
6,3,0, Is there an airport located at latitude -13.7894001007 and longitude 33.78099823?,"Yes, there is an airport located at latitude -13.7894001007 and longitude 33.78099823. The airport is called Lilongwe International Airport (also known as Kamuzu International Airport), located in Lilongwe, Malawi.",lilongwe international,lilongwe international
7,3,1, Is it true that there are no airports located at latitude -13.7894001007 and longitude 33.78099823?,"No, it is not true. There is an airport located at latitude -13.7894001007 and longitude 33.78099823. The airport is called Kamuzu International Airport, located in Lilongwe, Malawi.",lilongwe international,lilongwe international
8,4,0, Is there an airport located at latitude 47.4942016602 and longitude 14.4975004196?,"No, there are no airports located at latitude 47.4942016602 and longitude 14.4975004196. This location corresponds to a region in Austria, near the town of Sankt Michael in Obersteiermark. The nearest airport to this location is Graz Airport, but it is not at the exact coordinates provided.",trieben,trieben
9,4,1, Is it true that there are no airports located at latitude 47.4942016602 and longitude 14.4975004196?,"No, it is not true. There is an airport located at latitude 47.4942016602 and longitude 14.4975004196. The airport is called Graz Airport, located in Graz, Austria.",trieben,trieben
10,5,0, Is there an airport located at latitude -17.8083324432 and longitude -67.4433364868?,"Yes, there is an airport located at latitude -17.8083324432 and longitude -67.4433364868. The airport is called Uyuni Airport (Joy Joya Airport), located in Uyuni, Bolivia.",intiraymi,intiraymi
11,5,1, Is it true that there are no airports located at latitude -17.8083324432 and longitude -67.4433364868?,"No, it is not true. There is an airport located at latitude -17.8083324432 and longitude -67.4433364868. The airport is called Oruro Airport (Juan Mendoza Airport), located in Oruro, Bolivia.",intiraymi,intiraymi
12,6,0, Is there an airport located at latitude 43.3708833333333 and longitude -78.4144166666667?,"No, there is no airport located at latitude 43.3708833333333 and longitude -78.4144166666667. This location corresponds to a rural area near the town of Newfane, New York, United States.",tiger paw aerodrome,tiger paw aerodrome
13,6,1, Is it true that there are no airports located at latitude 43.3708833333333 and longitude -78.4144166666667?,"No, it is not true. There is an airport located at latitude 43.3708833333333 and longitude -78.4144166666667. The airport is called Medina Municipal Airport, located in Medina, New York, United States.",tiger paw aerodrome,tiger paw aerodrome
14,7,0, Is there an airport located at latitude 53.4212989807 and longitude -6.270070076?,"Yes, there is an airport located at latitude 53.4212989807 and longitude -6.270070076. The airport is called Dublin Airport and is located in Dublin, Ireland.",dublin,dublin
15,7,1, Is it true that there are no airports located at latitude 53.4212989807 and longitude -6.270070076?,"No, it is not true. There is an airport located at latitude 53.4212989807 and longitude -6.270070076. The airport is called Dublin Airport, located in Dublin, Ireland.",dublin,dublin
16,8,0, Is there an airport located at latitude 15.4033002853 and longitude 108.706001282?,"Yes, there is an airport located at latitude 15.4033002853 and longitude 108.706001282. The airport is called Chu Lai International Airport, located in Quảng Nam Province, Vietnam.",chu lai international,chu lai international
17,8,1, Is it true that there are no airports located at latitude 15.4033002853 and longitude 108.706001282?,"No, it is not true. There is an airport located at latitude 15.4033002853 and longitude 108.706001282. The airport is called Chu Lai International Airport, located in Quang Nam Province, Vietnam.",chu lai international,chu lai international
18,9,0, Is there an airport located at latitude -10.7477779388 and longitude -74.2205581665?,"Yes, there is an airport located at latitude -10.7477779388 and longitude -74.2205581665. The airport is called Francisco Carle Airport, located in Jauja, Peru.",obenteni,obenteni
19,9,1, Is it true that there are no airports located at latitude -10.7477779388 and longitude -74.2205581665?,"No, it is not true. There is an airport located at latitude -10.7477779388 and longitude -74.2205581665. The airport is called Francisco Carle Airport, located in Jauja, Peru.",obenteni,obenteni
20,10,0, Is there an airport located at latitude 49.8684997559 and longitude 3.0295801163?,"No, there is no airport located at latitude 49.8684997559 and longitude 3.0295801163. This location corresponds to a rural area near the town of Saint-Quentin, in the Hauts-de-France region of France.",peronne-saint-quentin,peronne-saint-quentin
21,10,1, Is it true that there are no airports located at latitude 49.8684997559 and longitude 3.0295801163?,"Yes, it is true. There are no airports located at latitude 49.8684997559 and longitude 3.0295801163. This location corresponds to a rural area near the town of Saint-Quentin, in the Hauts-de-France region of France.",peronne-saint-quentin,peronne-saint-quentin
22,11,0, Is there an airport located at latitude 60.4891666666667 and longitude -150.801666666667?,"Yes, there is an airport located at latitude 60.4891666666667 and longitude -150.801666666667. The airport is called Kenai Municipal Airport, located in Kenai, Alaska, United States.",moose run airstrip,moose run airstrip
