,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?","No, there is no movie released in 2009 that stars CCH Pounder and was directed by James Cameron. James Cameron's most notable film released in 2009 was ""Avatar,"" which does not feature CCH Pounder in the cast.",avatar,avatar
1,0,1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?","Yes, it is true. There are no movies released in 2009 that feature CCH Pounder and were directed by James Cameron.",avatar,avatar
2,1,0," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","Yes, the movie ""Pirates of the Caribbean: At World's End"" was released in 2007, starring Johnny Depp and directed by Gore Verbinski.",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
3,1,1," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","No, it is not true. The movie ""Pirates of the Caribbean: At World's End"" was released in 2007, and it was directed by Gore Verbinski, starring Johnny Depp as Captain Jack Sparrow.",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
4,2,0," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?","No, there is no movie released in 2015 starring Christoph Waltz and directed by Sam Mendes. However, they have worked together on the movie ""Spectre"" which was released in 2015, but Sam Mendes was not the director, he was one of the producers.",spectre,spectre
5,2,1," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?","No, it is not true. There is a movie, ""Spectre"", released in 2015, where Christoph Waltz starred and Sam Mendes was the director.",spectre,spectre
6,3,0," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","Yes, the movie, ""The Dark Knight Rises"" which was released in 2012, was directed by Christopher Nolan and starred Tom Hardy as the character Bane.",the dark knight rises,the dark knight rises
7,3,1," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","Yes, it is true. There are no movies released in 2012 that feature Tom Hardy and were directed by Christopher Nolan.",the dark knight rises,the dark knight rises
8,4,0," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?","No, there is no movie released in 2012 starring Daryl Sabara and directed by Andrew Stanton. Andrew Stanton directed the movie ""John Carter"" in 2012, but Daryl Sabara was not in that movie.",john carter,john carter
9,4,1," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?","Yes, it is true. Andrew Stanton did not direct any movies in 2012 that feature Daryl Sabara.",john carter,john carter
10,5,0," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","Yes, the movie ""Spider-Man 3"" was released in 2007, directed by Sam Raimi and starring J.K. Simmons as J. Jonah Jameson.",spider-man 3,spider-man 3
11,5,1," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","No, it is not true. J.K. Simmons appeared in the movie ""Spider-Man 3"" which was directed by Sam Raimi and released in 2007.",spider-man 3,spider-man 3
12,6,0," Is there a movie, released in 2010, starring Brad Garrett where Nathan Greno is the director?","No, there is no movie released in 2010 starring Brad Garrett and directed by Nathan Greno. Nathan Greno is an animator and director known for his work on animated films such as ""Tangled"" (2010) and ""Frozen"" (2013), but he has not directed any live-action films or worked with Brad Garrett.",tangled,tangled
13,6,1," Is it true that there are no movies, released in 2010, starring Brad Garrett where Nathan Greno is the director?","Yes, it is true. Nathan Greno did not direct any movies released in 2010 that feature Brad Garrett. Greno's directorial debut was in 2012 with the animated film ""Tangled.""",tangled,tangled
14,7,0," Is there a movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?","No, there is no movie released in 2015 starring Chris Hemsworth and directed by Joss Whedon. Joss Whedon directed ""Avengers: Age of Ultron"" in 2015, but Chris Hemsworth did not appear in that movie.",avengers: age of ultron,avengers: age of ultron
15,7,1," Is it true that there are no movies, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?","Yes, it is true. There are no movies released in 2015 that feature Chris Hemsworth and were directed by Joss Whedon.",avengers: age of ultron,avengers: age of ultron
16,8,0," Is there a movie, released in 2009, starring Alan Rickman where David Yates is the director?","Yes, there is a movie released in 2009, starring Alan Rickman, where David Yates is the director. The movie is ""Harry Potter and the Deathly Hallows – Part 1"".",harry potter and the half-blood prince,harry potter and the half-blood prince
17,8,1," Is it true that there are no movies, released in 2009, starring Alan Rickman where David Yates is the director?","No, it is not true. Alan Rickman starred in the movie ""Harry Potter and the Deathly Hallows – Part 1"" which was directed by David Yates and released in 2009.",harry potter and the half-blood prince,harry potter and the half-blood prince
18,9,0," Is there a movie, released in 2016, starring Henry Cavill where Zack Snyder is the director?","Yes, the movie, ""Batman v Superman: Dawn of Justice"" which was released in 2016, was directed by Zack Snyder and starred Henry Cavill as Superman.",batman v superman: dawn of justice,batman v superman: dawn of justice
19,9,1," Is it true that there are no movies, released in 2016, starring Henry Cavill where Zack Snyder is the director?","No, it is not true. The movie ""Batman v Superman: Dawn of Justice"" was released in 2016, and it was directed by Zack Snyder, starring Henry Cavill as Superman.",batman v superman: dawn of justice,batman v superman: dawn of justice
20,10,0," Is there a movie, released in 2006, starring Kevin Spacey where Bryan Singer is the director?","No, there is no movie released in 2006 that stars Kevin Spacey and was directed by Bryan Singer. However, Bryan Singer directed the movie ""Superman Returns"" in 2006, which does not feature Kevin Spacey.",superman returns,superman returns
21,10,1," Is it true that there are no movies, released in 2006, starring Kevin Spacey where Bryan Singer is the director?","No, it is not true. The movie ""Superman Returns"" was released in 2006, and it was directed by Bryan Singer, starring Kevin Spacey.",superman returns,superman returns
22,11,0," Is there a movie, released in 2008, starring Giancarlo Giannini where Marc Forster is the director?","No, there is no movie released in 2008 starring Giancarlo Giannini and directed by Marc Forster.Giancarlo Giannini has starred in many movies, but none of them were directed by Marc Forster in 2008. Marc Forster directed several movies in 2008, including ""Quantum of Solace"" and ""The Kite Runner,"" but Giancarlo Giannini did not appear in any of them.",quantum of solace,quantum of solace
23,11,1," Is it true that there are no movies, released in 2008, starring Giancarlo Giannini where Marc Forster is the director?","No, it is not true. The movie ""Quantum of Solace"" was released in 2008, and it stars Giancarlo Giannini, and was directed by Marc Forster.",quantum of solace,quantum of solace
24,12,0," Is there a movie, released in 2006, starring Johnny Depp where Gore Verbinski is the director?","Yes, the movie ""Pirates of the Caribbean: Dead Man's Chest"" was released in 2006, starring Johnny Depp and directed by Gore Verbinski.",pirates of the caribbean: dead man's chest,pirates of the caribbean: dead man's chest
25,12,1," Is it true that there are no movies, released in 2006, starring Johnny Depp where Gore Verbinski is the director?","No, it is not true. The movie ""Pirates of the Caribbean: Dead Man's Chest"" was released in 2006, and it was directed by Gore Verbinski, starring Johnny Depp as Captain Jack Sparrow.",pirates of the caribbean: dead man's chest,pirates of the caribbean: dead man's chest
26,13,0," Is there a movie, released in 2013, starring Johnny Depp where Gore Verbinski is the director?","No, there is no movie released in 2013 starring Johnny Depp and directed by Gore Verbinski. Their last collaboration was in 2007 with the movie ""Pirates of the Caribbean: At World's End"".",the lone ranger,the lone ranger
27,13,1," Is it true that there are no movies, released in 2013, starring Johnny Depp where Gore Verbinski is the director?","No, it is not true. The movie ""The Lone Ranger"" was released in 2013, directed by Gore Verbinski and starring Johnny Depp.",the lone ranger,the lone ranger
28,14,0," Is there a movie, released in 2013, starring Henry Cavill where Zack Snyder is the director?","Yes, the movie ""Man of Steel"" was released in 2013, starring Henry Cavill as Superman, and directed by Zack Snyder.",man of steel,man of steel
29,14,1," Is it true that there are no movies, released in 2013, starring Henry Cavill where Zack Snyder is the director?","No, it is not true. Henry Cavill starred in the movie ""Man of Steel"" which was directed by Zack Snyder and released in 2013.",man of steel,man of steel
30,15,0," Is there a movie, released in 2008, starring Peter Dinklage where Andrew Adamson is the director?","No, there is no movie released in 2008 that stars Peter Dinklage and was directed by Andrew Adamson.Andrew Adamson is known for directing movies such as ""Shrek"" (2001), ""Shrek 2"" (2004), and ""The Chronicles of Narnia: Prince Caspian"" (2008). However, Peter Dinklage did not appear in any of these movies.Peter Dinklage is known for his roles in movies such as ""The Station Agent"" (2003), ""Elf"" (2003), and ""Game of Thrones"" (2011-2019). However, he did not work with Andrew Adamson on any of these projects.",the chronicles of narnia: prince caspian,the chronicles of narnia: prince caspian
31,15,1," Is it true that there are no movies, released in 2008, starring Peter Dinklage where Andrew Adamson is the director?","Yes, it is true. There are no movies released in 2008 that star Peter Dinklage and were directed by Andrew Adamson.",the chronicles of narnia: prince caspian,the chronicles of narnia: prince caspian
32,16,0," Is there a movie, released in 2012, starring Chris Hemsworth where Joss Whedon is the director?","Yes, the movie ""The Avengers"" was released in 2012, directed by Joss Whedon and starring Chris Hemsworth as Thor.",the avengers,the avengers
33,16,1," Is it true that there are no movies, released in 2012, starring Chris Hemsworth where Joss Whedon is the director?","Yes, it is true. There are no movies released in 2012 that feature Chris Hemsworth and were directed by Joss Whedon. Chris Hemsworth appeared in ""The Avengers,"" which was released in 2012 and directed by Joss Whedon, but Hemsworth's role was a cameo appearance, and he was not a main cast member.",the avengers,the avengers
34,17,0," Is there a movie, released in 2011, starring Johnny Depp where Rob Marshall is the director?","Yes, the movie ""Pirates of the Caribbean: On Stranger Tides"" was released in 2011, starring Johnny Depp and directed by Rob Marshall.",pirates of the caribbean: on stranger tides,pirates of the caribbean: on stranger tides
35,17,1," Is it true that there are no movies, released in 2011, starring Johnny Depp where Rob Marshall is the director?","No, it is not true. The movie ""Pirates of the Caribbean: On Stranger Tides"" was released in 2011, directed by Rob Marshall and starring Johnny Depp.",pirates of the caribbean: on stranger tides,pirates of the caribbean: on stranger tides
36,18,0," Is there a movie, released in 2012, starring Will Smith where Barry Sonnenfeld is the director?","No, there is no movie released in 2012 starring Will Smith and directed by Barry Sonnenfeld.Will Smith starred in the movie ""Men in Black 3"" in 2012, which was directed by Barry Sonnenfeld.",men in black 3,men in black 3
37,18,1," Is it true that there are no movies, released in 2012, starring Will Smith where Barry Sonnenfeld is the director?","Yes, it is true. There are no movies released in 2012 starring Will Smith and directed by Barry Sonnenfeld.",men in black 3,men in black 3
38,19,0," Is there a movie, released in 2014, starring Aidan Turner where Peter Jackson is the director?","No, there is no movie released in 2014 starring Aidan Turner and directed by Peter Jackson. Peter Jackson is known for directing the Lord of the Rings and Hobbit trilogies, but he did not direct any movies in 2014. Aidan Turner is an Irish actor, best known for his role as Ross Poldark in the BBC series Poldark, but he has not appeared in any movies directed by Peter Jackson.",the hobbit: the battle of the five armies,the hobbit: the battle of the five armies
39,19,1," Is it true that there are no movies, released in 2014, starring Aidan Turner where Peter Jackson is the director?","Yes, it is true. Peter Jackson did not direct any movies released in 2014, and Aidan Turner did not appear in any movies directed by Peter Jackson.",the hobbit: the battle of the five armies,the hobbit: the battle of the five armies
40,20,0," Is there a movie, released in 2012, starring Emma Stone where Marc Webb is the director?","Yes, the movie ""The Amazing Spider-Man"" was released in 2012, directed by Marc Webb and starring Emma Stone.",the amazing spider-man,the amazing spider-man
41,20,1," Is it true that there are no movies, released in 2012, starring Emma Stone where Marc Webb is the director?","No, it is not true. The movie ""The Amazing Spider-Man"" was released in 2012, and it was directed by Marc Webb, starring Emma Stone.",the amazing spider-man,the amazing spider-man
