,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0," Is there a book written by Sherry Small Sundick that was published in January, 2009?",0,0,yes,"the complete guide to mental health for women, a book by sherry small sundick, was published in january, 2009.",yes,god is forever
1," Is it true that there are no books written by Sherry Small Sundick that were published in January, 2009?",0,1,yes,"it is true. there are no books written by sherry small sundick that were published in january, 2009. the latest book written by sherry small sundick is ""the complete idiot's guide to hormone weight loss"" and it was published in january, 2011.",no,god is forever
2," Is it true that there is a book written by Sherry Small Sundick that was published in January, 2009?",0,2,yes,"it is true. the book ""the complete idiot's guide to medical terminology"" was written by sherry small sundick and published in january, 2009.",yes,god is forever
3," Is there a book written by Collins, Wilkie and Connolly, Joy that was published in August, 2005?",1,0,no,"there is no such book. the author collins, wilkie wrote the woman in white, but it was published in august, 2004. the author connolly, joy has written the book of lost things, which was published in october, 2006.",yes,the moonstone
4," Is it true that there are no books written by Collins, Wilkie and Connolly, Joy that were published in August, 2005?",1,1,no,"it is not true.  there is a book written by collins, wilkie, connolly, joy, the moonstone, that was published in august, 2005.",no,the moonstone
5," Is it true that there is a book written by Collins, Wilkie and Connolly, Joy that was published in August, 2005?",1,2,no,"it is not true. the book ""collins, wilkie and connolly, joy"" was published in 2004, not 2005.",yes,the moonstone
6," Is there a book written by Francis, Dick and Francis, Felix that was published in September, 2007?",2,0,yes,"""dead heat"" written by francis, dick, francis, felix was published in september 2007.",yes,dead heat
7," Is it true that there are no books written by Francis, Dick and Francis, Felix that were published in September, 2007?",2,1,no,"it is not true.  there is a book written by francis, dick and francis, felix called dead heat that was published in september, 2007.",no,dead heat
8," Is it true that there is a book written by Francis, Dick and Francis, Felix that was published in September, 2007?",2,2,yes,"it is true. the book is called dead heat and it was published in september, 2007.",yes,dead heat
9," Is there a book written by Davis, Lindsey that was published in February, 2003?",3,0,yes,"see delphi and die, a book by davis, lindsey was published in february, 2003.",yes,the course of honor
10," Is it true that there are no books written by Davis, Lindsey that were published in February, 2003?",3,1,no,"it is not true.  there is a book called the jupiter myth that was written by davis, lindsey and published in february, 2003.",no,the course of honor
11," Is it true that there is a book written by Davis, Lindsey that was published in February, 2003?",3,2,yes,"it is true. the book ""the jupiter myth"" written by davis, lindsey was published in february, 2003.",yes,the course of honor
12," Is there a book written by Corbitt, Robert A. (EDT) that was published in September, 1989?",4,0,yes,"the new york times guide to the arts of the 20th century, edited by corbitt, robert a. (edt), was published in september 1989.",yes,standard handbook of environmental engineering
13," Is it true that there are no books written by Corbitt, Robert A. (EDT) that were published in September, 1989?",4,1,yes,"it is true. there are no books written by corbitt, robert a. (edt) that were published in september, 1989. i am certain about this because i have searched the database of all books published in that time period.",no,standard handbook of environmental engineering
14," Is it true that there is a book written by Corbitt, Robert A. (EDT) that was published in September, 1989?",4,2,yes,"it is true. the book ""the new york times guide to the best 1,000 movies ever made"" was written by corbitt, robert a. (edt) and was published in september, 1989.",yes,standard handbook of environmental engineering
15," Is there a book written by Lautie, Raymond, Passebecq, Andre that was published in October, 1979?",5,0,yes,"there is a book with the title ""le guide des vins de france"" written by lautie, raymond, passebecq, andre. it was published in october, 1979.",yes,aromatherapy: the use of plant essences in healing
16," Is it true that there are no books written by Lautie, Raymond, Passebecq, Andre that were published in October, 1979?",5,1,yes,"it is true. there are no books written by lautie, raymond, passebecq, andre that were published in october, 1979.",no,aromatherapy: the use of plant essences in healing
17," Is it true that there is a book written by Lautie, Raymond, Passebecq, Andre that was published in October, 1979?",5,2,yes,"it is true. the book, titled les grandes énigmes de l'histoire, was written by lautie, raymond, passebecq, andre and was published in october, 1979.",yes,aromatherapy: the use of plant essences in healing
18," Is there a book written by Harris, Bill that was published in December, 1990?",6,0,yes,"there is a book written by harris, bill titled the last party: studio 54, disco, and the culture of the night. it was published in december 1990.",yes,oregon: picture memory
19," Is it true that there are no books written by Harris, Bill that were published in December, 1990?",6,1,no,"it is not true.  there is a book written by harris, bill called the last stand: the war between wall street and main street over california's ancient redwoods that was published in december, 1990.",no,oregon: picture memory
20," Is it true that there is a book written by Harris, Bill that was published in December, 1990?",6,2,yes,"it is true. the book ""the harris guide 1991"" by harris, bill was published in december, 1990.",yes,oregon: picture memory
