,entity_idx,question_idx,question,model_response
0,6,2,Did the soccer player L. Modrić wear jersey number 10 in 2019?,No
1,17,2,Did the soccer player A. Griezmann wear jersey number 17 in 2019?,No
2,18,3,Was the soccer player K. Koulibaly born in Senegal?,No.
3,21,2,Did the soccer player N. Kanté wear jersey number 7 in 2019?,No
4,36,3,Was the soccer player R. Sterling born in England?,No.
5,41,2,Did the soccer player Thiago Silva wear jersey number 2 in 2019?,No.
6,44,2,Did the soccer player D. Mertens wear jersey number 14 in 2019?,No
7,45,2,Did the soccer player M. Hummels wear jersey number 15 in 2019?,No
8,50,2,Did the soccer player L. Insigne wear jersey number 24 in 2019?,No.
9,53,2,Did the soccer player A. Laporte wear jersey number 14 in 2019?,No
10,55,3,Was the soccer player I. Rakitić born in Croatia?,No.
11,58,2,Did the soccer player L. Bonucci wear jersey number 19 in 2019?,No
12,69,2,Did the soccer player Marquinhos wear jersey number 5 in 2019?,No
13,72,2,Did the soccer player M. Škriniar wear jersey number 37 in 2019?,No.
14,73,2,Did the soccer player Z. Ibrahimović wear jersey number 9 in 2019?,No.
15,85,2,Did the soccer player K. Manolas wear jersey number 44 in 2019?,No.
16,87,2,Did the soccer player Neto wear jersey number 13 in 2019?,No
17,89,1,Did the soccer player J. Rodríguez play for Real Madrid CF in 2019?,No
18,89,2,Did the soccer player J. Rodríguez wear jersey number 16 in 2019?,No.
19,90,0,Do you know the soccer player A. Lopes?,No.
20,91,2,Did the soccer player Allan wear jersey number 5 in 2019?,No.
21,92,2,Did the soccer player M. Icardi wear jersey number 36 in 2019?,No
22,96,3,Was the soccer player H. Ziyech born in Morocco?,No.
23,97,2,Did the soccer player Fabinho wear jersey number 3 in 2019?,No.
24,99,2,Did the soccer player Bruno Fernandes wear jersey number 8 in 2019?,No.
25,108,3,Was the soccer player Pepe born in Portugal?,No.
26,108,4,Did the soccer player Pepe participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No.
27,109,2,Did the soccer player João Moutinho wear jersey number 28 in 2019?,No.
28,111,2,Did the soccer player S. Sirigu wear jersey number 39 in 2019?,No
29,114,2,Did the soccer player Lucas Leiva wear jersey number 6 in 2019?,No.
30,117,4,Did the soccer player Y. Sommer participate in leauge named German 1. Bundesliga during the year 2019?,No
31,121,1,Did the soccer player M. Mandžukić play for Juventus in 2019?,No.
32,127,2,Did the soccer player Paulinho wear jersey number 8 in 2019?,No
33,129,2,Did the soccer player Canales wear jersey number 10 in 2019?,No
34,143,0,Do you know the soccer player Felipe?,No.
35,145,2,Did the soccer player João Cancelo wear jersey number 27 in 2019?,No.
36,147,2,Did the soccer player J. Brandt wear jersey number 19 in 2019?,No
37,148,4,Did the soccer player Alex Telles participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No.
38,152,2,Did the soccer player Arthur wear jersey number 8 in 2019?,No
39,157,2,Did the soccer player Iniesta wear jersey number 8 in 2019?,No.
40,158,1,Did the soccer player G. Buffon play for Juventus in 2019?,No.
41,158,2,Did the soccer player G. Buffon wear jersey number 77 in 2019?,No.
42,159,2,Did the soccer player Casillas wear jersey number 1 in 2019?,No.
43,160,0,Do you know the soccer player R. Jarstein?,No.
44,161,4,Did the soccer player V. Kompany participate in leauge named Belgian Jupiler Pro League during the year 2019?,No.
45,162,2,Did the soccer player Raúl Albiol wear jersey number 3 in 2019?,No
46,165,1,Did the soccer player Falcao play for AS Monaco in 2019?,No.
47,166,4,Did the soccer player Miranda participate in leauge named Chinese Super League during the year 2019?,No
48,168,2,Did the soccer player E. Garay wear jersey number 24 in 2019?,No
49,169,2,Did the soccer player Rui Patrício wear jersey number 11 in 2019?,No
50,171,2,Did the soccer player É. Banega wear jersey number 10 in 2019?,No.
51,172,1,Did the soccer player Diego Costa play for Atlético de Madrid in 2019?,No.
52,172,2,Did the soccer player Diego Costa wear jersey number 19 in 2019?,No.
53,172,3,Was the soccer player Diego Costa born in Spain?,No
54,175,0,Do you know the soccer player M. Kruse?,No.
55,175,2,Did the soccer player M. Kruse wear jersey number 10 in 2019?,No
56,179,2,Did the soccer player Oscar wear jersey number 8 in 2019?,No
57,184,2,Did the soccer player N. Otamendi wear jersey number 30 in 2019?,No.
58,186,2,Did the soccer player J. Cuadrado wear jersey number 16 in 2019?,No
59,188,2,Did the soccer player K. Kampl wear jersey number 44 in 2019?,No.
60,189,2,Did the soccer player Bartra wear jersey number 5 in 2019?,No
61,190,3,Was the soccer player Rodrigo born in Spain?,No.
62,207,3,Was the soccer player Jorginho born in Italy?,No.
63,210,2,Did the soccer player Y. Carrasco wear jersey number 10 in 2019?,No
64,217,2,Did the soccer player Anderson Talisca wear jersey number 9 in 2019?,No
65,230,3,Was the soccer player Fabián born in Spain?,No.
66,232,0,Do you know the soccer player Louri Beretta?,No.
67,232,1,Did the soccer player Louri Beretta play for Clube Atlético Mineiro in 2019?,No.
68,232,2,Did the soccer player Louri Beretta wear jersey number 9 in 2019?,"As an AI, I don't have real-time data. As of the last update, there's no information available about a soccer player named Louri Beretta. Please check the latest and most reliable sources for the information."
69,232,3,Was the soccer player Louri Beretta born in Brazil?,No.
70,232,4,Did the soccer player Louri Beretta participate in leauge named Campeonato Brasileiro Série A during the year 2019?,No.
71,233,0,Do you know the soccer player Josué Chiamulera?,No.
72,233,1,Did the soccer player Josué Chiamulera play for Grêmio in 2019?,No.
73,233,2,Did the soccer player Josué Chiamulera wear jersey number 3 in 2019?,No.
74,233,4,Did the soccer player Josué Chiamulera participate in leauge named Campeonato Brasileiro Série A during the year 2019?,No.
75,234,0,Do you know the soccer player Ronaldo Cabrais?,No.
76,234,1,Did the soccer player Ronaldo Cabrais play for Grêmio in 2019?,No.
77,234,2,Did the soccer player Ronaldo Cabrais wear jersey number 10 in 2019?,No.
78,234,3,Was the soccer player Ronaldo Cabrais born in Brazil?,No.
79,234,4,Did the soccer player Ronaldo Cabrais participate in leauge named Campeonato Brasileiro Série A during the year 2019?,No.
80,238,2,Did the soccer player Pepe Reina wear jersey number 25 in 2019?,No.
81,242,4,Did the soccer player Santi Cazorla participate in leauge named Spain Primera Division during the year 2019?,No.
82,244,2,Did the soccer player L. Biglia wear jersey number 21 in 2019?,No.
83,246,2,Did the soccer player E. Viviano wear jersey number 58 in 2019?,No
84,246,4,Did the soccer player E. Viviano participate in leauge named Portuguese Liga ZON SAGRES during the year 2019?,No
85,248,2,Did the soccer player O. Giroud wear jersey number 18 in 2019?,No
86,250,1,Did the soccer player S. Kjær play for Sevilla FC in 2019?,No.
87,250,4,Did the soccer player S. Kjær participate in leauge named Spain Primera Division during the year 2019?,No
88,251,2,Did the soccer player Willian wear jersey number 10 in 2019?,No
89,252,2,Did the soccer player V. Ćorluka wear jersey number 14 in 2019?,No
90,252,4,Did the soccer player V. Ćorluka participate in leauge named Rest of World during the year 2019?,No
91,255,2,Did the soccer player Giuliano wear jersey number 77 in 2019?,No
92,256,1,Did the soccer player A. Kolarov play for Roma in 2019?,No
93,258,3,Was the soccer player Marlos born in Ukraine?,No.
94,258,4,Did the soccer player Marlos participate in leauge named Rest of World during the year 2019?,No
95,259,4,Did the soccer player Taison participate in leauge named Rest of World during the year 2019?,No
96,260,2,Did the soccer player B. Dost wear jersey number 28 in 2019?,No
97,261,2,Did the soccer player G. Bonaventura wear jersey number 5 in 2019?,No
98,263,2,Did the soccer player Muniain wear jersey number 10 in 2019?,No
99,267,2,Did the soccer player M. Götze wear jersey number 10 in 2019?,No.
100,271,3,Was the soccer player Mário Fernandes born in Russia?,No.
101,271,4,Did the soccer player Mário Fernandes participate in leauge named Rest of World during the year 2019?,No
102,272,0,Do you know the soccer player O. Baumann?,No.
103,276,2,Did the soccer player M. Perin wear jersey number 22 in 2019?,No
104,277,2,Did the soccer player C. Bakambu wear jersey number 17 in 2019?,No
105,279,2,Did the soccer player N. Schulz wear jersey number 14 in 2019?,No
106,282,2,Did the soccer player B. Lecomte wear jersey number 40 in 2019?,No.
107,287,2,Did the soccer player K. Bellarabi wear jersey number 38 in 2019?,No.
