,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there an airport located at latitude -34.7833328247 and longitude -72.0508346558?,"Yes, there is an airport located at latitude -34.7833328247 and longitude -72.0508346558. The airport is called 'Ministro Pistorri International Airport' and it is located in Santiago, Chile.",torca,torca
1,0,1, Is it true that there are no airports located at latitude -34.7833328247 and longitude -72.0508346558?,"No, that is not true. There are airports located at latitude -34.7833328247 and longitude -72.0508346558. One such airport is the Aeropuerto Internacional de Buenos Aires-Ministro Pistarini (EZE) located in Buenos Aires, Argentina.",torca,torca
2,1,0, Is there an airport located at latitude 10.5169439316 and longitude -85.5655593872?,"Yes, there is an airport located at latitude 10.5169439316 and longitude -85.5655593872. This airport is called 'Cancun International Airport' and it is located in Cancun, Mexico.",catsa,catsa
3,1,1, Is it true that there are no airports located at latitude 10.5169439316 and longitude -85.5655593872?,"No, that is not true. There are airports located at latitude 10.5169439316 and longitude -85.5655593872. One such airport is the Cancún International Airport (CUN) located in Cancún, Mexico.",catsa,catsa
4,2,0, Is there an airport located at latitude -10.8478441238 and longitude -76.2469558716?,"No, there is no airport located at latitude -10.8478441238 and longitude -76.2469558716. This is because the coordinates are not within the range of any known airport's location. The coordinates are also not in any country's territory. It is possible that these coordinates are not accurate or are not representing an airport.",vicco,vicco
5,2,1, Is it true that there are no airports located at latitude -10.8478441238 and longitude -76.2469558716?,"No, that is not true. There are airports located at latitude -10.8478441238 and longitude -76.2469558716. One such airport is the Juan Santamaria International Airport in Costa Rica.",vicco,vicco
6,3,0, Is there an airport located at latitude -13.7894001007 and longitude 33.78099823?,"No, there is no airport located at latitude -13.7894001007 and longitude 33.78099823. This is because the coordinates are not within the range of any known airport. It is possible that these coordinates are incorrect or that they represent a location that is not an airport.",lilongwe international,lilongwe international
7,3,1, Is it true that there are no airports located at latitude -13.7894001007 and longitude 33.78099823?,"No, that is not true. There are airports located at latitude -13.7894001007 and longitude 33.78099823. One such airport is the King Fahd International Airport in Dammam, Saudi Arabia.",lilongwe international,lilongwe international
8,4,0, Is there an airport located at latitude 47.4942016602 and longitude 14.4975004196?,"Yes, there is an airport located at latitude 47.4942016602 and longitude 14.4975004196. This airport is called 'Kiev International Airport' (IAT",trieben,trieben
9,4,1, Is it true that there are no airports located at latitude 47.4942016602 and longitude 14.4975004196?,"No, that is not true. There are airports located at latitude 47.4942016602 and longitude 14.4975004196. One such airport is the Belgrade Nikola Tesla Airport (BEG) located in Belgrade, Serbia.",trieben,trieben
10,5,0, Is there an airport located at latitude -17.8083324432 and longitude -67.4433364868?,"No, there is no airport located at latitude -17.8083324432 and longitude -67.4433364868. This is because the coordinates are not within the range of any known airport's location. It is possible that these coordinates are not accurate or that they represent a location that is not an airport.",intiraymi,intiraymi
11,5,1, Is it true that there are no airports located at latitude -17.8083324432 and longitude -67.4433364868?,"No, that is not true. There are airports located at latitude -17.8083324432 and longitude -67.4433364868. One such airport is the Cayo Largo Airport (CYL) located in Cuba.",intiraymi,intiraymi
