,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0, Is there an airport located at latitude -34.7833328247 and longitude -72.0508346558?,0,0,yes,carriel sur international airport is an airport located at latitude -34.7833328247 and longitude -72.0508346558.,yes,torca
1, Is it true that there are no airports located at latitude -34.7833328247 and longitude -72.0508346558?,0,1,no,it is not true. there is an airport located at latitude -34.7833328247 and longitude -72.0508346558. the airport is concepción airport.,no,torca
2, Is it true that there is an airport located at latitude -34.7833328247 and longitude -72.0508346558?,0,2,yes,there is an airport located at latitude -34.7833328247 and longitude -72.0508346558. the airport is carriel sur international airport.,yes,torca
3, Is there an airport located at latitude 10.5169439316 and longitude -85.5655593872?,1,0,yes,tamarindo airport is located at latitude 10.5169439316 and longitude -85.5655593872.,yes,catsa
4, Is it true that there are no airports located at latitude 10.5169439316 and longitude -85.5655593872?,1,1,no,it is not true.  there is an airport located at latitude 10.5169439316 and longitude -85.5655593872. the airport is liberia international airport.,no,catsa
5, Is it true that there is an airport located at latitude 10.5169439316 and longitude -85.5655593872?,1,2,yes,there is an airport located at latitude 10.5169439316 and longitude -85.5655593872. the airport is liberia international airport.,yes,catsa
6, Is there an airport located at latitude -10.8478441238 and longitude -76.2469558716?,2,0,no,"the latitude and longitude -10.8478441238, -76.2469558716 does not correspond to any airport. the closest airport to this location is comandante fap germán arias graziani airport (ata) which is located at a distance of about 47.7 km.",yes,vicco
7, Is it true that there are no airports located at latitude -10.8478441238 and longitude -76.2469558716?,2,1,no,"it is not true.  there is an airport, called tingo maria airport, located at latitude -10.8478441238 and longitude -76.2469558716.",no,vicco
8, Is it true that there is an airport located at latitude -10.8478441238 and longitude -76.2469558716?,2,2,yes,"the statement is true. the latitude and longitude -10.8478441238, -76.2469558716 corresponds to an airport in huaraz, peru.",yes,vicco
9, Is there an airport located at latitude -13.7894001007 and longitude 33.78099823?,3,0,yes,chileka international airport is located at latitude -13.7894001007 and longitude 33.78099823.,yes,lilongwe international
10, Is it true that there are no airports located at latitude -13.7894001007 and longitude 33.78099823?,3,1,no,it is not true.  there is an airport located at latitude -13.7894001007 and longitude 33.78099823. the airport is lilongwe international airport.,no,lilongwe international
11, Is it true that there is an airport located at latitude -13.7894001007 and longitude 33.78099823?,3,2,yes,"it is true. the airport ""lilongwe international airport"" is located at latitude -13.7894001007 and longitude 33.78099823.",yes,lilongwe international
12, Is there an airport located at latitude 47.4942016602 and longitude 14.4975004196?,4,0,yes,the airport located at latitude 47.4942016602 and longitude 14.4975004196 is zeltweg airport.,yes,trieben
13, Is it true that there are no airports located at latitude 47.4942016602 and longitude 14.4975004196?,4,1,no,it is not true. there is an airport located at latitude 47.4942016602 and longitude 14.4975004196. the airport is graz airport.,no,trieben
14, Is it true that there is an airport located at latitude 47.4942016602 and longitude 14.4975004196?,4,2,yes,there is an airport located at latitude 47.4942016602 and longitude 14.4975004196. the airport is called niederöblarn airport.,yes,trieben
