,player_name,club_name,city_name
0,L. Messi,FC Barcelona,Barcelona
1,Cristiano Ronaldo,Juventus,Turin
2,Neymar Jr,Paris Saint-Germain,Paris
3,E. Hazard,Real Madrid CF,Madrid
4,K. De Bruyne,Manchester City,Manchester
5,J. Oblak,Atlético de Madrid,Madrid
6,L. Modrić,Real Madrid CF,Madrid
7,M. ter Stegen,FC Barcelona,Barcelona
8,V. van Dijk,Liverpool,Liverpool
9,M. Salah,Liverpool,Liverpool
10,G. Chiellini,Juventus,Turin
11,S. Agüero,Manchester City,Manchester
12,Sergio Ramos,Real Madrid CF,Madrid
13,L. Suárez,FC Barcelona,Barcelona
14,R. Lewandowski,FC Bayern München,Munich
15,Sergio Busquets,FC Barcelona,Barcelona
16,De Gea,Manchester United,Manchester
17,A. Griezmann,FC Barcelona,Barcelona
18,K. Koulibaly,Napoli,Naples
19,H. Kane,Tottenham Hotspur,London
20,Alisson,Liverpool,Liverpool
21,N. Kanté,Chelsea,London
22,K. Mbappé,Paris Saint-Germain,Paris
23,Piqué,FC Barcelona,Barcelona
24,S. Handanovič,Inter,Milan
25,M. Neuer,FC Bayern München,Munich
26,H. Lloris,Tottenham Hotspur,London
27,David Silva,Manchester City,Manchester
28,E. Cavani,Paris Saint-Germain,Paris
29,D. Godín,Inter,Milan
30,T. Kroos,Real Madrid CF,Madrid
31,M. Reus,Borussia Dortmund,Dortmund
32,P. Aubameyang,Arsenal,London
33,C. Eriksen,Tottenham Hotspur,London
34,T. Courtois,Real Madrid CF,Madrid
35,P. Pogba,Manchester United,Manchester
36,R. Sterling,Manchester City,Manchester
37,S. Mané,Liverpool,Liverpool
38,Ederson,Manchester City,Manchester
39,P. Dybala,Juventus,Turin
40,Fernandinho,Manchester City,Manchester
41,Thiago Silva,Paris Saint-Germain,Paris
42,K. Benzema,Real Madrid CF,Madrid
43,J. Vertonghen,Tottenham Hotspur,London
44,D. Mertens,Napoli,Naples
45,M. Hummels,Borussia Dortmund,Dortmund
46,T. Alderweireld,Tottenham Hotspur,London
47,Jordi Alba,FC Barcelona,Barcelona
48,Thiago,FC Bayern München,Munich
49,K. Navas,Real Madrid CF,Madrid
50,L. Insigne,Napoli,Naples
51,H. Son,Tottenham Hotspur,London
52,Casemiro,Real Madrid CF,Madrid
53,A. Laporte,Manchester City,Manchester
54,Bernardo Silva,Manchester City,Manchester
55,I. Rakitić,FC Barcelona,Barcelona
56,M. Pjanić,Juventus,Turin
57,Á. Di María,Paris Saint-Germain,Paris
58,L. Bonucci,Juventus,Turin
59,W. Szczęsny,Juventus,Turin
60,Coutinho,FC Bayern München,Munich
61,Parejo,Valencia CF,Valencia
62,T. Müller,FC Bayern München,Munich
63,C. Immobile,Lazio,Rome
64,A. Lacazette,Arsenal,London
65,Isco,Real Madrid CF,Madrid
66,M. Verratti,Paris Saint-Germain,Paris
67,Roberto Firmino,Liverpool,Liverpool
68,S. Umtiti,FC Barcelona,Barcelona
69,Marquinhos,Paris Saint-Germain,Paris
