,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity,reasoning_erbench,reasoning_manual
0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,0,yes,"there is a movie released in 2009, starring cch pounder where james cameron is the director. the movie is called ""avatar."" cch pounder played the character moat, and james cameron directed the film.",yes,avatar,1,1
1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?",0,1,no,"it is not true. cch pounder starred in the movie ""avatar,"" which was directed by james cameron and released in 2009.",no,avatar,1,1
2," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,0,yes,"there is a movie released in 2007, starring johnny depp where gore verbinski is the director. the movie is ""pirates of the caribbean: at world's end"". this is the third installment in the pirates of the caribbean film series, where johnny depp plays the character captain jack sparrow and gore verbinski is the director.",yes,pirates of the caribbean: at world's end,1,1
3," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,1,no,"it is not true. the movie ""pirates of the caribbean: at world's end"" was released in 2007, directed by gore verbinski and starred johnny depp.",no,pirates of the caribbean: at world's end,1,1
4," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,0,yes,"there is a movie released in 2015, starring christoph waltz where sam mendes is the director. the movie is ""spectre"", which is the 24th film in the james bond series. in this film, christoph waltz plays the role of ernst stavro blofeld.",yes,spectre,1,1
5," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,1,no,"it is not true. the movie ""spectre"", released in 2015, was directed by sam mendes and starred christoph waltz. waltz played the character of ernst stavro blofeld in this james bond film.",no,spectre,1,1
6," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,0,yes,"there is a movie released in 2012, starring tom hardy where christopher nolan is the director. the movie is ""the dark knight rises"". it is the third installment in nolan's batman film trilogy, and it features tom hardy as the villain bane.",yes,the dark knight rises,1,1
7," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,1,no,"it is not true. the movie ""the dark knight rises"" was released in 2012, directed by christopher nolan and starred tom hardy as bane.",no,the dark knight rises,1,1
8," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,0,yes,"there is a movie released in 2012, starring daryl sabara where andrew stanton is the director. the movie is called ""john carter"". daryl sabara provided the voice for edgar rice burroughs, and andrew stanton directed the film.",yes,john carter,1,1
9," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,1,yes,"it is true. andrew stanton directed a movie in 2012 called ""john carter,"" but daryl sabara did not have a role in this film. daryl sabara is known for his role in the ""spy kids"" series, but none of those films were directed by andrew stanton. therefore, there are no movies released in 2012 starring daryl sabara where andrew stanton is the director.",no,john carter,1,0
10," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,0,yes,"there is a movie released in 2007, starring j.k. simmons where sam raimi is the director. the movie is ""spider-man 3"". in this movie, j.k. simmons played the role of j. jonah jameson, and the film was directed by sam raimi.",yes,spider-man 3,1,1
11," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,1,no,"it is not true. the movie ""spider-man 3"", released in 2007, was directed by sam raimi and featured j.k. simmons in the role of j. jonah jameson.",no,spider-man 3,1,1
12," Is there a movie, released in 2010, starring Brad Garrett where Nathan Greno is the director?",6,0,yes,"there is a movie released in 2010 where brad garrett starred and nathan greno was the director. the movie is called ""tangled."" brad garrett voiced the character hook hand thug, and nathan greno was one of the directors of the film.",yes,tangled,1,1
13," Is it true that there are no movies, released in 2010, starring Brad Garrett where Nathan Greno is the director?",6,1,yes,"it is true. the only movie that was released in 2010 where nathan greno was the director is ""tangled,"" a disney animated film. brad garrett did not voice any characters in this film. therefore, there are no movies released in 2010 starring brad garrett where nathan greno is the director.",no,tangled,1,0
14," Is there a movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",7,0,yes,"there is a movie released in 2015 starring chris hemsworth where joss whedon is the director. the movie is ""avengers: age of ultron."" in this film, chris hemsworth reprised his role as thor, one of the main characters in the marvel cinematic universe. joss whedon directed this film, as well as the first avengers movie.",yes,avengers: age of ultron,1,1
15," Is it true that there are no movies, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",7,1,no,"it is not true. ""avengers: age of ultron"" was released in 2015, directed by joss whedon and starred chris hemsworth as thor.",no,avengers: age of ultron,1,1
16," Is there a movie, released in 2009, starring Alan Rickman where David Yates is the director?",8,0,yes,"there is a movie released in 2009 starring alan rickman where david yates is the director. the movie is ""harry potter and the half-blood prince"". alan rickman played the character of severus snape and david yates directed the film.",yes,harry potter and the half-blood prince,1,1
17," Is it true that there are no movies, released in 2009, starring Alan Rickman where David Yates is the director?",8,1,no,"it is not true. alan rickman starred in ""harry potter and the half-blood prince"" which was released in 2009 and directed by david yates. alan rickman played the character of severus snape in this movie.",no,harry potter and the half-blood prince,1,1
18," Is there a movie, released in 2016, starring Henry Cavill where Zack Snyder is the director?",9,0,yes,"there is a movie released in 2016 starring henry cavill where zack snyder is the director. the movie is ""batman v superman: dawn of justice"". in this film, henry cavill plays the role of superman, and zack snyder is the director.",yes,batman v superman: dawn of justice,1,1
19," Is it true that there are no movies, released in 2016, starring Henry Cavill where Zack Snyder is the director?",9,1,no,"it is not true. ""batman v superman: dawn of justice"" is a movie that was released in 2016, directed by zack snyder, and stars henry cavill as superman.",no,batman v superman: dawn of justice,1,1
20," Is there a movie, released in 2006, starring Kevin Spacey where Bryan Singer is the director?",10,0,yes,"there is a movie released in 2006 starring kevin spacey where bryan singer is the director. the movie is called ""superman returns."" in this film, kevin spacey plays the role of lex luthor, superman's arch-nemesis. bryan singer, known for his work on the ""x-men"" series, directed the film.",yes,superman returns,1,1
21," Is it true that there are no movies, released in 2006, starring Kevin Spacey where Bryan Singer is the director?",10,1,no,"it is not true. the movie ""superman returns"" was released in 2006, directed by bryan singer and starred kevin spacey as lex luthor.",no,superman returns,1,1
22," Is there a movie, released in 2008, starring Giancarlo Giannini where Marc Forster is the director?",11,0,yes,"there is a movie released in 2008, starring giancarlo giannini where marc forster is the director. the movie is ""quantum of solace"", a james bond film. giancarlo giannini plays the character of rene mathis in the movie.",yes,quantum of solace,1,1
23," Is it true that there are no movies, released in 2008, starring Giancarlo Giannini where Marc Forster is the director?",11,1,no,"it is not true. the movie ""quantum of solace"" was released in 2008, directed by marc forster and starred giancarlo giannini. giannini played the character of rene mathis in this james bond film.",no,quantum of solace,1,1
24," Is there a movie, released in 2006, starring Johnny Depp where Gore Verbinski is the director?",12,0,yes,"there is a movie released in 2006 starring johnny depp where gore verbinski is the director. the movie is ""pirates of the caribbean: dead man's chest"". this is the second film in the pirates of the caribbean series, and it was directed by gore verbinski and starred johnny depp as captain jack sparrow.",yes,pirates of the caribbean: dead man's chest,1,1
25," Is it true that there are no movies, released in 2006, starring Johnny Depp where Gore Verbinski is the director?",12,1,no,"it is not true. the movie ""pirates of the caribbean: dead man's chest"" was released in 2006, starred johnny depp, and was directed by gore verbinski.",no,pirates of the caribbean: dead man's chest,1,1
26," Is there a movie, released in 2013, starring Johnny Depp where Gore Verbinski is the director?",13,0,yes,"there is a movie released in 2013 starring johnny depp where gore verbinski is the director. the movie is called ""the lone ranger"". in this film, johnny depp plays the character of tonto, a native american who recounts the untold tales that transformed john reid, a man of the law, into a legend of justice.",yes,the lone ranger,1,1
27," Is it true that there are no movies, released in 2013, starring Johnny Depp where Gore Verbinski is the director?",13,1,no,"it is not true. the movie ""the lone ranger"" was released in 2013, directed by gore verbinski and starred johnny depp.",no,the lone ranger,1,1
28," Is there a movie, released in 2013, starring Henry Cavill where Zack Snyder is the director?",14,0,yes,"there is a movie released in 2013 starring henry cavill where zack snyder is the director. the movie is ""man of steel,"" which is a part of the superman franchise.",yes,man of steel,1,1
