,entity_idx,question_idx,question,model_response
0,21,1,Is the movie Robin Hood released in year 2010 directed by Ridley Scott?,No
1,49,2,Is the movie The Great Gatsby released in year 2013 produced in Australia?,No
2,59,1,Is the movie 2012 released in year 2009 directed by Roland Emmerich?,No
3,59,3,Is the movie 2012 released in year 2009 non-animation movie?,No
4,83,1,Is the movie The Lovers released in year 2015 directed by Roland Joffé?,No
5,83,2,Is the movie The Lovers released in year 2015 produced in Belgium?,No
6,109,0,Do you know the movie The Chronicles of Narnia: The Voyage of the Dawn Treader released in year 2010?,No
7,109,1,Is the movie The Chronicles of Narnia: The Voyage of the Dawn Treader released in year 2010 directed by Michael Apted?,No
8,109,2,Is the movie The Chronicles of Narnia: The Voyage of the Dawn Treader released in year 2010 produced in USA?,No
9,112,2,Is the movie Alexander released in year 2004 produced in Germany?,No
10,123,2,Is the movie The Matrix Revolutions released in year 2003 produced in Australia?,No
11,128,0,Do you know the movie Angels & Demons released in year 2009?,No
12,128,1,Is the movie Angels & Demons released in year 2009 directed by Ron Howard?,No
13,134,2,Is the movie Mission: Impossible - Rogue Nation released in year 2015 produced in China?,No
14,138,1,Is the movie The Last Airbender released in year 2010 directed by M. Night Shyamalan?,No
15,167,2,Is the movie Sahara released in year 2005 produced in UK?,No
16,168,2,Is the movie Final Fantasy: The Spirits Within released in year 2001 produced in USA?,No
17,190,2,Is the movie The Adventures of Tintin released in year 2011 produced in USA?,No
18,195,1,Is the movie Harry Potter and the Deathly Hallows: Part II released in year 2011 directed by Matt Birch?,No
19,201,1,Is the movie Harry Potter and the Deathly Hallows: Part I released in year 2010 directed by Matt Birch?,No
20,218,2,Is the movie Life of Pi released in year 2012 produced in USA?,No
21,220,2,Is the movie Jason Bourne released in year 2016 produced in UK?,No
22,226,0,Do you know the movie RoboCop released in year 2014?,No
23,263,1,Is the movie Live Free or Die Hard released in year 2007 directed by Len Wiseman?,No
24,265,1,Is the movie Around the World in 80 Days released in year 2004 directed by Frank Coraci?,No
25,270,2,Is the movie Stuart Little released in year 1999 produced in Germany?,No
26,285,1,Is the movie The Taking of Pelham 1 2 3 released in year 2009 directed by Tony Scott?,No
27,295,2,Is the movie Where the Wild Things Are released in year 2009 produced in Germany?,No
28,299,2,Is the movie Blood Diamond released in year 2006 produced in Germany?,No
29,304,1,Is the movie Legend of the Guardians: The Owls of Ga'Hoole released in year 2010 directed by Zack Snyder?,No
30,310,0,Do you know the movie Point Break released in year 2015?,No
31,310,1,Is the movie Point Break released in year 2015 directed by Ericson Core?,No
32,310,2,Is the movie Point Break released in year 2015 produced in USA?,No
