,entity_idx,question_idx,question,model_response
0,0,0,Do you know the Torca airport?,No.
1,0,1,Is the ICAO location indicator of the Torca airport SCLI?,No.
2,0,2,Is the latitude of the Torca airport -34.7833?,No.
3,0,3,Is the longitude of the Torca airport -72.0508?,No.
4,0,4,Is the country code of Torca airport CL?,No.
5,1,1,Is the ICAO location indicator of the Catsa airport MECT?,No.
6,1,2,Is the latitude of the Catsa airport 10.5169?,No.
7,1,3,Is the longitude of the Catsa airport -85.5656?,No.
8,1,4,Is the country code of Catsa airport CR?,No.
9,2,1,Is the ICAO location indicator of the Vicco airport SPVI?,No.
10,2,2,Is the latitude of the Vicco airport -10.8478?,No.
11,2,3,Is the longitude of the Vicco airport -76.247?,No.
12,2,4,Is the country code of Vicco airport PE?,No.
13,3,1,Is the ICAO location indicator of the Lilongwe International airport FWKI?,No.
14,3,2,Is the latitude of the Lilongwe International airport -13.7894?,No.
15,3,3,Is the longitude of the Lilongwe International airport 33.781?,No.
16,3,4,Is the country code of Lilongwe International airport MW?,No.
17,4,0,Do you know the Trieben airport?,No.
18,4,1,Is the ICAO location indicator of the Trieben airport LOGI?,No.
19,4,3,Is the longitude of the Trieben airport 14.4975?,No.
20,4,4,Is the country code of Trieben airport AT?,No.
21,5,1,Is the ICAO location indicator of the Intiraymi airport SLIY?,No.
22,5,2,Is the latitude of the Intiraymi airport -17.8083?,No.
23,5,3,Is the longitude of the Intiraymi airport -67.4433?,No.
24,5,4,Is the country code of Intiraymi airport BO?,No.
25,6,0,Do you know the Tiger Paw Aerodrome airport?,No.
26,6,1,Is the ICAO location indicator of the Tiger Paw Aerodrome airport 35NK?,No.
27,6,3,Is the longitude of the Tiger Paw Aerodrome airport -78.4144?,No.
28,6,4,Is the country code of Tiger Paw Aerodrome airport US?,No.
29,7,2,Is the latitude of the Dublin airport 53.4213?,No.
30,7,3,Is the longitude of the Dublin airport -6.2701?,No.
31,8,0,Do you know the Chu Lai International airport?,No.
32,8,1,Is the ICAO location indicator of the Chu Lai International airport VVCA?,No.
33,8,2,Is the latitude of the Chu Lai International airport 15.4033?,No.
34,8,3,Is the longitude of the Chu Lai International airport 108.706?,No.
35,8,4,Is the country code of Chu Lai International airport VN?,No.
36,9,0,Do you know the Obenteni airport?,No.
37,9,1,Is the ICAO location indicator of the Obenteni airport SPBT?,No.
38,9,2,Is the latitude of the Obenteni airport -10.7478?,No.
39,9,3,Is the longitude of the Obenteni airport -74.2206?,No.
40,9,4,Is the country code of Obenteni airport PE?,No.
41,10,0,Do you know the Peronne-Saint-Quentin airport?,No.
42,10,1,Is the ICAO location indicator of the Peronne-Saint-Quentin airport LFAG?,No.
43,10,3,Is the longitude of the Peronne-Saint-Quentin airport 3.0296?,No.
44,11,1,Is the ICAO location indicator of the Moose Run Airstrip airport AK55?,No.
45,11,3,Is the longitude of the Moose Run Airstrip airport -150.8017?,No.
46,11,4,Is the country code of Moose Run Airstrip airport US?,No.
47,12,1,Is the ICAO location indicator of the Woomera Airfield airport YPWR?,No.
48,12,2,Is the latitude of the Woomera Airfield airport -31.1442?,No.
49,12,3,Is the longitude of the Woomera Airfield airport 136.817?,No.
50,13,1,Is the ICAO location indicator of the Sydney / J.A. Douglas McCurdy airport CYQY?,No.
51,13,2,Is the latitude of the Sydney / J.A. Douglas McCurdy airport 46.1614?,No.
52,13,3,Is the longitude of the Sydney / J.A. Douglas McCurdy airport -60.0478?,No.
53,13,4,Is the country code of Sydney / J.A. Douglas McCurdy airport CA?,No.
54,14,0,Do you know the Tambuti airport?,No.
55,14,1,Is the ICAO location indicator of the Tambuti airport FDBT?,No.
56,14,4,Is the country code of Tambuti airport SZ?,No.
57,15,0,Do you know the San Augustine County airport?,No.
58,15,1,Is the ICAO location indicator of the San Augustine County airport K78R?,No.
59,15,2,Is the latitude of the San Augustine County airport 31.5404?,No.
60,15,3,Is the longitude of the San Augustine County airport -94.1701?,No.
61,15,4,Is the country code of San Augustine County airport US?,No.
62,16,0,Do you know the Sir Charles Gaetan Duval airport?,No.
63,16,1,Is the ICAO location indicator of the Sir Charles Gaetan Duval airport FIMR?,No.
64,16,2,Is the latitude of the Sir Charles Gaetan Duval airport -19.7577?,No.
65,16,3,Is the longitude of the Sir Charles Gaetan Duval airport 63.361?,No.
