,common_entity,entity3,entity2,entity1,entity4
0,Avatar,2009.0,James Cameron,CCH Pounder,1954
1,Pirates of the Caribbean: At World's End,2007.0,Gore Verbinski,Johnny Depp,1964
2,Spectre,2015.0,Sam Mendes,Christoph Waltz,1965
3,The Dark Knight Rises,2012.0,Christopher Nolan,Tom Hardy,1970
4,John Carter,2012.0,Andrew Stanton,Daryl Sabara,1965
5,Spider-Man 3,2007.0,Sam Raimi,J.K. Simmons,1959
6,Tangled,2010.0,Nathan Greno,Brad Garrett,1975
7,Avengers: Age of Ultron,2015.0,Joss Whedon,Chris Hemsworth,1964
8,Harry Potter and the Half-Blood Prince,2009.0,David Yates,Alan Rickman,1963
9,Batman v Superman: Dawn of Justice,2016.0,Zack Snyder,Henry Cavill,1966
10,Superman Returns,2006.0,Bryan Singer,Kevin Spacey,1965
11,Quantum of Solace,2008.0,Marc Forster,Giancarlo Giannini,1969
12,Pirates of the Caribbean: Dead Man's Chest,2006.0,Gore Verbinski,Johnny Depp,1964
13,The Lone Ranger,2013.0,Gore Verbinski,Johnny Depp,1964
14,Man of Steel,2013.0,Zack Snyder,Henry Cavill,1966
15,The Chronicles of Narnia: Prince Caspian,2008.0,Andrew Adamson,Peter Dinklage,1966
16,The Avengers,2012.0,Joss Whedon,Chris Hemsworth,1964
17,Pirates of the Caribbean: On Stranger Tides,2011.0,Rob Marshall,Johnny Depp,1960
18,Men in Black 3,2012.0,Barry Sonnenfeld,Will Smith,1953
19,The Hobbit: The Battle of the Five Armies,2014.0,Peter Jackson,Aidan Turner,1961
21,Robin Hood,2010.0,Ridley Scott,Mark Addy,1937
22,The Hobbit: The Desolation of Smaug,2013.0,Peter Jackson,Aidan Turner,1961
23,The Golden Compass,2007.0,Chris Weitz,Christopher Lee,1969
24,King Kong,2005.0,Peter Jackson,Naomi Watts,1961
25,Titanic,1997.0,James Cameron,Leonardo DiCaprio,1954
27,Battleship,2012.0,Peter Berg,Liam Neeson,1964
28,Jurassic World,2015.0,Colin Trevorrow,Bryce Dallas Howard,1976
29,Skyfall,2012.0,Sam Mendes,Albert Finney,1965
30,Spider-Man 2,2004.0,Sam Raimi,J.K. Simmons,1959
31,Iron Man 3,2013.0,Shane Black,Robert Downey Jr.,1961
32,Alice in Wonderland,2010.0,Tim Burton,Johnny Depp,1958
33,X-Men: The Last Stand,2006.0,Brett Ratner,Hugh Jackman,1969
34,Monsters University,2013.0,Dan Scanlon,Steve Buscemi,1976
35,Transformers: Revenge of the Fallen,2009.0,Michael Bay,Glenn Morshower,1965
36,Transformers: Age of Extinction,2014.0,Michael Bay,Bingbing Li,1965
37,Oz the Great and Powerful,2013.0,Sam Raimi,Tim Holmes,1959
39,TRON: Legacy,2010.0,Joseph Kosinski,Jeff Bridges,1974
40,Cars 2,2011.0,John Lasseter,Joe Mantegna,1957
41,Green Lantern,2011.0,Martin Campbell,Ryan Reynolds,1943
42,Toy Story 3,2010.0,Lee Unkrich,Tom Hanks,1967
43,Terminator Salvation,2009.0,McG,Christian Bale,1968
44,Furious 7,2015.0,James Wan,Jason Statham,1977
45,World War Z,2013.0,Marc Forster,Peter Capaldi,1969
46,X-Men: Days of Future Past,2014.0,Bryan Singer,Jennifer Lawrence,1965
47,Star Trek Into Darkness,2013.0,J.J. Abrams,Benedict Cumberbatch,1966
48,Jack the Giant Slayer,2013.0,Bryan Singer,Eddie Marsan,1965
49,The Great Gatsby,2013.0,Baz Luhrmann,Leonardo DiCaprio,1962
51,Pacific Rim,2013.0,Guillermo del Toro,Charlie Hunnam,1964
