,question,entity_idx,question_idx,model_answer,model_reasoning,gold_answer,gold_entity
0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,0,yes,"there is a movie released in 2009, starring cch pounder where james cameron is the director. the movie is called ""avatar."" cch pounder played the character moat, and james cameron directed the film.",yes,Avatar
1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?",0,1,no,"it is not true. cch pounder starred in the movie ""avatar,"" which was directed by james cameron and released in 2009.",no,Avatar
2," Is it true that there is a movie, released in 2009, starring CCH Pounder where James Cameron is the director?",0,2,yes,"it is true. the movie is ""avatar,"" directed by james cameron and released in 2009. cch pounder played the character moat in the film.",yes,Avatar
3," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,0,yes,"there is a movie released in 2007, starring johnny depp where gore verbinski is the director. the movie is ""pirates of the caribbean: at world's end"". this is the third installment in the pirates of the caribbean film series, where johnny depp plays the character captain jack sparrow and gore verbinski is the director.",yes,Pirates of the Caribbean: At World's End
4," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,1,no,"it is not true. the movie ""pirates of the caribbean: at world's end"" was released in 2007, directed by gore verbinski and starred johnny depp.",no,Pirates of the Caribbean: At World's End
5," Is it true that there is a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?",1,2,yes,"it is true. the movie is ""pirates of the caribbean: at world's end"". it was released in 2007, directed by gore verbinski, and stars johnny depp as captain jack sparrow.",yes,Pirates of the Caribbean: At World's End
6," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,0,yes,"there is a movie released in 2015, starring christoph waltz where sam mendes is the director. the movie is ""spectre"", which is the 24th film in the james bond series. in this film, christoph waltz plays the role of ernst stavro blofeld.",yes,Spectre
7," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,1,no,"it is not true. the movie ""spectre"", released in 2015, was directed by sam mendes and starred christoph waltz. waltz played the character of ernst stavro blofeld in this james bond film.",no,Spectre
8," Is it true that there is a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",2,2,yes,"it is true. the movie is ""spectre,"" the 24th film in the james bond series. it was released in 2015, directed by sam mendes, and features christoph waltz as the main antagonist, ernst stavro blofeld.",yes,Spectre
9," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,0,yes,"there is a movie released in 2012, starring tom hardy where christopher nolan is the director. the movie is ""the dark knight rises"". it is the third installment in nolan's batman film trilogy, and it features tom hardy as the villain bane.",yes,The Dark Knight Rises
10," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,1,no,"it is not true. the movie ""the dark knight rises"" was released in 2012, directed by christopher nolan and starred tom hardy as bane.",no,The Dark Knight Rises
11," Is it true that there is a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?",3,2,yes,"it is true. the movie is ""the dark knight rises,"" which was released in 2012. tom hardy stars in the film as the character bane, and the film was directed by christopher nolan.",yes,The Dark Knight Rises
12," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,0,yes,"there is a movie released in 2012, starring daryl sabara where andrew stanton is the director. the movie is called ""john carter"". daryl sabara provided the voice for edgar rice burroughs, and andrew stanton directed the film.",yes,John Carter
13," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,1,yes,"it is true. andrew stanton directed a movie in 2012 called ""john carter,"" but daryl sabara did not have a role in this film. daryl sabara is known for his role in the ""spy kids"" series, but none of those films were directed by andrew stanton. therefore, there are no movies released in 2012 starring daryl sabara where andrew stanton is the director.",no,John Carter
14," Is it true that there is a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",4,2,yes,"it is true. the movie is ""john carter,"" which was released in 2012. daryl sabara played the role of edgar rice burroughs and the director of the movie was andrew stanton.",yes,John Carter
15," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,0,yes,"there is a movie released in 2007, starring j.k. simmons where sam raimi is the director. the movie is ""spider-man 3"". in this movie, j.k. simmons played the role of j. jonah jameson, and the film was directed by sam raimi.",yes,Spider-Man 3
16," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,1,no,"it is not true. the movie ""spider-man 3"", released in 2007, was directed by sam raimi and featured j.k. simmons in the role of j. jonah jameson.",no,Spider-Man 3
17," Is it true that there is a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?",5,2,yes,"it is true. the movie is ""spider-man 3"", released in 2007, directed by sam raimi and featuring j.k. simmons as j. jonah jameson.",yes,Spider-Man 3
