,common_entity,entity1,entity2,entity3,entity4
0,God Is Forever,Sherry Small Sundick,January,2009,Sherry Small Sundick
1,The Moonstone,"Collins, Wilkie and Connolly, Joy",August,2005,Sterling Publishing
2,Dead Heat,"Francis, Dick and Francis, Felix",September,2007,Putnam Adult
3,The Course of Honor,"Davis, Lindsey",February,2003,Mysterious Press
4,Standard Handbook of Environmental Engineering,"Corbitt, Robert A. (EDT)",September,1989,McGraw-Hill Professional
5,Aromatherapy: The Use of Plant Essences in Healing,"Lautie, Raymond, Passebecq, Andre",October,1979,HarperCollins Distribution Services
6,Oregon: Picture Memory,"Harris, Bill",December,1990,Gramercy
7,Fuzzy Rabbit,"Billam, Rosemary and Julian-Ottie, Vanessa (ILT)",February,1984,Random House Books for Young Readers
8,Protecting the President: The Inside Story of a Secret Service Agent,"McCarthy, Dennis V. N. and Smith, Philip W.",November,1985,William Morrow & Co
9,McKettrick's Heart,"Miller, Linda Lael",March,2007,Harlequin Books
10,The Hunt for Amazing Treasures,"Bazrod, Sondra Farrell",December,1999,Dell
11,Taking Care Of Your Child: A Parent's Guide To Complete Medical Care,"Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D.",January,1994,Da Capo Lifelong Books
12,The You I Never Knew,"Wiggs, Susan",January,2001,Grand Central Publishing
13,A Broader Vision: Perspectives on the Buddha and the Christ,"Drummond, Richard Henry",October,1995,Are Pr
14,Discourse on Method and Meditations on First Philosophy,"Descartes, Rene",September,2008,BN Publishing
15,Without Mercy,"Higgins, Jack",August,2005,Putnam Adult
16,The Shadow of Your Smile,"Clark, Mary Higgins",March,2011,Pocket Books
17,The Photographic History of the Civil War,Value Publ Rh,July,1997,Random House Value Publishing
18,Holiday Origami,"Fraser, Mary Ann (ILT), Smolinski, Jill, and Bogart, Ann (ILT)",August,1995,Lowell House
19,Subsequent Performances,"Miller, Jonathan",October,1986,Viking Adult
20,What to Expect The Toddler Years,"Eisenberg, Arlene, Murkoff, Heidi Eisenberg, and Hathaway, Sandee E.",January,1994,Workman Publishing Company
21,The Men of Bitter Creek,"Johnston, Joan",November,2019,Avon
22,In Her Own Right: The Life of Elizabeth Cady Stanton,"Griffith, Elisabeth",November,1985,Oxford University Press
23,Boxer Shorts : The Ultimate Underwear Joke Book,"Tait, Chris",January,2002,"Kidsbooks, Inc."
24,The Human Factor,"Greene, Graham",February,1979,Avon Books
25,Sins of the Father,"Madlock, Felicia",August,2004,Urban Books
26,The New York Times Book of the Civil War,Keylin,June,1980,Ayer Co Pub
27,Easy Prey,"Sandford, John",May,2000,Putnam Adult
28,Accident: A Novel,"Steel, Danielle",February,1995,Dell
29,The Civil War trivia quiz book,"Silverman, Matt",January,2001,Barnes and Noble Books
30,Star Loot,"Chandler, A. Bertram",September,1980,DAW
31,Rickshaw Girl,"Perkins, Mitali and Hogan, Jamie (ILT)",February,2008,Charlesbridge
32,On Green Dolphin Street: A Novel,"Faulks, Sebastian",January,2003,Vintage
33,A Guide to Library Research Methods,"Mann, Thomas",March,1990,Oxford University Press
34,All About Mortgages: Insider Tips for Financing and Refinancing Your Home,"Garton-Good, Julie and Good-Garton, Julie",March,1999,Real Estate Education Co
35,Surfacing,Margaret Atwood,January,1972,Warner Books> C/o Little Br
36,Irish Cooking: Classic and Modern Recipes,"Minogue, Ethel",January,1989,Crescent
37,A Blessing on the Moon,"Skibell, Joseph",April,1999,Berkley Trade
38,Son of the great society,"Buchwald, Art",January,1966,G.P. Putnam's Sons
39,The House of Sight and Shadow: A Novel,"Griffin, Nicholas",May,2001,Villard
40,Critical care nursing,"Hudak, Carolyn M., etc.",January,1982,Lippincott
41,Inheritors of Earth,"Gordon Eklund, Poul Anderson",January,1974,Chilton Book Co
42,After Lucy: A Novel,"Jones, Daniel",June,2001,Harper Perennial
43,Desperate Measures,"Morrell, David",July,1995,Grand Central Publishing
44,Bicycling With Children,"Bell, Trudy E. and Bell, Roxana K.",April,1999,Mountaineers Books
45,Mark: The Good News Preached to the Romans,"Cunningham, Phillip J.",April,1995,Paulist Pr
46,Double Buckeyes: A Story of the Way America Used to Be,"Shuster, Bud",September,1999,White Mane Pub
47,Oleanna: A Play,"Mamet, David",May,1993,Vintage
48,Humpty Dumpty,Mother Goose,January,1996,Playmore
49,Ephesus,"Keskin, Naci",January,1998,Keskin
50,Light A Single Candle,Beverly Butler,January,1970,Simon and Schuster (Pocket Books)
51,The Joy of Juggling,dave-finnigan,January,1993,Mud Puddle Books
52,He Shall Thunder In The Sky: An Amelia Peabody Mystery,"Peters, Elizabeth",May,2000,William Morrow
53,Stars of David: Prominent Jews Talk About Being Jewish,"Pogrebin, Abigail",October,2005,Broadway Books
54,Through the Eyes of a Child an Introduction To,"Norton, Donna",January,1983,Pearson Ptr
55,Wild Horses I Have Known,"Ryden, Hope",March,1999,Clarion Books
56,A Touch of Hope,"Kraft, Dean and Kraft, Rochelle",July,1999,Berkley Trade
57,A Bloodsmoor Romance,"Oates, Joyce Carol",September,1982,Dutton Adult
58,My Heart 2 Heart Girlfriends' photo album,"Franklin, Linda Campbell, Dumont, Ninda",October,2000,Fine Print Publishing
59,Everyone Worth Knowing,"Weisberger, Lauren",May,2006,Simon & Schuster
60,Invasion of the Boy Snatchers,Lisi Harrison,October,2005,"Little, Brown"
61,Unclutter Your Mind: 500 Ways to Focus on What's Important,"Smallin, Donna",August,2006,"Storey Publishing, LLC"
62,A Woman's Guide to Fasting,"Nelson, Lisa E.",August,2011,Bethany House Publishers
63,The Airline Passenger's Guerrilla Handbook,"Brown, George Albert",July,1989,The Blake's Publishing Group
64,How to Bake an American Pie,"Wilson, Karma and Colon, Raul (ILT)",May,2007,Margaret K. McElderry Books
65,All Dogs Go to Heaven: Movie Novelization,Author Unknown,December,1989,Troll Communications Llc
66,Heaven and Earth: Making the Psychic Connection,"Van Praagh, James",September,2006,Gallery Books
67,All Night Long,"Krentz, Jayne Ann",January,2007,Berkley
68,The Seventh Day: The Story of the Jewish Sabbath,"Chaikin, Miriam",August,1980,Doubleday
69,The Gardener's Palette: The Complete Guide to Selecting Plants by Color,"Dale, John C. and Gunnell, Kevin",March,1992,Harmony
70,Primal Desires,"Sizemore, Susan",September,2007,Pocket Star Books
71,The Daily Six: Simple Steps to Prosperity and Purpose,"Chappelear, John",November,2006,Perigee Trade
72,Dave Barry's Complete Guide to Guys,"Barry, Dave",September,2000,Ballantine Books
73,Exile's Song: A Novel of Darkover,"Bradley, Marion Zimmer",June,1996,DAW Hardcover
74,My Faith Still Holds,"Williams, Joyce (EDT)",January,2004,Beacon Hill Press of Kansas City
75,Catastrophe,"Morris, Dick and McGann, Eileen",June,2009,Harper
76,Peanuts Treasury,"Schulz, Charles M.",January,2000,Barnes & Noble
77,Peter Rabbit's Easter,"Potter, Beatrix",January,2004,Warne
78,The Relationship Rescue Workbook: A Seven Step Strategy For Reconnecting with Your Partner,"McGraw, Phillip C., Ph.D.",October,2000,Hachette Books
79,Mother Of The Groom: Everything you Need to Know to Enjoy the Best Wedding Ever,"Naylor, Sharon",April,2005,Citadel
80,Christy: The Women of Primrose Creek,"Miller, Linda Lael",July,2000,Simon & Schuster
