,entity1,entity2,common_entity,entity3
0,L. Messi,FC Barcelona,barcelona,"1992,"
1,Cristiano Ronaldo,Juventus,turin, 
2,Neymar Jr,Paris Saint-Germain,paris,"1924,1900,"
3,E. Hazard,Real Madrid CF,madrid, 
4,K. De Bruyne,Manchester City,manchester, 
5,J. Oblak,Atlético de Madrid,madrid, 
6,L. Modrić,Real Madrid CF,madrid, 
7,M. ter Stegen,FC Barcelona,barcelona,"1992,"
8,V. van Dijk,Liverpool,liverpool, 
9,M. Salah,Liverpool,liverpool, 
10,G. Chiellini,Juventus,turin, 
11,S. Agüero,Manchester City,manchester, 
12,Sergio Ramos,Real Madrid CF,madrid, 
13,L. Suárez,FC Barcelona,barcelona,"1992,"
14,R. Lewandowski,FC Bayern München,munich,"1972,"
15,Sergio Busquets,FC Barcelona,barcelona,"1992,"
16,De Gea,Manchester United,manchester, 
17,A. Griezmann,FC Barcelona,barcelona,"1992,"
18,K. Koulibaly,Napoli,naples, 
19,H. Kane,Tottenham Hotspur,london,"2012,1948,1908,"
20,Alisson,Liverpool,liverpool, 
21,N. Kanté,Chelsea,london,"2012,1948,1908,"
22,K. Mbappé,Paris Saint-Germain,paris,"1924,1900,"
23,Piqué,FC Barcelona,barcelona,"1992,"
24,S. Handanovič,Inter,milan, 
25,M. Neuer,FC Bayern München,munich,"1972,"
26,H. Lloris,Tottenham Hotspur,london,"2012,1948,1908,"
27,David Silva,Manchester City,manchester, 
28,E. Cavani,Paris Saint-Germain,paris,"1924,1900,"
29,D. Godín,Inter,milan, 
30,T. Kroos,Real Madrid CF,madrid, 
31,M. Reus,Borussia Dortmund,dortmund, 
32,P. Aubameyang,Arsenal,london,"2012,1948,1908,"
33,C. Eriksen,Tottenham Hotspur,london,"2012,1948,1908,"
34,T. Courtois,Real Madrid CF,madrid, 
35,P. Pogba,Manchester United,manchester, 
36,R. Sterling,Manchester City,manchester, 
37,S. Mané,Liverpool,liverpool, 
38,Ederson,Manchester City,manchester, 
39,P. Dybala,Juventus,turin, 
40,Fernandinho,Manchester City,manchester, 
41,Thiago Silva,Paris Saint-Germain,paris,"1924,1900,"
42,K. Benzema,Real Madrid CF,madrid, 
43,J. Vertonghen,Tottenham Hotspur,london,"2012,1948,1908,"
44,D. Mertens,Napoli,naples, 
45,M. Hummels,Borussia Dortmund,dortmund, 
46,T. Alderweireld,Tottenham Hotspur,london,"2012,1948,1908,"
47,Jordi Alba,FC Barcelona,barcelona,"1992,"
48,Thiago,FC Bayern München,munich,"1972,"
49,K. Navas,Real Madrid CF,madrid, 
50,L. Insigne,Napoli,naples, 
51,H. Son,Tottenham Hotspur,london,"2012,1948,1908,"
52,Casemiro,Real Madrid CF,madrid, 
53,A. Laporte,Manchester City,manchester, 
