,common_entity,entity1,entity2,entity3,entity4,rag_text
0,Avatar,2009,James Cameron,USA,non-animation,"Avatar (marketed as James Cameron's Avatar) is a 2009 epic science fiction film directed, written, co-produced, and co-edited by James Cameron and starring Sam Worthington, Zoe Saldana, Stephen Lang, Michelle Rodriguez, and Sigourney Weaver. It is the first installment in the Avatar film series. It is set in the mid-22nd century, when humans are colonizing Pandora, a lush habitable moon of a gas giant in the Alpha Centauri star system, in order to mine the valuable mineral unobtanium. The expansion of the mining colony threatens the continued existence of a local tribe of Na'vi, a humanoid species indigenous to Pandora. The title of the film refers to a genetically engineered Na'vi body operated from the brain of a remotely located human that is used to interact with the natives of Pandora.Development of Avatar began in 1994, when James Cameron wrote an 80-page treatment for the film. Filming was supposed to take place after the completion of Cameron's 1997 film Titanic, for a planned release in 1999; however, according to Cameron, the necessary technology was not yet available to achieve his vision of the film. Work on the language of the Na'vi began in 2005, and Cameron began developing the screenplay and fictional universe in early 2006. Avatar was officially budgeted at $237 million, due to the groundbreaking array of new visual effects Cameron achieved in cooperation with Weta Digital in Wellington. Other estimates put the cost at between $280 million and $310 million for production and at $150 million for promotion. The film made extensive use of new motion capture filming techniques and was released for traditional viewing, 3D viewing (using the RealD 3D, Dolby 3D, XpanD 3D, and IMAX 3D formats), and ""4D"" experiences in selected South Korean theaters.Avatar premiered on December 10, 2009, in London and was released in the United States on December 18, 2009, to positive reviews. Critics highly praised its groundbreaking visual effects, though the story was considered to be predictable. During its theatrical run, the film broke several box office records, including becoming the highest-grossing film of all time. In July 2019, this position was overtaken by Avengers: Endgame, but with subsequent re-releases, beginning with China in March 2021, it returned to becoming the highest-grossing film since then. Adjusted for inflation, Avatar is the second-highest-grossing movie of all time, only behind Gone with the Wind, with a total of a little more than $3.5 billion. It also became the first film to gross more than $2 billion and the best-selling video title of 2010 in the United States. Avatar was nominated for nine awards at the 82nd Academy Awards, winning three, and received numerous other accolades. The success of the film also led to electronics manufacturers releasing 3D televisions and caused 3D films to increase in popularity. Its success led to the Avatar franchise, which includes the sequels Avatar: The Way of Water (2022), Avatar 3 (2025), Avatar 4 (2029), and Avatar 5 (2031)."
1,Pirates of the Caribbean: At World's End,2007,Gore Verbinski,USA,non-animation,"Pirates of the Caribbean: At World's End is a 2007 American epic fantasy swashbuckler film directed by Gore Verbinski. The film is produced by Jerry Bruckheimer and written by Ted Elliott and Terry Rossio. The sequel to Pirates of the Caribbean: Dead Man's Chest (2006), it is the third installment in the Pirates of the Caribbean film series. Set a few months after Dead Man's Chest, the story follows a desperate quest to locate and rescue Captain Jack Sparrow (Johnny Depp), trapped on a sea of sand in Davy Jones' Locker, and convene the Brethren Court in a war against the East India Trading Company. In an uneasy alliance, Will Turner (Orlando Bloom), Elizabeth Swann (Keira Knightley), Hector Barbossa (Geoffrey Rush), and the crew of the Black Pearl rescue Jack and prepare to fight Lord Cutler Beckett, who controls Davy Jones and the Flying Dutchman.
Two sequels to Pirates of the Caribbean: The Curse of the Black Pearl were conceived in 2004, with Elliott and Rossio developing a story arc that would span both films. The film was shot in two shoots during 2005 and 2006, the former of which was released as Dead Man's Chest. This also marks the final film of the series to be directed by Verbinski. With a production budget of nearly US$300 million, it was, at time of production, the most expensive film ever made.
Buena Vista Pictures Distribution released At World's End in the United States on May 18, 2007, and received mixed reviews from critics, who praised the performances and visual effects, but criticized its plot, pacing and runtime. It was the highest-grossing film of 2007, bringing in over $963 million. It was nominated at the 80th Academy Awards for Best Makeup and Best Visual Effects, and won Favorite Movie Actor for Johnny Depp at the 2008 Kids' Choice Awards. A fourth film, On Stranger Tides, was released May 20, 2011.

"
2,Spectre,2015,Sam Mendes,UK,non-animation,"Spectre is a 2015 spy film and the twenty-fourth in the James Bond series produced by Eon Productions. Directed by Sam Mendes and written by John Logan, Neal Purvis, Robert Wade, and Jez Butterworth from a story conceived by Logan, Purvis, and Wade, it stars Daniel Craig as Bond, alongside Christoph Waltz, Léa Seydoux, Ben Whishaw, Naomie Harris, Dave Bautista, Monica Bellucci, and Ralph Fiennes. It was distributed by Sony Pictures Releasing. In the film, Bond learns of Spectre, an international crime organisation led by Ernst Stavro Blofeld (Waltz).
Despite initially stating he would not direct Spectre, Mendes confirmed his return in 2014 after Nicolas Winding Refn declined to direct; Mendes became the first to direct successive James Bond films since John Glen. The inclusion of Spectre and its associated characters marked the end of the Thunderball controversy, in which Kevin McClory and Fleming were embroiled in lengthy legal disputes over the film rights to the novel; Spectre is the first film to feature these elements since Diamonds Are Forever (1971). Following the Sony Pictures hack, it was revealed Sony and Eon clashed regarding finance, stunts, and filming locations; Spectre is estimated to have a final budget of $245–300 million, making it one of the most expensive films ever made. Principal photography began in December 2014 and lasted until July 2015, with filming locations including Austria, the United Kingdom, Italy, Morocco, and Mexico.
Spectre premiered at the Royal Albert Hall on 26 October 2015 and was theatrically released in conventional and IMAX formats in the United Kingdom that day, and in the United States on 6 November. The film received mixed reviews from critics, who praised the action sequences, cast performances (particularly Craig's and Bautista's), and the musical score, but criticised the pacing and formulaic narrative decisions. It grossed $880 million worldwide, making it the sixth-highest-grossing film of 2015 and the second-highest grossing James Bond film after Skyfall, unadjusted for inflation. The film's theme song, ""Writing's on the Wall"", won an Academy Award and Golden Globe for Best Original Song. The next film in the series, No Time to Die, was released in 2021.

"
3,The Dark Knight Rises,2012,Christopher Nolan,USA,non-animation,"The Dark Knight Rises is a 2012 superhero film directed by Christopher Nolan, who co-wrote the screenplay with his brother Jonathan Nolan, and the story with David S. Goyer. Based on the DC Comics character Batman, it is the final installment in Nolan's The Dark Knight trilogy, and the sequel to The Dark Knight (2008). The film stars Christian Bale as Bruce Wayne / Batman, alongside Anne Hathaway, Gary Oldman, Tom Hardy, Morgan Freeman, Marion Cotillard, Joseph Gordon-Levitt, and Michael Caine. Eight years after the events of The Dark Knight, the terrorist Bane forces Bruce Wayne to resume his role as Batman and save Gotham City from nuclear destruction.
Christopher Nolan was hesitant about returning to the series for a third film, but agreed after developing a story with his brother and Goyer that he felt would conclude the series on a satisfactory note. Nolan drew inspiration from Bane's comic book debut in the 1993 ""Knightfall"" storyline, the 1986 series The Dark Knight Returns, and the 1999 storyline ""No Man's Land"". Filming took place from May to November 2011 in locations including Jodhpur, London, Nottingham, Glasgow, Los Angeles, New York City, Newark, and Pittsburgh. Nolan used IMAX 70 mm film cameras for much of the filming, including the first six minutes of the film, to optimize the quality of the picture. A vehicle variation of the Batplane and Batcopter termed the ""Bat"", an underground prison set, and a new Batcave set were created specifically for the film. As with The Dark Knight, viral marketing campaigns began early during production. When filming concluded, Warner Bros. refocused its campaign, developing promotional websites, releasing the first six minutes of the film, screening theatrical trailers, and sending out information regarding the film's plot.
The Dark Knight Rises premiered in New York City on July 16, 2012. The film was released in the United States and the United Kingdom on July 20, 2012. The film received overwhelmingly positive reviews from critics who deemed it a satisfying conclusion to the trilogy. The film grossed over $1 billion worldwide, making it the second film in the Batman film series to earn $1 billion, and the highest-grossing Batman film to date. In addition to being Nolan's highest-grossing film, it became the seventh-highest-grossing film of all time at the time of its release, as well as the third-highest-grossing film of 2012. It was named one of the top 10 films of 2012 by the American Film Institute.

"
4,John Carter,2012,Andrew Stanton,USA,non-animation,"John Carter is a 2012 American science fiction action-adventure film directed by Andrew Stanton, written by Stanton, Mark Andrews, and Michael Chabon, and based on A Princess of Mars, the first book in the Barsoom series of novels by Edgar Rice Burroughs. Produced by Jim Morris, Colin Wilson and Lindsey Collins, it stars Taylor Kitsch in the title role, Lynn Collins, Samantha Morton, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy and Willem Dafoe. It chronicles the first interplanetary adventure of John Carter and his attempts to mediate civil unrest amongst the warring kingdoms of Barsoom.
Several attempts to adapt the Barsoom series had been made since the 1930s by various major studios and producers. Most of these efforts ultimately stalled in development hell. In the late-2000s, Walt Disney Pictures began a concerted effort to adapt Burroughs' works to film, after an abandoned venture in the 1980s. The project was driven by Stanton, who had pressed Disney to renew the screen rights from the Burroughs estate. Stanton became the new film's director in 2009. It was his live-action debut, after his directorial work for Disney on the Pixar animated films Finding Nemo and WALL-E. Filming began in November 2009, with principal photography underway in January 2010, wrapping seven months later in July. Michael Giacchino, who scored many Pixar films, composed the music. Like Pixar's Brave that same year, the film is dedicated to the memory of Steve Jobs.It was released in the United States by Walt Disney Studios Motion Pictures on March 9, 2012, marking the centennial of the titular character's first appearance. It was presented in Disney Digital 3D, RealD 3D and IMAX 3D formats. It received mixed reviews, with praise for its visuals, Giacchino's score, and the action sequences, but criticism of the characterization and plot. It failed at the North American box office, but set an opening-day record in Russia. It grossed $284 million at the worldwide box office, resulting in a $200 million writedown for Disney, becoming one of the biggest box office bombs in history. With a total cost of $350 million, including an estimated production budget of $263 million, it is one of the most expensive films ever made. Due to its poor performance, Disney cancelled plans for Gods of Mars and Warlord of Mars, the rest of the trilogy Stanton had planned. Much of the film's failure has been attributed to its promotion, which has been called ""one of the worst marketing campaigns in movie history"".

"
5,Spider-Man 3,2007,Sam Raimi,USA,non-animation,"Spider-Man 3 is a 2007 American superhero film based on the Marvel Comics character Spider-Man. Produced by Columbia Pictures in association with Marvel Entertainment and Laura Ziskin Productions, and distributed by Sony Pictures Releasing, it was directed by Sam Raimi from a screenplay he co-wrote with his older brother Ivan and Alvin Sargent. It is the third and final installment in Raimi's Spider-Man trilogy, and the sequel to Spider-Man (2002) and Spider-Man 2 (2004). The film stars Tobey Maguire as Peter Parker / Spider-Man, alongside Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, James Cromwell, Rosemary Harris, and J. K. Simmons. It also marks the final film appearance of Cliff Robertson before his retirement in the same year and his subsequent death in 2011.
The film follows Peter Parker as he prepares for his future with Mary Jane Watson, while facing Uncle Ben's true killer, Flint Marko, who becomes Sandman after a freak accident, and Harry Osborn, his former best friend, who is now aware of Peter's identity and seeks to avenge his father. Peter also faces his greatest challenge when he bonds with an extraterrestrial symbiote that increases his abilities but amplifies his anger and other negative traits.
Development of Spider-Man 3 began immediately after the successful release of Spider-Man 2 for a 2007 release. During preproduction, Raimi wanted two villains, Harry Osborn and Sandman. At the request of producer Avi Arad, he added Venom to the list, and the producers also requested the addition of Gwen Stacy. Principal photography for the film began in January 2006 and took place in Los Angeles and Cleveland before moving to New York City from May until July 2006. Additional pick-up shots were made after August and the film wrapped in October 2006. During post-production, Sony Pictures Imageworks created over 900 visual effects shots. Composer Danny Elfman, who had scored the previous installments, decided not to return due to creative differences and conflicts with Raimi during production of the previous film, so Christopher Young composed the score in Elfman's absence. With an estimated production budget of $258–350 million, the film was the most expensive film ever made at the time of its release.
Spider-Man 3 premiered on April 16, 2007, in Tokyo, and was released in the United States in both conventional and IMAX theaters on May 4. The film grossed $895 million worldwide, making it the highest-grossing film of the trilogy, the third-highest-grossing film of 2007 and was the highest-grossing Spider-Man film until it was surpassed by Spider-Man: Far From Home in 2019. Unlike the previous installments, Spider-Man 3 received mixed reviews from critics.
A fourth installment, titled Spider-Man 4, was set to be released on May 6, 2011, followed by a Venom spin-off film, along with a fifth and sixth installment, titled Spider-Man 5 and Spider-Man 6 respectively, but all were canceled. The Spider-Man film series was rebooted twice; first with The Amazing Spider-Man (2012) by Marc Webb and starring Andrew Garfield; and later a new film series set within the Marvel Cinematic Universe (MCU) directed by Jon Watts and starring Tom Holland, beginning with Spider-Man: Homecoming (2017). Spider-Man: No Way Home (2021) explored the concept of the multiverse to connect the previous films and characters to the MCU with Maguire and Church reprising their roles in the film. A Venom film and sequel featuring another version of the Eddie Brock character was eventually produced and released in 2018 and 2021, respectively."
6,Tangled,2010,Nathan Greno,USA,animation,"Tangled is a 2010 American animated musical adventure fantasy comedy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. Loosely based on the German fairy tale ""Rapunzel"" in the collection of folktales published by the Brothers Grimm, the film was directed by Nathan Greno and Byron Howard (in the former's feature directorial debut), and produced by Roy Conli, from a screenplay written by Dan Fogelman. Featuring the voices of Mandy Moore, Zachary Levi, and Donna Murphy, Tangled tells the story of Rapunzel, a lost young princess with magical long blonde hair who yearns to leave her secluded tower. She accepts the aid of an intruder to take her out into the world which she has never seen.
Originally conceived and proposed by Disney animator Glen Keane in 2001, Tangled spent six years in production at a cost that has been estimated at $260 million, which, if accurate, would make it the most expensive animated feature film ever made and one of the most expensive films of all time. The film employed a unique artistic style by blending together features of computer-generated imagery (CGI) and traditional animation while using non-photorealistic rendering to create the impression of a painting. Composer Alan Menken, who had worked on prior Disney animated features, returned to score Tangled, and also wrote the film's songs with lyricist Glenn Slater. Before the film's release, its title was changed from Rapunzel to Tangled, reportedly to market the film gender-neutrally.Tangled premiered at the El Capitan Theatre in Los Angeles on November 14, 2010, and went into general release on November 24. The film earned $592 million in worldwide box office revenue, $200 million of which was earned in the United States and Canada, making it the eighth-highest-grossing film of 2010. Tangled received positive reviews from critics, who praised for its animation, writing, characters, and musical score. The film was nominated for a number of awards, including Best Original Song at the 83rd Academy Awards. It was Richard Kiel’s last film role before his death in 2014. The film was released on DVD and Blu-ray on March 29, 2011; a short film, Tangled Ever After, was released later in 2012, and a television series premiered in 2017."
7,Avengers: Age of Ultron,2015,Joss Whedon,USA,non-animation,"Avengers: Age of Ultron is a 2015 American superhero film based on the Marvel Comics superhero team the Avengers. Produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures, it is the sequel to The Avengers (2012) and the 11th film in the Marvel Cinematic Universe (MCU). Written and directed by Joss Whedon, the film features an ensemble cast including Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell, Idris Elba, Linda Cardellini, Stellan Skarsgård, James Spader, and Samuel L. Jackson. In the film, the Avengers fight Ultron (Spader)—an artificial intelligence created by Tony Stark (Downey) and Bruce Banner (Ruffalo)—who plans to bring about world peace by causing human extinction.
The sequel was announced in May 2012 after the successful release of The Avengers, with Whedon set to return as writer and director in August. Whedon updated Ultron's origin for the film to involve the MCU's Avengers team, and introduced the characters Pietro (Taylor-Johnson) and Wanda Maximoff (Olsen) to whom Marvel shared the rights with 20th Century Fox. Casting began in June 2013 with the re-signing of Downey. Second unit filming began in February 2014 in South Africa with principal photography taking place between March and August, primarily at Shepperton Studios in Surrey, England. Additional footage was filmed in Italy, South Korea, Bangladesh, the state of New York, and around England. With an estimated net production budget of $365 million, the film is one of the most expensive films ever made.
Avengers: Age of Ultron premiered in Hollywood, Los Angeles, on April 13, 2015, and was released in the United States on May 1, as part of Phase Two of the MCU. The film received generally positive reviews from critics and grossed over $1.4 billion worldwide, becoming the fourth-highest-grossing film of 2015 and the fifth-highest-grossing film of all time during its run. Two sequels have been released: Avengers: Infinity War (2018) and Avengers: Endgame (2019)."
8,Harry Potter and the Half-Blood Prince,2009,David Yates,UK,non-animation,"Harry Potter and the Half-Blood Prince is a 2009 fantasy film directed by David Yates from a screenplay by Steve Kloves, based on the 2005 novel of the same name by J. K. Rowling. It is the sequel to Harry Potter and the Order of the Phoenix (2007) and the sixth instalment in the Harry Potter film series. It stars Daniel Radcliffe as Harry Potter, alongside Rupert Grint and Emma Watson as Harry's best friends Ron Weasley and Hermione Granger respectively. The story follows Harry's sixth year at Hogwarts as he receives a mysterious textbook, falls in love, and attempts to retrieve a memory that holds the key to Lord Voldemort's downfall.
Filming began on 24 September 2007, leading to the film's worldwide cinematic release on 15 July 2009. With an estimated budget of $250 million, it is one of the most expensive films ever made and the most expensive film in the Harry Potter film series.
Harry Potter and the Half-Blood Prince was released in 2D cinemas and IMAX formats in the United Kingdom and the United States on 15 July, by Warner Bros. Pictures. The film received positive reviews, with praise for the story, emotional weight, cinematography and performances. It was a major commercial success, breaking the record for the biggest single-day worldwide gross with $104 million. In five days, the film made $394 million, breaking the record for highest worldwide five-day opening. With a total gross of $934 million, it is the second-highest-grossing film of 2009. The film was nominated for many awards, including the Academy Award for Best Cinematography and the BAFTA Award for Best Production Design and Best Special Visual Effects.
It was followed by Harry Potter and the Deathly Hallows – Part 1 in 2010.

"
9,Batman v Superman: Dawn of Justice,2016,Zack Snyder,USA,non-animation,"Batman v Superman: Dawn of Justice is a 2016 American superhero film based on the DC Comics characters Batman and Superman. Distributed by Warner Bros. Pictures, it is a follow-up to the 2013 film Man of Steel and the second film in the DC Extended Universe (DCEU). The film was directed by Zack Snyder, written by Chris Terrio and David S. Goyer, and features an ensemble cast that includes Ben Affleck as Batman and Henry Cavill as Superman, alongside Amy Adams, Jesse Eisenberg, Diane Lane, Laurence Fishburne, Jeremy Irons, Holly Hunter, and Gal Gadot. Batman v Superman: Dawn of Justice is the first live-action film to feature Batman and Superman together, as well as the first live-action cinematic portrayal of Wonder Woman. In the film, criminal mastermind Lex Luthor manipulates Batman into a preemptive battle with Superman, who Luthor is obsessed with destroying.
The film was announced at the 2013 San Diego Comic-Con after the release of Man of Steel. Snyder stated that the film would take inspiration from the Batman comic book series The Dark Knight Returns by Frank Miller but clarified that it would follow an original premise. The incarnation of Batman in the film is different from the character's previous portrayal by Christian Bale in The Dark Knight Trilogy, serving as a cinematic reboot of the character. The film is also inspired by narrative elements from ""The Death of Superman"". Pre-production began at East Los Angeles College in October 2013 and principal photography started in May 2014 in Detroit. Additional filming also took place in Illinois and New Mexico, concluding that December.
Batman v Superman: Dawn of Justice premiered at the Auditorio Nacional in Mexico City on March 19, 2016, and was released in the United States on March 25, 2016. Following a strong debut that set new box office records, the film experienced a historic drop in its second weekend and never recovered. Despite grossing $873.6 million worldwide, making it the seventh-highest-grossing film of 2016, it performed below expectations and received generally unfavorable reviews from critics. An extended cut, dubbed the ""Ultimate Edition"", features 31 minutes of additional footage and was released to home media formats later in 2016.

"
