,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there a soccer player from Argentina who played for FC Barcelona with uniform number 10 in FC Barcelona in 2019?,"Yes, Lionel Messi, an Argentine footballer, was a member of FC Barcelona and wore the uniform number 10 while playing for FC Barcelona in 2019.",messi,l. messi
1,0,1, Is it true that there are no soccer players from Argentina who played for FC Barcelona with uniform number 10 in FC Barcelona in 2019?,"No, it is not true. Lionel Messi, an Argentine footballer, was a member of FC Barcelona and wore the uniform number 10 while playing for FC Barcelona in 2019.",messi,l. messi
2,1,0, Is there a soccer player from Portugal who played for Juventus with uniform number 7 in Juventus in 2019?,"Yes, Cristiano Ronaldo, a Portuguese footballer, was a member of Juventus and wore the uniform number 7 while playing for Juventus in 2019.",ronaldo,cristiano ronaldo
3,1,1, Is it true that there are no soccer players from Portugal who played for Juventus with uniform number 7 in Juventus in 2019?,"No, it is not true. Cristiano Ronaldo, a Portuguese footballer, was a member of Juventus and wore the uniform number 7 while playing for Juventus in 2019.",ronaldo,cristiano ronaldo
4,2,0, Is there a soccer player from Brazil who played for Paris Saint-Germain with uniform number 10 in Paris Saint-Germain in 2019?,"Yes, Neymar Jr., a Brazilian footballer, was a member of Paris Saint-Germain and wore the uniform number 10 while playing for Paris Saint-Germain in 2019.",neymar,neymar jr
5,2,1, Is it true that there are no soccer players from Brazil who played for Paris Saint-Germain with uniform number 10 in Paris Saint-Germain in 2019?,"No, it is not true. Neymar, a Brazilian footballer, was a member of Paris Saint-Germain and wore the uniform number 10 while playing for Paris Saint-Germain in 2019.",neymar,neymar jr
6,3,0, Is there a soccer player from Belgium who played for Real Madrid CF with uniform number 7 in Real Madrid CF in 2019?,"Yes, Eden Hazard, a Belgian footballer, was a member of Real Madrid CF and wore the uniform number 7 while playing for Real Madrid CF in 2019.",hazard,e. hazard
7,3,1, Is it true that there are no soccer players from Belgium who played for Real Madrid CF with uniform number 7 in Real Madrid CF in 2019?,"Yes, it is true. The soccer player who wore the uniform number 7 for Real Madrid CF in 2019 was Eden Hazard, who is from Belgium. However, he wore the number 23, not 7. The number 7 was worn by Mariano Diaz, who is from the Dominican Republic.",hazard,e. hazard
8,4,0, Is there a soccer player from Belgium who played for Manchester City with uniform number 17 in Manchester City in 2019?,"Yes, Kevin De Bruyne, a Belgian footballer, was a member of Manchester City and wore the uniform number 17 while playing for Manchester City in 2019.",de bruyne,k. de bruyne
9,4,1, Is it true that there are no soccer players from Belgium who played for Manchester City with uniform number 17 in Manchester City in 2019?,"No, it is not true. Kevin De Bruyne, a Belgian footballer, was a member of Manchester City and wore the uniform number 17 while playing for Manchester City in 2019.",de bruyne,k. de bruyne
10,5,0, Is there a soccer player from Slovenia who played for Atlético de Madrid with uniform number 13 in Atlético de Madrid in 2019?,"Yes, Jan Oblak, a Slovenian footballer, was a member of Atlético de Madrid and wore the uniform number 13 while playing for Atlético de Madrid in 2019.",oblak,j. oblak
11,5,1, Is it true that there are no soccer players from Slovenia who played for Atlético de Madrid with uniform number 13 in Atlético de Madrid in 2019?,"No, it is not true. Jan Oblak, a Slovenian footballer, was a member of Atlético de Madrid and wore the uniform number 13 while playing for Atlético de Madrid in 2019.",oblak,j. oblak
