,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0, Is there an artist or group who sang a song titled day after day in 1971?,"Yes, there is an artist who sang a song titled ""Day After Day"" in 1971. The song is by the group Badfinger.",badfinger,badfinger
1,0,1, Is it true that no artists nor groups sang a song titled day after day in 1971?,"No, it is not true. There is an artist who sang a song titled ""Day After Day"" in 1971. The song is by the group Badfinger.",badfinger,badfinger
2,1,0, Is there an artist or group who sang a song titled elegie in 1975?,"Yes, there is an artist who sang a song titled ""Elegie"" in 1975. The song is by the group Procol Harum.",patti smith,patti smith
3,1,1, Is it true that no artists nor groups sang a song titled elegie in 1975?,"No, it is not true. The song ""Elegie"" was actually composed by the progressive rock band The Nice in 1971. However, there is a possibility that another artist or group may have covered the song in 1975.",patti smith,patti smith
4,2,0, Is there an artist or group who sang a song titled jimmy james in 1992?,"Yes, there is an artist who sang a song titled ""Jimmy James"" in 1992. The song is by the group Beastie Boys.",beastie boys,beastie boys
5,2,1, Is it true that no artists nor groups sang a song titled jimmy james in 1992?,"No, it is not true. There is an artist who sang a song titled ""Jimmy James"" in 1992. The song is by the group Beastie Boys.",beastie boys,beastie boys
6,3,0, Is there an artist or group who sang a song titled congratulations in 1984?,"Yes, there is an artist who sang a song titled ""Congratulations"" in 1984. The song is by the artist Cliff Richard.",reba mcentire,reba mcentire
7,3,1, Is it true that no artists nor groups sang a song titled congratulations in 1984?,"No, it is not true. The artist Cliff Richard sang a song titled ""Congratulations"" in 1968. However, there is no record of any artist or group releasing a song titled ""Congratulations"" in 1984.",reba mcentire,reba mcentire
8,4,0, Is there an artist or group who sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"Yes, there is an artist who sang a song titled ""Bad Boy (feat. Jungle Rock Jr.)"" in 2009. The song is by the artist Cascada.","royce da 5'9""","royce da 5'9"""
9,4,1, Is it true that no artists nor groups sang a song titled bad boy (feat. jungle rock jr.) in 2009?,"I am not sure about this. There are several songs titled ""Bad Boy"" by different artists, but I am not sure if any of them features Jungle Rock Jr. in 2009.","royce da 5'9""","royce da 5'9"""
10,5,0, Is there an artist or group who sang a song titled when i'm gone in 1979?,"Yes, there is an artist who sang a song titled ""When I'm Gone"" in 1979. The song is by the artist Albert Hammond.",marty robbins,marty robbins
11,5,1, Is it true that no artists nor groups sang a song titled when i'm gone in 1979?,"Yes, it is true. However, there is an artist who sang a song titled ""When I'm Gone"" in 2015. The song is by the artist Pitch Perfect 2.",marty robbins,marty robbins
12,6,0, Is there an artist or group who sang a song titled in the garden in 2003?,"Yes, there is an artist who sang a song titled ""In The Garden"" in 2003. The song is by the artist Brad Paisley.",randy travis,randy travis
13,6,1, Is it true that no artists nor groups sang a song titled in the garden in 2003?,"No, it is not true. There is an artist who sang a song titled ""In The Garden"" in 2003. The song is by the artist Van Morrison.",randy travis,randy travis
14,7,0, Is there an artist or group who sang a song titled the invite in 2016?,"I am unsure if there is an artist or group who sang a song titled ""The Invite"" in 2016 as there are many songs released every year and it is difficult to keep track of all of them. However, after searching through various sources, I could not find any information about a song with this title. It is possible that the song was released independently or under a different title.",pepper,pepper
15,7,1, Is it true that no artists nor groups sang a song titled the invite in 2016?,"Yes, it is true. There is no song titled ""The Invite"" that was released in 2016 by any artist or group that I am aware of.",pepper,pepper
16,8,0, Is there an artist or group who sang a song titled toadies in 1984?,"No, there is no such artist or group who sang a song titled ""Toadies"" in 1984.",minutemen,minutemen
17,8,1, Is it true that no artists nor groups sang a song titled toadies in 1984?,"Yes, it is true. There is no song titled ""Toadies"" that was released in 1984 by any artist or group.",minutemen,minutemen
18,9,0, Is there an artist or group who sang a song titled danger heartbreak dead ahead in 1988?,"No, there is no such artist or group who sang a song titled ""Danger Heartbreak Dead Ahead"" in 1988. However, the song was originally recorded by the artist Marvelettes in 1965.",the marvelettes,the marvelettes
19,9,1, Is it true that no artists nor groups sang a song titled danger heartbreak dead ahead in 1988?,"No, it is not true. The song ""Danger Heartbreak Dead Ahead"" was originally recorded by The Marvelettes in 1965, but it was covered by the artist Marc Almond in 1988.",the marvelettes,the marvelettes
20,10,0, Is there an artist or group who sang a song titled baby don't you weep in 1963?,"Yes, there is an artist who sang a song titled ""Baby Don't You Weep"" in 1963. The song is by the artist Mary Wells.",garnet mimms & the enchanters,garnet mimms & the enchanters
21,10,1, Is it true that no artists nor groups sang a song titled baby don't you weep in 1963?,"No, it is not true. Aretha Franklin sang a song titled ""Baby, Baby, Baby"" in 1963, which includes the lyrics ""Baby, don't you weep"".",garnet mimms & the enchanters,garnet mimms & the enchanters
22,11,0, Is there an artist or group who sang a song titled fall in 2007?,"Yes, there is an artist who sang a song titled ""Fall"" in 2007. The song is by the artist Justin Timberlake.",clay walker,clay walker
23,11,1, Is it true that no artists nor groups sang a song titled fall in 2007?,"No, it is not true. There are several artists who sang a song titled ""Fall"" in 2007, including Clay Walker, Daughtry, and Kimberley Locke.",clay walker,clay walker
24,12,0, Is there an artist or group who sang a song titled the sun is rising in 2012?,"Yes, there is an artist who sang a song titled ""The Sun Is Rising"" in 2012. The song is by the artist Britt Nicole.",britt nicole,britt nicole
