,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?","Yes. The movie is ""Avatar"".",avatar,avatar
1,0,1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?","Yes, it is true. There were no movies released in 2009 starring CCH Pounder where James Cameron was the director. James Cameron's last movie before 2009 was ""Avatar"" in 2009, which did not feature CCH Pounder.",avatar,avatar
2,1,0," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","Yes. The movie is ""Pirates of the Caribbean: At World's End"".",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
3,1,1," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","Yes, it is true. There were no movies released in 2007 starring Johnny Depp where Gore Verbinski was the director.",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
4,2,0," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?","Yes. The movie is ""Spectre"".",spectre,spectre
5,2,1," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?","Yes, it is true. Christoph Waltz did not star in any movies released in 2015 where Sam Mendes was the director.",spectre,spectre
6,3,0," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","Yes. The movie is ""The Dark Knight Rises"".",the dark knight rises,the dark knight rises
7,3,1," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","Yes, it is true. There were no movies released in 2012 starring Tom Hardy where Christopher Nolan was the director. The last movie they worked on together was ""The Dark Knight Rises"" which was released in 2012, but Tom Hardy was not the lead actor in that movie.",the dark knight rises,the dark knight rises
8,4,0," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?","Yes. The movie is ""John Carter"".",john carter,john carter
9,4,1," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?","Yes, it is true. There were no movies released in 2012 starring Daryl Sabara where Andrew Stanton is the director.",john carter,john carter
10,5,0," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","Yes. The movie is ""Spider-Man 3"".",spider-man 3,spider-man 3
11,5,1," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","Yes.There were no movies released in 2007 that starred J.K. Simmons and were directed by Sam Raimi. J.K. Simmons starred in the Spider-Man trilogy directed by Sam Raimi, but those movies were released in 2002, 2004, and 2007. However, the third movie in the trilogy, released in 2007, was not solely focused on J.K. Simmons' character and he did not have a leading role.",spider-man 3,spider-man 3
12,6,0," Is there a movie, released in 2010, starring Brad Garrett where Nathan Greno is the director?","Yes. The movie is ""Tangled"".",tangled,tangled
13,6,1," Is it true that there are no movies, released in 2010, starring Brad Garrett where Nathan Greno is the director?","Yes, it is true. There are no movies released in 2010 that meet these criteria. Brad Garrett did not star in any movies released in 2010, and Nathan Greno did not direct any movies in 2010.",tangled,tangled
14,7,0," Is there a movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",No.,avengers: age of ultron,avengers: age of ultron
