,entity_idx,question_idx,question,model_response
0,0,0,"Do you know the book ""God Is Forever"" written by Sherry Small Sundick?",No.
1,0,3,"Is the book titled ""God Is Forever"" written by Sherry Small Sundick published by the publisher named Sherry Small Sundick?",No.
2,1,1,"Is the published month of the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy August?",No.
3,1,2,"Is the published year of the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy 2005?",No.
4,6,0,"Do you know the book ""Oregon: Picture Memory"" written by Harris, Bill?",No.
5,10,0,"Do you know the book ""The Hunt for Amazing Treasures"" written by Bazrod, Sondra Farrell?",No.
6,13,0,"Do you know the book ""A Broader Vision: Perspectives on the Buddha and the Christ"" written by Drummond, Richard Henry?",No.
7,13,3,"Is the book titled ""A Broader Vision: Perspectives on the Buddha and the Christ"" written by Drummond, Richard Henry published by the publisher named Are Pr?",No.
8,14,1,"Is the published month of the book titled ""Discourse on Method and Meditations on First Philosophy"" written by Descartes, Rene September?",No.
9,14,2,"Is the published year of the book titled ""Discourse on Method and Meditations on First Philosophy"" written by Descartes, Rene 2008?",No.
10,18,3,"Is the book titled ""Holiday Origami"" written by Fraser, Mary Ann (ILT), Smolinski, Jill, and Bogart, Ann (ILT) published by the publisher named Lowell House?",No.
11,23,0,"Do you know the book ""Boxer Shorts : The Ultimate Underwear Joke Book"" written by Tait, Chris?",No.
12,25,0,"Do you know the book ""Sins of the Father"" written by Madlock, Felicia?",No.
13,26,1,"Is the published month of the book titled ""The New York Times Book of the Civil War"" written by Keylin June?",No.
14,29,0,"Do you know the book ""The Civil War trivia quiz book"" written by Silverman, Matt?",No.
15,30,0,"Do you know the book ""Star Loot"" written by Chandler, A. Bertram?",No.
16,32,1,"Is the published month of the book titled ""On Green Dolphin Street: A Novel"" written by Faulks, Sebastian January?",No.
17,35,1,"Is the published month of the book titled ""Surfacing"" written by Margaret Atwood January?",No.
18,35,3,"Is the book titled ""Surfacing"" written by Margaret Atwood published by the publisher named Warner Books> C/o Little Br?",No.
19,37,3,"Is the book titled ""A Blessing on the Moon"" written by Skibell, Joseph published by the publisher named Berkley Trade?",No.
20,38,0,"Do you know the book ""Son of the great society"" written by Buchwald, Art?",No.
21,38,1,"Is the published month of the book titled ""Son of the great society"" written by Buchwald, Art January?",No.
22,39,2,"Is the published year of the book titled ""The House of Sight and Shadow: A Novel"" written by Griffin, Nicholas 2001?",No.
23,42,0,"Do you know the book ""After Lucy: A Novel"" written by Jones, Daniel?",No.
24,46,0,"Do you know the book ""Double Buckeyes: A Story of the Way America Used to Be"" written by Shuster, Bud?",No.
25,47,1,"Is the published month of the book titled ""Oleanna: A Play"" written by Mamet, David May?",No.
26,48,2,"Is the published year of the book titled ""Humpty Dumpty"" written by Mother Goose 1996?",No.
27,50,3,"Is the book titled ""Light A Single Candle"" written by Beverly Butler published by the publisher named Simon and Schuster (Pocket Books)?",No.
28,51,0,"Do you know the book ""The Joy of Juggling"" written by dave-finnigan?",No.
29,56,0,"Do you know the book ""A Touch of Hope"" written by Kraft, Dean and Kraft, Rochelle?",No.
30,58,0,"Do you know the book ""My Heart 2 Heart Girlfriends' photo album"" written by Franklin, Linda Campbell, Dumont, Ninda?",No.
31,62,0,"Do you know the book ""A Woman's Guide to Fasting"" written by Nelson, Lisa E.?",No.
32,63,0,"Do you know the book ""The Airline Passenger's Guerrilla Handbook"" written by Brown, George Albert?",No.
33,65,0,"Do you know the book ""All Dogs Go to Heaven: Movie Novelization"" written by Author Unknown?",No.
34,67,1,"Is the published month of the book titled ""All Night Long"" written by Krentz, Jayne Ann January?",No.
35,71,0,"Do you know the book ""The Daily Six: Simple Steps to Prosperity and Purpose"" written by Chappelear, John?",No.
36,82,1,"Is the published month of the book titled ""The Catholic Youth Bible Revised: New American Bible"" written by nan August?",No.
37,86,0,"Do you know the book ""The Long Mynd"" written by Hughes, Edward P.?",No.
38,86,3,"Is the book titled ""The Long Mynd"" written by Hughes, Edward P. published by the publisher named Baen?",No.
39,89,3,"Is the book titled ""The Wonder Years: Helping Your Baby and Young Child Successfully Negotiate The Major Developmental Milestones"" written by American Academy of Pediatrics (COR) and Remer Altmann, Tanya (EDT) published by the publisher named Bantam?",No.
40,97,1,"Is the published month of the book titled ""My Monster Mama Loves Me So"" written by Buehner, Mark (ILT) and Leuck, Laura August?",No.
41,98,0,"Do you know the book ""The Microwave Master"" written by Fandre, Donovan Jon?",No.
42,98,3,"Is the book titled ""The Microwave Master"" written by Fandre, Donovan Jon published by the publisher named Kqed?",No.
43,99,1,"Is the published month of the book titled ""The English Year: A Personal Selection from Chamber's Book of Days"" written by Strong, Roy and Oman, Julia Trevelyan September?",No.
