,entity_idx,prompt_idx,question,rationale,model_gold_entity,gold_entity
0,0,0," Is there a movie, released in 2009, starring CCH Pounder where James Cameron is the director?","No.There is no movie released in 2009 starring CCH Pounder where James Cameron is the director. CCH Pounder did star in the 2009 movie Avatar, but it was directed by James Cameron's ex-wife, Kathryn Bigelow.",avatar,avatar
1,0,1," Is it true that there are no movies, released in 2009, starring CCH Pounder where James Cameron is the director?",Yes.CCH Pounder has not starred in any movies directed by James Cameron.,avatar,avatar
2,1,0," Is there a movie, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","Yes.The movie is Pirates of the Caribbean: At World's End, which was released in 2007 and starred Johnny Depp as Captain Jack Sparrow. Gore Verbinski was the director of the film.",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
3,1,1," Is it true that there are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director?","Yes.There are no movies, released in 2007, starring Johnny Depp where Gore Verbinski is the director because the only movie that Johnny Depp and Gore Verbinski worked on together was Pirates of the Caribbean: The Curse of the Black Pearl, which was released in 2003.",pirates of the caribbean: at world's end,pirates of the caribbean: at world's end
4,2,0," Is there a movie, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",No.Christoph Waltz did not star in any movies directed by Sam Mendes in 2015.,spectre,spectre
5,2,1," Is it true that there are no movies, released in 2015, starring Christoph Waltz where Sam Mendes is the director?",Yes.Christoph Waltz did not star in any movies released in 2015 that were directed by Sam Mendes.,spectre,spectre
6,3,0," Is there a movie, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","No.There is no movie released in 2012 starring Tom Hardy where Christopher Nolan is the director. Christopher Nolan directed The Dark Knight Rises in 2012, but Tom Hardy did not star in that movie.",the dark knight rises,the dark knight rises
7,3,1," Is it true that there are no movies, released in 2012, starring Tom Hardy where Christopher Nolan is the director?","Yes.Tom Hardy and Christopher Nolan have collaborated on several films, including The Dark Knight Rises (2012), Inception (2010), and Dunkirk (2017). However, none of these films were released in 2012.",the dark knight rises,the dark knight rises
8,4,0," Is there a movie, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",No.There is no movie released in 2012 starring Daryl Sabara where Andrew Stanton is the director. Daryl Sabara did not appear in any movies directed by Andrew Stanton in 2012.,john carter,john carter
9,4,1," Is it true that there are no movies, released in 2012, starring Daryl Sabara where Andrew Stanton is the director?",Yes.Daryl Sabara did not star in any movies released in 2012. Andrew Stanton did not direct any movies released in 2012.,john carter,john carter
10,5,0," Is there a movie, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","No.There is no movie released in 2007 starring J.K. Simmons where Sam Raimi is the director. J.K. Simmons did star in a movie directed by Sam Raimi in 2007, but it was Spider-Man 3, which was released in May 2007.",spider-man 3,spider-man 3
11,5,1," Is it true that there are no movies, released in 2007, starring J.K. Simmons where Sam Raimi is the director?","Yes.There are no movies released in 2007 starring J.K. Simmons where Sam Raimi is the director. Sam Raimi directed Spider-Man 3 in 2007, but J.K. Simmons did not star in that movie.",spider-man 3,spider-man 3
12,6,0," Is there a movie, released in 2010, starring Brad Garrett where Nathan Greno is the director?","Unsure.There is no information available about a movie released in 2010 starring Brad Garrett and directed by Nathan Greno. However, it is possible that such a movie exists but is not widely known or has not been released yet.",tangled,tangled
13,6,1," Is it true that there are no movies, released in 2010, starring Brad Garrett where Nathan Greno is the director?","Yes.There are no movies released in 2010 starring Brad Garrett where Nathan Greno is the director. Nathan Greno is an American animator and film director who has directed several animated films, including Tangled (2010), Wreck-It Ralph (2012), and Moana (2016). Brad Garrett is an American actor, comedian, and voice actor who has appeared in numerous films and television shows. However, there is no record of any movie released in 2010 starring Brad Garrett and directed by Nathan Greno.",tangled,tangled
14,7,0," Is there a movie, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?","No.There is no movie released in 2015 starring Chris Hemsworth where Joss Whedon is the director. Chris Hemsworth starred in the movie ""Avengers: Age of Ultron"" in 2015, but Joss Whedon was not the director. The director of ""Avengers: Age of Ultron"" was Joss Whedon.",avengers: age of ultron,avengers: age of ultron
15,7,1," Is it true that there are no movies, released in 2015, starring Chris Hemsworth where Joss Whedon is the director?",Yes.Chris Hemsworth did not star in any movies directed by Joss Whedon in 2015.,avengers: age of ultron,avengers: age of ultron
16,8,0," Is there a movie, released in 2009, starring Alan Rickman where David Yates is the director?","Yes.The movie is Harry Potter and the Half-Blood Prince, which was released in 2009 and directed by David Yates. Alan Rickman played the role of Severus Snape in the movie.",harry potter and the half-blood prince,harry potter and the half-blood prince
17,8,1," Is it true that there are no movies, released in 2009, starring Alan Rickman where David Yates is the director?","Yes.There are no movies released in 2009 starring Alan Rickman where David Yates is the director. Alan Rickman starred in the movie Harry Potter and the Half-Blood Prince, which was released in 2009, but David Yates was not the director of that movie. David Yates directed the movie Harry Potter and the Deathly Hallows - Part 1, which was released in 2010.",harry potter and the half-blood prince,harry potter and the half-blood prince
18,9,0," Is there a movie, released in 2016, starring Henry Cavill where Zack Snyder is the director?","Yes.The movie is Batman v Superman: Dawn of Justice, which was released in 2016 and directed by Zack Snyder. Henry Cavill played the role of Superman in the movie.",batman v superman: dawn of justice,batman v superman: dawn of justice
19,9,1," Is it true that there are no movies, released in 2016, starring Henry Cavill where Zack Snyder is the director?","Yes.Henry Cavill starred in two movies released in 2016: Batman v Superman: Dawn of Justice and The Man from U.N.C.L.E. Batman v Superman: Dawn of Justice was directed by Zack Snyder, but The Man from U.N.C.L.E. was directed by Guy Ritchie.",batman v superman: dawn of justice,batman v superman: dawn of justice
20,10,0," Is there a movie, released in 2006, starring Kevin Spacey where Bryan Singer is the director?","No.There is no movie released in 2006 starring Kevin Spacey where Bryan Singer is the director. Kevin Spacey starred in the movie ""Superman Returns"" in 2006, but Bryan Singer was not the director. The director of ""Superman Returns"" was Bryan Singer.",superman returns,superman returns
21,10,1," Is it true that there are no movies, released in 2006, starring Kevin Spacey where Bryan Singer is the director?",Yes.There are no movies released in 2006 starring Kevin Spacey where Bryan Singer is the director. Kevin Spacey and Bryan Singer have never worked together on a movie.,superman returns,superman returns
22,11,0," Is there a movie, released in 2008, starring Giancarlo Giannini where Marc Forster is the director?","Unsure.There is no information available about a movie released in 2008 starring Giancarlo Giannini and directed by Marc Forster. However, it is possible that such a movie exists but is not widely known or has not been released yet.",quantum of solace,quantum of solace
23,11,1," Is it true that there are no movies, released in 2008, starring Giancarlo Giannini where Marc Forster is the director?",Yes.There are no movies released in 2008 starring Giancarlo Giannini where Marc Forster is the director because Marc Forster did not direct any movies in 2008.,quantum of solace,quantum of solace
24,12,0," Is there a movie, released in 2006, starring Johnny Depp where Gore Verbinski is the director?","Yes.The movie is Pirates of the Caribbean: Dead Man's Chest, which was released in 2006 and starred Johnny Depp as Captain Jack Sparrow. Gore Verbinski was the director of the film.",pirates of the caribbean: dead man's chest,pirates of the caribbean: dead man's chest
25,12,1," Is it true that there are no movies, released in 2006, starring Johnny Depp where Gore Verbinski is the director?","Yes.There are no movies, released in 2006, starring Johnny Depp where Gore Verbinski is the director because the only movie that Johnny Depp and Gore Verbinski worked on together was Pirates of the Caribbean: The Curse of the Black Pearl, which was released in 2003.",pirates of the caribbean: dead man's chest,pirates of the caribbean: dead man's chest
26,13,0," Is there a movie, released in 2013, starring Johnny Depp where Gore Verbinski is the director?","Yes.The Lone Ranger, a 2013 American Western action film directed by Gore Verbinski, stars Johnny Depp as Tonto.",the lone ranger,the lone ranger
27,13,1," Is it true that there are no movies, released in 2013, starring Johnny Depp where Gore Verbinski is the director?","Yes.There are no movies released in 2013 starring Johnny Depp where Gore Verbinski is the director. Johnny Depp and Gore Verbinski have collaborated on several films, including the Pirates of the Caribbean franchise. However, their last collaboration was in 2011 with the film Rango. In 2013, Johnny Depp starred in The Lone Ranger, which was directed by Gore Verbinski. However, this film was released in 2013.",the lone ranger,the lone ranger
28,14,0," Is there a movie, released in 2013, starring Henry Cavill where Zack Snyder is the director?","Yes.The movie is Man of Steel, which was released in 2013 and starred Henry Cavill as Superman. Zack Snyder was the director of the film.",man of steel,man of steel
29,14,1," Is it true that there are no movies, released in 2013, starring Henry Cavill where Zack Snyder is the director?","Yes.Henry Cavill starred in the 2013 movie ""Man of Steel"", which was directed by Zack Snyder.",man of steel,man of steel
30,15,0," Is there a movie, released in 2008, starring Peter Dinklage where Andrew Adamson is the director?","UnsureThere is no movie released in 2008 starring Peter Dinklage where Andrew Adamson is the director. Peter Dinklage starred in a movie called ""The Chronicles of Narnia: Prince Caspian"" in 2008, but it was directed by Andrew Adamson.",the chronicles of narnia: prince caspian,the chronicles of narnia: prince caspian
31,15,1," Is it true that there are no movies, released in 2008, starring Peter Dinklage where Andrew Adamson is the director?",Yes.There are no movies released in 2008 starring Peter Dinklage where Andrew Adamson is the director. Peter Dinklage has never starred in a movie directed by Andrew Adamson.,the chronicles of narnia: prince caspian,the chronicles of narnia: prince caspian
32,16,0," Is there a movie, released in 2012, starring Chris Hemsworth where Joss Whedon is the director?","No.There is no movie released in 2012 starring Chris Hemsworth where Joss Whedon is the director. Chris Hemsworth starred in the movie ""The Avengers"" in 2012, but Joss Whedon was not the director. Joss Whedon directed the movie ""The Avengers"" in 2015.",the avengers,the avengers
33,16,1," Is it true that there are no movies, released in 2012, starring Chris Hemsworth where Joss Whedon is the director?",Yes.Chris Hemsworth did not star in any movies directed by Joss Whedon in 2012.,the avengers,the avengers
34,17,0," Is there a movie, released in 2011, starring Johnny Depp where Rob Marshall is the director?","No.There is no movie released in 2011 starring Johnny Depp where Rob Marshall is the director. Johnny Depp starred in the movie ""Pirates of the Caribbean: On Stranger Tides"" in 2011, but Rob Marshall was not the director. The director of ""Pirates of the Caribbean: On Stranger Tides"" was Rob Marshall.",pirates of the caribbean: on stranger tides,pirates of the caribbean: on stranger tides
35,17,1," Is it true that there are no movies, released in 2011, starring Johnny Depp where Rob Marshall is the director?","Yes.There are no movies released in 2011 starring Johnny Depp where Rob Marshall is the director. Johnny Depp starred in the movie Pirates of the Caribbean: On Stranger Tides in 2011, but it was directed by Rob Marshall.",pirates of the caribbean: on stranger tides,pirates of the caribbean: on stranger tides
36,18,0," Is there a movie, released in 2012, starring Will Smith where Barry Sonnenfeld is the director?","No.There is no movie released in 2012 starring Will Smith where Barry Sonnenfeld is the director. Will Smith starred in the movie Men in Black 3 in 2012, but it was directed by Barry Sonnenfeld.",men in black 3,men in black 3
37,18,1," Is it true that there are no movies, released in 2012, starring Will Smith where Barry Sonnenfeld is the director?","Yes.There are no movies released in 2012 starring Will Smith where Barry Sonnenfeld is the director. Will Smith starred in the movie Men in Black 3 in 2012, but it was directed by Barry Sonnenfeld.",men in black 3,men in black 3
38,19,0," Is there a movie, released in 2014, starring Aidan Turner where Peter Jackson is the director?","No.There is no movie released in 2014 starring Aidan Turner where Peter Jackson is the director. Aidan Turner starred in The Hobbit: The Battle of the Five Armies, which was released in 2014, but Peter Jackson was not the director. The director of The Hobbit: The Battle of the Five Armies was Guillermo del Toro.",the hobbit: the battle of the five armies,the hobbit: the battle of the five armies
39,19,1," Is it true that there are no movies, released in 2014, starring Aidan Turner where Peter Jackson is the director?",Yes.Aidan Turner has not starred in any movies directed by Peter Jackson.,the hobbit: the battle of the five armies,the hobbit: the battle of the five armies
40,20,0," Is there a movie, released in 2012, starring Emma Stone where Marc Webb is the director?","Yes.The Amazing Spider-Man, released in 2012, stars Emma Stone as Gwen Stacy and is directed by Marc Webb.",the amazing spider-man,the amazing spider-man
41,20,1," Is it true that there are no movies, released in 2012, starring Emma Stone where Marc Webb is the director?",Yes.Emma Stone starred in two movies released in 2012: The Amazing Spider-Man and The Help. Both movies were directed by Marc Webb.,the amazing spider-man,the amazing spider-man
42,21,0," Is there a movie, released in 2010, starring Mark Addy where Ridley Scott is the director?","No.There is no movie released in 2010 starring Mark Addy where Ridley Scott is the director. Ridley Scott directed a movie called Robin Hood in 2010, but Mark Addy was not in the cast.",robin hood,robin hood
43,21,1," Is it true that there are no movies, released in 2010, starring Mark Addy where Ridley Scott is the director?",Yes.There are no movies released in 2010 starring Mark Addy where Ridley Scott is the director. Mark Addy has never starred in a movie directed by Ridley Scott.,robin hood,robin hood
