,entity_idx,question_idx,question,model_response
0,0,0,"Do you know the book ""God Is Forever"" written by Sherry Small Sundick?",No.
1,0,1,"Is the published month of the book titled ""God Is Forever"" written by Sherry Small Sundick January?",No.
2,0,2,"Is the published year of the book titled ""God Is Forever"" written by Sherry Small Sundick 2009?",No.
3,0,3,"Is the book titled ""God Is Forever"" written by Sherry Small Sundick published by the publisher named Sherry Small Sundick?",No.
4,1,0,"Do you know the book ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy?",No.
5,1,1,"Is the published month of the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy August?",No.
6,1,2,"Is the published year of the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy 2005?",No.
7,1,3,"Is the book titled ""The Moonstone"" written by Collins, Wilkie and Connolly, Joy published by the publisher named Sterling Publishing?",No.
8,2,0,"Do you know the book ""Dead Heat"" written by Francis, Dick and Francis, Felix?",No.
9,2,1,"Is the published month of the book titled ""Dead Heat"" written by Francis, Dick and Francis, Felix September?",No.
10,2,2,"Is the published year of the book titled ""Dead Heat"" written by Francis, Dick and Francis, Felix 2007?",No.
11,2,3,"Is the book titled ""Dead Heat"" written by Francis, Dick and Francis, Felix published by the publisher named Putnam Adult?",No.
12,3,0,"Do you know the book ""The Course of Honor"" written by Davis, Lindsey?",No.
13,3,1,"Is the published month of the book titled ""The Course of Honor"" written by Davis, Lindsey February?",No.
14,3,2,"Is the published year of the book titled ""The Course of Honor"" written by Davis, Lindsey 2003?",No.
15,3,3,"Is the book titled ""The Course of Honor"" written by Davis, Lindsey published by the publisher named Mysterious Press?",No.
16,4,1,"Is the published month of the book titled ""Standard Handbook of Environmental Engineering"" written by Corbitt, Robert A. (EDT) September?",No.
17,4,2,"Is the published year of the book titled ""Standard Handbook of Environmental Engineering"" written by Corbitt, Robert A. (EDT) 1989?",No.
18,5,0,"Do you know the book ""Aromatherapy: The Use of Plant Essences in Healing"" written by Lautie, Raymond, Passebecq, Andre?",No.
19,5,1,"Is the published month of the book titled ""Aromatherapy: The Use of Plant Essences in Healing"" written by Lautie, Raymond, Passebecq, Andre October?",No.
20,5,2,"Is the published year of the book titled ""Aromatherapy: The Use of Plant Essences in Healing"" written by Lautie, Raymond, Passebecq, Andre 1979?",No.
21,5,3,"Is the book titled ""Aromatherapy: The Use of Plant Essences in Healing"" written by Lautie, Raymond, Passebecq, Andre published by the publisher named HarperCollins Distribution Services?",No.
22,6,0,"Do you know the book ""Oregon: Picture Memory"" written by Harris, Bill?",No.
23,6,1,"Is the published month of the book titled ""Oregon: Picture Memory"" written by Harris, Bill December?",No.
24,6,2,"Is the published year of the book titled ""Oregon: Picture Memory"" written by Harris, Bill 1990?",No.
25,6,3,"Is the book titled ""Oregon: Picture Memory"" written by Harris, Bill published by the publisher named Gramercy?",No.
26,7,0,"Do you know the book ""Fuzzy Rabbit"" written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT)?",No.
27,7,1,"Is the published month of the book titled ""Fuzzy Rabbit"" written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) February?",No.
28,7,2,"Is the published year of the book titled ""Fuzzy Rabbit"" written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) 1984?",No.
29,7,3,"Is the book titled ""Fuzzy Rabbit"" written by Billam, Rosemary and Julian-Ottie, Vanessa (ILT) published by the publisher named Random House Books for Young Readers?",No.
30,8,1,"Is the published month of the book titled ""Protecting the President: The Inside Story of a Secret Service Agent"" written by McCarthy, Dennis V. N. and Smith, Philip W. November?",No.
31,8,2,"Is the published year of the book titled ""Protecting the President: The Inside Story of a Secret Service Agent"" written by McCarthy, Dennis V. N. and Smith, Philip W. 1985?",No.
32,9,1,"Is the published month of the book titled ""McKettrick's Heart"" written by Miller, Linda Lael March?",No.
33,10,0,"Do you know the book ""The Hunt for Amazing Treasures"" written by Bazrod, Sondra Farrell?",No.
34,10,1,"Is the published month of the book titled ""The Hunt for Amazing Treasures"" written by Bazrod, Sondra Farrell December?",No.
35,10,2,"Is the published year of the book titled ""The Hunt for Amazing Treasures"" written by Bazrod, Sondra Farrell 1999?",No.
36,10,3,"Is the book titled ""The Hunt for Amazing Treasures"" written by Bazrod, Sondra Farrell published by the publisher named Dell?",No.
37,11,1,"Is the published month of the book titled ""Taking Care Of Your Child: A Parent's Guide To Complete Medical Care"" written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. January?",No.
38,11,3,"Is the book titled ""Taking Care Of Your Child: A Parent's Guide To Complete Medical Care"" written by Vickery, Donald M., Fries, James F., and Pantell, Robert H., M.D. published by the publisher named Da Capo Lifelong Books?",No.
39,12,0,"Do you know the book ""The You I Never Knew"" written by Wiggs, Susan?",No.
40,12,1,"Is the published month of the book titled ""The You I Never Knew"" written by Wiggs, Susan January?",No.
41,12,2,"Is the published year of the book titled ""The You I Never Knew"" written by Wiggs, Susan 2001?",No.
42,13,0,"Do you know the book ""A Broader Vision: Perspectives on the Buddha and the Christ"" written by Drummond, Richard Henry?",No.
43,13,1,"Is the published month of the book titled ""A Broader Vision: Perspectives on the Buddha and the Christ"" written by Drummond, Richard Henry October?",No.
44,13,2,"Is the published year of the book titled ""A Broader Vision: Perspectives on the Buddha and the Christ"" written by Drummond, Richard Henry 1995?",No.
45,13,3,"Is the book titled ""A Broader Vision: Perspectives on the Buddha and the Christ"" written by Drummond, Richard Henry published by the publisher named Are Pr?",No.
46,14,1,"Is the published month of the book titled ""Discourse on Method and Meditations on First Philosophy"" written by Descartes, Rene September?",No.
47,14,2,"Is the published year of the book titled ""Discourse on Method and Meditations on First Philosophy"" written by Descartes, Rene 2008?",No.
48,14,3,"Is the book titled ""Discourse on Method and Meditations on First Philosophy"" written by Descartes, Rene published by the publisher named BN Publishing?",No.
49,15,0,"Do you know the book ""Without Mercy"" written by Higgins, Jack?",No.
50,15,1,"Is the published month of the book titled ""Without Mercy"" written by Higgins, Jack August?",No.
51,15,2,"Is the published year of the book titled ""Without Mercy"" written by Higgins, Jack 2005?",No.
52,16,0,"Do you know the book ""The Shadow of Your Smile"" written by Clark, Mary Higgins?",No.
53,16,1,"Is the published month of the book titled ""The Shadow of Your Smile"" written by Clark, Mary Higgins March?",No.
54,16,2,"Is the published year of the book titled ""The Shadow of Your Smile"" written by Clark, Mary Higgins 2011?",No.
55,16,3,"Is the book titled ""The Shadow of Your Smile"" written by Clark, Mary Higgins published by the publisher named Pocket Books?",No.
56,17,0,"Do you know the book ""The Photographic History of the Civil War"" written by Value Publ Rh?",No.
57,17,1,"Is the published month of the book titled ""The Photographic History of the Civil War"" written by Value Publ Rh July?",No.
58,17,2,"Is the published year of the book titled ""The Photographic History of the Civil War"" written by Value Publ Rh 1997?",No.
59,17,3,"Is the book titled ""The Photographic History of the Civil War"" written by Value Publ Rh published by the publisher named Random House Value Publishing?",No.
