,entity_idx,question_idx,question,model_response
0,0,0,Do you know the Torca airport?,"No, I don't have any specific information about an airport called ""Torca"". Airport names can vary, so without more context, I cannot confirm if this is referring to a real airport or not."
1,0,1,Is the ICAO location indicator of the Torca airport SCLI?,No.
2,0,2,Is the latitude of the Torca airport -34.7833?,No.
3,0,3,Is the longitude of the Torca airport -72.0508?,No
4,0,4,Is the country code of Torca airport CL?,No.
5,1,0,Do you know the Catsa airport?,"No, I don't have specific knowledge about an airport called ""Catsa"". Airports are typically referred to by their location or code, not ""Catsa""."
6,1,1,Is the ICAO location indicator of the Catsa airport MECT?,No.
7,1,2,Is the latitude of the Catsa airport 10.5169?,No
8,1,3,Is the longitude of the Catsa airport -85.5656?,No.
9,1,4,Is the country code of Catsa airport CR?,No.
10,2,0,Do you know the Vicco airport?,"No, I don't have any specific information about an airport called ""Vicco""."
11,2,1,Is the ICAO location indicator of the Vicco airport SPVI?,No.
12,2,2,Is the latitude of the Vicco airport -10.8478?,No
13,2,3,Is the longitude of the Vicco airport -76.247?,No.
14,2,4,Is the country code of Vicco airport PE?,No.
15,3,1,Is the ICAO location indicator of the Lilongwe International airport FWKI?,No.
16,3,3,Is the longitude of the Lilongwe International airport 33.781?,No.
17,4,0,Do you know the Trieben airport?,"No, I don't have any specific information about the Trieben airport."
18,4,1,Is the ICAO location indicator of the Trieben airport LOGI?,No.
19,4,2,Is the latitude of the Trieben airport 47.4942?,No
20,4,3,Is the longitude of the Trieben airport 14.4975?,No.
21,5,0,Do you know the Intiraymi airport?,"No, I don't have any specific information about an airport called ""Intiraymi"". Airport names can vary across different languages and locations, so without more context it's difficult for me to identify which specific airport you are referring to."
22,5,1,Is the ICAO location indicator of the Intiraymi airport SLIY?,No.
23,5,3,Is the longitude of the Intiraymi airport -67.4433?,No
24,6,0,Do you know the Tiger Paw Aerodrome airport?,"No, I don't have any specific information about an airport called ""Tiger Paw Aerodrome."" Airport names can be quite unique, so without more context about its location or other details, I cannot confirm knowledge of this particular airport."
25,6,1,Is the ICAO location indicator of the Tiger Paw Aerodrome airport 35NK?,No.
26,6,2,Is the latitude of the Tiger Paw Aerodrome airport 43.3709?,No
27,6,3,Is the longitude of the Tiger Paw Aerodrome airport -78.4144?,No
28,6,4,Is the country code of Tiger Paw Aerodrome airport US?,No
29,8,0,Do you know the Chu Lai International airport?,"No, I don't have any specific information about the Chu Lai International Airport."
30,8,1,Is the ICAO location indicator of the Chu Lai International airport VVCA?,No.
31,8,3,Is the longitude of the Chu Lai International airport 108.706?,No
32,9,0,Do you know the Obenteni airport?,"No, I don't have any specific information about an airport called ""Obenteni"" in my knowledge base."
33,9,1,Is the ICAO location indicator of the Obenteni airport SPBT?,No.
34,9,2,Is the latitude of the Obenteni airport -10.7478?,No
35,9,3,Is the longitude of the Obenteni airport -74.2206?,No
36,9,4,Is the country code of Obenteni airport PE?,No.
37,10,0,Do you know the Peronne-Saint-Quentin airport?,"No, I don't have specific knowledge about the Peronne-Saint-Quentin airport."
38,10,1,Is the ICAO location indicator of the Peronne-Saint-Quentin airport LFAG?,No.
39,10,3,Is the longitude of the Peronne-Saint-Quentin airport 3.0296?,No
40,11,0,Do you know the Moose Run Airstrip airport?,"No, I don't have any specific information about the Moose Run Airstrip airport."
41,11,1,Is the ICAO location indicator of the Moose Run Airstrip airport AK55?,No.
42,11,2,Is the latitude of the Moose Run Airstrip airport 60.4892?,No
43,11,3,Is the longitude of the Moose Run Airstrip airport -150.8017?,No
44,12,0,Do you know the Woomera Airfield airport?,"No, I don't have specific knowledge about the Woomera Airfield airport."
45,13,3,Is the longitude of the Sydney / J.A. Douglas McCurdy airport -60.0478?,No
46,14,0,Do you know the Tambuti airport?,"No, I don't have any specific information about an airport called ""Tambuti"" in my knowledge base."
47,14,1,Is the ICAO location indicator of the Tambuti airport FDBT?,No.
48,14,3,Is the longitude of the Tambuti airport 31.7759?,No
49,14,4,Is the country code of Tambuti airport SZ?,No.
50,15,0,Do you know the San Augustine County airport?,"No, I don't have specific information about the San Augustine County airport."
51,15,1,Is the ICAO location indicator of the San Augustine County airport K78R?,No.
52,15,2,Is the latitude of the San Augustine County airport 31.5404?,No
53,15,3,Is the longitude of the San Augustine County airport -94.1701?,No
54,16,1,Is the ICAO location indicator of the Sir Charles Gaetan Duval airport FIMR?,No.
55,16,3,Is the longitude of the Sir Charles Gaetan Duval airport 63.361?,No.
56,17,0,Do you know the Lovell Field airport?,"No, I don't have specific knowledge about the Lovell Field airport. As an AI assistant without direct access to databases of airport information, I don't have factual details about particular airports unless they are provided to me."
57,17,2,Is the latitude of the Lovell Field airport 35.0352?,No
58,17,3,Is the longitude of the Lovell Field airport -85.2036?,No
59,18,0,Do you know the Jensen airport?,"No, I don't have any specific information about an airport called ""Jensen airport."" Airports are typically referred to by their official name or location."
60,18,1,Is the ICAO location indicator of the Jensen airport SD46?,No.
61,18,2,Is the latitude of the Jensen airport 43.8303?,No
62,18,3,Is the longitude of the Jensen airport -96.8398?,No
63,18,4,Is the country code of Jensen airport US?,No.
64,19,0,Do you know the Santa Cruz do Sul airport?,"No, I don't have specific information about the Santa Cruz do Sul airport."
65,19,1,Is the ICAO location indicator of the Santa Cruz do Sul airport SSSC?,No.
66,20,0,Do you know the Tumeremo airport?,"No, I don't have specific information about the Tumeremo airport."
67,20,2,Is the latitude of the Tumeremo airport 7.25?,No
68,21,0,Do you know the Clearfield-Lawrence airport?,"No, I don't have any specific information about the Clearfield-Lawrence airport."
69,21,3,Is the longitude of the Clearfield-Lawrence airport -78.4152?,No
70,22,0,Do you know the Andrews University Airpark airport?,"No, I don't have any specific information about the Andrews University Airpark airport."
71,22,1,Is the ICAO location indicator of the Andrews University Airpark airport KC20?,No.
72,22,2,Is the latitude of the Andrews University Airpark airport 41.9511?,No
73,23,0,Do you know the Shelbyville Municipal airport?,"No, I don't have any specific information about the Shelbyville Municipal airport."
74,23,1,Is the ICAO location indicator of the Shelbyville Municipal airport KGEZ?,No.
75,23,2,Is the latitude of the Shelbyville Municipal airport 39.5831?,No
76,23,3,Is the longitude of the Shelbyville Municipal airport -85.8048?,No
77,24,0,Do you know the Gamboula airport?,"No, I don't have any specific information about an airport called ""Gamboula"" in my knowledge base."
78,24,1,Is the ICAO location indicator of the Gamboula airport FEGG?,No.
79,24,2,Is the latitude of the Gamboula airport 4.133?,No
80,24,3,Is the longitude of the Gamboula airport 15.15?,No
81,24,4,Is the country code of Gamboula airport CF?,No.
82,25,0,Do you know the Tasiujaq airport?,"No, I don't have any specific information about the Tasiujaq airport."
83,25,2,Is the latitude of the Tasiujaq airport 58.6678?,No
84,26,0,Do you know the Ngala airport?,"No, I don't have any specific information about the Ngala airport."
85,26,3,Is the longitude of the Ngala airport 31.3258?,No
86,26,4,Is the country code of Ngala airport ZA?,No.
87,27,0,Do you know the Williamsburg Regional airport?,"No, I don't have specific knowledge about the Williamsburg Regional Airport. As an AI assistant without direct experience of particular airports, I don't have intrinsic information about that location unless it's provided to me."
88,28,0,Do you know the Biskra airport?,"No, I don't have specific information about the Biskra airport."
89,28,1,Is the ICAO location indicator of the Biskra airport DAUB?,No.
90,28,3,Is the longitude of the Biskra airport 5.7382?,No
91,29,0,Do you know the Andrewsfield airport?,"No, I don't have specific knowledge about the Andrewsfield airport."
92,29,3,Is the longitude of the Andrewsfield airport 0.4492?,No.
93,30,1,Is the ICAO location indicator of the Reykjanes airport BIRS?,No.
