,common_entity,entity1,entity2,entity3,entity4
0,Avatar,2009,James Cameron,USA,non-animation
1,Pirates of the Caribbean: At World's End,2007,Gore Verbinski,USA,non-animation
2,Spectre,2015,Sam Mendes,UK,non-animation
3,The Dark Knight Rises,2012,Christopher Nolan,USA,non-animation
4,John Carter,2012,Andrew Stanton,USA,non-animation
5,Spider-Man 3,2007,Sam Raimi,USA,non-animation
6,Tangled,2010,Nathan Greno,USA,animation
7,Avengers: Age of Ultron,2015,Joss Whedon,USA,non-animation
8,Harry Potter and the Half-Blood Prince,2009,David Yates,UK,non-animation
9,Batman v Superman: Dawn of Justice,2016,Zack Snyder,USA,non-animation
10,Superman Returns,2006,Bryan Singer,USA,non-animation
11,Quantum of Solace,2008,Marc Forster,UK,non-animation
12,Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,USA,non-animation
13,The Lone Ranger,2013,Gore Verbinski,USA,non-animation
14,Man of Steel,2013,Zack Snyder,USA,non-animation
15,The Chronicles of Narnia: Prince Caspian,2008,Andrew Adamson,USA,non-animation
16,The Avengers,2012,Joss Whedon,USA,non-animation
17,Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,USA,non-animation
18,Men in Black 3,2012,Barry Sonnenfeld,USA,non-animation
19,The Hobbit: The Battle of the Five Armies,2014,Peter Jackson,New Zealand,non-animation
20,The Amazing Spider-Man,2012,Marc Webb,USA,non-animation
21,Robin Hood,2010,Ridley Scott,USA,non-animation
22,The Hobbit: The Desolation of Smaug,2013,Peter Jackson,USA,non-animation
23,The Golden Compass,2007,Chris Weitz,USA,non-animation
24,King Kong,2005,Peter Jackson,New Zealand,non-animation
25,Titanic,1997,James Cameron,USA,non-animation
26,Captain America: Civil War,2016,Anthony Russo,USA,non-animation
27,Battleship,2012,Peter Berg,USA,non-animation
28,Jurassic World,2015,Colin Trevorrow,USA,non-animation
29,Skyfall,2012,Sam Mendes,UK,non-animation
30,Spider-Man 2,2004,Sam Raimi,USA,non-animation
31,Iron Man 3,2013,Shane Black,USA,non-animation
32,Alice in Wonderland,2010,Tim Burton,USA,non-animation
33,X-Men: The Last Stand,2006,Brett Ratner,Canada,non-animation
34,Monsters University,2013,Dan Scanlon,USA,animation
35,Transformers: Revenge of the Fallen,2009,Michael Bay,USA,non-animation
36,Transformers: Age of Extinction,2014,Michael Bay,USA,non-animation
37,Oz the Great and Powerful,2013,Sam Raimi,USA,non-animation
38,The Amazing Spider-Man 2,2014,Marc Webb,USA,non-animation
39,TRON: Legacy,2010,Joseph Kosinski,USA,non-animation
40,Cars 2,2011,John Lasseter,USA,animation
41,Green Lantern,2011,Martin Campbell,USA,non-animation
42,Toy Story 3,2010,Lee Unkrich,USA,animation
43,Terminator Salvation,2009,McG,USA,non-animation
44,Furious 7,2015,James Wan,USA,non-animation
45,World War Z,2013,Marc Forster,USA,non-animation
46,X-Men: Days of Future Past,2014,Bryan Singer,USA,non-animation
47,Star Trek Into Darkness,2013,J.J. Abrams,USA,non-animation
48,Jack the Giant Slayer,2013,Bryan Singer,USA,non-animation
49,The Great Gatsby,2013,Baz Luhrmann,Australia,non-animation
50,Prince of Persia: The Sands of Time,2010,Mike Newell,USA,non-animation
51,Pacific Rim,2013,Guillermo del Toro,USA,non-animation
52,Transformers: Dark of the Moon,2011,Michael Bay,USA,non-animation
53,Indiana Jones and the Kingdom of the Crystal Skull,2008,Steven Spielberg,USA,non-animation
54,The Good Dinosaur,2015,Peter Sohn,USA,animation
55,Brave,2012,Mark Andrews,USA,animation
56,Star Trek Beyond,2016,Justin Lin,USA,non-animation
57,WALL·E,2008,Andrew Stanton,USA,animation
58,Rush Hour 3,2007,Brett Ratner,USA,non-animation
59,2012,2009,Roland Emmerich,USA,non-animation
60,A Christmas Carol,2009,Robert Zemeckis,USA,animation
61,Jupiter Ascending,2015,Lana Wachowski,USA,non-animation
62,The Legend of Tarzan,2016,David Yates,USA,non-animation
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Andrew Adamson,USA,non-animation
64,X-Men: Apocalypse,2016,Bryan Singer,USA,non-animation
65,The Dark Knight,2008,Christopher Nolan,USA,non-animation
66,Up,2009,Pete Docter,USA,animation
67,Monsters vs. Aliens,2009,Rob Letterman,USA,animation
68,Iron Man,2008,Jon Favreau,USA,non-animation
69,Hugo,2011,Martin Scorsese,USA,non-animation
70,Wild Wild West,1999,Barry Sonnenfeld,USA,non-animation
71,The Mummy: Tomb of the Dragon Emperor,2008,Rob Cohen,USA,non-animation
72,Suicide Squad,2016,David Ayer,USA,non-animation
73,Evan Almighty,2007,Tom Shadyac,USA,non-animation
74,Edge of Tomorrow,2014,Doug Liman,USA,non-animation
75,Waterworld,1995,Kevin Reynolds,USA,non-animation
76,G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,USA,non-animation
77,Inside Out,2015,Pete Docter,USA,animation
78,The Jungle Book,2016,Jon Favreau,UK,non-animation
79,Iron Man 2,2010,Jon Favreau,USA,non-animation
80,Snow White and the Huntsman,2012,Rupert Sanders,USA,non-animation
81,Maleficent,2014,Robert Stromberg,USA,non-animation
82,Dawn of the Planet of the Apes,2014,Matt Reeves,USA,non-animation
83,The Lovers,2015,Roland Joffé,Belgium,non-animation
84,47 Ronin,2013,Carl Rinsch,USA,non-animation
85,Captain America: The Winter Soldier,2014,Anthony Russo,USA,non-animation
86,Shrek Forever After,2010,Mike Mitchell,USA,animation
87,Tomorrowland,2015,Brad Bird,USA,non-animation
88,Big Hero 6,2014,Don Hall,USA,animation
89,Wreck-It Ralph,2012,Rich Moore,USA,animation
90,The Polar Express,2004,Robert Zemeckis,USA,animation
91,Independence Day: Resurgence,2016,Roland Emmerich,USA,non-animation
92,How to Train Your Dragon,2010,Dean DeBlois,USA,animation
93,Terminator 3: Rise of the Machines,2003,Jonathan Mostow,USA,non-animation
94,Guardians of the Galaxy,2014,James Gunn,USA,non-animation
95,Interstellar,2014,Christopher Nolan,USA,non-animation
96,Inception,2010,Christopher Nolan,USA,non-animation
97,Godzilla Resurgence,2016,Hideaki Anno,Japan,non-animation
98,The Hobbit: An Unexpected Journey,2012,Peter Jackson,USA,non-animation
99,The Fast and the Furious,2001,Rob Cohen,USA,non-animation
100,The Curious Case of Benjamin Button,2008,David Fincher,USA,non-animation
101,X-Men: First Class,2011,Matthew Vaughn,USA,non-animation
102,The Hunger Games: Mockingjay - Part 2,2015,Francis Lawrence,USA,non-animation
103,The Sorcerer's Apprentice,2010,Jon Turteltaub,USA,non-animation
104,Poseidon,2006,Wolfgang Petersen,USA,non-animation
105,Alice Through the Looking Glass,2016,James Bobin,USA,non-animation
106,Shrek the Third,2007,Chris Miller,USA,animation
107,Warcraft,2016,Duncan Jones,USA,non-animation
108,Terminator Genisys,2015,Alan Taylor,USA,non-animation
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Michael Apted,USA,non-animation
110,Pearl Harbor,2001,Michael Bay,USA,non-animation
111,Transformers,2007,Michael Bay,USA,non-animation
112,Alexander,2004,Oliver Stone,Germany,non-animation
113,Harry Potter and the Order of the Phoenix,2007,David Yates,UK,non-animation
114,Harry Potter and the Goblet of Fire,2005,Mike Newell,UK,non-animation
115,Hancock,2008,Peter Berg,USA,non-animation
116,I Am Legend,2007,Francis Lawrence,USA,non-animation
117,Charlie and the Chocolate Factory,2005,Tim Burton,USA,non-animation
118,Ratatouille,2007,Brad Bird,USA,animation
119,Batman Begins,2005,Christopher Nolan,USA,non-animation
120,Madagascar: Escape 2 Africa,2008,Eric Darnell,USA,animation
121,Night at the Museum: Battle of the Smithsonian,2009,Shawn Levy,USA,non-animation
122,X-Men Origins: Wolverine,2009,Gavin Hood,USA,non-animation
123,The Matrix Revolutions,2003,Lana Wachowski,Australia,non-animation
124,Frozen,2013,Chris Buck,USA,animation
125,The Matrix Reloaded,2003,Lana Wachowski,USA,non-animation
126,Thor: The Dark World,2013,Alan Taylor,USA,non-animation
127,Mad Max: Fury Road,2015,George Miller,Australia,non-animation
128,Angels & Demons,2009,Ron Howard,USA,non-animation
129,Thor,2011,Kenneth Branagh,USA,non-animation
130,Bolt,2008,Byron Howard,USA,animation
131,G-Force,2009,Hoyt Yeatman,USA,animation
132,Wrath of the Titans,2012,Jonathan Liebesman,USA,non-animation
133,Dark Shadows,2012,Tim Burton,USA,non-animation
134,Mission: Impossible - Rogue Nation,2015,Christopher McQuarrie,China,non-animation
135,The Wolfman,2010,Joe Johnston,USA,non-animation
136,Bee Movie,2007,Steve Hickner,USA,animation
137,Kung Fu Panda 2,2011,Jennifer Yuh Nelson,USA,animation
138,The Last Airbender,2010,M. Night Shyamalan,USA,non-animation
139,Mission: Impossible III,2006,J.J. Abrams,USA,non-animation
140,White House Down,2013,Roland Emmerich,USA,non-animation
141,Mars Needs Moms,2011,Simon Wells,USA,animation
142,Flushed Away,2006,David Bowers,UK,animation
143,Pan,2015,Joe Wright,USA,non-animation
144,Mr. Peabody & Sherman,2014,Rob Minkoff,USA,animation
145,Troy,2004,Wolfgang Petersen,USA,non-animation
146,Madagascar 3: Europe's Most Wanted,2012,Eric Darnell,USA,animation
147,Die Another Day,2002,Lee Tamahori,UK,non-animation
148,Ghostbusters,2016,Paul Feig,USA,non-animation
149,Armageddon,1998,Michael Bay,USA,non-animation
150,Men in Black II,2002,Barry Sonnenfeld,USA,non-animation
151,Beowulf,2007,Robert Zemeckis,USA,animation
152,Kung Fu Panda 3,2016,Alessandro Carloni,USA,animation
153,Mission: Impossible - Ghost Protocol,2011,Brad Bird,USA,non-animation
154,Rise of the Guardians,2012,Peter Ramsey,USA,animation
155,Fun with Dick and Jane,2005,Dean Parisot,USA,non-animation
156,The Last Samurai,2003,Edward Zwick,USA,non-animation
157,Exodus: Gods and Kings,2014,Ridley Scott,UK,non-animation
158,Star Trek,2009,J.J. Abrams,USA,non-animation
159,Spider-Man,2002,Sam Raimi,USA,non-animation
160,How to Train Your Dragon 2,2014,Dean DeBlois,USA,animation
161,Gods of Egypt,2016,Alex Proyas,USA,non-animation
162,Stealth,2005,Rob Cohen,USA,non-animation
163,Watchmen,2009,Zack Snyder,USA,non-animation
164,Lethal Weapon 4,1998,Richard Donner,USA,non-animation
165,Hulk,2003,Ang Lee,USA,non-animation
166,G.I. Joe: Retaliation,2013,Jon M. Chu,USA,non-animation
167,Sahara,2005,Breck Eisner,UK,non-animation
168,Final Fantasy: The Spirits Within,2001,Hironobu Sakaguchi,USA,animation
169,Captain America: The First Avenger,2011,Joe Johnston,USA,non-animation
170,The World Is Not Enough,1999,Michael Apted,UK,non-animation
171,Master and Commander: The Far Side of the World,2003,Peter Weir,USA,non-animation
172,The Twilight Saga: Breaking Dawn - Part 2,2012,Bill Condon,USA,non-animation
173,Happy Feet 2,2011,George Miller,Australia,animation
174,The Incredible Hulk,2008,Louis Leterrier,USA,non-animation
175,The BFG,2016,Steven Spielberg,UK,non-animation
176,The Revenant,2015,Alejandro G. Iñárritu,USA,non-animation
177,Turbo,2013,David Soren,USA,animation
178,Rango,2011,Gore Verbinski,USA,animation
179,Penguins of Madagascar,2014,Eric Darnell,USA,animation
180,The Bourne Ultimatum,2007,Paul Greengrass,USA,non-animation
181,Kung Fu Panda,2008,Mark Osborne,USA,animation
182,Ant-Man,2015,Peyton Reed,USA,non-animation
183,The Hunger Games: Catching Fire,2013,Francis Lawrence,USA,non-animation
184,Home,2015,Tim Johnson,USA,animation
185,War of the Worlds,2005,Steven Spielberg,USA,non-animation
186,Bad Boys II,2003,Michael Bay,USA,non-animation
187,Puss in Boots,2011,Chris Miller,USA,animation
188,Salt,2010,Phillip Noyce,USA,non-animation
189,Noah,2014,Darren Aronofsky,USA,non-animation
190,The Adventures of Tintin,2011,Steven Spielberg,USA,non-animation
191,Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,UK,non-animation
192,Australia,2008,Baz Luhrmann,Australia,non-animation
193,After Earth,2013,M. Night Shyamalan,USA,non-animation
194,Dinosaur,2000,Eric Leighton,USA,animation
195,Harry Potter and the Deathly Hallows: Part II,2011,Matt Birch,UK,non-animation
196,Night at the Museum: Secret of the Tomb,2014,Shawn Levy,USA,non-animation
197,Megamind,2010,Tom McGrath,USA,animation
198,Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,UK,non-animation
199,R.I.P.D.,2013,Robert Schwentke,USA,non-animation
200,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,USA,non-animation
201,Harry Potter and the Deathly Hallows: Part I,2010,Matt Birch,UK,non-animation
202,The Hunger Games: Mockingjay - Part 1,2014,Francis Lawrence,USA,non-animation
203,The Da Vinci Code,2006,Ron Howard,USA,non-animation
204,Rio 2,2014,Carlos Saldanha,USA,animation
205,X-Men 2,2003,Bryan Singer,Canada,non-animation
206,Fast Five,2011,Justin Lin,USA,non-animation
207,Sherlock Holmes: A Game of Shadows,2011,Guy Ritchie,USA,non-animation
208,Clash of the Titans,2010,Louis Leterrier,USA,non-animation
209,Total Recall,1990,Paul Verhoeven,USA,non-animation
